,topic,category,content
0,"Worst 'Big Things' shortlist a joke to some, but not everyone's laughing",travel-and-tourism-lifestyle-and-leisure,"  'Australia's S***test Big Things' shortlist a joke to some, but not everyone's laughing Australia is famous for its ""big things"", and the 230-or-so novelty landmarks can certainly divide opinion. Back to ruffle some feathers, the satirists from Shit Towns of Australia have put it to a vote and compiled a shortlist of what people believe are the most unusual or underwhelming ""big things"". Some people reckon the ""shittest"" poll is a bit of fun that helps draw attention to their towns; others take exception to being spoken about in such unflattering terms. The city of Kalgoorlie-Boulder is well known by some of the 560,000 followers of Shit Towns of Australia's Facebook page, where polls are conducted to decide which town is the nation's worst. The competition caused division in the Goldfields city in 2019 when it was in the running to take the national title of ""Shit town of the Year"". A group of local residents saw the competition as an opportunity to attract tourism and campaigned for people to vote for Kalgoorlie-Boulder. However, the city's mayor, John Bowler, was concerned the attention would deter people from moving to the town amid a worker shortage and asked people not to engage with the competition. The 2019 title was taken out by Logan in Queensland, but Kalgoorlie has been named ""WA's Shittest Town"" for the past three years. It's now in the running for ""Australia's Shittest Big Things"" after thousands nominated  its self-proclaimed World's Tallest Bin, which sits at the top of the main street on a patch of red dirt known as World's Tallest Bin Park. The bin is a long piece of pipe standing eight metres tall. According to local historian Tim Moore, it was installed in the early 1980s during a campaign to clean up Australia. While he remembered throwing cans into it as a kid, Mr Moore said there was not much else to it. Like the bin, Geoff Rissole — who co-created the ""shittest"" competitions with Rick Furphy — also has a self-appointed title as an expert in sociology, travel and culture, which he claimed after the pair's Shit Towns books, blogs and social media page took off. Mr Rissole is from New Zealand but said he and Mr Furphy had lived and travelled extensively in Australia. ""[We] found that Aussies and Kiwis share a similar self-deprecating sense of humour,"" he said. He draws inspiration from his hometown across the pond, which he declined to name due to the backlash from fellow residents. ""We periodically receive death threats from humourless man-babies, plus locals have begged us not to tell anyone because they don't want to be associated with us,"" he said. Mr Rissole said his top pick for the new category was the Big Merino in Goulburn, New South Wales, but it failed to make the final cut. ""It's supposed to be a giant ram but it doesn't really look like a sheep,"" he said. ""It looks like it was designed by someone who's had a sheep described to them over the phone, rather than ever actually having any interactions with the animal itself."" Mr Rissole said he was surprised the bin was in the top four but appreciated the lack of consideration into what it represented. ""Most big things will be promoting some aspects of the town, like an industry or some sort of tourist attraction. ""Kalgoorlie has gone, 'Nup! Just a giant bin, that's what we're about'."" He said the big bin was tracking well among voters, alongside the controversial ""Nazi-saluting"" Captain James Cook which stood a whopping eight metres high in the tropical Queensland city of Cairns for 50 years. The statue was considered offensive and was sold for $1 to a private buyer who relocated it to their property in Mount Molloy this year. Mr Rissole said another semi-finalist, the Big Potato, had a less political and more unhygienic kind of controversy surrounding it. ""You used to be able to go inside it, but they had to shut it recently because people were using it as a bathroom,"" he said. ""I don't know whether that's going to propel it to the top, but it's pretty bad."" While Mr Rissole said the competition was intended to be a bit of a laugh, the owner of the Giant Koala, Patricia Crute, did not think it was funny. Ms Crute's daughter made her aware of the fact the koala, which is actually a gift shop along the Western Highway in Dadswells Bridge in western Victoria, had made the shortlist. She said she was offended by the caption which depicts the koala as ""a gigantic red-eyed, hairy-eared replica of the only creature with more chlamydia than a local youth"". ""I was a bit disgusted actually by the comments that were put on there, because it's not like that at all,"" Ms Crute said. ""It's a tourist attraction that everybody admires."" Ms Crute said there was a boost in visitors to the koala after it was voted ""Australia's Best Big Thing"" in another online competition a few years ago. From giant bananas to huge prawns, there are more than 150 ""big things"" scattered across Australia and, perhaps surprisingly, some small towns are still building them. But she wasn't sure winning the title of ""Australia's Shittest Big Thing"" would have the same impact. ""Whether they come to make fun of our koala, I don't know,"" she said. But like Kalgoorlie locals a few years back, Grampians Tourism chief executive Mark Sleeman believes the light-hearted competition is a good thing for the region. ""This is a whole lot of fun and just helps profile our region and get our destination front of mind,"" he said. ""We've got the koala and I'm happy to stand by that. ""Whether it's the shittiest, the biggest or the loudest, we'll own it as it gets people talking about our region."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
1,Rex pilots to take industrial action that may affect passengers with 'minor changes' as pay negotiations fail,travel-and-tourism-lifestyle-and-leisure,"  Rex Regional Express pilots vote to take industrial action after pay negotiations fail Regional Express Airlines (Rex) pilots have voted to take industrial action over a pay dispute that could affect passengers from Carnarvon to Coffs Harbour and Coober Pedy. In the past week, 230 of Rex's SAAB-340 pilots took part in an online ballot to determine the extent of action against their employer. That ballot concluded on Wednesday. More than 90 per cent of the regional carrier's union member pilots who participated in the vote decided to take action. In response to the decision, Rex said it had ""put in place mitigating measures to ensure our services operate normally."" It followed a breakdown in pay negotiations, during which the Australian Federation of Air Pilots (AFAP) claimed it had received a deal that was ""worse than previous offers"". That was refuted by a spokesperson for the regional carrier, who labelled the decision to knock back the pay deal as ""beyond belief"". The Rex spokesperson said it offered the pilots a 5 per cent pay increase now, and an additional 8 per cent when the company became profitable. AFAP confirmed they will start taking protected industrial action with three initial work actions, effective from Tuesday June 28. This includes not wearing some, or all, of the uniform. ""In addition to action concerning the wearing of uniforms, pilots will adopt a ban on loading extra fuel prior to flights, where the primary purpose for loading the extra fuel is to negate the need to refuel at the destination airport,"" an AFAP spokesperson said. ""The AFAP remains committed to reaching an agreement and is disappointed that we have had to take this action."" More than 95 per cent of pilots voted to ban working without at least 10 hours break between shifts while away from their home base, and 12 hours when at their home airport. The Rex spokesperson said it was working towards the same goal as AFAP. ""The union and the company are aligned in our desire to not have the travelling public impacted,"" the spokesperson said. ""Especially not during the school holidays when airports are expecting massive delays."" Want more local news? Sign up to the weekly ABC Broken Hill email newsletter The Fair Work Commission has approved eight different industrial actions, all of which were approved by a least a 90 per cent majority of union members. For regional customers worried they might be impacted, law dictates that the AFAP and pilots must provide Rex Regional Express with five days notice of any possible strike action. The Rex spokesperson said passengers could expect ""minor changes to our service delivery, for example the uniform worn may not be the standard one"", as well as the potential for four-hour-long work strikes. There is no date set for when pilots could walk off the job. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
2,Airports prepare for school holiday travel rushes,travel-and-tourism-lifestyle-and-leisure," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
3,Beers flow again after iconic outback pub rebuilds after 'traumatic' fire,travel-and-tourism-lifestyle-and-leisure,"  Tibooburra's iconic two-storey pub rises from the ashes after fire An Irish woman walks into a bar. The 140-year-old sandstone building smells of fresh paint and two flags fly above the spirits cabinet — one Irish, the other Australian. There's no punchline. The place just feels like home to bartender and backpacker Leona Keane. But 15 months ago Tibooburra's iconic two-storey pub was almost unrecognisable after a devastating fire. The building built from local sandstone in 1882 was a shell filled with ash and debris. The town of less than 150 people is located in the remote far north-west corner of New South Wales, more than 1,200 kilometres from Sydney and Brisbane, and almost 900 kilometres from Adelaide. According to Ms Keane, its isolation is its strength. ""The warmness and the kindness of people … I just fell in love with the place, the people, the outback, everything,"" she said. And from the ashes, hope has blossomed. With the beer flowing and the kitchen cooking meals again, Tibooburra Hotel owner Tracey Hotchin says the spirits of many in town are high. ""I can't thank everybody enough for what they did in trying to save the pub,"" she said. ""We've just received so much support throughout the journey."" As one of two pubs in town and the only two-storey building within at least a 300-kilometre radius, the fire was a huge blow to the community. ""It was a shock, everybody was just in shock, they couldn't believe it,"" Ms Keane said. For the owners it was a cruel blow, having poured their time, money and souls into the building. The cause of the fire was believed to be an electrical fault. ""It was a devastating couple of days just trying to take it in and work out what we were going to do with it,"" Ms Hotchin said. ""We'd renovated the hotel and spent a lot of money doing it up, and we were just in the process of starting to do our motel rooms down the back and beer garden."" John Ainsworth was the Tibooburra Fire Brigade captain at the time of the incident. He along with two other firefighters were seriously injured when a large gas bottle exploded. He said at the time there was a somewhat reckless and utterly selfless desire by residents to help bring the blaze under control. ""It was fairly traumatic for everybody and people were doing their best to help out,"" he said. ""They weren't caring about their own safety, they just wanted to get the fire out."" More than a year after the fire, and despite renovations and reopening being partially delayed by the COVID-19 pandemic, the pub now has dozens of customers through the doors each day. Ms Hothcin says it's hard to believe how far she and the business have come since the crushing devastation she felt in February last year. ""Some days it's overwhelming and you just sit back and think about where you come and we've come a long way,"" she said. ""We've got our motel rooms up and running now."" While the total cost of rebuilding may not be known for three or four years, there's little time to sit and wonder 'what if'. ""You've got to move on, you can't think about it,"" Ms Hotchin said. ""It doesn't do you any good if you're trying to think why, how, if or when."" While the fire was a devastating blow for the outback town, its resurrection from the ashes has strengthened the bond of many in the community. Residents, tourists and Leona Keane alike are hoping that the only way from here is up. ""Everybody is just amazed at the work that's gone on and how we're back open and how we've gotten back to this point,"" she said. ""There's a sense of happiness and obviously joy that we're getting through it,"" ABC Broken Hill will deliver a wrap of the week's news, stories and photos every Friday. Sign up here We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
4,Australian Muslims 'devastated' by Saudi Arabia's new Hajj pilgrimage lottery,travel-and-tourism-lifestyle-and-leisure,"  Australian Muslims 'devastated' by Saudi Arabia's new Hajj pilgrimage lottery As 1 million Muslims have been preparing to make the journey of a lifetime to Islam's holiest sites, the Saudi government has made a surprise announcement that has devastated Islamic communities across Australia and the Western world. Muslims from Australia, New Zealand, the UK, North America and Europe initially rejoiced when Saudi Arabia announced in April that it would open its borders to allow foreigners in for the Hajj pilgrimage. Pilgrimages to the holy sites of Mecca and Madinah had been closed for two years due to the COVID-19 pandemic. But once the jubilation subsided, questions from both communities and travel operators arose as the Saudi Ministry of Hajj made no further announcements. One travel operator from Melbourne, who spoke to the ABC anonymously for fear of repercussions from the Gulf nation, said he and others in the industry were not given any clear answers. ""They said they'll confirm before Ramadan and we waited. Eid came and nothing happened,"" he said. On June 6, the Saudi government made a surprise announcement: Muslims from Western countries were told to immediately cancel any existing flights and hotel bookings. It said anyone who wanted to go this year needed to apply through a randomised lottery system on the newly launched Motawif website — and they only had a four-day window to put in a bid. The change of rules has shocked Muslim communities across the West. Each country is assigned an allotment of places every year. Lottery systems exist in Muslim-majority countries to cope with population and religious demands, and they are government run. But the new lottery system limits the number of places to 1 million, whereas previously Muslims from Western countries could claim their own places through travel agencies and Hajj tours. And there are other restrictions on who is eligible to apply. Eligible candidates are those who are under 65, have up-to-date documentation, and are double-vaccinated against COVID-19. People making the pilgrimage for the first time will be placed in priority queues. Australia was allotted just over 2,000 spots for Hajj. Feroz from Sydney was one of the lucky few who got the green light, but he said the approval had just complicated his situation further. ""Racing through my head was my work commitments,"" he said. ""My leave request is yet to be approved and submitted. ""And the challenge is that you need to pay for your package within 48 hours or else you lose your spot. ""You don't have any specific dates at the point of EOI (expression of interest). You don't have any details about how long you'll be allowed to stay. ""Irrespective of whether I got approved or not, having that information beforehand would have made things easier."" The Hajj pilgrimage is a foundational pillar of Islam. Only 60,000 vaccinated pilgrims within Saudi Arabia will be allowed to participate in this year's hajj, as local authorities introduce tough measures to prevent the spread of coronavirus. It is compulsory for all Muslims of age to travel to holy sites in Mecca at least once in their life. The pilgrimage takes place over days during the month of Dhul Hijjah in the Islamic calendar and honours rituals of both the Prophet Abraham and the Prophet Mohammed that exist in Islamic theology. Thousands of Australian Muslims had been waiting since 2019 for the chance to go this year, ready to use their life savings to secure a spot. The Saudi government's decision has left another travel agent from Melbourne blindsided and reeling. ""It's completely devastated the whole market, not just from the travel agents' point of view, but for the pilgrims,"" the travel agent said. ""Not everybody is familiar with the internet. There are senior citizens who are unfamiliar with the processes online, who don't even have credit cards. ""So it's just a complete mess, to be totally frank with you."" In a statement, Saudi officials said the online lottery portal was introduced to crack down on Hajj-related scams run by fraudulent agents. There have been anecdotal reports of elderly Muslims being defrauded of thousands of dollars by thieves posing as Hajj tourism operators. But the ACCC said in a statement it was unable to provide any statistics on complaints relating to Hajj scams. Another Australian travel operator who wanted to remain anonymous said he was told an entirely different story. ""They announced [the new] system because the travel agent is the intermediary between the ministry of Hajj and the client, and they need to get the intermediary out to reduce the cost,"" they said. Numerous agents have made deposits from their own funds to secure spots in Saudi hotels and on flights in the hope of kickstarting their businesses after a two-year drought. ""There are companies that were completely relying on the Hajj business, it was their only source of income… and now they're being left completely out of the loop,"" the travel operator said. When Fatima, an Australian Muslim from Sydney who wanted to remain anonymous, heard about the new system she was supportive. ""I thought, 'Great! We were cutting out the middleman,'"" she said. ""There were rumours about how much agents were making, and so we thought Saudi was coming through for us."" Typical Hajj packages range from $9,000 to $15,000 and include a month's worth of flights and five-star accommodation in multiple cities, visas, transport and food. With inflation impacting all travel costs after a two-year hiatus, there was speculation that the cost of basic packages could be as high as $20,000. What Motawif was advertising during its short application stage were packages that included flights starting as low as $6,000. ""I got the email that said, 'Congratulations Fatima you've been approved,' and my heart was overjoyed,"" Fatima said. ""I thought, 'I'm going to Hajj for $6,000. What a bargain.' ""But when I logged into pay, the cheapest package was $11,000 and it didn't include flights."" Fatima is now looking at paying up to $18,500 in total for her Hajj pilgrimage. ""This is a trip that we need to do,"" she said. ""It's not a trip to an island in the Maldives … why is it costing us this much? Why was it left to the last minute?"" ""When flights are through the roof, like $6,000 from Sydney to Saudi Arabia on an economy fare, it's ridiculous!"" She has now begun a Facebook support group for Australian pilgrims who have not been able to get any answers through Motawif. And hundreds have joined already. ""No-one's answering our questions, there's no human contact,"" she said. ""And that's when everyone ate their words because we realised what the agents used to do for us. You can't put a price on it."" For Feroz, there are bigger problems with the way Hajj will be spiritually run. ""One of the greatest concerns is not having access to a scholar or a guide that you can resonate with,"" he said. ""There are different levels of religiosity, so you have some people who are well versed in the processes of Hajj, and others who aren't comfortable at all and need someone to hold their hand."" The Saudi embassy has been contacted for comment. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
5,Geraldton bears brunt of cancelled Qantas flights,travel-and-tourism-lifestyle-and-leisure,"  Qantas Perth to Geraldton flights cut in move expected to affect Midwest businesses Qantas' decision to target the Geraldton to Perth flight route for cutbacks has been criticised by the Midwest Chamber of Commerce and Industry. The airline announced last week it would cut a number of flights in regional WA over the next month to manage the impact of COVID-19 on staffing levels and reduce the number of last-minute cancellations. Fifteen of those flights are between Geraldton and Perth. A Qantas spokeswoman said a figure of 19 planned cancellations was incorrect but did not respond to a request for the total number of planned cancellations in regional WA. Midwest Chamber of Commerce and Industry chief executive Joanne Fabling said Geraldton was shouldering much of the burden from the decision. ""Geraldton unfortunately being a 45-50-minute flight is probably not the most profitable of Qantas' flights,"" she said. ""That's where our concerns are because the loyalty that Qantas has in the regions is strong and we'd like to continue that. ""We would ask [for] a fairer loading across the regional networks when they're cancelling flights."" Ms Fabling said the reduced schedule would affect local traders and that the bulk of local air travel was for business. ""A lot of our flights because they leave Perth early in the morning are good for Perth people to come up and do business in Geraldton,"" she said. ""For Geraldton businesses, a lot of them will travel in the afternoon and come back the next day. She said there was a lot of business travel, fly-in, fly-out travel and leisure travel. However, she said she was aware the airline had more impacts from the pandemic than current isolation requirements. ""They were running a fairly lean staffing as they powered up to come back online to 100 per cent staff for flights in the regions,"" she said. ""We also need to be mindful that this airline was grounded for a long time ... they're bringing on a new workforce. ""At the end of the day, we want to fly safely."" Want more local news? Sign up for the weekly ABC Midwest & Wheatbelt email newsletter A Qantas spokeswoman said the company was doing the pre-emptive cancellations to help manage ongoing COVID-related absences. ""We apologise to our customers for the inconvenience,"" the spokeswoman said. ""By making these changes in advance we are better able to prevent last-minute cancellations which are more disruptive for travellers. ""We thank for Geraldton community for their understanding."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
6,"'Qantas's brand is very, very tarnished': Travellers suffering through disruptions as industry scrambles to find workers",travel-and-tourism-lifestyle-and-leisure,"  Australian air travellers have been warned to expect more disruptions over the next 12 months, as the industry scrambles to fill critical worker shortages ahead of the July school holidays. It's been a torrid few months for passengers, who have faced delays, cancellations and missing luggage over the recent Easter break and the Queen's Birthday long weekend. Employers are rushing to fill 5,000 job vacancies around the Sydney Airport precinct, which shed 15,000 jobs during the border shutdown. Chief executive of Sydney Airport Geoff Culbert told 7.30 airports would continue to struggle to recruit enough workers in time for peak periods. ""I'm not going to sugar-coat it,"" Mr Culbert said. ""It's going to be challenging. We're still going to have staff shortages in the June-July school holidays. We're throwing everything we possibly can at it. ""I think you're going to see airports struggling for staffing and recruitment for the next 12 months."" Sydney Airport is urging domestic travellers to arrive two hours before their flight, and international travellers to arrive three hours ahead, to allow for delays. Across the world, airports are struggling to deal with the resurgence of travellers. Customers have vented their frustrations with Australian airlines on social media, complaining of flight delays, cancellations, missing baggage, hours-long queues at airports, inability to reach call centre staff, and accusations of unfair terms and conditions on flight credits. ABC's 7.30 has spoken to Qantas and Virgin passengers, whose luggage has been missing since April. ""I followed up with Virgin multiple times and was just told the same story: 'The bag's coming' … but it just never came,"" traveller Clinton Press said. Mr Press said he was unsatisfied with the amount Virgin had offered in compensation. Virgin declined to be interviewed but said it was working around the clock to help their customers. Long-time Qantas customer Kevin Burke travelled from Darwin to London on a series of connecting flights. He told ABC's 7.30 the trip was plagued with problems. ""I think Qantas' brand is very, very tarnished. The service is not up to scratch,"" he said. ""When we arrived at Heathrow, the pilot told us that the entire plane's luggage had been left in Australia to make room for fuel."" Mr Burke's luggage arrived three days later. Last Thursday, a Qantas flight from Dallas to Sydney was cancelled at 2am, due to an engineering issue, leaving many to sleep on the airport's floor, including some of the Gaudin family. ""No one was telling us what was going on,"" traveller Kat Gaudin said. ""When the [kids] woke up, they were cranky, hungry, a little bit confused."" The mother of four said she felt ""let down"" by the national carrier. Qantas has apologised for the inconvenience caused to passengers on the flight. The company's chief executive, Alan Joyce, has shifted his language after he faced a customer backlash over his comments that passengers were not ""match fit"" over Easter, conceding the industry was ""rusty"" as it got back up and running. Mr Joyce declined to speak to ABC's 7.30, but told reporters in Doha on Sunday night, ""there are blocks in the chain all the way through"". In a statement, Qantas said it was ""working hard to fix the problems we have"" and has apologised to customers who have had their baggage delayed. ""We've got a lot of confidence leading in to the school holidays [that] we'll see a different outcome."" The Transport Workers' Union argues Qantas's outsourcing of workers in 2020 has led to the current problems. ""This is about a fundamental structural problem within aviation that has been deliberately created by Qantas over the course of the Joyce administration,"" TWU national secretary Michael Kaine said. The Federal Court later found the sackings were illegal and the airline now plans to appeal to the High Court. A TWU survey of 1,100 former Qantas workers outsourced in 2020 found that, while the majority have found new jobs, 70 per cent say they are worse off. And 71 per cent say they have experienced financial hardship, while 30 per cent have developed depression or anxiety. Qantas denies the union's claims on outsourcing. Watch this story on 7.30 on ABC iview. See our full coverage of coronavirus We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
7,Qantas to land a full-time engineer at Broome International Airport to overcome cancellations,travel-and-tourism-lifestyle-and-leisure,"  Qantas to overcome Broome International Airport flight disruptions with full-time engineer Qantas is set to base a full-time aircraft engineer in Broome to alleviate flight cancellations that are forcing locals to house stranded passengers who cannot find accommodation. The cancellations are affecting the Western Australian tourism hotspot at the busiest time of the year, as accommodation prices soar and rooms book out months in advance. Qantas, which has seen a raft of cancellations at Broome International Airport over the past two months, said the disruptions had been driven by ""COVID-related staff challenges"" and ""engineering requirements"". The airline confirmed to the ABC that it had sent a full-time engineer to service flights at the town's airport to tackle technical issues. ""We now have a full-time engineer based in Broome and [are] working to build up our local engineering capabilities to minimise the risk of cancellations,"" a spokesperson said. Australian Licensed Aircraft Engineers Association (ALAEA) federal secretary Steve Purvinas said the move followed cuts to permanent staff in the state's north west. He said two engineers based at Karratha Airport prior to the pandemic were regularly transported to airports around the north-west to service Qantas aircraft. Mr Purvinas said that changed after the pandemic hit, with the airline pulling a flight engineer out of Karratha Airport who serviced many communities in the Pilbara region. ""This wasn't a one-off COVID event. It was a permanent de-manning of that port,"" he said. ""The [engineering] problems that have happened in Broome this year are not because someone was sick from COVID. ""Broome hasn't been manned [by a full-time engineer] for 20 years."" He said the airline had now ""thrown a QantasLink bloke permanently into Broome, which we think is a better option"". ""The steps are positive, but it can't undo the delays that passengers have suffered up until now,"" Mr Purvinas said. Residents and business operators in Broome were frustrated by the flight cancellations, which they said had left the town to deal with the consequences. Repeated cancellations by both Virgin and Qantas at the eleventh hour are leaving tourists struggling to find last minute accommodation in Broome Shire of Broome president Harold Tracey said the ""disappointing"" situation may have left tourists with a bad feeling after their holiday. ""When you're stuck at an airport waiting to get back home, it doesn't matter where you are,"" he said. ""It's not going to leave you with the most endearing memory."" Passenger Anthony Hinkley was frustrated by a cancellation two weeks ago but was astounded by the kindness of locals who housed him after Qantas staff could not find accommodation. ""I saw people just turn up at the airport, ladies, gentleman, all sorts of different people, [and say], 'I've got a room. Who would like to come?', and, bang, they would just go,"" he said. ""So my experience in Broome was: Love the people, loved everything I did up there. ""Would I come again? Yes, but I'll fly with Virgin next time."" Virgin Australia has also cancelled several flights at Broome International Airport. Delays and cancellations have become the new normal at airports around Australia, which have experienced a surge in flights after COVID-19 restrictions eased, but without enough staff to service them. Last week Qantas announced it would cut the number of flights in regional WA over the next month to manage the impact of COVID-19 on staffing levels. ABC Kimberley will deliver a wrap of the week's news, stories and photos every Tuesday. Sign up to stay connected. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
8,Number of tourists in ACT approaching pre-pandemic levels,travel-and-tourism-lifestyle-and-leisure," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
9,"Donna remembers the day South Bank opened. And she's still working there 30 years later, stripey uniform and all",travel-and-tourism-lifestyle-and-leisure,"  Brisbane's South Bank celebrates 30 years since its opening. And Donna Smith has been working there the whole time 1992. Wayne Goss was the premier. Jim Soorley was the lord mayor. Interest rates were falling. Billy Ray Cyrus's Achy Breaky Heart was topping the Australian charts. And at the South Bank Parklands, you could ride a boat. When it opened 30 years ago this week, thousands of balloons were released, colouring the sky above an excited crowd, in what an ABC News report at the time described as the biggest celebration since Expo 88. Donna Smith was there. She was 16 and working in her father's lolly shop, which opened at South Bank the same day. ""I remember it being extremely busy. And lots and lots of people coming in and out of the store and even lining up to get in. It was crazy,"" Ms Smith said. Three decades on, Ms Smith now owns and runs the business with her husband. They have kept things pretty much the same – even the striped uniform. ""We've done very minimal renovations to keep that magic alive. ""[People who visited as children] come in now and it still looks the same and they can't believe it's still here."" However, much has changed. Gone is the butterfly house and a tourist attraction called Gondwana Land in the original precinct. ""You'd pay an entry fee to go in and walk along the boardwalk. And there'd be all these different spots where you'd see a crocodile. And there'd be all sorts of native animals,"" Ms Smith said. As well as the man-made beach, there was an artificial canal, complete with boats. ""You could hop on it on one end and you could ride the boat right down to the other end of the parkland,"" she said. Research librarian Christina Ealing-Godbold, from the State Library of Queensland, said it felt like a theme park. ""I don't know why they decided to take it away, it could have been expense,"" Ms Ealing-Godbold said. ""But I do know there was a distinct feeling among Brisbane people these were very kitsch elements."" As part of a redevelopment from 1997 to 2001, the boat canal was replaced with a 1-kilometre-long bougainvillea lined arbour. Initially, people were up in arms about the arbour. ""Without the bougainvillea growing all over it, it looked quite weird. This strange metal structure being put through this parkland in the middle of our city,"" Ms Smith said. ""It's just incredible that there were so many people that didn't like the beginning, but now it's just incredible. ""I'm sure there's photos of people standing under it all over the world."" Following World Expo 88, the site was cleared, except for three heritage buildings. The Queensland government planned to sell the 17-hectare precinct for commercial development, according to the South Bank Corporation's website. ""There was some fear of that. How well-founded it was I'm not sure,"" Ms Ealing-Godbold said. In a 1988 newspaper article, then lord mayor Sallyanne Atkinson was quoted as saying the precinct could be used for ""prestigious apartments, showrooms, offices, public and private housing and entertainment along the river bank"". While she also told the paper the site should feature a ""continuous park network"", there were concerns about the space ending up in private hands. ""Brisbane people had so much loved having the expo site as a public space,"" Ms Ealing-Godbold said. ""I don't think they really wanted to see it go back to prestigious apartments. ""I think people were really frightened it might return to an industrial wasteland or an apartment slumland. They didn't want to lose it after it was used so wonderfully as a public place."" The late Sir Llew Edwards, a deputy premier in the Bjelke-Petersen Government and the Expo Authority chairman, outlined plans for a rainforest, concert areas and sculpture park to ""recapture the atmosphere of Expo"". In 1989, the government set up the South Bank Corporation to develop and manage the area. The South Bank Corporation's website says 6.3 million people visited in its first year. The renewal continued with the construction of the Queensland Conservatorium of Music, Griffith University, the Brisbane Convention and Exhibition Centre, as well as apartments and a hotel. Over the years, the parklands have endured natural and economic disaster. ""COVID stopped a lot of tourists,"" Ms Smith said. Major clean ups were needed after the 2011 and 2022 floods. ""A lot of the businesses are only just recovering from flood damage. ""[A whole strip] had no electricity for quite a while. ""The car park, of course, that got inundated again. ""We've certainly seen a lot of ups and downs. We've all been through a lot together at South Bank."" We offer tailored front pages for local audiences in each state and territory. Find out how to opt in for more Queensland news. South Bank's transformation continues, with the Neville Bonner Bridge now reaching halfway across the river. The pedestrian bridge will connect the parklands to the Queens Wharf development and is due to open in the first half of 2023. A new theatre is also under construction on Grey Street, at the eastern end of the Queensland Performing Arts Centre. It will have at least 1,500 seats and is scheduled to be finished by the end of the year. South Bank said the food precinct is being refurbished but tenancies are yet to be announced. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
