,topic,category,content
0,Environmental concerns over Woodside's WA gas project,environment," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
1,"Who are Blockade Australia, and why are some members facing charges that carry up to 10 years in prison?",environment," Science Who are Blockade Australia, and why are some members facing charges that carry up to 10 years in prison? Last Sunday, a property in Colo, north-west of Sydney, was raided by heavily armed police in dramatic fashion, with dogs and helicopters in tow. People on the property, some of them members of climate activist group Blockade Australia, say earlier that morning they stumbled across two armed individuals near their camp, dressed in camouflage gear and who refused to identify themselves. The two men, according to witnesses, jumped into an unmarked car and sped off, hitting two people in the process, but did not immediately get away. Police say the officers were surrounded by activists as they sheltered in their car, their tyres were damaged and they ""feared for their lives"". Police said seven men had been charged with offences including affray, assaulting or hindering police, and destroying or damaging property. So, what do we know about the incident, and what have recent changes to New South Wales' protest laws got to do with it? Blockade Australia describe themselves as an ""organising network"" established in response to Australia's failure to respond to the ""climate and ecological crises"". Their stated aim is to ""build a political movement that can physically resist Australia's planet-destroying operations with disruptive and targeted action"". Members have been previously linked to a series of protests, most recently in Sydney in May, when operations at Port Botany were disrupted, a freight train was scaled in Marrickville and a train line was blocked in Tempe. Up to 40 people were gathered at a bush property, about 80 kilometres from Sydney. According to Greg Rolles, who was present at the time, they were a ""loose network of people interested in a safe climate future"". About 8.30am on Sunday, a member of the group noticed two armed men dressed in camouflage on a ridge line above the camp. Mr Rolles says members of the group approached the two men and attempted to speak to them. However, they didn't move or respond to their questions. ""They were trying to act as if they were invisible,"" Mr Rolles says. ""Then they swung up and pushed my friend away and [one of them] pulled out a radio and said, 'we're compromised, we're compromised'."" At this stage, Mr Rolles says there was confusion in the group as they tried to work out who the men were. Recent reports of VicForests hiring private security to spy on protesters led the group to think that could be the case here, Mr Rolles says. The ABC can reveal VicForests hired a private investigator to conduct surveillance on conservationists and, more recently, conducted what some have called ""digital surveillance"" on people the agency argues are trying to ""discredit"" it. ""My instinct with the camo gear was that this is private security guards — that was my initial response. ""We even thought it could be some right-wing group who'd found out where we were. ""We were very scared about who these trespassers were on our property."" At 9am, according to a statement from Blockade Australia, a ""large black car sped down the driveway"" to the campsite, and the two officers in camouflage ran toward and entered the vehicle. The vehicle then ""tried to speed away, hitting two people"", Mr Rolles says. It was then surrounded by members of the group, who Mr Rolles says were trying to work out who the occupants were. People from the group tried to stop the car leaving, with some on the car's bonnet, according to Mr Rolles. Members of Blockade Australia asked the four occupants of the vehicle, which had no police markings, to identify themselves, but they refused, according to the Blockade Australia statement. Mr Rolles says the car then ""sped off"" again through a crowd, with people on the bonnet. ""I think it was a miracle no-one was killed."" Mr Rolles denies any suggestion that the vehicle's tyres were slashed, or tyre valves were removed. According to the group, about 100 police, including a dog squad, helicopters and uniformed officers, then descended on the property and arrests were made. Mr Rolles and the Blockade Australia group have made several claims against the police, including that later in the day a police officer urinated in front of a 14-year-old girl. The group also denies any use of violence. ""The police claim made on [Sunday] that officers experienced fear or felt threatened is disingenuous,"" the group's statement said. ""We were not the ones with the guns."" New South Wales Police referred questions from the ABC to a media release as ""a number of people are now before the courts, [they] are not in a position to provide more information at this stage."" ""About 8.30am yesterday (Sunday 19 June 2022), police were conducting planned investigations at a property on Putty Road, Colo, when they were approached by a group of people. ""Police will allege in court the officers were surrounded by a group of people and the tyres of an unmarked police vehicle were damaged, rendering it undriveable. ""Officers attached to Hawkesbury Police Area Command responded to the incident, as well as neighbouring commands and specialist resources including PolAir, the Dog Unit, the Public Order and Riot Squad, Police Rescue, Raptor Squad and Operations Support Group."" Speaking to the media on Sunday, Acting Assistant Commissioner Paul Dunstan said officers from Strikeforce Guard were ""conducting investigations"" in the Colo area that morning when they were ""approached by a group of people in near vicinity to a property in Colo Valley"". ""That group set about circling the police as they moved towards their vehicle, and they pushed, shoved, jostled police before they managed to enter the vehicle. ""The police fortunately managed to leave the area after a struggle and some time ensued. ""This activity will not be tolerated by the New South Wales Police Force. ""Those police that were attacked by that group this morning feared for their lives."" According to Acting Assistant Commissioner Dunstan, the NSW Police commenced Strikeforce Guard to ""prevent and disrupt further protest activity that would … disrupt the city in June this year"". On the Blockade Australia website, there is a call for people to join climate protests in Sydney between June 27 and July 2: ""Converge on Sydney from Monday June 27th to blockade the streets of Australia's most important political and economic centre and cause disruption that cannot be ignored. We will meet in the CBD to participate in mass, disruptive action."" In April this year, NSW parliament passed legislation, including fines of up to $22,000 and/or jail terms of up to two years, for protesting illegally on public roads, rail lines, tunnels, bridges, and industrial estates. That followed protests that disrupted operations around Sydney's Port Botany in March. NSW's Attorney-General says the laws will target ""anarchist protesters"", but The Greens say they undermine the right to peaceful protest. Of the seven people who faced court on Monday, at least one is facing a charge of planning to block traffic, according to their lawyer, Mark Davis from Sydney City Crime. ""The basis of that is he was seen [using] a whiteboard showing a road. He was one whose bail was refused."" The new laws are also likely to make some of Blockade Australia's planned protest action at the end of the month illegal. ""The sinister part of that new law is it's an offence to be on a road,"" Mr Davis says. ""People could [previously] march into town, for instance. Now they've made that new law — to be on the road — it's pretty extreme."" A number of human rights, civil liberties, and environment groups condemned the laws as draconian when they were introduced, and said they threatened the democratic process. ""The new, repressive measures in the Roads and Crimes Legislation Amendment Bill 2022 deliberately target protesters, threatening everyone from school children marching for climate action to anti-war protesters with up to two years in jail and a $22,000 fine,"" a statement from the Environmental Defenders Office said. ""A healthy environment and safe climate cannot be achieved in the absence of a robust and healthy democracy."" Want more science — plus health, environment, tech and more? Subscribe to our channel. But the most serious charges being faced by the seven stem from alleged incidents that occurred on the property on Sunday morning, with at least four people facing individual charges that carry a maximum sentence of 10 years in NSW, Mr Davis says. ""They're extremely serious charges,"" he says. ""Intimidation, assault of a police officer, affray — which is a particularly heavy charge, normally reserved for [things like] gang attacks on people — it's indictable and comes with a heavy prison term."" The youngest person facing affray is a 21-year-old woman from Brisbane. ""All of these charges are utterly absurd, not just on the facts of what happened, but on the circumstances,"" Mr Davis says. ""These officers did not identify themselves."" Mr Rolles says the right to protest is more important than ever. ""We're in the middle of a climate crisis and we need civil disobedience to help us have a safe future. ""Yesterday was an example of how the system that causes the climate crisis is going to protect itself."" Get all the latest science stories from across the ABC. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
2,Gondwana-era rainforest walk to draw ecotourists to Dorrigo National Park in $56-million investment ,environment,"  Dorrigo National Park investment to rival 'the Daintree' with $56 million Gondwana-era walk A four-day walking track featuring three suspension bridges over World Heritage-listed rainforest is set to put the New South Wales town of Dorrigo on the bucket list for ecotourists. Bellingen Shire Council Mayor Steve Allan said the entire Mid North Coast region had been buzzing since the state government announced the $56.4-million investment. It will include a 46-kilometre walking track, as well as walker's hut precincts, new camping areas, three suspension bridges and a new Arc Rainforest Centre. ""This is such a huge opportunity for Dorrigo and Bellingen Shire,"" Mr Allan said. ""It will not just create over 250 jobs, but will bring people from all over the world to visit our world class site. ""It's certainly going to put Dorrigo on the map."" National Parks and Wildlife Service Coffs Coast area manager Glenn Storrie said the project would be an opportunity for tourists to take a step back in time to the Jurassic period. ""Gondwana rainforest goes back to the time when we were part of this supercontinent,"" he said. ""We have living fossils that are part of this rainforest, massive trees, teeming waterfalls and so much wildlife. ""The experience will be like a moment back in time."" NSW National Parks injects $18 billion into the state economy annually, with 75 per cent of that economic benefit generated from regional areas. The state government hoped the project would attract an extra 200,000 domestic and international visitors to the region. ""We really wanted to create places where you can experience the rainforest, smell the cool mountain air and hear the birds,"" Mr Storrie said. ""It's vital for our mental wellbeing and we wanted to reflect that."" NSW Environment Minister James Griffin said the project was part of the largest ever capital investment program in the state's national parks. ""The rainforest at Dorrigo National Park is even more spectacular than the Daintree,"" he said. ""We'll be happily tempting domestic and international tourists away from Queensland."" The walk and new rainforest centre will also incorporate connection and education about the culture of the traditional custodians of the rainforests, the Gumbaynggirr people. ""This is about having people come to national parks as tourists, and leave as conservationists,"" Mr Griffin said. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
3,Biogas supply chain emissions found to be higher than fossil fuel equivalent,environment," Science Gas might be expensive, but biogas comes with its own hidden cost in methane emissions Compared to fossil fuels including natural gas, biogas — which is made from waste — is a cleaner, greener alternative. The International Energy Agency estimates that biogas (and biomethane) could meet up to 20 per cent of the world's gas requirements during the transition away from fossil fuels, and help us get closer to net zero. But a new study, published in the journal One Earth, claims emissions from biogas could be higher than we've been estimating, and there is significant work to be done to get its emissions down. The researchers looked at data from European biogas producers. They found the rate (not the total volume) of emissions along the biogas supply chain — from production through to supply — was comparable and generally higher than for natural gas, according to lead author Semra Bakkaloglu from the Imperial College London. ""The level of emissions was higher than we thought it would be,"" Dr Bakkaloglu said. ""At present, our results indicate [biogas emissions] are high — higher even than natural gas, which is clearly a worry."" It's important to point out here that even with high emissions along the supply chain, biogas is still the greener alternative to natural gas. That's because biogas is created out of waste that would have otherwise released emissions as it decomposed naturally. However, that's not to say that biogas is always climate neutral. To create biogas, you start with a feedstock, which might be, for instance, cattle manure or food scraps. That's broken down anaerobically by microorganisms. They create mostly methane and some carbon dioxide as by-products, which are captured as gas — but some of it escapes into the atmosphere. Compared to carbon dioxide, which is released during aerobic digestion, methane is a much more potent, albeit shorter-lived, greenhouse gas, according to Peter Ashman, a professor of chemical engineering at the University of Adelaide, who wasn't involved with the research. ""What they're highlighting here is important because if you take CO2 from the atmosphere and you emit it back into the atmosphere as methane, that methane has a much higher potency as a greenhouse gas than CO2,"" Professor Ashman said. Unlike biogas, the International Energy Agency has warned there can be no new coal, oil, or natural gas developments if the world is to reach net zero by 2050. The researchers argue that if we're going to use it as a transition fuel, we need to know biogas emissions for nations to accurately gauge their greenhouse gas footprints. ""If biomethane is to be used to achieve decarbonisation goals in future, biomethane supply chain emissions must be minimised,"" Dr Bakkaloglu said. ""We believe that with the proper design, detection, measurement, and repair techniques, much of the observed emissions can be avoided."" Once the gas is captured during the production of biogas, what's left of the feedstock at the end is what's known as digestate. According to the research, the greatest source of emissions along the biogas supply chain was at the digestate storage stage. The researchers found that methane emissions from digestate were up to 23 per cent higher than had been previously reported. The next highest source of emissions was found to be during the biogas production stage, mostly from the anaerobic digester. Professor Ashman said he wasn't shocked that supply-chain emissions might be higher from European biogas producers, as they lacked the scale and financial backing of most natural gas operators. ""That doesn't surprise me,"" he said. ""Some of these operations are pretty agricultural and they probably don't put much effort into capturing those emissions."" Want more science — plus health, environment, tech and more? Subscribe to our channel. The researchers said there was a silver lining to their work. First of all, they found there were ""super emitters"" — a few operations responsible for the vast majority of escaping methane. In this case, just 5 per cent of biogas producers were responsible for more than 60 per cent of all methane emitted. Dr Bakkaloglu said it was a similar case for the fossil fuel gas industry. ""Biomethane and biogas supply chains exhibit similar emissions characteristics to oil and natural gas, with super emitters present at all stages,"" she said. ""In natural gas supply chains, about 50 per cent of emissions are down to only about 5 per cent of sources."" For biogas, what that means is that targeting those few worst offenders can put a big dent in the overall greenhouse-gas footprint of the industry. And there are some fairly straightforward steps to plugging leaks in the supply chain. ""We do not want to discourage the production and use of biomethane,"" Dr Bakkaloglu said. ""Rather, we want to highlight those emissions and encourage people to take immediate action to tackle them. ""Biomethane is an important renewable source, but it has the potential to be even better."" Get all the latest science stories from across the ABC. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
4,"Millions of homes flooded, death toll rises in Bangladesh and India",environment,"  Dozens killed, armed forces deployed, millions displaced as floods hit Bangladesh and India At least 25 people have been killed, millions of homes flooded, transport links severed and people left marooned in low-lying parts of Bangladesh over the weekend, during the country's worst monsoon floods in recent history. In northeastern Sylhet, on the banks of the Surma River, thousands have been seeking shelter in temporary relief centres as flooding from swollen rivers has caused extensive damage to fields and property. Flights at Osmani International Airport in Sylhet were suspended and the Sylhet Sunamganj highway was flooded. Water levels in all major rivers across the country were rising, according to the flood forecasting and warning centre in Dhaka. Bangladesh has about 130 rivers. In the neighbouring Indian state of Assam, at least 17 people were killed during the wave of flooding that began this month, police officials said on Sunday, local time. Thousands of police officers and army personnel have been deployed to parts of the country to help search and rescue efforts. About 105,000 people have been evacuated so far, but police estimated that more than four million were still stranded. Syed Rafiqul Haque — a former ruling party politician in Bangladesh's Sunamganj district — said the country was facing a humanitarian crisis if proper rescue operations were not conducted. ""Almost the entire Sylhet-Sunamganj belt is under water, and millions of people are stranded,"" he said, adding that victims had no food or drinking water, and communication networks were down. Regional officials said about 3.1 million people were displaced, 200,000 of whom were staying in government-run makeshift shelters on raised embankments or on other high land. Last month, a pre-monsoon flash flood, triggered by a rush of water from upstream in India's northeastern states, hit Bangladesh's northern and northeastern regions, destroying crops and damaging homes and roads. The country was just starting to recover when fresh rains flooded the same areas again this week. Bangladesh, a nation of 160 million people, is low-lying and faces threats from natural disasters such as floods and cyclones, made worse by climate change. According to the United Nations' Intergovernmental Panel on Climate Change, about 17 per cent of people in Bangladesh would need to be relocated over the next decade or so if global warming persisted at the present rate. Reuters/AP We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
5,Remains found in Amazon search,environment," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
6,'Almost spiritual': Surf skier's close brush with curious humpback whales on migration,environment,"  Humpback whales have close brush with humans during migration along Bundaberg coast A surf skier has described the moment a humpback whale swam so close it could have scraped its barnacles off, as experts suspect the creatures are exploring more along the Queensland coast. Kevin Hill lives in Bargara, about 4.5 hours drive north of Brisbane, where the photographer and nature enthusiast has had two close encounters with whales in recent weeks. The first happened at the start of June, with Mr Hill capturing the moment on camera as one whale breached in front, and another swam within centimetres of his ski. ""I had got him as he flew up, he was about 50 metres away, close enough, you know, to hear the slap as it hit [the water],"" Mr Hill explained. ""As I was doing so one of the other whales came across in front of me, and just about scraped its barnacles on the front of my ski."" In the second close encounter this week, he said he was followed by a humpback whale as he paddled in his ski off Bargara Headlands. ""What I found is that they're very inquisitive. They know you're there and they just come around and want to have a look,"" he said. ""When they come up, you actually see their eyes… it's almost spiritual. ""I don't feel any fear with them. It's just an amazing experience."" An estimated 40,000 humpback whales migrate from Antarctica to breeding grounds in the Whitsundays between mid-June and October each year. Marine biologist Wally Franklin said the sightings were likely of juvenile whales. ""It's the early part of the migration and you're getting the younger whales up the east coast up past Fraser Island and into the reef area,"" he said. ""These young whales are curious and interactive."" Bundaberg is not as well known for whale spotting as places such as Hervey Bay or the Gold Coast, but an increase in the humpback whale population could be driving them to explore outside their usual waters. ""Over recent years with the increase in the population, they have been spreading out during this northern part of the migration,"" Mr Franklin said. ""That's reflective of the fact that you're getting the whales coming in earlier."" Mr Hill agreed they were becoming a more common sight off Bundaberg. ""There are more and they're coming earlier. And that's brilliant,"" he said. ""Once they give birth further up north and start coming back into Hervey Bay, we're going to have a treat."" ABC Wide Bay will deliver a wrap of the week's news, stories and photos every Thursday. Sign up here. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
7,"Endangered catfish get marooned in Sunraysia's irrigation channels, but it's illegal to help",environment," ABC Rural Endangered catfish get marooned in Sunraysia's irrigation channels, but it's illegal to help Many native fish, including endangered catfish, have been rescued from Sunraysia's irrigation channels in Victoria's north-west this winter, but what some of these fish's friends are doing is illegal. Each year, channel operators Lower Murray Water drain them to perform maintenance like repairing walls and clearing silt, but fish get stranded in small pools of water. Sixteen-year-old Deluca Taylor said in the past few weeks he had seen 30 catfish in the channels around Irymple, some alive and others dead. He keeps an eye out for catfish with nowhere to go. To help, concerned residents have been entering the irrigation channels to rescue the remaining catfish, taking them to other nearby waterways like Kings Billabong. But Deluca has discovered it is against the law. ""They're an endangered species and they should be in the rivers where they belong. They shouldn't be in water this shallow,"" Deluca said. ""Raise the waters again instead of having them shallow, and release them back to the wild where they came from."" Lower Murray Water discourages people from entering the channels. ""The channel banks can be slippery and awfully dangerous,"" said managing director Anthony Couroupis. ""They're made of hard surfaces so if you slip over and hit your head it could end poorly."" Instead, people who spot native fish in irrigation channels should contact Lower Murray Water or one of the agencies involved in fish rescues. OzFish Unlimited, the Victorian Fisheries Authority, Goulburn Broken Catchment Management Authority, North Central Catchment Management Authority, and the Arthur Rylah Institute rescued many native fish from the channels in May. ""We'll do as much as we can to try and protect those populations and work with those community groups and see what we can do,"" Mr Couroupis said. The fish now have new homes hundreds of kilometres from Mildura. ""One is a breeding facility at Snobs Creek, operated by the Victorian Fisheries Authority, where the fish will spawn the next generation of catfish and help save the species from extinction,""  Mr Couroupis said. ""The other location is Broken Creek, which is an important creek for the Yorta Yorta Indigenous community who are looking to bring catfish back to this stream."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
8,Kangaroo Island's dunnarts got hit hard by bushfires. Then the cats came,environment," Science Kangaroo Island's dunnarts were hit hard by bushfires. Now feral cats threaten them with extinction Kangaroo Island's endangered dunnarts took a huge hit after the Black Summer bushfires tore through 98 per cent of their habitat. Now researchers are fighting to stop feral cats from driving the final nail in the coffin for the survival of the species. A study of the stomach contents of cats trapped on the island in the months following the fires found the remains of eight dunnarts from the 86 cats sampled, according to a study published in Scientific Reports today. While eight may not sound like a huge number, a cat's digestion time is in the range of about 24 to 36 hours, according to study co-author Louis Lignereux from the University of Adelaide. ""We have to see that as a screenshot basically, because from the mouth of the cat to the other end takes about 24 hours,"" Dr Lignereux said. ""So eight dunnarts in seven cats doesn't sound like a lot, but it's a massive pressure."" Before the fires, the population of dunnart on the island was estimated to be around 500. However, because of their small size and shy nature, the animals are notoriously difficult to find, according to study lead author Pat Hodgens, a fauna ecologist with Terrain Ecology. ""They're a very cryptic species that are very difficult to study,"" Mr Hodgens said. ""Before the fires … not a lot was known about them."" A total of 263 different prey items were found in the cats' stomachs altogether, including an endangered southern brown bandicoot. While it was suspected, it had not been previously confirmed that cats were preying on the dunnarts, Mr Hodgens said. ""We know enough about feral cats and native mammals across Australia that any interaction they have is probably not going to be a positive one."" Based on that suspicion, Mr Hodgens moved in soon after the bushfires to try to capture and remove as many feral cats as possible from the only known dunnart habitats at the western end of the island. He said cats were also closing in on the area, in a situation he described as ""like a battleground"". ""Threatened species were trying to survive and also the feral cats were trying to survive because they couldn't get enough food [after the fires]. ""So we started trying to remove the feral cats [and] with the first analysis we did we were shocked. ""Not only were we finding [a lot of cats], but a very large proportion of the stomach contents had dunnarts in them."" The findings show how the devastating, cumulative impacts of extreme bushfires go on long after the blazes are put out, Dr Lignereux said. ""The cats that are already there, they're just killing the last remaining dunnart in the refuge areas after the fire."" Previous estimates of how many cats are on the island have ranged from about 1,000 up to about 5,000, but cat numbers are also difficult to assess. Based on what he found during his capturing efforts, Mr Hodgens thinks previous estimates were low. ""There was an estimate of between 1,000 and 2,000 cats, but we know that was an underestimate. On the western end they took out several hundred alone."" ""The number of cats we've been trapping has been staggering and they're in really good health as well."" As well as removing cats, Mr Hodgens worked with local private landholders, the Australian Wildlife Conservancy, and the Kangaroo Island Land for Wildlife to build a cat-exclusion enclosure over some of the remaining dunnart habitat after the fires. He thinks that has gone a long way to helping endangered species in the aftermath. The enclosure, known as the Western River Refuge, is a 369-hectare ""predator-free refuge"". Meanwhile, cat eradication programs have been operating on the island for years, and right now there are four projects happening in different areas. In 2016, the federal government introduced a plan to eradicate all feral cats from the island within 15 years. While that won't happen, James Smith, who is the project leader for feral cat eradication with the Kangaroo Island Landscape Board, says he thinks it's a long-term possibility. Mr Smith's operation had already removed cats from about 65 per cent of the Dudley Peninsula in the island's east, and he said they're on track to clear the entire 384 square-kilometre peninsula by 2025. Given the success of their operation, and with the fire having knocked out a large number of cats, he said it made sense to push for total eradication. ""So much work has been done, so much [of the cat population] has been knocked down by the fire, there's been so much work on the east and the west, so why don't we just keep going across the whole island?"" Mr Smith said. If they were to succeed, it would be the largest island in the world to have ever been cleared of cats. People on Lord Howe Island are trying to save their slice of paradise from a rat infestation, but a controversial eradication program has divided families and friends on the tiny outpost 600km off the NSW coast. But advances in cat monitoring and trapping technology means cat eradication is getting a lot less labour intensive. Rather than checking cage traps every day, alerts can be sent to a phone or computer once an animal becomes trapped. And motion-detection cameras can send an image straight to a mobile device as soon as a cat walks in front of the sensor. ""[Wiping out cats is] much more feasible than it was three years ago because of those advances,"" he said. ""You have to have a whole lot of weapons in your arsenal to make sure you get each one. ""The caveat is, it is [only] possible if people are going to throw money at it."" The biggest obstacle to getting a project like that running is having the public onside. When an ambitious rat eradication program was slated for Lord Howe Island off the coast of New South Wales, locals were fiercely divided. Many feared that poisons used to kill the rats would also kill the island's wildlife. But that's not an issue for Kangaroo Island, where Mr Smith estimates public support to be up around 99 per cent in favour of getting rid of feral cats. Want more science — plus health, environment, tech and more? Subscribe to our channel. Not only are they bad for native wildlife, but they spread sarcocystis and toxoplasmosis to sheep. ""They spread two diseases, which really hamper primary industry,"" Mr Smith said. Mr Hodgens was also in support of trying to eradicate cats and hoped to see a continued multi-pronged approach to conservation on the island, as some bushfire-relief funding was starting to dry up. ""It's great to have that goal. It would be amazing, it would be incredible, I think it's definitely worth a shot,"" he said. ""But in the meantime, it's still really important to continue that cat control in the threatened species habitat, and to not put all your eggs in the one eradication basket."" Get all the latest science stories from across the ABC. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
9,The 36kg drone planting tree pods,environment," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
