,topic,category,content
0,Keeping warm in winter while saving power: Can you pick fact from fiction?,house-and-home,"  Quiz: Can you pick fact from fiction when it comes to keeping warm in winter while still saving power? We've been urged to keep an eye on our electricity usage, which can be tricky during the chilly winter months. However, Energy Minister Chris Bowen says Australians don't need to sacrifice their heating in response to energy supply issues. Rather, he says, people can simply reduce their energy consumption by disconnecting things they're not using or that don't need to be turned on. See if you can tell fact from fiction with the following energy-saving information. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
1,"Giving up insurance, choosing meat-free meals and skipping breakfast: What Australians are doing to survive the cost-of-living crisis",house-and-home,"  Giving up insurance, choosing meat-free meals and skipping breakfast: What Australians are doing to survive the cost-of-living crisis Living on a houseboat comes with a few perks. Unlike his mates on the mainland, Arthur White isn't dealing with skyrocketing rental prices or anxiously anticipating interest rate hikes. There are some downsides too, though, like having to source your own electricity to boil a cup of tea. And life at sea hasn't been enough to shield the retired pensioner from the cost of living crisis engulfing Australia. Electricity supply issues hit a tipping point on the east coast last week, driven by the soaring cost of wholesale energy and high winter demand. There are now warnings the cost of household energy bills will balloon within weeks. But far away in the Gove Penisula, in the northeast corner of Arnhem Land in the Northern Territory, Arthur has already figured out a solution to his very own energy crisis. ""I generate my own electricity using solar panels during the day, and a small generator in the evening — in the past, that used about eight litres of petrol a night,"" he says, ""so you can imagine why my costs have gone through the roof"". When Russia's war in Ukraine triggered a global oil supply crunch, the 73-year-old found he was paying about $2.70 for a litre of petrol just to keep the lights on. Australians across the country have felt similar pain at the bowser, as fuel prices exceeded $2 a litre in capital cities last month. The spike meant Arthur was no longer able to afford the same groceries he usually could on his weekly pension of just over $500. With everything from mortgage rates to grocery prices and energy bills going up, more Australians are under financial pressure. We want to hear how it's impacting you. An answer to his problem came in the form of a $275 wind generator, which has reduced his fuel costs by about 60 per cent or $189 a fortnight. ""The good thing is at this time of year we get a fair bit of wind,"" he laughs. ""If I hadn't bought that, as the weather warms up again, I would have been at a point where I wouldn't be able to afford the food I need to sustain life."" Arthur's experience, while undoubtedly unique, is not an isolated one. Across cities, the regions, and even the sea, Australians from a variety of income levels are suddenly having to find new ways to keep costs down. While for some this looks like investing in renewable energy or starting a vegetable garden, for others it has meant going without basic necessities. ""I can imagine how bad it is for pensioners like myself living on shore, who pay rents, rates, electricity, and water,"" Arthur says. ""The way it's going now, I consider myself lucky."" Over the past few months, an unwelcome bounty of financial stresses have begun to stack on top of one another. During the pandemic, we got our first taste as thousands of workers suddenly found themselves out of a job. As Australia ushered in the new year, things were looking up with the end of lockdowns and the reopening of international borders. But that soon brought its own challenges; with migrants back in the country and rental vacancy rates at record lows, it didn't take long for rental prices to creep up. Soon came the pain at the bowser. With the war in Ukraine in full swing, petrol prices soared, adding further pressure to already cash-strapped families. Then, this month, the Reserve Bank increased interest rates by half a percentage point and warned that further rises were likely, leaving borrowers biting their nails. Philip Lowe has warned Australians they need to be prepared for substantial interest rate rises over the rest of this year, conceding he is not sure how high they might go. And now we have lettuces selling for more than $10 a head in some supermarkets, an inflation rate of 5.1 per cent that is only set to grow, and energy supply issues that could see household bills skyrocket. It's a lot to keep track of, and according to Edwina MacDonald, the acting chief executive of the Australian Council of Social Services (ACOSS), the result is nothing short of a ""crisis point"". ""We've got these converging crises — cost of living, increasing energy costs, a double whammy of COVID and flu season, and we're going into a really cold winter,"" she says. ""We know people are already struggling to just afford the basics, and with increasing inflation, it's only going to get worse."" In response, the Fair Work Commission last week announced a 5.2 per cent increase to the national minimum wage, bringing it slightly above inflation. In practice, this means an extra $40 a week for those on the lowest wages. But with the Reserve Bank governor Philip Lowe warning that inflation could hit 7 per cent by Christmas, many say it's only the tip of the iceberg of what's needed. ""What that decision is doing is addressing inflation and making sure people aren't falling behind,"" MacDonald says, ""but we certainly need to do more to improve the lives of people on low and modest incomes"". When looking at the load of financial pressures Australians are under, the obvious next question is what can households do to make it out the other side? The answer is different for everyone, given these pressures are not felt evenly across the community. ""People on low, fixed incomes often have much less ability to adapt to these cost of living increases in ways that don't cause them poverty,"" says Professor Roger Wilkins, an expert on socioeconomic disadvantage at the University of Melbourne. Long searches, skyrocketing prices and diminishing quality. Sydney's housing market is cutthroat, and desperate renters are paying the price. It's this group that have found themselves having to choose between paying their electricity bill and buying medication or buying petrol and being able to afford their rent. ""These are just unacceptable choices in a fundamentally wealthy country like Australia,"" MacDonald says. ""No one should be having to make a choice between really basic needs like that."" But when it comes to households with more room in the budget, there's a wide range of ways people typically respond to increased financial pressure. The first, Professor Wilkins says, is dipping into savings. But savings are ultimately finite, and for many the next step is reducing discretionary spending, whether that's giving up trips to the cinema or putting off buying that new washing machine that you kind of need, but not really. There's growing evidence, however, that people often treat items as discretionary that ""really shouldn't be"", Professor Wilkins says, such as opting to reduce insurance coverage or ditch it completely. ""And that then makes them much more exposed to risk, say you crash your car, then you can't afford to fix it, and that means you can't get to work,"" he says. ""Everything is interlinked, so everything is on the table of how people respond to it."" The above list of cost-cutting measures is all too familiar to John O’Driscoll, a father of two teenage boys from Melbourne's outer suburbs. After almost a year of unemployment due to a pandemic-induced redundancy in 2020 and with a new mortgage to pay for, he's found he and his wife's full-time incomes are no longer enough to keep up with their lifestyle. One of the first expenses to go was health insurance, a difficult decision for the 52-year-old. ""We're at the age when you want insurance, so it wasn't something you take lightly,"" he says. Since then, trips to the cinema, streaming subscriptions, and takeaway have all been stripped from the budget. In the kitchen, tofu has started popping up more regularly in place of meat, snacks in the pantry are scarce, and discount boxes of ""ugly"" vegetables are a staple. ""Where before I would go to the coffee shop a couple of times a week, we don't do that anymore — we just don't go out,"" he says. ""You keep getting rid of little bits and pieces."" John explains that his situation is not so bad compared to many others doing it tough — for now, he can still afford his fixed-term mortgage payments, his children's private schooling, and to put food on the table. But still, he says, it's like running just to stand still. ""At one stage, my pay seemed to be alright, we lived comfortably — but over the years, it just seemed like my wages didn't go up as the prices of things were constantly going up,"" he says. ""I've never felt the worry I feel now."" It's a similar story for Deanna, another new homeowner in Melbourne's outer suburbs, who did not wish to use her surname. The 29-year-old works full-time in a ""pretty stable job"" and her partner owns a small electrician business. But after breaking their budget to purchase a home a year ago, they're anxiously anticipating further interest rate rises. Industry groups are warning that consumers already battling surging costs are set to face more pain as the price of everything from food and flights to the weekend drive soars. ""We're stretched to our limit in terms of mortgage repayments,"" she says. ""And everything I am hearing and feeling with the cost of living and potentially interest rates going up in the future, I, like many other people, am trying to make cuts now."" On top of the usual tricks to reduce the cost of grocery shopping — buying from affordable farmers' markets and eating mostly plant-based meals — Deanna has quit her psychology sessions and cancelled her gym membership as a first step to getting ahead on their mortgage. ""On a good week when there were no extra expenses, then it was fine,"" she says. ""But when things come up, like my dog needs surgery, I need to cut back those expenses."" Like John, Deanna stresses that she's aware of her privileged position — that she does have expenses that can be eliminated without compromising basic needs — but says the added financial pressure is constantly front of mind. ""Looking at it from mortgage repayments, I think 'well what's going to happen if I'm on maternity leave, or trying to manage on one income', all those logistics that I've never had to think about before,"" she says. ""I don't think we're in a position right now where we're acutely financially stressed, but it's the anticipation of what's to come."" The reality of the situation is far different for millions of Australians who were living below the poverty line long before the cost of living crisis hit headlines. More than three million Australians are believed to be living below the relative poverty line, set at $457 per week for a single adult (equivalent to 50 per cent of the Australian median household income), according to a 2020 report by ACOSS and the University of New South Wales. The majority of these people rely on government welfare for their income. The current Job Seeker rate for unemployed Australians currently sits at $321 a week — below half the median income and the Henderson poverty line of $493 for a single person as of the December quarter. At OzHarvest food bank in Waterloo, in Sydney's inner suburbs, people in the line — many of them reliant on government support — are quick to list the ways it's become harder to survive in recent months. Max, who did not wish to use his surname, says he's been on Job Seeker since he was stood down from his job as a caterer at Sydney Airport during the pandemic. With two young children to support, who are with him in line, he's been relying on the food bank to save money for other expenses. ""Everything is getting more expensive,"" he says. ""Electricity bills, water, internet — my kids are going to school and need an internet connection, I can't say 'oh no, sorry, I don't have money to pay the monthly internet bill'."" He believes this is the ""hardest time in Australia for everyone"", describing conversations he's had with people at supermarkets, despairing at the cost of cucumbers. It's a perspective shared by Tim, a pensioner who describes OzHarvest as ""a life saver"". ""You go to Coles and Woolies, and broccoli is $7 — you've got to wait for weeks until it comes down to a reasonable price and then you might be able to buy it,"" the 71-year-old says. ""Each week, I go to Aldi, Woolies, and Coles to see what's the cheapest, and I've got a walking stick."" For Anna, a psychology student at the market for the first time, the cost of surviving is sometimes eating just one meal a day while she looks for casual work. With no end in sight for the current crisis, Professor Wilkins reiterates the serious consequences for people living on the poverty line. ""What it means is increased hardship, amongst a group that already face a lot of hardship, and when you get increased hardship you get increased stress, mental distress, family conflict, poorer health, and more suffering,"" he says. ""What it translates to is the lived experience of Australians, in some cases, being intolerable … People say money doesn't make you happy, but it's sure hard to be happy without money."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
2,"After losing their home to fire, this family is restoring an old homestead trucked in from 100 kilometres away",house-and-home,"  Fire-affected family brings 'grand old lady' back to life by restoring old homestead It was a day the Cooper family will never forget. Driving home during 2018 to their property in Tanamera, north-west of Longreach, they found their 60-year-old homestead burnt to the ground. The outback Queensland family had lost everything except what they had on them when they left the house that day, and had to completely rebuild from the ground up. But it was not a typical rebuild. Rather than build a new home, or buy a kit home, Sally and her husband Wally decided to move a homestead more than a century old from another property north of Winton, more than 100 kilometres away. ""We went and had a look,"" Sally said. ""When we first drove up, my husband said, 'Now Sally don't fall in love with this house'. ""But we drove up the back and just went, 'Oh my goodness' … and we did fall in love with it. ""The house was in amazing condition for its age … it just had the most beautiful high ceilings, and it was so solid."" After beginning their search in 2019, and living in dongas (temporary, transportable accommodation) in the meantime, it was not until April 2020 that the main structure of the house, minus the verandahs and the roof, was loaded onto a truck and moved to Tanamera. ""I've never seen such a process in my life,"" Sally said. ""They just pick this thing up, put it on a truck, and here it is."" During the process of moving and restoring the home, Sally found the original plans of the home, which was built in the late 1800s. She discovered the house's first location was at Charters Towers before it was moved to Aldingham Station, north of Winton. Sally said the home had come to ""her final resting place"" at Tanamera. ""We've kept some of the nails and things that came out,"" she said. ""They were all hand forged … I just couldn't get over how amazing it was."" It was a love of old homes that made them want to restore the ""grand old lady"", honouring its history while also making a home suitable for a modern family on the land. ""It's nice to recycle things and these beautiful old homes are so solid,"" Sally said. ""You can't build that kind of character. ""We wanted to keep the integrity of the house [and] we didn't want to chance anything. ""[But] we did want to modernise it and future-proof it, I suppose. ""It's just a really easy house to live in … it's just got that beautiful feel to it."" Having lived through almost a decade of drought on the cattle and goat station, the importance of a home is not lost on Sally. While it was not the main focus, or the priority, on a station, it was an important part of life on the land. ""There was such a beautiful garden around the house,"" Sally said. ""It does make such a difference ""Sometimes some of the things you're doing out in the paddock are horrible. ""It's nice to come back [to this]."" Looking at photos of the house when they first saw it, Sally said she could not quite believe how much it had transformed. ""But I'm pretty proud of us both. We put in a big effort,"" she said. ""Building a house is no small undertaking and I can tell you, I don't want to do it again, for a long time."" The house was still a work in progress, but Sally said they were happy to take their time to make it right. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
3,"In the Hobbit House, 86 types of wallpaper tell almost two centuries of stories",house-and-home,"  Hobbit House in Oatlands tells 160 years of stories through layers of historical wallpaper A convict-built cottage in Tasmania's Southern Midlands is slowly revealing 160 years of secrets through its many layers of historical wallpaper. The Hobbit House, as it is affectionately known by its owners, is an 1860s timber cottage built in Oatlands by convict James McDermott. McDermott was transported to Van Diemen's Land in 1850 for stealing a cow but was later pardoned and worked as a farm labourer in the Oatlands area. He and his wife Mary Ann and three sons lived at the cottage for 60 years between them. Wallpaper historian Alan Townsend said the cottage got its name due to its saggy walls. ""There are so many layers of wallpaper in this tiny little house that the ceilings sag in towards you so you feel like you're underground,"" Mr Townsend told Helen Shield on ABC Radio Hobart. He said the cottage was a time capsule and had layer after layer of wallpaper added — 86 different types altogether. ""Not only do you have about 160 years of people wallpapering it every two or three years, it's never been touched."" One room alone has 30 layers of wallpaper. ""Nearly 200 years later, they've gifted us this lovely archive of what colonial taste was like in the 1860s."" Smoke from the cottage's open fires would darken the wallpaper, which led to the occupants adding more over the top, Mr Townsend said. ""The other problem is, being a timber house you get a lot of drafts, and every year or two you'd re-paper and keep the drafts out … over time you end up with 30 layers."" He thinks the McDermotts probably acquired discounted off-cuts from local shops. The cottage's current owner invited Mr Townsend to collect some wallpaper when she was removing it — he wasn't sure what to expect, but arrived with conservation volunteers Linda Clarke and Karen Stott to find ute-loads of it. ""The place was just chock-a-block full of it,"" he said. ""We spotted straight away that some of the early layers were really, really interesting. ""One layer depicted a landscape filled with classical ruins like an MC Escher painting that could never exist in reality; somehow in the 1860s they thought it would make good wallpaper."" Oatlands is known to be a cold and windy town in winter. In an 1860s cottage the occupants would also cover cracks and gaps with old dress fabric, hessian, newspapers and even children's homework, Mr Townsend said. ""We've got 100 years of textile history,"" he said. Between 1864 and 1880 the McDermotts pasted their children's homework to the wall, which Mr Townsend initially thought was for practicality rather than display. Children were given a blank copy book, with each page containing a beautifully written line at the top; some of the lines reinforced moral messages from school. ""Your job was to copy that line 20 or 30 times on the page to end up with that beautiful copperplate handwriting that the 19th century is so famous for,"" he said. ""You see a real transition; the parents are convicts and are totally illiterate."" He said the McDermotts had signed official documents with an ""X"", meaning they could not read or write, ""whereas their kids are getting quite a good education in Oatlands in the 19th century"". ""I think that's why there's so much of their homework pasted to the wall because you've got really proud parents wanting to document what their kids are doing. ""We've found so much of this stuff and there's really only one conclusion to draw: it was the trophy room."" Mr Townsend also found a portion of a letter that was properly signed by James McDermott. ""We know he was illiterate; by the time the kids were old enough to read and write, the parents were using them to write letters for them."" Mr Townsend is writing a book that will tell some of Tasmania's social history discovered through wallpaper. When people looked back at Tasmania's colonial history, it was often a drab picture, he said, ""but if you were living here in the 1850s, you had access to the most amazing shops"". ""You could get pretty much anything you could get in the shops of London or Paris in the shops of Hobart,"" Mr Townsend said. A house in Evandale has bespoke French wallpaper from the 1800s in which the entire room was one individual piece of art depicting two royal families meeting in the deserts of Arabia. ""How on Earth did this end up in Tasmania?"" Initially, decorative wallpaper was for the rich only, Mr Townsend said. ""But then jump to the 1860s and you've got convicts buying it,"" he said. ""The reason is by the middle of the 19th century, you've got machine printing coming in and what used to be a luxury item was suddenly available to everyone."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
4,Sydney property market cools,house-and-home," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
5,"Mystery solved: Object that fell through family’s roof was bullet, according to gun expert ",house-and-home,"  Mystery object that fell through Gympie family's roof identified as a bullet The mystery surrounding an unidentified object that crashed through a Gympie family's roof last month may have been solved. The object fell through Tenika Lawther's roof and into their tiled floor, before landing in their baby's chair just after 7pm on May 4. Ms Lawther's five-month-old daughter Oceana Gardner had been sitting in the bouncer moments before the 3 centimetre object fell from the sky. Ms Lawther and partner Matthew Gardner posted pictures of the mystery fragment on social media and were inundated with suggestions it was everything from space junk and aviation debris. They even had offers from people wanting to buy the fragment. The Gympie mother told the ABC they now understand it was a bullet, after having it examined by a local gun expert. Ms Lawther said she was ""shocked"" by the outcome and believed it may have originated from someone shooting into the sky. The couple had initially contacted police who told them it was not a police matter. ""They said just get up and put a tarp over your roof and then you need to fix it and probably get compensated for it,"" she said. Ms Lawther said the couple weren't interested in further investigations and wanted to get on with fixing their home. Long-time Gympie gun shop owner Ron Owen examined the object and determined it was a bullet likely fired by a historical weapon. ""I first of all recognised it as a large cast lead projectile, which would have been used in muzzle loaders,"" he said. ""Or ancient firearms from the 1870s or 1880s."" Mr Owen said he has examined thousands of projectiles over the past 60 years and recognised the object by its shape. ""The firearms that use those projectiles, are usually muzzle loading black powder, or early cartridge guns,"" he said. ""They would have been at least a diameter of 0.577. ""We couldn't measure the diameter (of the object) because it had been squashed."" Mr Owen said there would be thousands of weapons or replica weapons in Queensland that could have been used to fire the projectile. He said he was happy to help solve the mystery for Ms Lawther and her family. ""I could show her the undeformed lead projectiles that we had in the museum, so she could recognise the lube rings on it,"" Mr Owen said. ""And she could see the rifling marks on the outside of it that had not been squashed."" As to how it crashed with such force through the ceiling, Mr Owen said that was due to the gravity of the bullet after being shot into the air. ""It was a surprise as to how it came through the lady's ceiling,"" he said. ""It comes down at 32 feet per second, you know, it's gravity. ""I wouldn't like that to fall on my head, no."" He has encouraged gun owners to consider their surroundings before firing shots into the air. ""I would advise people to not fire directly up into the air too close to town,"" he said. ABC Sunshine Coast will deliver a wrap of the week's news, stories and photos every Wednesday. Sign up to stay connected. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
6,Five years after deadly Grenfell Tower blaze ACT government accused of dragging feet on combustible cladding,house-and-home," We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
7,Brisbane 2011 flood victims to receive full $450 million payout by early 2023 ,house-and-home,"  Brisbane 2011 flood class action win of $450 million to be distributed by early 2023 Victims of the 2011 Brisbane floods have started receiving part of the $450 million settlement won in a class action against dam operator SunWater and the state of Queensland. In November 2019, the Supreme Court in New South Wales found flood engineers operating the Wivenhoe and Somerset Dams in Queensland were negligent and failed to follow the manual they had helped draft. While the court ruled in favour of the negligence claim against the Queensland government of the day, as well as Seqwater and SunWater, other aspects of the case failed. The class action alleged the dam operators failed to follow their own manual and did not make enough room for heavy rainfall until it was too late, heightening flood levels and damaging more properties. Maurice Blackburn lawyer Rebecca Gilsenan told ABC Radio Brisbane's Steve Austin some of the almost 7,000 claimants had received an interim payment. She said the total payout would not be distributed until all legal matters associated with the case were finalised. That could take until the end of this year or early 2023. ""We are releasing partial payments now so people can get something,"" Ms Gilsenan said. ""We've paid about 300 people so far and we are paying on a rolling basis — when people accept their loss assessment, we can pay them."" Maurice Blackburn developed a settlement scheme which informed how the money would be distributed among the claimants and took into account their location and the damage sustained. Ms Gilsenan said most people accepted their assessment and wanted to ""move through the process"". ""There are a small number of people who have appealed and asked us to look at that assessment again and we've done that,"" she said. ""They're only ever going to get half of what they lost, at most, because we only settled half the case, half the case we lost, so I can understand why some people are angry. ""But more than 95 per cent understand and accept what's being allocated."" Describing the initial payouts as a ""conservative amount"", Ms Gilsenan said most were valued at just several thousand dollars. She acknowledged the decade-long legal process was too long and left victims without a sense of closure for many years. Ms Gilsenan said some insurers were entitled to a payout as well. Once you're aware of the risks from disasters, you can plan for them — and it can help mitigate some of the impacts. She said some members of the class action were brought in by their insurers who wanted to recoup money they had paid out. ""Like individuals, insurers paid out in a instance where there was a wrongdoer who ended up settling, so they're entitled to a portion of that as well,"" Ms Gilsenan said. ""A bit less than half of the money will go to insurers. There's no disputing the fact a huge amount of money was paid out by them. ""If you've got a house and a car and both of those were significantly damaged in the floods, and your car might not have comprehensive insurance but your house does ... sometimes we've got claims brought by the group member and the insurer together for both of the parts they've footed the bill for."" Lynette Lynch's Fernvale home flooded to the ceiling in 2011 and she lost everything. She described the end of the court battle as a relief. ""We are finally getting closure on all of this and it won't be in the back of our mind so much. It's been very stressful and for so many people it's been awful,"" Ms Lynch said. ""We never got paid by our insurer. We took it to the ombudsman and even then you only get a percentage of your claim. ""The amount [from Maurice Blackburn] was nowhere close to recouping our losses. But we got more going through a class action than we would have individually."" Since the inundation, Ms Lynch said she could only afford insurance premiums if she underinsured her home. ""It was a brick exterior, the brick stayed there, but it had to be Gernied [high water-pressure cleaned] and Gernied and Gernied,"" she said. ""The walls and the doors had to be removed and we had to slowly rebuild. I had a cottage out the back of my home so it was a double rebuild. ""It felt bittersweet because I had to use cheaper materials to rebuild the house. I had to cut back on the cost because I just couldn't afford it."" The flood event may have been 11 years ago now but Ms Lynch said some people would ""never get past it"". ""Some people suffer really badly,"" she said. ""They just relive that day over and over, and when they got back in their homes all their possessions were destroyed. The loss is too great. Search any location in Australia to find nearby active incidents Stay up-to-date with local coverage on ABC Radio, the emergency broadcaster We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
8,Andrew Forrest scoops up prime WA land for major residential development,house-and-home,"  Andrew Forrest scoops up prime land in Binningup for major residential development Mining billionaire Andrew Forrest has bought a parcel of coastal land at Binningup for residential development. The Forrest family's property development company, Fiveight, confirmed the deal which includes 260 hectares of land and 2.2 kilometres of beach frontage. The company said it would ""reactivate"" the coastal site, and a key priority was to re-open the nine-hole golf course. Fiveight boss John Meredith said a series of community consultations with stakeholders and interested parties would ""move the discussion forward"". ""We know that demand for quality housing is on the rise, and will only become more vital, as the area grows and develops,"" Mr Meredith said. ""Although this project has a long horizon, we are committed to working closely with residents and community organisations to develop a sustainable, long-term plan for the site, one that will create a vibrant, socially connected local community that people will be proud to call home."" A purchase price was not disclosed, however Mr Meredith said ""the size of the purchase was probably going to be dwarfed by the scale of the investment"", which he estimated would double the size of the current town site. ""We would anticipate that the future of Binningup really does deliver on new opportunities,"" Mr Meredith said. ""While Binningup itself is quite a sleepy, seaside village, it has had plans in place for development for well over a decade. ""The unfortunate thing is the promises of the past have never really been delivered on."" Shire of Harvey president Paul Gillett said the council was supportive of the proposed development despite the planning being in ""the early stages"""" As lithium prices surge, US chemicals company Albemarle is considering a major expansion of its refinery south of Perth, with plans for a 1,000-bed capacity workers' village at Binningup. It follows another recent announcement by US chemicals company Albemarle, which is considering a major expansion of its refinery 200 kilometres south of Perth. It has plans for a 1,000-bed capacity workers' village in Binningup. Albemarle is weeks away from first production of battery-grade lithium hydroxide at its Kemerton plant, just north of Bunbury. Mr Gillett said he understood concerns the development could lead to price hikes for existing homes as evidenced by nearby tourist towns of Dunsborough and Margaret River to the south. ""Hopefully it won't spoil that parcel of land through Binningup, it is magnificent,"" Mr Gillett said. ""It was one of the best kept secrets in WA. Now that the secret is out, maybe a few more people can come down and appreciate what a wonderful place it is."" ABC Great Southern will deliver a wrap of the week's news, stories and photos every Thursday. Sign up here. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
9,Here's what you'll need to properly remove mould,house-and-home,"  What's the best way to remove mould? We asked an expert Cruel mistress La Niña ensured large parts of Queensland and New South Wales were drenched with water over the summer and autumn and, according to the BOM, the wet weather is likely to continue into winter. The relentless moistness has ensured that even people in homes and businesses not devastated by flooding are now battling a serious mould and mildew problems. For those not used to dealing with rampant fungi, it's proving tough to get rid of, with tips flying all over social media about the best methods. Lisa Bentley — of Lisa's Eco Cleaning on Brisbane's westside — has been gathering tips on the best way to remove mould for 17 years. Through extensive research and experimentation, this is the effective formula she's come up with. Ms Bentley says clove oil is key to killing the mould spores. (But it can be toxic to humans and pets, so don't ingest!) Studies have shown bleach can kill mould on hard surfaces like tiles, but Queensland Health says it may not be effective in removing it from porous surfaces. A Queensland Health fact sheet says: ""Household cleaning agents or detergents can do an effective job if used correctly."" She says this technique will work on most surfaces, excluding limestone or marble: Prevention is always better than cure, of course, but sometimes that's easier said than done. Removing the dampness and humidity is the key to stopping mould, as it needs moisture and nutrients to grow. Read more tips on how to mould-proof your home here. The Queensland government website says to take precautions when cleaning mould, as it can be dangerous to breathe in. It suggests you ""obtain personal protective equipment, including half-face disposable respirators with P1 or P2 filters, to avoid inhaling mould spores when cleaning. ""You’ll find these at hardware stores."" It also says to place drop sheets on the floor and to make sure others are not around while you clean, if they don't need to be. They say not to put dirty clothes back into your cleaning solution, and ""always use a different cloth with each process and throw them away after, or the mould spores will spread and mould will reappear"". Queensland Health has a few different suggestions: Products like clove oil and white vinegar can be tricky to find at the moment, with so many people battling mould problems. Clove oil — which one retailer described as ""like liquid gold at the moment"" — can be found, when available, at some chemists, health food and organic shops or through online retailers. Editor's note (31/5): This article was updated to state that studies have shown bleach can kill mould in some circumstances. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
