,topic,category,content
0,News,news-society,
1,Children for Adoption - What’s the Difference Between Adopting a Child and Sponsoring a Child?,news-society," Kind-hearted people confronted with photographs of needy children in the world’s poorest countries sometimes ask, ""Is adoption the answer?"" Celebrities such as Angelina Jolie and Madonna have, after all, adopted several children from developing countries. They are bringing these children up a world away from their poverty-stricken beginnings. Adoption is a huge undertaking. Even when it involves children from within the United States, it means complete life changes for both the adopter and adoptee. The child becomes part of the family forever, with all the joys and responsibilities that brings. Children available for adoption overseas present more challenges, such as  legal and financial obstacles. The new parents are aware that the adopted child is leaving his or her community, culture and heritage far behind. Sensitive adjustments are needed to make the transition a happy one. Overseas adoption can certainly be worth the effort. But adopting a child, particularly one from a far-off country, is a serious and lifelong commitment. Would-be adopters are truly compassionate. They want to help children who are barely surviving in the poorest regions of Africa, Asia and Central and South America. So many of these children are malnourished and lack even the basics such as clean water or adequate shelter. They have never had medicines or health care and may never be educated. There is, though, a simpler way to help a child in need. It is not as complex as adoption, but it will still transform a child’s life forever. That way is through child sponsorship. So what’s the difference between adopting a child and sponsoring a child? By paying just a few dollars a month, a sponsor ensures that the sponsored child is supplied with: •	food and clean water •	safe shelter •	medical checkups including immunizations •	educational opportunities •	life-skills training Many charities that offer sponsorship programs also provide Christian teaching and support as well as practical help. Children learn about God’s love and see how it alters their existence for all time. With the support of a sponsor, a child usually can stay within his or her community and country. The difference is that there is real hope for the future. A child who is properly nourished, educated and trained in different skills can grow up to lead a purposeful life. Instead of continuing in a downward spiral of poverty and ignorance, the sponsored child can be a force for good. He or she could even train to be a doctor or teacher, and help others in turn. A sponsor is linked to one particular child from the start. The two get to know one another through exchanging letters and photographs. Sponsored children treasure the fact that someone far away cares for them. They love to know about their sponsor, and to share information about their very different lives. Over the months and years a real and rewarding closeness develops. Some sponsors even travel to meet their child and build even stronger links with them. Both adopting and sponsoring a child involves building a long-term loving relationship. The important aim is to bring the most effective help to a child in need."
2,The Struggle To Save Money And The Death Of Christmas,news-society," It started in 2009, or at least that is when I first noticed it: the first real clear signs of the death of Christmas. ""Christmas"" is an institution that has been around forever. It means different things to different people. Whether it be a religious event, a commercial event, or both to people, it is something that happens every year, without exception, and it requires one to spend money on gifts for family and friends. Christmas is part of Life. Well, it has been … until now. It may not be fair to say it started with the coming of the 21st Century, but definitely since the start of this century, the world has changed and is changing dramatically. The first major turn of events was September 11, 2001. The World would never be the same again. A new low was reached for Mankind again in September, 2008, with the crash of the US Economy and the resultant domino effect on the rest of the economies of the world. Since then, Life has become tougher than ever before for many more people. The 21st Century could have been a great opportunity for Mankind. It could have been the start of a new renaissance. Instead we are seeing the continuing destruction of Ethics and Morals, and the accelerated poisoning of the concepts of ""right"" and ""wrong"" and a new Generation of young people who know nothing other than these ""new"" anarchistic, and chaotic ""anything goes"" concepts and whom will be our future world leaders. Babylon and Rome all over again! In 2009, here in Australia, Christmas was almost a non-event. Yes, there were still all the TV ads and the pamphlets and fliers in our letterboxes promoting all the ""specials"" but Christmas was so far from people’s minds being replaced instead by an impending sense of doom and gloom brought about by the instability of the ""global economic downturn"", then into its second year, and the ongoing backdrop of the senseless ""War on Terror"" joke, going into it’s 8th year, and still continuing to wear people down! People stopped buying and if they did, they were not spending the money they would have been expected to spend. This was the first signs of the demise of the financial side of the ""Christmas Spirit"" in Australia. In 2010, the same thing has happened, although only worse. We see the TV ads, we get the pamphlets, but the shopping malls are empty, and the shops are not even open late this year! Christmas is on the demise. For Merchandisers and the whole Retail industry this situation is a RED ALERT. For most merchandisers, Christmas is ""the time when you make your money."" If you don’t have a good Christmas, you may as well, shut up shop. That has always been one of the fundamentals of Retail in Australia (and probably the rest of the world too, I would expect!) The remainder of the year is a series of usually predictable ups and downs, but overall a treading water scenario until the next Christmas. The Retail Industry DEPENDS on Christmas to survive. So, no Christmas? What does that mean? It means the demise of the Retail Industry. Why is Christmas dying? People are not spending money. People are more concerned with their struggle to SAVE money in terrible economic times. This concern has become senior to anything else, including the ""peace and good will to all Men"" at Christmas time. To the man and woman living in 2010, anything that encourages SAVING is welcomed. To the man and woman living in 2010, anything that encourages non essential SPENDING is off the agenda. Christmas is always a time of spending. That spending has to be reigned in. The world has changed. The 21st Century marks the continuance decline of Mankind. The Renaissance never came. Kill Christmas and you kill Retail. Kill Retail, and you just create more tough times, more bankruptcy, more unemployment, more dissatisfaction, more conflict, more desperation and more crime. It snowballs and snowballs. And it has already been snowballing since the turn of this century. Empty shopping malls at Christmas, no one talking Christmas up, people making agreements to not give each other gifts this Christmas – these things are all the signs that the death of Christmas is near. Until the world economy recovers (if it ever will) and CONFIDENCE is restored in the minds of the people of societies we have nothing but black clouds on the horizon. Buy now while you still can. Some of those products you are looking at now won’t be there in 2011!"
3,How To Find People Again This Holiday Season,news-society," Elvis might have said it best. The crooner lamented that he would have a blue Christmas without his special someone nearby. It’s true. Even Elvis needed his loved ones around to be merry. The holidays are always better when they’re spent with family and friends. Are you missing anyone this holiday season? Sharing The Holidays We all think about people from our past during the holidays. Family, friends, former classmates and anyone else who touched our lives. We think about them throughout the year, but never more than during the holiday season. The holidays are meant to be shared with people we love. People who make this season a time of true peace and happiness. Without them around, we do tend to feel a little blue. Find People This December People drift apart. It happens to all of us, despite our best intentions. Our lives move at such a fast pace. Sometimes years seem to pass in the blink of an eye. Just like that, we’ve lost touch with someone important. Perhaps it’s been so long that you don’t even know what happened to the other person. It’s not too late. You can find them again. To find people this December, visit PeopleFinders.com. Use the people search service to find people by name, phone number, address or most any information you know. You’ll get everything you need to reconnect with people from your past. It’s the perfect gift. And just in time for the holidays. Start Your Own Holiday Tradition After you reconnect, start your own holiday traditions. Perhaps an annual holiday card, phone call or visit. This can be the start of something amazing. The people you find may also be inspired to look up their long lost family and friends. It’s a simple way to brighten the world by making it a little more connected. So are you missing someone this holiday season? Then give a gift that brings joy to everyone. Find them again, and share your holidays together."
4,Strained Pressure of Anti-Smoking Law,news-society," This was stressed at an orientation aimed at guarantee effective implementation of anti-smoking laws, organized by The Network for Consumer Protection on Monday. On the occasion, Dr Arif Azad, executive coordinator of The Networks, Murtaza Solangi, director general of Pakistan Broadcasting Corporation (PBC), Dr Anwar Raffay, advocacy and research coordinator The Network, Afzal Butt president National Press Club, and media persons from print and electronic media were present. Participants stressed that drastic measures needed be taken for the implementation of anti-tobacco laws to make Islamabad a smoking-free city. They asked the Ministry of Health to make a comprehensive plan to check violations of anti-tobacco rules. Participants said that the majority of government offices were violating anti-smoking laws as one could find even high government officials smoking in their offices. They called for urgently monitoring and punishing people violating this law. ""Though printing pictorial health warnings on cigarette packs is a great achievement by anti-tobacco advocates, implementation of anti-smoking laws is still an uphill task,"" said Dr Azad. He said that there were about 22-25 million smokers in the country and every year 247 people die of tobacco-related diseases daily. ""The sale of cigarettes to children under 18 and smoking in public places continues unchecked due to our feeble law implementation machinery,"" he maintained. Dr Azad further said that even retailers sold cigarette packs with stickers of their shops pasted on pictorial health warnings, but there was nobody to take action against them. He said it was unfortunate that this practice was continuing in Islamabad, where the law implementation machinery was relatively stronger. Dr Raffay said that at least 25 per cent of deaths in the country occurred due to tobacco-related disease such as heart attacks, cancer and chronic respiratory conditions,"" he added. Participants also accused the government of being ""negligent"" towards the increasing trend of Sheesha among youngsters. They termed it a serious public health issue. They said that students were increasing tobacco consumption of the product because they were unaware of its harmful effects. They criticized the Capital Development Authority (CDA) for allowing the sale of Sheesha at various food markets and commercial hubs. ""Sheesha is more hazardous to health then cheap cigarette as its 30 puffs are equal to four cigarettes and the smoke produced from a single pipe contains nicotine approximately to 20 cigarettes,"" said Dr Raffay. According to a study conducted by the World Health Organization, however, an individual must smoke Sheesha for 45 minutes to consume 1.7 times the nicotine of a smoker. Raffay further claimed that many Sheesha cafés use unhygienic conditions where people from ‘all backgrounds’ use the same pipe. ""This could become a cause of other diseases such as tuberculoses (TB) or mouth infections,"" he maintained. On the other hand, Zaffar Rahim, owner of a local Café that also provides Sheesha, said, ""We provide disposable mouth pieces to all our costumers and I’ve seen all other Café’s in Islamabad do the same."" Dr Azad said that it was difficult to discourage Sheesha trend in the country as it had become part of people’s lifestyle and was considered a fashion statement. Marketing Manager World Technology Network 2013 H Street, NY, 10001, USA 559-4812 http://www.tobaccoandcigarettes.com/"
5,Audio Visual Installation,news-society," Audio visual installation at an event venue could be difficult, especially if you have a limited budget. However, it is not a wise idea to compromise with quality, as this is what the success of your event depends greatly on. There are ways in which you can lower your cost without compromising on quality. Tips to Lowering Your Audio Visual Installation Costs Following are a few tips to help you impress your clients. •	Consult experts: AV systems on hire are the best choice if you are planning on containing costs. Consult experts about your situation. Rentals that cater to small budgets will definitely have something that fits within your budget. •	Be choosy: A large budget gives you the luxury of hiring professionals to take care of all details of the audio visual installation and operation. When on a tight budget, identify what you can do without. •	PA system options: If you have a band playing at your event, you need to know details of the equipment in their possession already and what else you need to get to complete the setup. The band could have brought its own PA system, but you may still have to provide for the audio visual installation at the event site. •	Knowing the event to install the lighting: The event management company needs to be clear about whether your event requires specialised lighting. A proper stage lighting rig could be expensive in contrast to automatic lighting like dizzies which are cheaper and easier to use. They just need you to press the switch once they are set up. •	Projectors for cheap display of audio visuals: Projectors rigged to a DVD player are perhaps the cheapest way to display quality audio visual images. •	Use a PA system: Find out if the venue you are using for your event has a PA system. If they do, use it for the background music as well as live bands and any other sound requirement at the event. •	Choose a playlist over a DJ: An unfortunate choice to make. While a DJ is any day a better option, given he/she can tweak the music to the mood of the audience, play list is the option for you when you are on a tight budget. What You Should Know About Audio Visual Installation While your budget may be pulling you in all directions, what you should be looking at is value for money rather than a pure minimisation of costs. For this, it is essential that you understand the four fundamental factors that you need to get right for any audio visual installation. The first of these is clarity, which is critical for audio visual presentations. You can cut costs on audio visual installation by not hiring technicians, but it is well worth spending a little more on good AV systems in this category. The second factor is simplicity. Make sure that the AV equipment is easy to operate. The third is reliability. Look up reviews of the system that you are considering to avoid losing connection during the event. The fourth factor is realism. You need to ensure that the overall effect created by the audio visual installation is that of people participating together and feeling no barriers even if they are separated by distance. Planning any event is not easy and you can find an event management company even on a small budget. Smart thinking and a good understanding of your needs will help you the most in this matter. The ultimate aim is to hire AV systems and get technical support without emptying your coffers or sacrificing the success of your event."
6,Cell Phone Directory Services Online,news-society," Cell phone directory services can be of great help. They can help you find out numbers of anyone on this earth. We don't mean it literally, but there are over 1 billion records and you are sure to find the number. If you have tried all the other mediums for searching someone, then this could be your last resort. Reverse lookup can help you search long lost friends, important business associates, your high school classmates, an old neighbor or your colleague from the previous organization. All you need is the name of the person and the state. Your search can be refined further if you have the full name. Looking up for database online is very convenient. It is just a click away. Moreover, the search results are displayed within two minutes. This means that, there is no waiting time. You can instantly access the number of that special someone or that important business delegate. Sometimes, it is hard to find contact details through social networking sites. At such times, cell phone directory can come to your rescue. When you use this phone number lookup service, you can enjoy several benefits. There are many features that will surely impress you. Read on to learn more about these features. Features In order to enjoy the features, you got to become a member of this service. It is possible with a simple registration process and a nominal fee. The registration will bequeath you with plenty of benefits. Take a look at the services that you can enjoy through this cell phone directory look up. Unrestricted Access to all your Search results Instant Lookups and Printable Reports Data from Public & Private sources Over 1 Billion Records at your Fingertips One Stop-Shop for all your Information Expert Assisted Customer Support Easy-to-use and User-friendly search process Sophisticated Cross-Database searches There are one time billing packages and there are no hidden charges. You will be billed a flat fee for one time. There are no additional charges. What's more? You can make the payment for this service with a credit card. The website has a secured server that processes credit card payments safely. The billing is discreet and there is no risk factor. Cell phone directory look up service provider accepts all major credit cards. You can enjoy unlimited searches once you avail a package that suits your needs. Typically, an unlimited search for reverse lookup may include basic background searches, people searches by name, people searches by phone, people searches by address, relative searches, business search by name and phone, reverse IP search, census search and property records search. There are different packages like Full search result access plus one year unlimited search pass. The other type of search includes full search results access for one time. You could top up this service with one year of unlimited criminal records searches. It will enable you to search over 300 million Criminal Records which include misdemeanors ,arrest records, felonies, police files, sex offender records, inmate records, convictions, incarcerations, DWI's, and other court documents. Cell phone directory is your best bet when you want to look up for contact details."
7,Leonardo DiCpario A Leading Ambassador for the Environment.,news-society," The American actor Leonardo DiCaprio may be well known for his leading male roles within his Hollywood movies and his handsome appearance; however Leonardo DiCaprio is an avid activist and ambassador for environmental concerns. The Leonardo Foundation was established in 1998 and raises awareness of environmental issues by participation with organisations such as the Natural Resources Defence Council,  is on the board of trustees; Global green USA, where he serves as a board member, and  the international Fund for Animal Welfare, where he is on the honorary board of directors. The website for the foundation has allowed for a wider outreach and also helps promote current environmental campaigns such as ""the world wide movement to eliminate the use of plastic bags"" and more recently the Tiger Summit in Russia as covered by Just4theplanet recently. DiCaprio has donated US$1 million to the World Wildlife Fund (WWF) in a bid to save wild tigers from extinction.  As covered in our recent report there are fewer than 3,200 tigers left in the wild with a prediction of extinction within 12 years if something is not done now. ""If we don’t take action now"" said DiCaprio, ""one of the most iconic animals on our planet could be gone in just a few decades."" In 2001 Leonardo DiCaprio Foundation as an ambassador for the environment and conservation, was honoured by Environment Now, and in 2008 the Foundation joined the California Community Foundation and is known as the Leonardo DiCaprio Fund at CCF. Leonardo was honoured as an environmental ambassador when TAG Heuer celebrated 150 years in Basel, Switzerland.  At the event he commended TAG Heuer as an organisation who was moving to help save the planet.  It is apparent during his speech at the event that he is passionate about his environmental beliefs.  We urge readers to take five minutes to click on the video below and listen to what this wonderful ambassador has to say. Whilst we have prominent celebrities such as Leonardo, and political leaders such as Mr. Putin in Russia, news platforms such as Just4theplanet, companies such as TAG Heuer, and an abundance of charitable organisations bringing the needs of our planet to the forefront of peoples mind set; we just may have a chance. Follow us on Twitter @ Just4theplanet1"
8,The Best Emergency Power Systems,news-society," There are speculations more than ever about wars, famines and world governments of some sorts.  This is a reason to be prepared because you and I do not know exactly what and how they will do this, but we know that we should be prepared to a certain degree.  We should always resist their efforts to try to multilate us and if you are interested in freedom, then it would be a good idea to learn more about this.  Of course my first recommendation is prayer and then use what we have, which is our brains and wisdom and get prepared.  That is why buying the best emergency survival kits is the best investment for our families and ourselves. In this post, we will discuss some of the best emergency gear to buy.  If you have had concerned about issues like world domination and the energy grid being controlled and want to get prepared, then listen up.  I do not mean to scare everyone, but I do mean to grab your attention.  Emergency gear is not just something to take lightly.  You might depend on this supplies to keep your food hot, your water filtered and your cell phones powered. The first piece of equipment we will discuss is water filteration.  Having water filters will be able to help you keep your water clean without having to use the tap water.  Not to mention that most of the water has been diseased with so much fluoride that it can cause damage to your pineal gland.  It also can cause cancer.  Yet there are still dental assistants that think that you would have to drink a whole tube of fluoride in order for it to effect you.  Hello, what do you think is happening when you do it over a long period of time, like 1-40 years.  That is about 2 if not 4 tubes of fluoride that is being consumed.  Also, if you plan on purchasing water filters, make sure you get portable bleach tablets.  This water will be able to take water from the ground, filter out the dirt, then drop the tablets in and drink. There are some other way like boiling and then dropping in bleach tablets.  Then other people purchase water in bottles and keep 72 to 148 packs in their safety room.  Whatever you decide, having clean water is essential to living. Another very good piece of emergency gear is having portable solar power.  Buying solar power for emergencies will help to keep your electronics, heaters, ac unit, blenders and many more items charged up.  A small hot plate for example would be able to keep your food hot and help in boiling water as well. Some of the popular solar emergency equipment include the Base Camp Solar Kit and Sherpa 120 Explorer Kit.  You would be able to produce with the Sherpa 120 up to 120 watts of power and everything included is very portable.  And the Base Camp Solar Kit would be able to help you out in powering over 650 watts.  It is also portable just not as much, but could easily fitted into a truck, car or boat. Some people have decided to get many types of solar chargers for these types of reason.  From solar chargers for their cell phones to complete solar solutions to power their main electronics.  You can also connect more power to the base Camp Kit and that is exactly what consumers have done to have extra wattage. Another wise idea when buying back up emergency gear is to look into knives.  Having a knife can keep you safe from the crazy people who might attack you as well as the animals.  As much as it might be hard to sallow, we say this to let you know ahead of time.  If anything happens and your in a position where you could get ambushed from other people, having a knife would be a smart idea.  You can also protect yourself with other tools like tasers, batons, pepper spray.  But having a knife is important because those other devices would only be able to subdue them.  We don’t recommend that you have to kill anyone but we do recommend that having knives to protect yourself and scare others to leave you alone is smart.  You have to be careful because they might not be harmful to you at all, but in those times.  You can easily figure out if they want to harm you if they look like they desire to bring harm to you with a crazy look or if they stumble over their words way too much and if they make sudden moves with their body. These are some of the ideas to think about when buying emergency gear.  You should think about getting prepared for some nutso times because things tend to come up &its only when you are not ready that it seems really bad.  If you would like more information or to buy any survival gear, be sure to follow the links provided."
