,topic,category,content
0,News,politics,
1,A Question for Moderate Republicans,politics," I have been voting for a very long time. Sometimes democrats won and sometimes republicans won. The issues that we voted on then were simple. Republicans voted for fiscal responsibility and lower taxes and democrats voted to improve social conditions for their own families and for the families of all Americans at risk.  Both parties were sincere in their opinions about what was best for the country. America’s strength was about working on compromises to find the best solution that both parties could agree on. Recently the Republican Party has changed. It is now about gaining power and putting into effect their own values and their own opinions on all issues by any means that they can, even when a majority of the voters may not agree with them. Many long-time republicans and also recent moderate republicans are becoming concerned about the direction their party is taking.  Moderate republicans love our democracy just as democrats and independents do, and don’t want to lose the rights we have all fought so hard to win for all of our citizens. They don't really want to vote for the authoritarian leaders their party is backing. They don’t like the campaign of hate and disinformation that their party is using to win at any cost. The question now for more moderate republicans in our country is what will they do with their vote in the coming elections? Moderate republicans are now faced with a difficult decision. If they don’t feel that they can vote either republican or democratic then their only option would be not to vote at all in the next few elections until their party again becomes the strong and valued party that they have always loved and remembered from the past. Will moderate Republicans choose to do the right thing that they feel will save our democracy or will they do the expedient thing and vote with a party that they know is on a wrong and dangerous path? That is the challenging question that many moderate republicans are asking themselves now? The answer to that difficult question has yet to be determined."
2,Fake News,politics," Fake News We hear a great deal these days about misinformation, disinformation, and fake news.  It is leading some people to question the first amendment guarantee on freedom of expression.  This is understandable; after all, it’s only a small step from hate crimes to hate speech.  The above mentioned terms are difficult to define, however, I can think of some concrete historical examples which may give us some insight into understanding the larger concepts.  Let’s start with Ukraine in the 1930’s. Upton Sinclair, a famous progressive writer in the early part of the 20th Century, visited Russia in the 1920’s.  Upon his return to the United States, he stated, “I have seen the future, and it works.”  Sinclair may have been honestly duped, but Walter Duranty knew better.  Duranty was a writer for the famed New York Times who was sent to Russia in 1922 and stayed until 1936.  What we knew about what was happening in Russia during those years, we got from Duranty.  First, let’s take a look at a few facts.  There was a massive famine in the early 1930’s, mainly in Ukraine but also in Russia itself.  There is general agreement that the horrors were brought on by the policies of communist dictator Joseph Stalin.  Three to four million died of starvation in Ukraine and two to three million in Russia.  It was so bad in Ukraine that cannibalism was a common occurrence.  According to the reporting of Duranty, everything was fine.  He absolutely denied there was any problem whatsoever.  His articles, more or less, maintained that there is nothing to see here.  To make matter worse, he heaped scorn on another reporter who had directly witnessed what was taking place.  To add insult to injury, Duranty received a Pulitzer Prize in 1932 during the height of the famine. Herbert Matthews, another Times reporter, did a Duranty imitation of his own in 1957 when he interviewed guerilla leader Fidel Castro of Cuba.  In his article Matthews portrayed Castro in the best possible light.  He said Castro had a massive army, the majority of the people were on his side, and he was not a communist.  He went so far as to say that Castro was actually an anti-Communist.  After Castro took over Cuba in 1959, Matthews continued to proclaim the noncommunist nature of the new government.  He was still holding to this position into 1960 when Castro himself put an end to the nonsense by coming out of the closet and declaring himself a proud communist. Many people alive today remember the energy crisis of the 1970’s.  It was a time of gas shortages, long lines at the pump, and surging prices.  To conserve energy President Nixon instituted day light savings time the year around (it only lasted one year) and set the speed limit at 55.  President Carter told Americans to shiver in the winter and sweat profusely in the summer.  Looking back, it seems fairly obvious that the problem was instability in the Middle East and government control over the price of oil.  However, we were told by the government, the media, and academia that the world was running out of oil.  I personally bought in to this line of reasoning; it seemed entirely logical.  Demand for oil across the board was through the roof, and there is a limited amount of fossil fuel.  I remember a conversation I had with a friend during the 70’s in which I stated that oil was running out.  She said, “There’s plenty of oil!”  I thought she sounded ignorant, but I was the one who was uninformed.  It’s been almost 50 since that conversation, and we still have plenty of oil.  Regardless of how one feels about climate change and other related issues regarding fossil fuels, we were not running out of oil in the 1970’s. George W. Bush, for whatever reason, was determined to get rid of Saddam Hussein in 2003.  At first the government through Vice President Dick Cheney tried to tie Hussein to Al Qaeda.  That didn’t work; there was simply no evidence.  Then, they fell back on weapons of mass destruction.  Bush and the CIA claimed that Iraq had chemical weapons and was pursuing a nuclear capability.  The intellectual community was convinced, and the rest is history.  There was no investigative reporting on the part of the media as they bought the argument hook, line, and sinker.  Of course, it was all a lie.  The only thing relating to weapons of mass destruction the U. S. Army found when it invaded Iraq was a mobile lab which contained a few high school type solutions and materials. There is and always has been an abundance of fake news.  It’s the public’s job to sort things out, and it usually can.  We most always say, “Hey that sounds silly.”  The problem comes in when the fake news is supported by the media and the government.  When that happens, it can have catastrophic consequences."
3,Politics at Trinity High School,politics," Politics at Trinity High School Those who know me realize I am a very conservative person politically.  When I attended a teacher In-Service after being hired by Trinity High School in 1985 at age 39, I realized I was entering a liberal environment.  A couple of my new colleagues were talking about how horrible the South African government was.  Shortly afterwards in teacher conferences, the principal (Sr. Stephanie Warren) subjected us to some women’s liberation theories.  Some revolved around spouse abuse and how it was caused by a patriarchal society.  Others concerned language and its sexist nature.  I talked to my dad about these developments, and he advised me to go about my job and keep my mouth shut.  Since I needed the job, I decided to take his advice. In looking back, Sr. Stephanie was in many ways ahead of her time.  In 1985, most of her beliefs were considered off the rails; now, they are the norm.  She was also very much an advocate of the nuclear freeze movement.  The year before, when she was just a teacher, she went to the Trinity Board and asked it to take a stand on this issue.  Tom Isbill, one of the Board members, told her to come back when the Soviet Union no longer posed a threat. Anthony Scola was the assistant principal at Trinity.  Anthony was what one might call an old hippie with an effeminate personality and a keen sense of humor.  He was also an intellectual type who could be very aggressive.  You didn’t want to disagree with Anthony; he could cut you down to size in no time flat.  He was a former priest who in his younger years had opposed the war in Vietnam.  Eventually he left the priesthood and the Catholic Church altogether.  He married a former nun (Margaret) who also left the church, and they both became Quakers.  The simple and pacifist lifestyle of the Brotherhood appealed to their sense of right and wrong. Margaret taught at St. Mary’s, one of the grade schools connected to Trinity.  She was also an old hippie who supposedly went so far as refusing to shave her legs or under her arms.  Originally the Scolas were from Milwaukee, but they wanted to get away from the fast paced urban life.  When they were hired to teach at Trinity and St. Mary’s in Whitesville, Kentucky; the town was too big for them so they settled in Deanefield, a smaller community to the southeast.  Whitesville contains about 600 people while Deanefield has less than 100. I discovered there was a divide between the administrators and clergy of Trinity on the one hand and the parents and students on the others.  In 1988 the Evansville Bosse basketball team, mostly Black, traveled to face a mostly White Heritage Hills team.  There had been a history of bad blood between the two schools.  On their journey, the Bosse team noticed burning crosses along the side of the highway.  Sr. Stephanie and some of her fellow sisters who taught at Trinity expressed horror over the situation.  Later I overheard some Trinity parents laughing and hee-hawing about the same incident. Sr. Stephanie left Trinity after four years as principal.  Despite my disagreement with her ideology, I had no problem with her as a person or a superior.  She gave me a job when I needed one, promoted me to athletic director after just one year, and always treated me with respect.  Several times she went to bat for me in disciplinary and personality clash situations.  Her replacement was Dan Fuller, a well traveled school administrator who came to Trinity from Florida.  At first glance he appeared to be more of the same.  In a document he submitted to the Board explaining his philosophy, he used feminine pronouns to refer to non-gender antecedents. Dan was a unique individual.  The students loved him and he commanded their respect.  They called him ‘Dan the Man.’  From an academic standpoint, he and W. A. Franklin (an Ohio County assistant principal) were the most scholarly and well read administrators with whom I have ever been associated.  However, he gave the students an inordinate amount of freedom, and after one year the teachers were a bit upset.  On her principal evaluation form, one teacher included the statement, “Less ‘Dan the Man’ and more Mr. Fuller.”  Some concerned teachers led by Anthony Scola and Sr. Lorraine Lauter (a religion instructor) tried to have Dan fired.  When the attempt failed, Anthony took a one year sabbatical at the University of Kentucky in order to work on a degree in Spanish. During Dan’s first year, Sr. Dianna Ortiz (a friend of Sr. Lorraine) claimed she was kidnapped, tortured, and raped by America’s allies in Guatemala.  Sr. Lorraine arranged for the school to have a special assembly to address the issue.  She turned the assembly into an America bashing session in which United States foreign policy was depicted as evil and sinister.  I sat in the back, and as the negativity toward the United States became intense, I shook my head in disbelief and disgust.  At one point I looked over at Dan who was sitting across from me, and he was cracking up with laughter at my response.  I interpreted this as meaning I had a friend and ally.  It turned out that I was correct because next year he promoted me to dean of students. Margaret Scola, Anthony’s wife, got involved in a running debate with a grade school colleague over the Gulf War of 1991.  She said we needed to give sanctions more time before going to war.  Jamie Clark, her colleague, challenged her by saying, “I can’t think of a worse way to die than starving.”  When Anthony returned from his sabbatical, Dan saddled him with the worst possible classes; they were chock full of troublemakers.  Anthony challenged the scheduling, but the Board upheld Dan.  A few years later, Anthony and Margaret resigned to become African missionaries.  They were stationed in Sudan, and I feared for their safety.  Nothing bad happened; however, as they both attended a Trinity graduation in the mid-90’s.  Also leaving were Sr. Lorraine and Sr. Theresa Henry (another liberation theology advocate).  With these departures, liberalism at Trinity pretty much ceased to exist. Shortly after his third year began, Dan himself resigned to take a principal’s position in Maine.  As chief disciplinarian I basically had the run of the school for the remainder of the year.  Another teacher (Katie Williams) was appointed interim principal, but she gave me the freedom to operate as I saw fit.  In 1992 John Calhoun was hired as principal.  He was a Ross Perot type of conservative, and we were off to the races. There was a bit of backsliding in 2000 when Mike Clark became principal.  Even though Mike was liberal, he did not make a point of advancing a political agenda.  However, one of his hires as a religion teacher did.  One day I noticed a document in my mailbox which was full of propaganda about how military spending was ruining America.  When I complained to the secretary about such items being placed in our personal spaces, she told me it was done by Bob Nicodemus, the religion instructor.  I then confronted Bob, and we became involved in a ferocious argument.  He defended the propaganda and his actions by comparing it to sending a Christmas card.  The argument went on and on, and we ended up yelling at each other.  Anyway, Bob left after one year, and Mike was gone as principal after two.  Afterwards, we returned to normal. It is appropriate in light of current tendencies that I end with a story about the national anthem.  In 1992 Trinity’s girls’ basketball team was playing in a Christmas Tournament at Brescia University.  As athletic director I was always looking to schedule our teams in such tournaments.  Barry McArdle, a public relations and recruitment specialist at Brescia, organized the event; and we played in it for a couple of years.  Shortly before our first game in the 1992 tournament, Barry came to me and said they would not be playing the national anthem.  Instead, a Brescia student would sing “God Bless America.”  He said, “After all, Larry, the national anthem glorifies violence.”  He then asked if what they were doing was okay with me.  I simply responded, “It’s your tournament!”  A short time later, a young Brescia student came to the scorers’ table visibly upset.  She said Mr. McArdle had just ordered her to sing both “God Bless America” and the national anthem even though she had not practiced the “Star Spangled Banner.”  This was probably my most satisfying point in the political wars at Trinity High School."
4,How Zelensky left Mariupol Ukraine open for Russia to come in?,politics," Ukrainian President Zelensky did not protect the citizens of Mariupol from an attack by Russia. The small city has been utterly destroyed, there is nothing left, the footage coming in from the city is absolutely horrific, it is hard to imagine how quickly it was ruined. Why was the city not protected, why were the citizens and local officials in Mariupol so unprepared for Russia to take swift control of the city in Ukraine? The answer is clear, the Ukrainians have a weak leader. Russia made it clear that Mariupol was a crown jewel to them as it is the link of 80% of the trade from Crimea, yet Zelensky was asleep. Zelensky media star The Western media has made President Zelensky a star, he is a social media hero in the United States, who help spread his fame. Zelensky gave the Americans what they love, Hollywood one-liners that spread quick popularity. One of the more memorable lines from the Ukrainian president was with the Russians at his door, when asked by Americans if he needed a plane to flee the country Zelensky answered “I don’t need a ride I need weapons”. With that one-liner Americans decided to turn Zelensky into a star, yet his military skills are less than zero. The Ukrainian president is a former actor who is perfect for the role he is playing for America, yet his act did nothing for the poor citizens of Mariupol. In the defense of Russia, they asked many times for the Ukrainians to lay down weapons so no one would get hurt, yet their pleas fell on deaf ears. Canadian Broadcast Communications visited Mariupol just one week before the Russians entered the country, what they were surprised to find was a city well at ease with no preparations for any attack by Russia. As the citizens were interviewed, it was clear that there was absolutely no urgency. The local hospitals were not preparing for any causalities, the shops were open, and most residents did not believe any Russians were coming into the area. Despite a massive buildup of Russian troops at the entrance to Mariupol the thinking was that nothing was going to happen.  Why were the citizens so at ease? It is because local officials made no preparations for an invasion, Zelensky completely ignored the city, while waiting for Americans to recuse Ukrainians if things got very bad. What made matters worse was the Ukrainian present taunting the Russians with statements of bravery, at one-point Zelensky dared the Russians to come take Mariupol, saying “you will see our faces not our backs”. Zelensky has one plan, and that was to beg America and NATO for money and weapons, the Russians have absolutely destroyed the city, just this week the mayor of Mariupol estimated the loss of citizen life at an extremely large number. The mayor said Monday that the siege has left more than 10,000 civilians dead, their corpses “carpeted through the streets.” Mayor Vadym Boychenko said the death toll in Mariupol alone could surpass 20,000 and gave new details of allegations by Ukrainian officials that Russian forces have brought mobile cremation equipment to dispose of the corpses. Why didn’t Zelensky prepare the good citizens of Mariupol for Russian troops entering the city? He was confident that America would bail him out, yet he failed the citizens of that small city."
5,Explaining Civil Litigation,politics," Lawyers can build their careers across various fields, from family lawyers to corporate attornies. One common field of practice is civil litigation. Civil litigation attorneys work with cases with no criminal charges or penalties. Instead, civil litigation attorneys work with various kinds of non-criminal legal disputes in which plaintiffs are looking for some sort of compensation or damages. Read on to learn more about what it means to work as a civil litigator! What Kinds of Cases Do Litigators Handle? As mentioned above, civil litigators handle non-criminal legal disputes. This encompasses many different kinds of cases, so most lawyers working in civil litigation have just a couple of areas of expertise. Civil litigation cases might include landlord and tenant disputes, personal injury claims, intellectual property disputes, medical malpractice claims, education law disputes, and more. Unlike in criminal cases, where the prosecution has to present evidence that proves their case beyond a reasonable doubt, civil litigation trials only require convincing evidence. What Skills Do Litigators Need? Civil litigation requires similar skills as other areas of law. Litigators need to have extensive knowledge of local and federal laws related to their area of practice, strong communication skills, negotiation skills, and more. Negotiation can be critical in litigation cases. Many litigation cases never go to trial, so negotiating terms to resolve the issue outside of the courtroom is a crucial skill. What Are the Steps to a Litigation Case? When a client hires a litigator for their case, the case goes through a particular process, just as in any legal procedure. When a potential client wants to pursue civil litigation against another party, their first step is to meet with a litigation attorney to discuss the case. The attorney will help explain the process and evaluate whether or not the client has a strong case. From there, if the client decides to proceed with the case, the attorney will do extensive research to build evidence. This will be followed by both involved parties filing pleadings, essentially explaining their sides of the issue. Once the court has received both pleadings, the case will enter the discovery stage. This is essentially an extension of the research phase, including witness interviews and fact gathering for each side to build their case. The discovery stage usually takes the most time. Once discovery is complete, the case enters pre-trial, which is the last step for many cases. In pre-trial, the attorneys for both the plaintiff and defendant begin negotiations, trying to reach an acceptable settlement outside of court. If an agreement cannot be reached, the trial will go to court, and a judge will decide the matter."
6,There is a problem with Ukraine,politics," There is a problem with Ukraine There is something going on in Ukraine which is just not as it appears.  Sophistication, complexity, and intrigue are the three best words to describe this beleaguered country.  To begin, there are essentially four main forces that are driving events in the nation.  They all compete with one another and have different agendas but have been drawn together to present a united front. First and foremost are foreign NGO’s and American foreign policy operatives.  Their goal is to make Ukraine a liberal democracy that will eventually achieve integration into NATO and the European Union.  These people are extremely efficient, and they have outflanked their opponents both in Ukraine and the outside world.  They effectively brought about two Revolutions, the Orange (2005) and the Maidan (2014).  At this point in time, they have established the narrative which a vast majority of the American public accept as fact. A few examples are worth noting.  Victoria Nuland was the State Department employee tasked with the overall implementation of American’s Ukraine policy.  During the Maidan Revolution, she was caught on tape organizing a new government and arranging who would be placed in key positions.  Most on the ideological spectrum agree that corruption in Ukraine has been a persistent problem.  Marie Yovanovitch, U. S. Ambassador to Ukraine from 2016-19, told Ukrainian officials who they could and could not investigate for corruption.  Vice President Joe Biden was the point man for Ukraine in the Obama Administration.  He threatened to withhold one billion dollars in aid if Ukraine did not fire a prosecutor who was investigating certain entities.  One important target under investigation was Burisma, a company that employed Biden’s son.  Alexander Vindman was a U. S. military and intelligence figure active in Ukraine.  He was so involved in security arrangements in the country that he was offered a leadership position in its armed forces. Since 2015 the government of Ukraine has been controlled by those who believe in liberal democracy.  They make up force number two and are totally dependent on the first force in order to win support from the outside world.  They’re not much different from the political elites in the United States which is to say they believe in democracy and Capitalism.  They maintain the absolute sovereignty of the people to decide their own fate irrespective of their big and powerful neighbor (Russia), and they make no concessions on territorial integrity.  All this would be fine if the country were in Western Europe, had a historically unified populous and culture, or a border that had a centuries old definition. Force number three is the oligarchs.  This group is made up of wealthy businessmen who, of course, have close ties to the first two.  Their economic power gives them leverage over the political process.  In the United States we call them billionaires.  Like Donald Trump before he was President, they have to hedge their bets by supporting those in positions of political power or those likely to be at some point.  Much of the corruption that is prevalent in Ukraine revolves around the oligarchs.  Because of their intricate connections in the government and among foreign operatives, it is difficult for the legal system to do much about their power, influence, and corruption. The fourth force is made up of fascists or Nazis.  It makes up the shock troops for the other groups.  During the Maidan Revolution, they carried the day by organizing protests, demonstrations, and violence.  They have a military force called the Azov battalion.  The battalion began as a private militia but was later incorporated into the Ukrainian army.  They are the ones who have been on the front lines in fierce fighting against Russian separatists in Eastern Ukraine.  It has been reported, I might add, that they have received military training from the United States.  A political party was organized by their leaders after 2015, but it received little to no support from the electorate. One might ask why the fascists would support liberal democracy.  Don’t they have more in common with Moscow than Kiev?  The answer is they can only exist in a democracy.  While democratic leaders deplore their ideology, they allow them to continue for three reasons:  they are beholden to them for support given during the Maidan Revolution, they depend on them to do the heavy fighting in Eastern Ukraine, and the ideal of democracy that all beliefs, however toxic, have the right to be expressed.  This third reason goes back to Voltaire, the great French philosopher, who stated that tolerance extends to those who believe in intolerance.  Putin, on the other hand, would have no tolerance for the Azov adherents.  He would purge them to the last man, and they know it. So what does all this have to do with American politics?  Well, actually, quite a lot!  In 2016 Donald Trump ran for President and began voicing skepticism about America fighting needless and endless wars abroad.  For Ukraine this did not look good.  To make matters worse, he hired Paul Manafort as his campaign director.  Manafort had previously worked in Ukraine as a campaign advisor for the President who was deposed in the Maidan Revolution.  At this point, Alexandra Chalupa enters the story.  Chalupa is the daughter of Ukrainian-American immigrants.  She is referred to by Wikipedia as a pro-Ukrainian activist and has worked at various times for the Democratic National Committee and the Hillary Clinton campaign.  She made it her goal to expose Manafort and thus paint the Trump campaign as a tool of Putin and Russia.  In her effort to do this, she worked with the Ukrainian government, the American Embassy in Ukraine, and allies in the United States Congress.  The project achieved some success as Manafort was fired from the Trump campaign when his Ukrainian contacts were publicly revealed. During the 2016 Presidential campaign, the Democratic National Committee’s computer and the emails of John Podesta, Hillary Clinton’s campaign director, were hacked.  The contents were posted on various news sites including Wikileaks where it gained a widespread audience.  Needless to say, the material was very embarrassing to party leaders, the mainstream media, and Hillary.  Contrary to popular belief, the Committee’s computer server was not turned over to the FBI to determine the origin of the hack.  It was instead analyzed by CrowdStrike, a private cyber security firm.  Crowdstrike, not the intelligence agencies of the U. S. government, concluded that Russia was responsible for the hack. A co-founder and chief officer of CrowdStrike was Dmitri Alperovitch.  Alperovitch is a Russian who came to the United States in 1994 and later became an American citizen.  He has an intense dislike of Vladimir Putin and is a member of the Atlantic Council, a foreign policy think tank and one of the NGO’s referred to in an earlier paragraph.  The Council makes no secret of its intent to promote liberal democracy in Ukraine and make the country a full fledged member of NATO.  One of the Ukrainian oligarchs is a significant donor to the Atlantic Council as is CrowdStrike. As is common knowledge, President Trump’s first impeachment revolved around Ukraine.  Alexander Vindman, Marie Yavonavitch and many career state department employees became star witnesses for the prosecution.  They thought Trump was blackmailing Ukraine into investigating Hunter Biden, Joe Biden’s son who was heavily invested in Burisma (a Ukrainian energy company), and also CrowdStrike.  Trump had apparently bought into the idea promoted by many conservatives that the Democratic server had been relocated to Ukraine.  Putin may have lent credence to this idea as he supposedly told Trump that Ukraine was behind the theories advanced in the Steele Dossier that Russia was actively involved in helping Trump in the campaign of 2016. It is worth noting that Ukraine did start an investigation of Hunter Biden and Burisma after Trump was acquitted of the impeachment charges by the Senate.  After Joe Biden was elected President, however, the inquiry was dropped.  I guess this could all be justified as hedging your bets. Ukraine is now involved in a vicious war with Russia.  Ukraine may be the underdog in this fight, but it has many forces at its disposal.  The Ukrainian army is roughly equal in size to the invading Russian force, it has received drones from the West, the Trump and Biden Administrations have provided it with javelins (anti-tank weapons) and stinger missiles (anti-aircraft weapons), and its forces have received advanced military training from the West.  Whatever one may think about the two countries and its leaders, it is clear that Ukraine has important friends in high places and has decisively won the propaganda battle in the United States.  Public opinion more or less paints Ukraine as saintly and Russia as demonic.  The only other times I have seen such unanimity of opinion were after the Kennedy assassination, during the Watergate scandal, and following the events of 9/11.  And yet, I maintain based on the information presented in this article that there is a problem with Ukraine!"
7,Cyberwar History and Ukraine,politics," People are much more drawn to images of blown-up building, fires, mushroom clouds, refugees in dire circumstances, color pictures of pain that are better in black and white than they are to explanations of code or even fallout from code if it’s not resulting in something blown-up, fiery, or pictures of people in pain that are better in black and white. That is to say, while we see plenty of stories of ransomware, temporary business disruptions, and credit card & ID fraud, it’s not visceral. It goes by quickly on the page and in our minds. So, whatever happened to the stories we saw before the cyberattack age? When the US Cybercommand was  just a twinkle in some geeky eyes? What happened to the discussion that cyberattacks would engender kinetic responses? Bombs not electrons. Perhaps it was a sense of proportion. Perhaps it was a recognition that we consider that an increasing cyberwar, if responded to with bullets, might just result in use seeing those images of things that would be better in black and white on our own doorstep? Did we back off, or did sanity take hold in the minds of the planners? Let’s look at a little history. Back in 2003, a cyberattack originating from China - and christened, “Titan Rain,” by the US - managed to get access to loads of sensitive government information by compromising the systems of US government contractors and of government systems themselves. Only unclassified information was stolen, but the world woke up to this kind of attack. In 2004, the Joint Chiefs of Staff declared cyberspace an important domain of conflict alongside the air, land, sea, and space domains. No doubt, this was prompted by the reality of Titan Rain. As a culture, we were just starting to think about these things on a national level. In 2007, Estonia experienced a broad cyberattack that included their parliament, banks, and media. It was believed to have originated from Russia, or from Russian actors. NATO’s response was to create the NATO Cooperative Cyber Defence Center of Excellence (CCDCOE) in 2007. Now, continents were beginning to wake to the threat and the need to do something about it. The Tailinn Manual The CCDCOE began to develop an extensive study and code about what how international law applies to cyber conflicts and cyberwarfare; these previous acts were beginning to be recognized as acts of war. Calling on legal scholars and legal practitioners that were experienced in cyber issues, the CCDCOE produced Tailinn Manual on the International Law Applicable to Cyber Warfare in 2012. The Tailinn Manual declared that killing hackers in response to certain cyberattacks was justifiable. Killing hackers?! Meanwhile, other state-sponsored cyberattacks marched their way into the public consciousness. The Stuxnet Worm was developed to sabotage Iran’s nuclear development efforts – in particular, the centrifuges used to enrich uranium gas. It is believed to be the first malware designed to and succeeding in visiting physical destruction on physical equipment. Wired Magazine called it the first digital weapon. It's widely considered that the US and Israel collaborated over a period of 5 years to develop this malware. In 2009, Secretary of Defense, Robert Gates, recognizing how important AND vulnerable important computers and networks were (are), directed the creation of USCYBERCOM. It is the unified command for the cyberspace domain in the US and the world. In 2016, the organization described the 2016 espionage ops against the Democratic National Committee while in the midst of a national election “serious business . . . [that] may destroy democracy.” Administration officials at the time considered that cyber weapons were so potentially destructive that they should be unleashed only on the direct orders of the Commander in Chief, like nuclear weapons. I do not know if there is an equivalent “Cyber Football.” Article 51 of the UN Charter allows individual countries to defend themselves and to band together to defend each other. It also allows the same if an armed attack is anticipated and recognizes the right to use force in such a situation. It allows cyberattacks to be considered an armed attack. In 2019, Israel did just this, by conducing airstrikes on a building that they said had Hamas members inside that were planning to launch a cyberattack on Israel. In 2021 the topic was up for noticeable public discussion again. NATO heads of state and government met at NATO’s North Atlantic Council meeting in Brussels and issued a communiqué that ultimately equates cyberattacks with kinetic attacks and leaves the possibility of military action against hackers on the table. Still, what we generally see is that cyberattacks - or anticipated cyberattacks - by states are dealt with by preemptive and after-the-fact punishing cyberattacks. Tit for tat, as it were, and even before the tat. Cyberwar in Action What we have seen in practice in Georgia in 2008, Crimea in 2014 and in Ukraine in 2021 is the “softening up” cyberattack. The attack used to diminish and disable defensive and living systems before a kinetic attack, rather than a kinetic attack in response to a cyberattack. Many said that the 2014-2015 cyberattacks were on a an entirely different – and grander – level than had been seen previously. Several Ukrainian banks and government agencies became inaccessible and malware – using a tool called “HermeticWiper” - was wiping data from hundreds of PCs and servers. But we’ve gotten used to common DDOS attacks, data-wiping and ransomware in recent years on the civilian level. It’s kind of taken for granted that these things are ongoing and all over. The use of cyberwar and kinetic war together has been labeled “hybrid warfare.” And yet, the world seems surprised that Russian cyberattacks on Ukraine in 2021 and 2022have been substantially less severe than anticipated. To be sure, they were and are ongoingly widespread. Hackers caused the Viasat satellites to become inoperative. But that may have affected Russian soldiers and commanders to lose connectivity as well. And said attack has been mitigated somewhat by the Musk’s activation of Starlink Internet satellites over Ukraine. Additionally, Ukrainian modems were zombie-fied by Russian malware, being used as nodes for targeted DDOD attacks within Ukraine. But the ruination from malware that was expected has not really seemed to occur. We haven't seen a cyber-Armageddon. Were they more pr? Were the US and/or the EU pumping up Ukraine’s cyber defenses or attacking the offensive cyber capabilities of Russia? The newspapers wonder about this and government sources overtly express surprise and confusion that there isn’t more cyber damage. I would be willing to wager that they know more about this than they are letting on. But then, isn’t that almost always the case? The coming days and weeks will tell us more about cyberwar in Ukraine. It’s possible that all-out disruption of Ukraine’s Internet will come to pass. We hope not. But one thing about this history stands out. We have not seen the kinetic response to cyberattacks on a wide scale that was being discussed a decade ago. Luck? Cooler heads? Invisible cyber counterattacks? Thoughts of a Cyber version the Mutually Assured Destruction doctrine that has, in theory, kept the world from launching nuclear war? Or is physical destruction on a massive scale enough to satisfy those bent on domination? These times we’re living in will surely shape the times we will be living in. Let us hope and work for that cyberwar doesn’t exceed the malign effects we have seen to date and that going forward we see fewer dire images because of fewer dire circumstances"
8,We Have Met the Enemy and He Is Us,politics," Cartoonist Walt Kelly modified and changed Commodore Perry’s famous quote to, “We have met the enemy and he is us” in a cartoon he created in 1970 celebrating the first Earth Day in 1970. The message being that man from his treatment of the earth is the planet’s enemy. It may also be true that the greatest enemy of democracy is not our corrupt leaders, but that a large part of our country’s citizens do not love or understand what democracy really means. If they do not love or want a free press that allows opposition and differences of opinion to flourish, then they do not love or want democracy. If legislators take away the rights of any minority and hamper free elections and the ability for every eligible citizen to easily cast a vote, then they do not love democracy. If school boards take books out of libraries as Texas is doing, because they consider the books too disturbing or controversial, then they are going down the path of the book burnings that happened in Nazi Germany and they do not love or want democracy.  Instead of democracy they want only their own opinions and their own laws to prevail and flourish and are willing to vote for leaders who will give them what they want. But leaders who willingly lie and bend the laws to obtain power eventually take away not only the rights of the minorities they oppose, but also ultimately take away all their citizens rights as we have seen in other countries that have become authoritarian and have lost their democracy. In the United States we are  on a dangerous road toward losing our freedom. If in the next few elections the people vote for leaders with selfish and corrupt motives and authoritarian tendencies, then the voters will ultimately be responsible for giving away their precious freedom and once you give away your freedom, it is very difficult and perhaps impossible to ever get it back. In a Democracy everyone has a voice and is worthy of respect. Poor people, rich people, minorities and majorities and people of different religions and different ethnicities. If a voter does not believe in that, then they do not love democracy. That is the dilemma that the voters in America will soon be facing in the coming elections in 2022 and 2024. How many voters still love democracy and are willing to vote for and support leaders who will protect it? The future of our country and the future and well-being of our children and all future generations are now in the hands of all of us who are voters—an awesome and frightening responsibility. We must now all work and fight to protect our ability to vote. We must fight for the ""For the People act of 2021"" that will help to protect every citizen’s right to vote. We must all make an effort to get the information we need from many different reliable sources so we can become wise and informed voters and ultimately cast our vote for leaders who will always protect our democracy and the rule of law and keep it forever strong and safe. Democracy needs every voter now as it has never before needed all of us to work and fight for its very survival."
