,topic,category,content
0,Religion,social-issues,
1,POSITIVE IMPACT OF AVIATION ON MANKIND (UNMANNED AERIAL VEHICLES) - UAVs,social-issues," Aviation is the activities surrounding mechanical flight and the aircraft industry. The revolution of Aviation in the life of mankind starting from the earliest forms of aviation such as  kites flying in China, which is thought to be the earliest form of man-made flight dates back to several hundred years ago, the invention of the hydrogen balloon in the 18th Century as a result of the discovery of hydrogen gas amplified the great work done by the Montgolfier brothers who rediscovered the hot-air balloon and began manned flights. Now the invention of Unmanned Aerial Vehicles has indeed brought a huge development in the society. Unmanned Aerial Vehicles (UAVs) Introduction: What are UAVs? UAVs stand for the abbreviation  Unmanned Aerial Vehicles. They are Aircrafts that do not require the presence of a Pilot on board before they can fly. Over the years the use of UAVs has been for military purpose. Early use was recorded in the war fight that occurred in July 1849 which served as a balloon carrier, also was recorded the first pilotless aircraft made during the World War 1 by the British invented by a man called Archibald Montgomery Low and was first tested in March 1917 .It was made to attack the  Zeppelins. The discovery of this kind of pilotless aircraft got many Commercial, Agricultural and Individuals in shock and thought about it that it will be of great advantage to them if they could apply them to do major tasks which will make their work less stressful and save them cost, going to pilot schools or employing pilots of manned aerial vehicles. This is why we can see them around in our society today and not just during the time of war. BODY: UAVs include both autonomous (capable of operating without human input) Drones and Remotely Piloted Vehicles (RPVs). There is no exact standard when it comes to classification of UAVs but we can give them general classification based on their configuration. They are divided into Fixed-Wings to allow fast speed and long endurance, Rotary-Wing in which is characterized to having a rotor to allow vertical take-off and landing (VTOL), Flapping-Wing which is basically designed to allow perching and landing on small surfaces and Hybrids of fixed- and rotary-wing configurations which is based on the fixed-wing and rotor structures. We can also classify them according to their size. we have the very small UAVs (Micro or Nano class) which have their dimensions ranging from the size of a large insect to 30-50 cm long. The insect-like UAVs are extremely small in size and have very light weight. Small UAVs class (which are also called sometimes Mini-UAVs) apply to UAVs that have at least one dimension greater than 50 cm and no larger than 2 meters. Medium UAVs class -  These apply to UAVs that are too heavy to be carried by one person but are still smaller than a light aircraft. They usually have a wingspan of about 5-10 m and can carry payloads of 100 to 200 kg. Large UAVs class are mainly for combat operations by the military. We can also classify them based on their Range and Endurance. We have Close Range UAVs - These classes include UAVs that have a range of 50 km and endurance time of 1 to 6 hours. Short range UAVs - These classes include UAVs that have a range of 150 km or longer and endurance time of 8 to 12 hours. Mid-range Class UAVs include UAVs that have super high speed and a working radius of 650 km, they typically have a similar flight time as short-range UAVs. The endurance class include UAVs that have an endurance of 36 hours and a working radius of 300 km. This class of UAVs can operate at altitudes of 30,000 feet. Overview Every Country has its own UAVs which are made according to their choice of design. For example, we have in U.S.A, a UAVs called RQ-11B Raven, in Russia we have a drone called ТБ-29В,In Israel we a UAVs called Mosquito, in China we have cargo drone AT200. Positive impact to present day society Unmanned Aerials Vehicles (UAVs) are used nowadays in real-world applications such as military operations, disaster relief, and exploration of hazardous remote areas. We equip UAVs with designed camera for taking photographs, and for recreational purposes to capture under water and mountains. We use them for videography to film wildlife keeping man out of danger of becoming a prey to wild animals. Currently UAVs are being used for the surveillance of environmental factors related to the transmission of infectious diseases. In medical application, It can be implemented for the use of sanitization, patient identification through capturing their faces in epidemical places. They have also being used for delivering drugs, foods and life-saving supplies to patients or isolated persons in extreme conditions. Farmers use drones to spray pesticides, fertilizers and other chemicals. UAVs equipped with scientific equipment are used to observe storms and other natural disasters. In military applications, UAVs have been used widely in attack and combat, also law enforcement agencies use UAVs to fight Crime. A camera-equipped UAVs is used to map an area. Used by real estate developers to take photos and videos to advertise their building projects and also used to survey the landscape. Conclusion: UAVs  are indeed very important in the society because it saves us a lot of stress and makes our world a better place for us to live generally, but more UAVs should be created all over the world and the usage should be applied also, in the educational sector, such that schools and universities, add a subject which teaches about the need of UAVs in our present society and add sports like drone racing to their Sporting activities. Furthermore, post office can use UAVs to send mails or deliver items to their customers, to enhance fast delivery. Also, more drones should be placed on roads to control traffic and capture cars which fail to keep traffic rules, making it easier for law enforcement agencies to detect the violators."
2,Present Yourself as a ‘No Brainer’ to Hire,social-issues," A few jobs back, HR had scheduled four interviews, throughout my day, for a position I had open. The first interview went “okay.” The second candidate, however, impressed me so much I hired him on the spot. I instructed HR to cancel the remaining two interviews. The second candidate did something I rarely see—they presented themselves as a ‘no brainer’ to hire. How? Their resume was result-oriented (Not a list of opinions — “I’m a team player,” “detail-oriented,” “hard-working,” etc.). They dressed as if they were already employed with my company. (In this case, a global multi-brand tour operator.) They clearly articulated their value. They told me several STAR (Situation. Task. Action. Results.) stories I could envision and relate to. If your resume (skills and experience) impressed the employer, and after reading your LinkedIn profile to determine if you’re interview-worthy, you’ll be invited to an interview—the first most likely being via Zoom or Skype. Impressing someone on paper and via your LinkedIn profile has its challenges, especially since you’re competing against many other candidates just as qualified as you. However, where the rubber meets the road is when you’re sitting face-to-face with the hiring manager. Presenting yourself in a way your interviewer can envision you fitting with the company’s culture and the current team, as well as giving them confidence you’ll hit the ground running, will substantially increase your odds of receiving a nod of approval. Regardless of whether you’re interviewing via video, sitting in a boardroom, a coffee shop or the interviewer’s office, focus on the following: Your attire Your body language Articulating how you meet the employer’s needs and will solve the problems the position exists to solve Being mindful of your interviewer’s time. As I’ve mentioned in a previous column, being deemed “a fit” supersedes your experience and qualifications. Your image is paramount in giving the impression you’re “one of them.” Make sure your attire is in line with the company culture. Obviously, this will differ from company to company, as well as between industries. If you’re interviewing for a position in a bank or insurance company, formal attire, even in 2022, is appropriate, such as a business suit, shirt, and tie. On the opposite end of the spectrum, casual clothing, even jeans and sneakers, can be acceptable if you’re interviewing with a design studio or tech start-up. The key is to dress as if you already work for the employer. Body language. Your body language, along with your words, greatly influences the first impressions someone has about you. If you’re seated, say in the reception area, stand to greet your interviewer. Firmly shake your interviewer’s hand, or each member of your interview panel, while maintaining a broad smile and steady eye contact. Say something along the lines of, “Nice to meet you, Alice.” Remember your interviewer’s name and use it naturally throughout your interview. Maintain eye contact during the interview. This shows your interviewer(s) you’re engaged in the conversation. Speak in a clear and audible voice. Your posture can portray you as arrogant, so be conscious of the way you sit or stand. During the interview, display a natural body language with relaxed shoulders and open arms by your side. Articulate how you meet the employer’s needs. This is where you solidify, you’re a ‘no brainer’ to hire. If you’re interviewing with the person you’d be reporting to, keep this piece of human psychology in mind: A person is more likely to want to build a relationship with you if you understand their situation, problems, and goals. Start with the job description. Now that you’ve landed an interview, refer to the job description, paying close attention to job qualifications and duties. Have STAR stories ready regarding specific situations in which you used each of these skills. Try to keep your STARs short and vivid. The best STAR ever said to me: “I sold Corvettes in Las Vegas.” (Yes, I hired the person.) Be mindful of the time. Always be punctual for your scheduled interview time! Being punctual is a sign of being a professional, as well as respect for the other person. Stick within the time frame your interview was scheduled for. (usually 45 minutes to 1 hour) In 2022 employers are looking for candidates who’ll mesh with their workplace culture. Showing you belong will go a long way in making yourself a ‘no brainer’ to hire"
3,You Believing Hiring Should Be Fair is the Problem,social-issues," Unless you’re getting job offers, you probably perceive how employers hire to be unfair. Every job seeker has a list of why they’re the most deserving over all the other job seekers—they’re: qualified, skilled, educated… beautiful, charismatic, authentic… a cum laude graduate. You’d benefit greatly by changing what you tell yourself when your application to the “perfect job” doesn’t get a response or you weren’t hired after multiple interviews. Reframing your concept of “fairness” will prevent you from playing the most unproductive game there is: “I’m a victim!” Accepting the following two hiring realities is key to stacking the odds of getting hired in your favour, which is really all you can control. You’ll also be creating some semblance of hiring fairness for your psyche, which is a mental state that’ll give you a competitive advantage. First hiring reality: Employers own their hiring process. Employers design their hiring process to serve their self-interest, not the job seeker’s. This is why those with a sense of entitlement, when not hired, feel employers hiring processes to be unfair—their self-interest wasn’t served. (The person hired serves the employer’s self-interest.) On the other hand, when our self-interest is served, then we feel we’ve been treated fairly. TIP: Through every step of the hiring process, clearly communicate how you can serve the employer’s self-interests. Second hiring reality: Applying online is the equivalent of playing the lottery. (You’re hoping a stranger will hire you.) I hear this all the time: “I applied to 100 jobs online and haven’t heard back from one employer.” When you purchase a lottery ticket, you accept the fact lottery odds favour the ticket seller. The same principle applies to when you apply to an online job posting. This is why those who network land the plumb jobs. Those connected have access to the hidden job market, which has much less competition and thus better odds of landing a job. Say 350 people answer an online job posting. (In today’s job market, this is on the low side.) Only one person will be hired. To soothe themselves why they weren’t chosen, the 349 rejected candidates will lean on an ‘ism’ (e.g., ageism, racism, nepotism), or my favourite; they were “overqualified.” Okay, maybe 217 rejected candidates will lean on a false narrative; the other 132 will quickly move on. Your odds were 1 in 350! (0.28%) Was the hiring process unfair to the 349 applicants not selected? Would you bet on a horse with 1 to 350 odds? Why would you expect the outcome to be fair when you choose to play a game where the odds are stacked against you? Now suppose you view rejection (READ: not winning) as altering your path but not blocking it. With such an outlook, you’ll eventually realize you arrive at most of your endpoints by sheer luck. I believe luck (for the most part) can be created. Believing you can create “job search luck” is a huge step to achieving the frame of mind you need to succeed in your job search. Four ways (there are many more) you can create job search luck: Make networking a priority. Go out and meet with people who can help you in your job search. Have a results-oriented resume and LinkedIn profile. The majority of resumes and LinkedIn profiles are a list of opinions. For your resume and LinkedIn profile to be competitive, you need to clearly communicate how you created value for your employers, not that you just put in time. Be in constant professional development mode. Know what skills are in demand within your industry/field and learn them. Be flexible. Be open-minded to all opportunities which come on your radar, not just those that fit your wish list. You can surprise yourself by taking a less than ideal job, making the best of it, and finding you enjoy your new employment. Of course, life being what it is, you can do all the above and more and still get rejected. Move on! Don’t dwell on “Why nots.” Instead, focus on creating luck throughout your job search by stacking the odds of getting a “Yes!” in your favour. Such focus will create job search luck, and you’ll feel how employers hire to be a bit fairer."
4,As a Job Seeker There Are 3 Job Search Truisms You Need to Accept,social-issues," A job search has many moving parts; your mindset is the most critical part. Tackling challenges, such as a job search, is easier if you have the right mindset. Job search success isn’t achieved through wishful thinking — how you wish things to be. Success is achieved by adapting to, better yet embracing, realities, not beating your head against walls that won’t crumble down. The following are three “job search truisms” every job seeker needs to accept if they want to minimize their job search frustrations and mitigate the time it takes to find their next job. With a sense of entitlement being so prevalent these days, I often see bitterness amongst job seekers [“I’m not getting what I deserve.”, “I’m not getting what I want.”]. Anger hinders a job seeker, along with increasing false pride, which becomes an insurmountable obstacle. The easiest way to be disappointed, unhappy, frustrated, angry, or become depressed is to have an expectation you’re owed. You, and only you, are responsible for your job search. The upside of assuming no one owes you: You energetically help yourself. For many people, this is a massive mind shift! Approaching your job search with an “I’m helping myself” mindset gives you a considerable mental boost, which is to your advantage. As well, such a perspective will carry you through the roller coaster of emotions you’ll be dealing with throughout your job hunt. You may recall my column back in April, There’s No Universal Hiring Methodology. I brought up the fact, never mentioned by career experts, that no two hiring managers access candidates the same way. This also applies to companies — no two companies hire the same way. As a job seeker, you need to accept that employers own their hiring process, which is their prerogative. A sense of entitlement has made it common today for job seekers to complain about how employers hire. What a waste of energy! Complaining won’t change how employers decide to hire. Many candidates try to circumvent the employer’s hiring process or skip steps. By following the employer’s application instructions, as frustrating as they sometimes are, you’re setting yourself apart from your competition. Being able to follow instructions is a prerequisite for any job. Thus, employers look for this “willingness to follow instructions” in candidates. The most decisive route to job search success is to do what others are afraid to do, which is to network. Networking is creating a fabric of personal contacts that can provide support, feedback, insight, resources, and information. In 2021, and for the foreseeable future, it’ll be raining resumes. Ask yourself: Who’s more likely to be hired, a stranger the hiring manager doesn’t know, or someone they’re somewhat acquainted with, or a referral? Your answer should convince you of the power of networking. It’s common knowledge most jobs are unadvertised. Undeniably, those who build and nurture a professional network land the plumb jobs. However, many job seekers create excuses [e.g., they’re an introvert, networking feels sleazy, everyone’s too busy to listen to them] to avoid networking, even though networking has proven to be the most efficient way to finding a job. Whatever your hang-ups [READ: limiting beliefs] are about networking, get over it! As a job seeker, your primary goal is to connect with people who can assist in your job search. Nothing will get you into an organization faster than having an inside person vouching for you. Here are a few tips to get you started networking: Reconnect with old colleagues and alumni you’ve lost touch with. Leverage social media — connect with people online [LinkedIn, Facebook]. Become comfortable talking to strangers. Read: ""Coffee Lunch Coffee: A Practical Field Guide for Master Networking,"" by Alana Muller Read: 'Never Eat Alone: And Other Secrets to Success, One Relationship at a Time,"" by Keith Ferrazzi A job search is a huge undertaking. Having a mindset aligned with today’s job market’s realities is key to achieving job search success in the least amount of time. Mindset is everything!"
5,The Pandemic Has Given Each of Us Chance to Reset Our Lives,social-issues," I’m not a “plant person.” I have a few houseplants in my condo, but they’re working plants that inhabit my domain to purify the air. Only the most hearty and tolerant plants (e.g., aloe, snake plant, succulents) have a long-term relationship with me. My father loved plants. He had a deep understanding of their needs. Several times he tried to pass along to me what gave him enormous pleasure, but I just did not connect with it. I did learn the obvious: plants must be watered, get enough sunlight and be re-potted once they’ve grown. I also learned plants need to be pruned, which seems counter-intuitive. It doesn’t strike me as logical to cut off a plant’s branches to make it grow bigger and stronger. My father explained pruning involves cutting off certain branches so the plant can use its limited resources to make stronger branches. For example, a healthy rose bush will produce too many buds. This leads to overgrowth and creates a drain on the plant’s resources. Left unchecked, most of the flowers will survive, but not thrive. Therefore, the gardener must make the difficult decision to prune the good buds to redirect the flow of nutrients to the best buds. Just as a rose bush needs to be pruned, we too should occasionally prune our respective lives. Envision your life as a fruit tree. Each branch is an interest, activity, relationship, an accumulation for your future. Each branch requires energy to bear fruit. Some branches may be dying, diseased, broken beyond repair, or tangled with other branches. Airflow and spaciousness between branches is essential. Think about it. Habits. Relationships. Jobs. Commitments. Health. Goals. If you pruned the bad and sometimes the good for the sake of the best, what would happen? We all have a finite amount of time and energy. Considering who and where you are now, are you spending the right amount of your resources where needed? Or are you holding onto situations or relationships that are broken or frustrating? Tough questions, I know. Everyone has dead branches taking up space. When you have an overfull life or often feel overwhelmed, it’s usually a sign you have too many branches. Your energy is too diffuse to sustain everything. If you prune back non-essential things, you provide more energy to the remaining activity branches. As a result, overwhelm decreases and happiness grows. Early into the pandemic, (actually government restrictions) pruned branches from my life, as I’m sure it did from yours. At the time I didn’t realize some of the branches being pruned were unhealthy. For instance, I have this need to compare myself to others. As a result of lockdowns, social distancing, working from home, and staying within my “bubble,” there were fewer people around me to compare myself, thus envy and negative self-talk quickly dissipated. Then there’s COVID-19’s most crucial lesson; it taught me more about getting unbusy than any seminars could. Things I thought I “had to do” turned out I was just convincing myself I enjoyed. “Life pruning” can be painful, which is why we rarely or deliberately do it. For the most part we let life prune for us (e.g. death, divorce, job termination, nature destroying our home). Only when someone or something is gone do we finally realize how much it meant to us, how much energy it was taking from us or how harmful it was to our well-being. Often, when we look back after “life’s pruning” we may realize we benefited by the loss. There’s truism in the adage, “everything happens for a reason.” COVID-19 happened for a reason, if for none other than to slow us down and prune our lives. The stoic philosopher Seneca said it best: “Every new beginning comes from some other beginning’s end.” Over the past two years, COVID-19 has pruned many things from our lives. Relationships, mindless consumerism, pruning of jobs, re-evaluating career choice and perhaps losing loved ones to the virus. Initially, you may only feel pruning pain. Sometimes it takes time before you perhaps see the branches cut off were unhealthy. When non-essential retailers and restaurants were ordered to close, I quickly realized how much money I was spending frivolously. There were some friends I missed, but as time passed, I realized how much easier it was without them. COVID-19 gave me the gift of “letting go.” It gave each of us a once-in-a-lifetime chance to start over. Prior to the pandemic, I was a religious Saturday morning golfer. But I feel thankful for pruning golf from my life and instead giving me time to write — which I get more enjoyment from and find to be therapeutic. As the pandemic (hopefully) winds down and we begin returning back to something resembling normality returns, you might want to ask yourself: “What do I want my ‘normal’ to look like?”"
6,Will Social Media Companies Ever Make Fighting Online Abuse a Priority?,social-issues," Is it just me who believes we’ve lost our ability to have civil discourse? Every day, we rely on social media platforms to engage with like-minded people, promote ourselves, our work, and/or business. Unfortunately, the downside of increasing your visibility, especially when you wade into an online discussion with an unpopular opinion, is you become a lightning rod for online abuse. Online abuse can be especially relentless if you are a woman, identified as a member of a race, religion, ethnicity, or part of the LGBTQ+ community. I believe social media companies can reduce, even come close to, eliminating, online abuse. The first step: Facebook, Twitter, LinkedIn, Instagram, et al. becoming more serious and urgent about addressing the toxicity they’re permitting on their respective platform. The second step: Give users more control over their privacy, identity, and account history. Here are five features social media companies could introduce to mitigate online abuse. Educate users on how to protect themselves online: I’ll admit social media companies have been improving their anti-harassment features. However, many of these features are hard to find and not user-friendly. Platforms should have a section within their help center that deals specifically with online abuse, showing how to access internal features along with links to external tools and resources. Make it easy to tighten privacy and security settings: Platforms need to make it easier for users to fine-tune their privacy and security settings and inform how these adjustments impact visibility and reach. Users should be able to save configurations of settings into personalized “safety modes,” which they can toggle between. When they alternate between safety modes, a “visibility snapshot” should show them in real-time who’ll see their content. Distinguishing between the personal and professional: Currently, social media accounts are all-encompassing of your professional life and personal life. If you want to distinguish between your professional and personal life, you must create two accounts. Why not be able to make one social media account that toggles between your personal and professional identities as well as migrate or share audiences between them? Managing account histories: It’s common for people to switch jobs and careers and their views over time. Being able to pull up a user’s social media history, which can date back more than a decade, is a goldmine for abuse. Platforms should make it easy for users to easily search old posts and make them private, archive, or delete. Credit cards and/or phone number authentication: All social media platforms allow the creation of anonymous accounts. Ironically, much of the toxicity permeating social media stems from people hiding cowardly behind anonymous accounts. Anonymity enables toxic behavior by facilitating and backhandedly encouraging “uncivil discourse.” Eliminating the ability to create an anonymous account would literally end online abuse. Anonymity allows people to act out their anger, frustrations, and their need to make others feel bad, so they feel good. (I’m unhappy, so I want everyone else to be unhappy). Being anonymous allows someone to say things they wouldn’t even think of, or have the courage to, speak publicly, let alone face- to-face. All credit cards and telephone numbers are associated with a billing address. Social media platforms could prevent anonymous accounts by asking new joiners to input their credit card information, to be verified but not charged, or a telephone number to which a link, or code, can be sent to authenticate. (Email authentication is useless since email addresses can be created without identity verification.) Undeniable fact: When people know they can easily be traced they’re unlikely to exhibit uncivil behaviour. Yeah, I know—for many, handing over more data to social media giants isn’t appetizing, even if it eliminates the toxic behavior hurting our collective psyche. Having to go through a credit card or telephone authentication will be pause for many to ask themselves why the feel they must be on social media. Such reflection is not a bad exercise. Online attacks have a negative impact on mental and physical health, stops free expression, and silences voices already underrepresented in the creative and media sectors and in public discourse. Respective platform user guidelines (aka. Community Standards) are open to interpretation and therefore not enforced equitably. Content moderators (human eyes) and AI crawling (searching for offensive words and content) aren’t cutting it. Social media companies can’t deny they could be doing a much better job creating a safer online environment. Unfortunately, a safer online environment will only evolve when social media companies begin taking online abuse seriously."
7,Happiness Catch-22: Wanting More Makes Us Unhappy,social-issues," From 2001 to 2004, I worked/lived in India. I saw firsthand heartbreaking poverty. My takeaway from my experience in India is that North Americans have no real problems, just 1st world problems. Our financial stress, feeling unsuccessful, constantly seeking fulfillment is caused by marketing propaganda's influences and overabundance. It's no secret that marketers and advertisers keep us wanting more and more. This manufactured insatiable appetite to consume has eroded our ability to have any gratitude for all we have compared to most of the world. Canadians' lack of gratitude for living a 1st world lifestyle is truly appalling! In 2018 almost half the world lived on less than $5.50 a day. According to the World Bank, 3.4 billion people struggle to meet basic needs. Western society, especially North America, measures happiness and success by comparing oneself with others. For the most part, how we feel about our income, car, and house are moulded by our family, friends, colleagues, neighbours' income, car, and house. It's a national pastime to worry about relative status, which is why much of our consumerism revolves around trying to ""look rich."" Marketing propaganda has made us believe we're entitled to a certain lifestyle. If you're not living the lifestyle you're supposedly entitled to, we're a failure. Not long ago, when I'd see somebody wearing a $5,000 watch, for example, I'd look at my $200 watch and think, ""Maybe I'm doing something wrong."" Buying a Breitling® watch, an Audi S6 Sedan or a Lardini single-breasted blazer may make you feel happier. Like with my aforementioned watch example, it has a keeping-up-with-the-Joneses status effect. However, the happiness doesn't last long, since eventually ""the Jones"" will either buy what you bought, or something regarded as ""better."" This makes us want to buy more stuff to one-up ""the Jones."" Let's be honest; we all want to be ""the Jones."" When the latest iPhone comes out, the lineup at Apple stores are people who have a functioning iPhone in their pocket, wanting to be ""the Jones."" (FYI, we're on iPhone13, the first iPhone came out on June 29, 2007.) Moreover, we tend to compare ourselves to those who appear wealthier than us, an illusion easy to create, given the ease with which credit can be acquired today, coupled with social media. Thorstein Veblen, the 20th-century economist who coined ""conspicuous consumption"" and ""invidious comparisons,"" highlighted how people use luxury goods to display their social status, which in 2022 social media amplifies. As early as 1899, Veblen observed that people lived on treadmills of wealth accumulation, incessantly competing with others but not increasing their own well-being. Sounds familiar? Wanting, and therefore constantly seeking, recognition (READ: validation) is the biggest driver of human behaviour, which explains social media's addictive quality. (Social Media = ""Look at me!"") You giving a $2,000 cheque to your favourite charity receives no social applause. However, post a selfie of yourself wearing a $1,500 COBB leather jacket on Instagram, Facebook, and Twitter—you'll receive likes, comments, and ego-stroking. You'll temporarily be happy, but once the euphoria wears off, you'll want to buy more recognition. When it comes to ever-changing fashion, marketing propaganda tells you that your clothes will give you the recognition you crave more than your character or actions. Unfortunately, our society has gotten to the point where we feel recognition, respect, and love are more likely to come from owning a 65-inch flat-screen TV or driving a Tesla Model S than from doing good deeds or just being a good person. As social animals, status is naturally important to us. We're anxious to stand out from the crowd—to tower over our peers, gain their respect, and ""hopefully"" their love, which we believe will make us happy and fulfilled. For hundreds of years, we've inherently known that consumption doesn't lead to happiness. Every religion and philosophical tradition evangelizes this concept. Karl Marx's most important insight was his theory of alienation, which he defined as the sense of estrangement from the self that comes from being part of a materialistic society, in which we are cogs in a vast market-based machine. You don't need to be religious (or a Marxist) to see how absurd some of the claims our hyper-consumerist society makes. We're promised happiness with the next pay raise, the next new gadget—even the next sip of soda. In his book The Happiness Fantasy, Carl Cederström, a Swedish business professor, argues that companies and advertisers have promised satisfaction. Instead, they have led people into a joyless production and consumption rat race. As a result, though the material comforts of life have undeniably increased for Canadians, these ""things"" don't give our life meaning. We give our life meaning when we: •    give more than we take •    help someone in distress •    share •    empathize •    develop meaningful relationships we can count on •    are a good son, daughter, or friend •    serve others You could easily interpret this article as a lamentation against modern life and capitalism. For the record, I'm a very public proponent of democratic capitalism with a modern welfare state. My attempt here is to appeal to everyone to remember that material prosperity has both benefits and costs. The costs come when we allow our hunger for the trappings of prosperity to blind us from the timeless sources of true human happiness: faith, family, friendship, and work in which we earn our respective definition of success and serving others. These have always been, and will always be, the things that deliver the happiness I see so many trying to obtain through their consumerism."
8,The Perils of Trying to Impress on Social Media,social-issues," Many jobs ago, before social media had yet to become the disrupter it is today, I had dinner with an advertising executive at a downtown Toronto steak house. Between the porterhouse steaks, a bottle of Château Canon-la-Gaffelière Merlot, and chocolate moose, my host said to me something I’ve never forgotten, “Nick, image is everything!” Social media has many addictive qualities. The primary one: Social media is an excellent vehicle for trying to impress people through imagery projection. Admittedly impressing someone is often the key to being accepted, getting a date, being welcomed into a group, landing a job, or being respected. We gravitate to those who impress us, which is why we try to impress people — in the hope they’ll gravitate to us. To impress people, we often change ourselves to make others like us or carefully select what we share to not go against the image we’re trying to portray. Here’s how social media stickiness works. You get up in the morning, and like a Pavlovian dog, reach for your smartphone and start scrolling through your Facebook, Instagram, Twitter, et al. feed. Not long ago, I was guilty of this morning ritual. Your feeds will be populated with posts by people you’ve chosen to be connected to — posts and images of how happy and successful everyone is. Since you never have real-life interaction with your “social media friends,” these people are the equivalent of cartoon cut outs of happiness. You only see vacations, weddings, promotions, fancy dinners, etc., without knowing the person’s background story. In the back of your mind, you know most of the postings you see are performative, with an agenda of trying to impress, yet these postings trigger self-comparison. Living in a first-world country, you have more than most of the world’s population. Odds are you have a roof over your head, food in the fridge, your health is good, you’re employed, have family and friends. However, your social media feed makes you unhappy. Compared to your digital friend’s (strangers) posts, you’re not doing as many fun activities, vacationing in foreign countries, eating in fine dining establishments, shopping, or being professionally successful; thus, you want more. Wanting more is the cause of most of your problems and angst. The constant attempt to make yourself happy motivates you to do things you can document with the intent (your agenda) of impressing others. The ‘like’ button is the biggest Svengali-like mind wrecker invented since the television. The ‘like’ button feeds our need for recognition. It gives strangers the ability to vote on our life as if they’re Roman emperors pointing their respective thumb up or down. Like Pavlov conditioned his dogs, the ‘like’ button is conditioning us to create posts that’ll garner likes — and ‘likes’ requires impressing people. There’s this expression, “Do it for the Gram!” The phrase is a colloquial phrase that Instagram users say to encourage someone to take a picture of them doing something unique and posting it on Instagram. (e.g., giving a homeless person some change, you walking on the edge of a building’s roof) This “peer pressure encouragement,” whether direct or encouraged by our ego, which the ‘like’ button does a first-rate job of scratching, exists on all platforms. “Do it for the Gram!” isn’t a profound, meaningful act of seizing the moment of capturing the perfect picture; it’s the modern-day version of keeping up with the Joneses. There’s a reason why your friends and family have stuck around: you already impress them! If your friends are really your friends, the social media presence you maintain won’t impact their opinions of you. Your family and friends accept you for who you are, not the amount of ’likes’ you receive or your Facebook-worthy achievements. They’re still going to love you whether you get two ’likes’ or two thousand. These are the people worth caring about, not the practically invisible strangers represented by a small heart symbol. I don’t tend to take much of my life guidance from Hollywood; however, there’s a line in the 1985 film “The Breakfast Club” that’s stuck with me: “You ought to spend a little more time trying to make something of yourself and a little less time trying to impress people.” (Richard Vernon to John Bender) Though said in anger, Vernon gives Bender sage life advice. Imagine what you can achieve by focusing the energy you’re using attempting to impress others via social media to impress the only person worth impressing, yourself."
9,Is the multiverse real?,social-issues," Many people question the reality we live in. There would be no question you’ve probably asked yourself if there are other universes out there. If you haven’t found a real answer, that’s because there really isn’t one. We know space is large, far larger than our brains can really comprehend. In fact, space is so big that we have to start measuring it in time. Considering space is always expanding, space can’t ever officially be defined in measurement. It is, however, speculated to be around 92 billion light years large. With this all being said, we have to come up with theories. Based on science, let’s look at what we already know. Have you ever experienced deja vu? Deja vu is where people feel as if something has already happened in the exact same way. 2 out of 3 people have claimed to experience this, some more than once, too. What about having a dream involving someone you have never seen before? Chances are… you have. Well, we know our brains cannot create faces. Have you ever ran, read, told time, saw yourself in a mirror, sang, or even played an instrument in a dream? According to psychology, these are actually scientifically proven to be impossible. Maybe you have felt like you’ve done these before, lots of people claim to even though it is factually not possible. What about having a dream and it coming to a reality after seeing it? How can that be? These are all questions that can be answered in a theory involving the multiverse. Let’s get even more scientific. We know that thoughts are energies that can travel. Making scenarios in your head about anything is something everyone does. What if these scenarios are actually events from other universes coming to our reality? Technically, all thoughts exist. Manifestation, shifting, laws of attraction, and many other energetic tricks involve the multiverse. How is it possible to think of something for it to come to a reality? How can one speak things into reality? Again, the answer is the multiverse. We also know everything is an energy. Although we are in the physical world, we are still energy. Everyone has their own aura or energy. Since thoughts are also energies, can we travel through the multiverse? So many questions that can only be theorized. Many scientists believe we have an infinite amount of universes, some say an oddly specific number, some don’t even think we have one! Depending on your own experiences, opinions, and other factors, all answers vary. Personally, I believe we have an infinite amount. Not only due to theories mentioned above, but also because of conscious thinking. For example, we make decisions daily. We can “what if” forever. What if you had an option to eat pizza or eat chicken, and you chose the chicken. Let’s say that chicken got you extremely sick, you ended in the hospital and were in critical condition from food poisoning. Because you chose to eat the chicken, you had to miss multiple days of work. Because you missed multiple days of work, you lost out on lots of money. And because you lost out on all that money, you couldn’t afford to pay for rent. And because you couldn’t pay for rent, you lost your apartment. And because you lost your apartment, you became homeless. Although that is a stretch and silly circumstance, it represents our conscious decision making. In that example, because you made the choice to eat some chicken instead of pizza, you became homeless. What if you chose to eat the pizza? Well, that proves how every little decision making can lead to large outcomes. Maybe there’s a universe out there where you chose the chicken. In conclusion: deja vu, decision making, energetic tricks, dreams, and much more lead me to believe the multiverse is in fact real. If we can’t see it, who knows."
