,topic,category,content
0,Can You Use Expired Covid Tests?,health," 6.2K Followers Pinned “NIGGER, NIGGER, NIGGER” cut through the air of the oncology consultation room, with the staccato triplet setting my eardrums vibrating and freezing my face and body in space. I have often thought about race and have heard such racial epithets on several occasions. But I think the boxer Mike Tyson… 6 min read Published in BeingWell ·Pinned Blood levels of proteins reflect the starting, stopping, and changing of biological processes linked to aging. We make significant changes at three ages. —  “The wiser mind mourns less for what age takes away than what it leaves behind.” This is the insightful observation of William Wordsworth (1770–1850), the English romantic who (along with Samuel Taylor Coleridge) helped initiate the Romantic Age in English literature. Together, they published Lyrical Ballads in 1798. 3 min read Published in BeingWell ·4 hours ago YOU TEST POSITIVE FOR A COVID-19 INFECTION. What’s your next move? Should you take an anti-viral drug such as the pill Paxlovid? In the United States, the Food and Drug Administration (FDA) recommends the anti-viral drug Paxlovid for those at least 12 years of age, weigh at least 88 pounds… 3 min read Published in BeingWell ·1 day ago SENSITIVITY TO PARTICULAR ODORS correlates with depression or anxiety symptoms. That’s the conclusion of researchers who examined more than 400 subjects. Anxiety symptoms appeared associated with a heightened sensitivity to floral or kitchen smells. Depression seemed linked to an increased awareness of social odors (for example, the “good” and “bad”… 2 min read Published in BeingWell ·2 days ago ONE MILLION. THAT’S THE NUMBER OF COVID-19 DEATHS we will soon reach in the United States. That’s more ​​than have died in two decades of car crashes or on battlefields in all of the country’s wars combined. An acquaintance recently reported his infection from the novel coronavirus. Heeding President Biden’s… 3 min read Published in BeingWell ·3 days ago “You just can’t differentiate between a robot and the very best of humans.”
― Isaac Asimov, I, Robot BREAST DENSITY IS ASSOCIATED WITH BREAST CANCER RISK. Denser breasts are also more challenging to image; I often allude to trying to find cancer as “looking for a snowball in a snow… 3 min read Published in BeingWell ·3 days ago CHRONIC INFLAMMATION IS POISON FOR YOUR HEALTH. The condition is associated with colorectal cancer, heart disease, type 2 diabetes, rheumatoid arthritis, ankylosing spondylitis, and more. That’s the bad news. The good? Certain physical activities can reduce your inflammation. Today we turn to three of my favorite ways to reduce chronic… 3 min read Published in BeingWell ·4 days ago SKIN BIOPSIES CAN BE PAINFUL. In this context, researchers are developing a low-cost handheld device that may eliminate about half of all skin biopsies, providing rapid diagnoses for skin lesions. Unfortunately, our current management strategies concerning skin lesions leave much to be desired: Biopsies have recently grown approximately four times… 3 min read Published in BeingWell ·5 days ago DID YOU REALIZE THAT YOU ARE FLUSHING valuable health information down the toilet every day? Our bowel movements are full of biomarkers for various conditions, including cancer, COVID-19, irritable bowel disease, etc. I don’t know about you, but I have no great desire to frequently obtain stool samples to send… 3 min read Published in BeingWell ·6 days ago A new study on time-restricted feeding is raising eyebrows. —  “INTERMITTENT FASTING ISN’T A MAGIC DIET TRICK AFTER ALL.” That is the headline I spotted after researchers recently published a weight-loss study. Time-restricted eating (or intermittent fasting) has been among the most popular recent health trends. … 4 min read"
1,Guilds — families or governing bodies?,health," 13.9K Followers 4 days ago The phenomenon of human tribalism is a greatly interesting one. Since our caveman days, the evolution of humanity has been marked by powerful competition amongst groups and alliances. From the rise and fall of empires to the formation of labour unions, it is clear that our propensity for alliances has shaped the landscape of our world tremendously. This much is already evident within the Web3 space. 8 min read May 10 Introduction Imagine having a machine that prints money — we’d all be rolling in riches! Alas, as adults we realize that this dream we had as children is simply not feasible, due to the principle of inflation. When the money in circulation increases, the cost of goods and services increases… 10 min read May 3 Here at STEPN, we’ve been extremely grateful for all the excitement, support, and engagement we have seen from the community. It’s been a whirlwind of emotions seeing our dream grow into a reality. We’ve truly put our blood, sweat, and tears into this platform for the past several months, working… 7 min read Apr 28 Innovate or die Stormy seas of change rock the foundations on which businesses are built, but organizations that ride these waves emerge as the crowned victors — for example, market leaders like Netflix and Disney. Change is often centered around technology. In this case, Web3 offers endless possibilities ahead. Industry giants and conglomerates… 4 min read Apr 27 We remain committed to making Web3 an inclusive place bringing in a diverse set of consumers The new internet In the past few years, the web3 movement has taken the internet by storm. … 7 min read Apr 22 STEPN, a Web3 lifestyle app, is kickstarting their mission toward combating climate change and achieving carbon neutrality with a purchase of $100,000 worth of Carbon Removal Tonnes, or 5,797.1 tonnes. STEPN will continue to power the movement to reverse climate change with a monthly commitment to pay for carbon removal. … 4 min read Apr 21 Unleash your STEPN creativity with our first season of Discord Sticker Contest from 23:59 GMT 26/04 to 23:59 GMT 10/05. REWARDS: **Grand prize: 10 Stickers designed by the grand winner will be featured on our Discord server + $10K worth of GMT Nominated prize: 4 nominated winners will each get… 2 min read Apr 20 As we continue to build and grow STEPN, we like to reflect on our roots every now and then. One of our biggest motivators when we first started this project was to add more good to the world. As we considered how we could create something that would benefit our… 6 min read Apr 14 This is a question we hear often from sceptics who haven’t tried out our platform before. It’s a fair one — and we’ve talked to many users who said they had their doubts before trying STEPN. If you’ve already developed an exercise routine that works for you, then that’s great… 6 min read Apr 12 How do you get people to work out? It’s a dilemma that humans have grappled with since the invention of “fitness.” Countless companies have tried to solve this problem — in fact, the modern fitness industry, which is now a trillion-dollar juggernaut, is constructed around this entire premise. … 6 min read"
2,A Better Traverse City Parkway: Endgame,health," 37 Followers 1 day ago This is the sixth story of the “A Better Traverse City Parkway” series. Read #1 (Imagination, Attention and Action Required), #2 (What Now?), #3 (What’s Important to You?), #4 (An Opportunity), and #5 (Negotiation) Traverse City’s most important public works project of my generation is nearing its planning endgame. This… 3 min read May 3 This is the first story in my “Adventures In Framing” series as a 2022 Rotary Charities Changemaker Fellow — a three-year fellowship with the FrameWorks Institute to bring the social science of framing to northern Michigan to better drive change. I love learning what to do but, I also appreciate… 2 min read May 2 This is the fifth story of the “A Better Traverse City Parkway” series. Read #1 (Imagination, Attention and Action Required), #2 (What Now?), #3 (What’s Important to You?) and #4 (An Opportunity) I try not to worry about things that are out of my control. And until recently, one of… 2 min read Mar 28 This is the fourth story of the “Better Traverse City Parkway” series. Read #1 (Imagination, Attention and Action Required), #2 (What Now?), and #3 (What’s Important to You?). Last week, the Traverse City City Commission shared that the 1947 agreement between Traverse City and the Michigan Department of Transportation is… 2 min read Feb 16 This is the third story of the “Better Traverse City Parkway” series. Read #1 (Imagination, Attention and Action Required) and #2 (What now?) Last week, the City Commission voted unanimously to direct the City Attorney to engage outside counsel to write a legal opinion on the 1947 agreement between Traverse… 3 min read Feb 6 Last week I published “Imagination, Attention and Action Required” ahead of the Michigan Department of Transportation’s virtual meetings on the redesign of Traverse City’s Parkway. I attended parts of both of these virtual meetings. Their presentation was thorough but, I thought the public input process — type your question into… 3 min read Jan 30 60 years ago, we made a mistake. My friend, neighbor, and mentor Bob Otwell reminded me of that mistake in his recent Traverse City Record-Eagle forum, “Don’t rebuild Parkway without public input.” He wrote: In Traverse City, we owe our forefathers thanks along with criticism. We are forever grateful for… 5 min read Dec 25, 2021 Four boys I knew — boys who I had conversations with, boys who I rode bikes with — here in northern Michigan took their lives this/last year. We can and must do better. We all have a role to play in protecting our kids’ mental health. I’ve made a promise to myself to do better — to fight for them — because I can’t take any more of these funerals.💔 The US Surgeon General recently published this new advisory on this crisis. 1 min read Four boys I knew — boys who I had conversations with, boys who I rode bikes with — here in northern Michigan took their lives this/last year. We can and must do better. We all have a role to play in protecting our kids’ mental health. I’ve made a promise to myself to do better — to fight for them — because I can’t take any more of these funerals.💔 The US Surgeon General recently published this new advisory on this crisis. If you are a mental health professional, parent, community leader, concerned citizen, elected official, or middle/high school student who would like to join me in this fight, please do. The kids need you. I need you. We need you. Join the fight HERE. Dec 5, 2021 Meet my neighbor, Merilyn. Merilyn is one of my heroes because she is a sidewalk-shoveling rock star. During the winter, she can regularly be seen clearing her stretch of walk. And when I say regularly, I mean all the time. Whenever there’s an inch or two of snow on the… 3 min read Nov 29, 2021 Inspired by Brent Toderain’s Mayor For One Day Challenge, here are my top 10 things I’d do here in Traverse City, Michigan if I was mayor for a day. A fella can dream, right? 1. Ban single-family zoning, remove parking minimums (add maximums), upzone more on BATA routes. 2. Build… 2 min read"
3,Peering into the accessibility of Dark Mode,health," 36 Followers Published in UX Collective ·Updated 1 day ago An emerging trend in user interface design, Dark Mode’s USP seems to be its sustainability and easing the visual strain on our eyes. But how true are these notions — and how does it fare in terms of accessibility? —  These days, Human-Computer Interaction (HCI) demands that we optimise the experience between the user and the interface to the best of our knowledge and capabilities. To achieve a challenging, but balanced grounding, it needs to be both intuitive and aesthetic. 10 min read Published in Towards AI ·4 days ago In a recent, rather troubling, study humans could detect fake reviews with a measly 55.36% success rate. As for AI? It boasted a 96.64% accuracy. —  Fake reviews have become a steady crutch for many companies relying on misleading information to hoard in sales. To make things worse, we are a creative lot when it comes to hacking “the system”. Hence, many have already taken false promotion further by reaching for AI. 9 min read Published in UX Collective ·Updated 6 days ago You’ve heard of Jakob’s Law and read all the articles on integrating mental models for better UX outcomes. What next? —  Psychology and good design experiences go hand-in-hand, as goes the fairly recent adage. Chances are you’ve come across the basic “laws” of UX and seen examples in action. You may have even taken an interest in behavioural science and cognitive psychology — but if not, I’ll be glad to cover… 6 min read Published in Better Humans ·May 10 Is your attention span declining? And are technology companies’ crafty engineering to blame or is it down to personality traits? Diving in… —  Fishing is considered a fairly innocuous hobby — you catch and release those trophy fish back into the water, after all. What could go wrong? Well, here’s an unknown plot twist. After being caught and let off by an angler, fish die of a variety of physiological stresses caused during… 8 min read Published in UX Collective ·Updated May 7 …and that’s cool! But I do beg of you to quit labeling yourself an introvert with *occasionally* fantastic social skills, because frankly, you are selling yourself short. —  The more posts I read from people claiming they are UXR-Cinderellas (turning back into the quiet step-daughter once the ball is over), the more disgruntled I am becoming with the messaging. … 8 min read Published in UX Collective ·Updated May 5 Understanding the types of bias can help ensure they do not skew your user personas and research design. Let’s cover some do’s and don’ts! —  Personas are like the characters in your everyday commercials. In a time-crunched sneak peek, they tell stories about partially imagined, but still research-based customers. Representing an ideal, yet biased archetype in most scenarios, they are a particular, merged segment of various demographic and psychographic data. … 9 min read"
4,The Happiness Formula,health," 688 Followers 1 day ago I am not a specialist in anything. I have worked through 8+ professions — A leadership development consultant, innovation consultant, filmmaker, journalist, advertising executive, EdTech, and more. I am also not an expert in anything. I am not a TEDx speaker or an influencer. I love coffee, music, movies, and… 5 min read Jan 20, 2020 Let me share my takeaways from this amazing article I read this morning! Bear with me 🙏🏼 This is about #neuroscience , #AI / #ArtificialIntelligence , #psychology , #life . 1 — The second law of thermodynamics tells us that the universe tends toward entropy, toward dissolution; but living things… 2 min read Jan 11, 2020 I try and do. Sometimes even more. Here’s the math: A. 52 weekends give you 104 days for yourself and your loved ones. B. Add 15/20 statutory leave days that you are entitled to (India). C. Add 10–14 public holidays to this. That’s 124+ days of time off you have for yourself every year. How well are you using it? Since 2005… 2 min read Jul 28, 2018 The workplaces of the past are the workplaces of the future I have been a failed entrepreneur many times over, probably the reason why I became a consultant :). … 2 min read Nov 4, 2017 Is there something that connects both what I do and purpose behind it? That connect is so essential. Let me ramble on a bit. I founded my first startup, an ad agency, to make a living – I failed. But somewhere along the way I accidentally stumbled upon the art… 2 min read Oct 18, 2017 1988: My Girlfriend Gets Me Enrolled It was sometime in 1988 when my girlfriend purchased and filled up my MBA entrance form and ordered me to appear for it (or else her dad would never approve of me). … 3 min read Sep 29, 2017 Fact is I don’t have an answer. I work hard to reach the stage where I can retire. But somehow retirement has become synonymous with old age. When I cannot work anymore. What if I manage to retire now? What will I do? What will I need? … 1 min read Jan 8, 2017 I downloaded the Original Soundtrack of La La Land, my favourite movie of 2016, and have been listening to it waiting for my first business trip of 2017 to commence. (If you love romance watch the movie and download the soundtrack https://itun.es/in/bODggb) The track ‘City of Stars’ reminds me of… 2 min read Dec 3, 2016 How PM Modi's note recall narrative has fallen apart
Three weeks ago, the decision to scrap 500 and 1000-rupee notes was sold as a moral crusade, indeed, as a war on…indianexpress.com Tony Joseph (@tjoseph0010) usually writes about varied stuff like Christianity and conversions, Anna Hazare, sex ratios and in the past has been an editor of Business World. His latest piece on Modinomics is worthy of bestseller status (fiction category). … 2 min read Nov 5, 2016 There’s a section within India which has celebrated this comment. Many of them journalists, many from the opposition but mostly detractors of the current government. There’s an irony in this comment – it implies true journalism is all about opposing the government. Else how would you garner ‘criticism from the… 3 min read"
5,The Empty Glass,health," 68 Followers 1 day ago “First you take a drink, then the drink takes a drink, then the drink takes you.” – F. Scott Fitzgerald “Would you like a drink?” Attend a dinner, party or a function and that is usually the first question posed. … 4 min read May 9 “You see, I usually find myself among strangers because I drift here and there trying to forget the sad things that happened to me.” – F. Scott Fitzgerald You wake up and the weather is perfect. Your family is in a friendly and helpful mood. You’ve had a great night… 2 min read May 5 “We can complain because rose bushes have thorns, or rejoice because thorns have roses.” – Alphonse Karr There are optimists and pessimists. The overtly optimist sees the world through rose tinted glasses, their halo creates a light that makes others happy, they are oblivious to a few things, they can… 3 min read Apr 30 “Each man is questioned by life; and he can only answer to life by answering for his own life; to life he can only respond by being responsible.” – Viktor Frankl “I’m not doing great. I just turned 40, my partner left me and I hate my job.” “Oh my… 4 min read Apr 18 “Forgiveness is the fragrance that the violet sheds on the heel that has crushed it.” – Mark Twain On August 25th 1993, a young American girl was murdered in the Gugulethu township just outside of Cape Town, South Africa. Amy Biehl was my friend. She was a gifted and dynamic… 3 min read Mar 13 “If you put good apples into a bad situation, you’ll get bad apples.” Philip Zimbardo The world is bad. History has shown us again and again the atrocities humans commit on one another from Rwanda, Cambodia, East Timor, Darfur, Nanjing and Rohingya. … 4 min read Feb 22 “Somebody was trying to tell me that CDs are better than vinyl because they don’t have any surface noise. I said, ‘Listen, mate, life has surface noise.’ ” – John Peel, Original BBC Radio1 DJ Remember the smell of music? That delightful blend of vinyl, cardboard and ink that permeated… 3 min read Feb 22 “Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth.” ― Marcus Aurelius There are 7.5 billion people in the world. We aren’t just black or white; male or female; gay or straight; young or old. We aren’t a box that gets… 3 min read Feb 22 “The hero is commonly the simplest and obscurest of men.” – Henry David Thoreau A conversation was overheard the other day on the topic of changemakers. It is a common one in many schools where there is an attempt to inspire students, parents and community to look at their lives… 3 min read Feb 18 “Finland is officially the world’s happiest country. It is also 75 percent forest. I believe these facts are related.” – Matt Haig White sand beaches. Crystalline blue ocean. Lush green, tiered rice paddies. As one of the most popular destinations in the world, images of Bali flood Instagram. Bali is… 4 min read"
6,8 Science-Based Tools to Improve Learning & Memory,health," 780 Followers 1 day ago These are my notes from The Huberman Lab Podcast episode #72. I am a BIG fan of Dr. Huberman and his podcast. Another fantastic episode. It explains the mechanisms by which different types of memories are established in our brain and how to leverage the amount and timing of key… 6 min read May 9 These are my notes from The Huberman Lab Podcast episode #71. I am a BIG fan of Dr. Huberman and his podcast. This episode is about the neural mechanisms that activate and control aggressive states and behaviors and the role of hormones in mediating violent and/or competitive aggression. It is… 4 min read May 2 These are my notes from The Huberman Lab Podcast episode #70. I am a BIG fan of Dr. Huberman and his podcast. Dr. Rhonda Patrick is someone who I have been following for a while in the wellness, fitness, and health area, and I was delighted that she was in… 5 min read Apr 28 These are my notes from The Huberman Lab Podcast episode #44. I am a BIG fan of Dr. Huberman and his podcast. I fell sick this week, so I decided to go through my notes of this episode and see what I could do to make myself feel better. This… 5 min read Apr 25 These are my notes from The Huberman Lab Podcast episode #69. I am a BIG fan of Dr. Huberman and his podcast. In this episode, he describes mechanisms by which deliberate heat exposure impacts body temperature, metabolism, heart health, hormone production, exercise recovery, cognition, mood, and longevity. I have been… 6 min read Apr 23 These are my notes from The Huberman Lab Podcast episode #67. I am a BIG fan of Dr. Huberman and his podcast. Though this episode started very well, at some point they started getting extremely technical and it was quite hard to listen to. They go deep into biology and… 6 min read Apr 21 This post is inspired by a thread on twitter done by Podclips, which is a web containing the best clips of a ton of podcasts. Here we go! 1) View Morning Sunlight Everyday Getting sunlight in the eyes first thing in the morning is absolutely vital for mental and physical health. It promotes metabolic… 5 min read Apr 18 These are my notes from The Huberman Lab Podcast episode #68. I am a BIG fan of Dr. Huberman and his podcast. I thought this was going to be the classic “get sunlight in the day and avoid lights at night” but, as always, Dr. Huberman did an excellent episode… 7 min read Apr 4 These are my notes from The Huberman Lab Podcast episode #66. I am a BIG fan of Dr. Huberman and his podcast. In this episode, Dr. Huberman talks about how cold exposure can enhance mental health, physical health, and performance. This topic is a recurrent one in the health and… 6 min read Mar 28 These are my notes from The Huberman Lab Podcast episode #65. I am a BIG fan of Dr. Huberman and his podcast. In this episode Dr. Huberman talks with Dr. Andy Galpin, one of the foremost experts in the world on the science and application of methods to increase strength… 8 min read"
7,How Often Should You Pee?,health," 113K Followers 1 day ago What ‘having to go’ says about your health —  Waking up once or twice during the night to pee is annoying, especially for me if it happens around dawn, when the odds of falling back asleep are near zero. But one or two nocturnal bathroom trips are normal. It’s also natural to urinate a lot during the day. Exactly… 4 min read 6 days ago We’ll soon find out. Here’s my plan to survive… and inspire. —  UPDATE 5/13/22: I made it! It was a heckuva challenge, especially the last 15 miles, and especially mentally. My 21-year-old son joined me for the last 30 miles, and having a riding buddy along helped a lot. Anyway, the article below remains as originally written. … 4 min read May 10 You should definitely give this sleep aid a try, scientists say —  Cognitive neuroscientist Sara Mednick, PhD, argues that we should all have more sex in order to rev up every cell in the body and brain and release feel-good hormones that set us up for a good night’s sleep. “To all you insomniacs out there, to the anxiety-prone people who spend… 4 min read May 5 You’re soft, and you know it. So here’s a 9-step guide to getting out of your comfort zone for sheer exhilaration and improved well-being. —  For two years I’ve been trying to climb a nearby mountain. Well, a hill actually, but a very steep one. On my mountain bike. At my age! Monthly I’ve tried and failed at what would’ve been a cinch in my 20s. But I never faced this particular mountain back then… 6 min read Published in Human Parts ·May 2 It’s never too late to improve who you are. Here’s how… and why. —  Never will I claim to be a wonderful person. I think I’m an okay person. I have not killed anyone yet, haven’t stolen anything since I was about 10 years old, and a good chunk of the stupidest and most annoying things I’ve done to other people seem to be… 6 min read Apr 30 Hype around meat substitutes and the problems they supposedly solve is questioned by experts in many fields —  Trying to eat a healthy diet with an eye toward sustainability is bewildering these days. The recipe for perplexity includes long-running arguments over the nutritional and environmental merits and demerits of meat vs. … 5 min read Apr 28 A skeptic’s journey into mindfulness meditation leads to more introspection, less stress and anxiety, and even a little more happiness —  When a remedy for well-being or a blueprint for happiness seems too good to be true, I’m naturally skeptical. Take mindfulness meditation, said to alleviate stress and anxiety and battle depression, dampen fears and control anger, improve sleep, reduce guilt, improve cognitive function, lower blood pressure, tamp down chronic pain… 10 min read Apr 19 Myths, mysteries and frustrations over body-temperature differences —  Temperatures rise around our house whenever my wife is too hot, or I’m too cold — or vice-versa. We clash over control of the thermostat, have heated discussions about whether windows should be open or closed, and wrestle blankets on and off the bed at night. Yet at any given… 5 min read Apr 18 News Brief: A history of allergies might predict heart problems —  Allergies have been linked to a higher risk of heart disease in past studies, but the findings haven’t been convincing. A new study finds “adults with a history of allergic disorders have an increased risk of high blood pressure and coronary heart disease, with the highest risk seen in Black… 2 min read Apr 14 Healthy lifestyles are linked to extra years of life and more years without Alzheimer’s disease —  When I ask people how long they want to live, most say something like “as long as I’m healthy.” Most of us naturally want to be of sound mind and body until the end. Fortunately, science has found several best practices that can help give us the best chance of… 4 min read"
8,It’s Not a Chemical Imbalance: 5 Real Reasons for Depression,health," 14.3K Followers 10 hours ago The new frontier for writers —  Writers, your world is about to change — in fact, it’s already changed, and you may not realize it. The metaverse is coming: a digital, interconnected space where people can create anything they want, be anyone they want to be, and interact with others in a virtual world. It sounds… 6 min read Published in Publishous ·1 day ago Depression isn’t some horrible beast that lives in your brain —  Many people say that depression is caused by a chemical imbalance. Nevertheless, most psychologists and therapists now consider chemical imbalance debunked. But if depression isn’t caused by a chemical imbalance, what does cause it? And can depression still be treated with anti-depressive drugs? The Chemical Imbalance Myth The myth that depression is caused by… 5 min read 3 days ago The culture is different and the approach has to be different too —  Network marketing, sometimes called multi-level marketing (MLM), takes skill and a willingness to give yourself to many people. You have to be able to reach out, follow up, and put on your teaching cap to train new recruits. … 5 min read 4 days ago Why this targeted approach works —  Content marketing has lots of benefits for businesses. High quality content can establish your brand as an expert voice within your field. Regular content output drives engagement and helps you maintain gains you’ve made in growing your brand. Content comes in many different shapes. From podcasts and YouTube videos to… 4 min read Published in Publishous ·4 days ago Why it’s unhealthy and how to stop it —  Doomscrolling, a new health hazard, involves constant engagement with negative news. It bears the hallmarks of addiction and is tough to quit. It’s hard to avoid dismal broadcasts because the media focuses on harrowing events, offering frequent bleak speculations. Doomscrollers fixate on disheartening reports even when aware it makes them… 4 min read Published in Publishous ·6 days ago Giving books as gifts can be a great choice —  Everyone, be honest: Sometimes books make the best gifts because they’re easy to wrap. But they can also make great gifts because they’re affordable and can be very personal. Giving books as gifts can be a way of telling someone you love them and thought about them enough to invite… 4 min read Published in Publishous ·May 9 How to capture the attention of your audience —  Content marketing is one of the best ways to build an audience, but there’s nothing more frustrating than spending hours writing a piece of content, only to find that no one reads it. It’s hard to stand out in a sea of content, and it’ll only become harder over time… 4 min read Published in Publishous ·May 5 “Fake news” has become a catch-cry of the 21st century —  Are dozens of senior political figures, Hollywood A-listers, and media personalities involved in a satanic organization that kidnaps and sells children into sexual slavery or murders them and harvests their blood to produce an elixir of life? Is there a collaboration by hundreds of governments worldwide to exercise mind control… 4 min read Published in Personal Growth ·May 4 The psychology of forgiving and forgetting —  Forgive and forget. We’ve all heard it before, but what does it really mean? Is there a difference between forgiving someone and forgetting what they did? Or are they one and the same? According to experts, forgiving and forgetting can be hard to do. They take time and several steps… 3 min read May 3 Make the shift to an abundance mindset —  Stephen Covey first coined the terms abundance and scarcity mindsets in his book titled “The Seven Habits of Highly Effective People.” His book has changed the way that people look at success and his ideas are extremely thought-provoking in our own lives. He describes the abundance mindset as a mindset… 3 min read"
9,Here’s What Happened on One-Meal-a-Day After 15 Years.,health," 13.2K Followers Published in ILLUMINATION ·Pinned She lost 30 pounds, improved her muscles, and gained a better mood. —  An individual seeking a solution to a desperate situation will consider multiple options. Julia’s life initially was dismal and unsatisfactory, with emerging health conditions hitting her physically, emotionally, and mentally. She lost control and started looking for viable solutions in desperation. Awareness and acceptance of her dire situation was a decent start. She stopped being shy and hiding behind her ego by seeking… 8 min read Published in ILLUMINATION ·Pinned Understanding the health risks of visceral fat and the benefits of lean muscles and improving them by considering practical tips —  Why Reducing Visceral Fat and Increasing Lean Muscles Matter Metabolic disorders such as type II diabetes, heart diseases, cancers, and neurodegenerative diseases kill millions of innocent people, causing suffering for individuals and their loved ones. In addition, these diseases adversely affect the economy by increasing the cost of healthcare globally. Therefore, dealing with these diseases with medical intervention is… 8 min read Published in Euphoria ·Pinned How to melt belly fat easily and quickly with simple lifestyle adjustments —  Beating Fat by Understanding the Fat Metabolism Undoubtedly, visceral body fat poses health risks. Tapping into our belly fat can be challenging if don’t meet the fat-burning requirements of the body. Abdominal fat is extra obstinate due to the hormonal effects of insulin and cortisol hormones coded in our survival system. … 8 min read Published in Euphoria ·Pinned Powerful fat loss tips from my personal experience learned by trial and error, also backed up by science —  How I Solved Fat Loss Mystery I owe my success in the fat loss journey to powerful lifestyle habits gained via experimentation, customization, and persistence. I tried fad diets in my younger years and wasted thousands of dollars on supplements. None of those expensive and tiring attempts produced any results. I felt frustrated and empty. … 9 min read Published in Euphoria ·Pinned No matter how young we are, unless we address insulin resistance and become insulin sensitive, our waistlines will grow —  The critical role of insulin resistance on fat loss and decreasing the waistline Do you want to shrink the size of your waistline and gain a defined body? Are you a lazy or hardworking person? The second one is not a tricky question. I ask this question because different solutions address insulin resistance based on our personality and lifestyle. 10 min read Published in ILLUMINATION ·Updated 3 hours ago I explain the promising benefits of this helpful trace mineral for mental health based on my reviews and years of experience —  Elaine’s Sad yet Inspiring Story I met Elaine (a computer engineer) in a client’s workplace years ago. During our first meeting, she sounded terrific. We quickly clicked. Then, as we had a lot in common, we exchanged business cards. A month later, I visited the same workplace. This time Elaine looked depressed. She did not… 9 min read Published in ILLUMINATION ·Updated 13 hours ago I explain the exceptional health and well-being benefits of a personalized intermittent fasting regimen as a lifestyle choice. —  Purpose of the Article On requests from subscribers, this piece follows a previous story reflecting on my unique experience of skipping breakfast for two decades. This post intends to explain the importance and value of skipping another meal, particularly lunch, for over a decade under seven sections. 11 min read Published in ILLUMINATION ·2 days ago Leveraging my long-term studies, I’ve outlined ways to reduce the risk of neurodegenerative diseases (e.g., Alzheimer’s) for a healthier and longer life. —  The Importance of Lifestyle Habits in Mitigating Neurodegenerative Disorder Risks Whatever we do, we cannot stop aging with our current capabilities. Our genes program aging. However, we can significantly lower the risks of neurodegenerative diseases like Alzheimer’s by leveraging healthy lifestyle habits. The earlier we start, the better. 7 min read Published in ILLUMINATION ·Updated 1 day ago I outline the potential risks of losing weight quickly using rapid weight loss protocols with an extreme caloric deficit. —  The Importance of Losing Fat Slowly Firstly, weight loss and fat loss are two different concepts. The primary difference is the content of weight. In fat loss, the body mobilizes and burns fat molecules. It requires the body to adapt by creating the biochemicals needed for the process. 7 min read Published in ILLUMINATION ·Updated 3 days ago I explain why burnouts matter and what we can do to deal with and prevent them based on ideas from my three decades of experience —  The Importance of a Methodical Approach to Dealing With and Preventing Burnouts Life is not a rosy garden. It constantly throws us challenges. Millions of people suffer from burnout for various reasons. When our health is compromised, life loses its meaning. Using ideas from my three-decade experiencing chronic stress, I offer three practical ways to prevent burnout. 8 min read"
