,topic,content
0,It’s the End of the World as We Know It — But I Don’t Feel Fine," 180K Followers Published in Eudaimonia and Co ·Pinned How America (and Britain) Became Failed States —  Take a hard look at America — and Britain — today. Since the last massacre, at a school, America had 10 more mass shootings just this weekend. Meanwhile, a paralyzed Congress can’t and won’t do anything about it — one side overtly lunatics, the other afraid of the lunatics. Then… 9 min read Published in Eudaimonia and Co ·Pinned We’re Crossing the Threshold of Survivability — And There’s No Going Back —  “Why do you think people are a little freaked out by what I’m talking about these days?” I was asking my kid sis. She laughed. “You’re basically telling them it’s the end of the world?” It was the night of the eclipse. A red moon illuminated the sky. 300,000 years… 8 min read Published in Eudaimonia and Co ·18 hours ago Our Dirty Industrial Economy Was the Greatest Bubble in Human History, and Now It’s Popping —  “I’m trying to figure out how bleak the future of the planet is. I assure myself that, even if I’m a starving artist, at least I have thousands of dollars in my retirement fund that I’ve been saving up for the last 20 years. Now I’m worried that everything we… 11 min read Published in Eudaimonia and Co ·1 day ago How do You (Really) Feel These Days, No BS? Here’s How I Do —  “I don’t know why.” I was talking to my kid sis, aka my shrink, aka my best buddy, aka my archenemy. “Well…try to explain,” she said. “I just feel like there’s this weird bad energy emanating from the center of the universe, or at least people, and I can feel… 9 min read Published in Eudaimonia and Co ·2 days ago This Time Around, They’re Planning Fifty January 6ths, Not One. That’s Why the Committee’s Hearings Matter —  How do you feel about the January 6 Committee hearings? Here’s a remarkable statistic — one of the most remarkable ones in American history, if you ask me. 60% of Americans think the former President should be charged. Criminally. For attempting a coup. Whew. That’s quite a number. When the… 8 min read Published in Eudaimonia and Co ·3 days ago How Bad Will the Economy Get? You Don’t Want to Know —  Inflation skyrocketing. Stock market tanking. Pundits are calling it “a tough new economic climate” and “a slow economy.” So…how bad is the economy going to get? If you really want to understand this question, then let’s talk about it seriously and subtly. There’s a certain thing, a kind of stupidity… 9 min read Published in Eudaimonia and Co ·4 days ago Our Planet is Changing in Profound, Terrifying, and Visible Ways Now. But We’re Still in Denial About What It Means. —  Let me share a story with you. It comes from a friend. A successful enough guy. Born and raised — back and forth — between the Indian Subcontinent and the West. Now he’s settled in the West, a doctor, with a family of his own. He said to me: “Man… 9 min read Published in Eudaimonia and Co ·5 days ago Yes, Trump Tried to Kill American Democracy. The J6C is Telling the Story in Dramatic, Explosive Detail. —  We’re all used, by now, to American politics being one dismal, giant exercise in fail. So it’s remarkable. Each January 6th Committee hearing is more incendiary and dramatic than the last one. I’ve covered each of them — and yesterday’s was the most explosive yet. It’s funny, because as a… 10 min read Published in Eudaimonia and Co ·6 days ago See That? That’s an Industrial Economy Dying Because It Killed the Planet —  Stock market crashing. Currencies cratering. Prices skyrocketing. Right about now, you’re probably wondering: what the aitch is wrong with the economy? And how am I going to make it? I’m going to teach you what’s wrong with the economy, and it’s not going to be pretty. We’ll cover, by the… 9 min read Published in Eudaimonia and Co ·Jun 15 What Happens to a Civilization That Doesn’t Think Anymore? This Does. —  There’s a question that’s been running through my mind. Can you die of…idiocy? I imagine that you can. You could jump for joy off the nearest bridge. Smile merrily, stick your head in an oven, and dial up the temperature. Put on a Superman cape, and stride boldly onto incoming… 10 min read"
1,This Is American Democracy’s Last Chance," 180K Followers Published in Eudaimonia and Co ·Pinned How America (and Britain) Became Failed States —  Take a hard look at America — and Britain — today. Since the last massacre, at a school, America had 10 more mass shootings just this weekend. Meanwhile, a paralyzed Congress can’t and won’t do anything about it — one side overtly lunatics, the other afraid of the lunatics. Then… 9 min read Published in Eudaimonia and Co ·Pinned We’re Crossing the Threshold of Survivability — And There’s No Going Back —  “Why do you think people are a little freaked out by what I’m talking about these days?” I was asking my kid sis. She laughed. “You’re basically telling them it’s the end of the world?” It was the night of the eclipse. A red moon illuminated the sky. 300,000 years… 8 min read Published in Eudaimonia and Co ·18 hours ago Our Dirty Industrial Economy Was the Greatest Bubble in Human History, and Now It’s Popping —  “I’m trying to figure out how bleak the future of the planet is. I assure myself that, even if I’m a starving artist, at least I have thousands of dollars in my retirement fund that I’ve been saving up for the last 20 years. Now I’m worried that everything we… 11 min read Published in Eudaimonia and Co ·1 day ago How do You (Really) Feel These Days, No BS? Here’s How I Do —  “I don’t know why.” I was talking to my kid sis, aka my shrink, aka my best buddy, aka my archenemy. “Well…try to explain,” she said. “I just feel like there’s this weird bad energy emanating from the center of the universe, or at least people, and I can feel… 9 min read Published in Eudaimonia and Co ·2 days ago This Time Around, They’re Planning Fifty January 6ths, Not One. That’s Why the Committee’s Hearings Matter —  How do you feel about the January 6 Committee hearings? Here’s a remarkable statistic — one of the most remarkable ones in American history, if you ask me. 60% of Americans think the former President should be charged. Criminally. For attempting a coup. Whew. That’s quite a number. When the… 8 min read Published in Eudaimonia and Co ·3 days ago How Bad Will the Economy Get? You Don’t Want to Know —  Inflation skyrocketing. Stock market tanking. Pundits are calling it “a tough new economic climate” and “a slow economy.” So…how bad is the economy going to get? If you really want to understand this question, then let’s talk about it seriously and subtly. There’s a certain thing, a kind of stupidity… 9 min read Published in Eudaimonia and Co ·4 days ago Our Planet is Changing in Profound, Terrifying, and Visible Ways Now. But We’re Still in Denial About What It Means. —  Let me share a story with you. It comes from a friend. A successful enough guy. Born and raised — back and forth — between the Indian Subcontinent and the West. Now he’s settled in the West, a doctor, with a family of his own. He said to me: “Man… 9 min read Published in Eudaimonia and Co ·5 days ago Yes, Trump Tried to Kill American Democracy. The J6C is Telling the Story in Dramatic, Explosive Detail. —  We’re all used, by now, to American politics being one dismal, giant exercise in fail. So it’s remarkable. Each January 6th Committee hearing is more incendiary and dramatic than the last one. I’ve covered each of them — and yesterday’s was the most explosive yet. It’s funny, because as a… 10 min read Published in Eudaimonia and Co ·6 days ago See That? That’s an Industrial Economy Dying Because It Killed the Planet —  Stock market crashing. Currencies cratering. Prices skyrocketing. Right about now, you’re probably wondering: what the aitch is wrong with the economy? And how am I going to make it? I’m going to teach you what’s wrong with the economy, and it’s not going to be pretty. We’ll cover, by the… 9 min read Published in Eudaimonia and Co ·Jun 15 What Happens to a Civilization That Doesn’t Think Anymore? This Does. —  There’s a question that’s been running through my mind. Can you die of…idiocy? I imagine that you can. You could jump for joy off the nearest bridge. Smile merrily, stick your head in an oven, and dial up the temperature. Put on a Superman cape, and stride boldly onto incoming… 10 min read"
2,Want To Make $3000 A Month? Try These Income Streams," 11.5K Followers Published in Write To Inspire ·1 day ago They are quite rewarding —  When it comes to talking about income streams, most people think of traditional works/jobs like online surveys, renting out the house, working as a caretaker, and getting hired by private clients. The truth is that some income streams are easy and interesting, while others are boring and may look tough… 3 min read Published in Write To Inspire ·Jun 7 Writing for big publications mean going viral in no time —  Guest blogging is not dead, and you can definitely gain followers and make money by writing for top publications. Whether these are Medium-owned publications or are being run by different people, they can give maximum exposure to your stories. … 3 min read Published in Write To Inspire ·May 27 Some useful tips for newcomers —  There are times when organic reach declines and you start feeling that your views/reads will never go up. This problem is more common among aspiring writers and the ones whose content is hardly chosen for further distribution than senior and established freelance writers. The good news is that social media… 3 min read Published in Write To Inspire ·May 18 It is not as difficult as you think —  If you are new to Medium, you will want to make your first $100 instantly. Am I right? Well, it is both easy and difficult. The ease is for those who take the site seriously and publish content regularly, and there are difficulties for those who are looking for shortcuts… 3 min read Published in Write To Inspire ·May 10 Sadly, it is true —  Next time you look into your pocket for some money, don’t forget that you are a freelance writer. Like many other content creators, it will not be easy for you to earn anything close to $100 in a month. The chance is that you will get only $10 or $20… 3 min read Published in Write To Inspire ·May 4 Some interesting things for aspiring writers —  If you are new to online writing, you have a long way to go on. Forget about the people who say making thousands of bucks overnight is possible. Not all of them are the same but most lure newcomers to their writing courses. They then share the success stories of… 3 min read Published in Write To Inspire ·Apr 27 Great information for aspiring writers —  Are you new to Medium? After joining the Partner Program, most freelance writers begin looking for topics to cover, big content creators to follow, and top publications to write for. Some of them already know how and where to start, while others spend days and even weeks trying to find… 3 min read Published in Write To Inspire ·Apr 19 You need to write a few stories per day —  The idea of freelance writing lures many of us, but only a few people are actually able to earn a living. Successful content writers make hundreds to thousands of dollars a month. They don’t have to look for writing jobs because companies and clients contact them privately based on their… 3 min read Published in Write To Inspire ·Apr 13 Let’s build a better writing process to make good money online —  I am not an aspiring writer. I am one of the top 1000 Medium writers. I am already earning $1000 to $2000 a month writing a couple of stories. … 3 min read Published in Write To Inspire ·Apr 10 You can’t make your stories go viral if these images are used —  There are times when writers get frustrated because of the shortage of photos. I personally use so many images in every post, and sometimes, I have to spend minutes trying to find appropriate photos. Stock photography is a good idea. This means the photos that are available to be licensed… 2 min read"
3,One Reason to Love Her Even More," 71K Followers Published in Mind Cafe ·Pinned How to become the change you seek. —  Fear pays. But you already know this. You see the news headlines and trending articles. Writers and journalists respond to incentives. And we pay the price with our mental health. Yet in the backdrop of so much negativity — some of which is grossly exaggerated — it’s worth taking a… 4 min read Published in Publishous ·15 hours ago Karma came knocking. —  “Sean, you know I’ve always liked you, right?” Her dark curly hair hung in front of her face as she put her chin on her hand. Her voice was as sweet as caramel and her eyes were green like a summer day in the country. I said nothing. She stood… 5 min read Published in ILLUMINATION ·1 day ago A thought exercise that will change how you interact with your partner. —  This exercise won’t be easy for many of you. It’s not difficult at the comprehension level. But it might be emotionally grating. However, if you do it once a week for 15 seconds, it will alter how you love your partner. You’ll interact differently with them at every level. Here’s the drill Today… 4 min read Published in ILLUMINATION ·2 days ago It shows which corporations are snakes. —  I went every day. Smoothie King was my reward. I did an hour of intense lifting and bought a 40-ounce smoothie after. One day, I noticed they were only filling my cup up 80%. I got agitated. It felt like a silly first-world complaint — but I was paying $12… 5 min read Published in ILLUMINATION ·4 days ago Overcoming the most difficult things in life requires a rethinking of each hurdle. —  As a younger man, I learned everything the hard way. I was impulsive, brazen, and stubborn. I went head first into every problem. Until I realized there were better ways. Difficult lessons challenge your ego and way of life. They force you to rethink your identity. By embracing tough lessons… 5 min read Published in Lessons from History ·6 days ago How to unwind your own perception of negative emotions. —  The smartest people in academia have studied her for decades. Her case has applications for your own life and how you cope with inner demons and negative emotions. Superhero? Sort of? Maybe? Not quite. Scientists call her SM-046. Her real name remains a secret. We’ll call her Sarah for fun. … 5 min read Published in The Startup ·Jun 15 Just when I thought Linkedin couldn’t get any worse. —  Congratulations, Linkedin. You’ve done it. You’ve created a cringe mine with boundless depths. Just when I thought we’d hit the bottom, we go a little deeper. You (readers) may remember Linkedin’s original content problem: broetry. It reads with tiny sentences like a poem, but often written by a “bro” life… 5 min read Jun 14 Some reflections on life as a single guy. —  “Pretend you only like him 45% of what you actually feel.” “Hey, do you mind if I text this person (on our first date, and he’s my ex-boyfriend)?” “Alright— it took her 11 minutes to reply. I’m going to wait 12 minutes to reply back.” “Wait a minute! He’s not… 4 min read Jun 13 Reflections on a darker chapter of my life. —  More than one kid picked on me during my childhood. But the worst was a boy named David. He was a constant source of torment, pushing me repeatedly and punching me in the stomach for no reason. You’d have hated sharing the playground with this boy. “Hey, pussy.” “Hey, pussy… 7 min read Published in ILLUMINATION ·Jun 12 We called it Taco Hell for a reason. —  It’s rare that I see a marketing campaign so awful and tacky — that I begrudgingly respect. I’ve slammed Taco Bell on Medium quite a bit and it's a bit unfair. What did Taco Bell do to me? … 5 min read"
4,Humanity in the patchwork of life," 1.7K Followers 2 days ago This story is on borrowed time. And it’s just a part of a story, a piece of human and living patchwork. Maybe you can borrow it, and make it part of your story too? I’ll start it with borrowed words. Amitav Ghosh, in his book The Great Derangement, wrote: It… 6 min read Jun 5 Finding comfort in the wrong things kept me complacent. Perhaps it’s the same for you. This is a list of things that no longer comfort me, and why. Don’t get me wrong, we all need to find some level of comfort in our daily surroundings & activities, otherwise we can… 8 min read May 11 Version anglaise ici. Aujourd’hui, j‘ai donné une conférence sur le climat dans mon ancienne école secondaire à Genève — et j’ai reçu un cours magistral sur nos défaillances. Ceci est l’histoire d’une journée qui m’a bouleversée. Ce n’était pas ma première conférence sur le climat dans un lycée. En 2019… 8 min read May 10 Traduction française ici. Versión en español aquí. Thanks to @AAretxaba & @PepeCampana_Com for the translation. Deutsche Übersetzung hier. Today I went to give a climate talk at my old high school in Geneva — and was given a masterclass in our failings. … 7 min read Jan 23 I recently had an extraordinary and rare experience, as an academic, activist and citizen: I participated in a victorious movement. Doing this upended most of what I thought I knew about how change happens in the world, and it seems very important to share these insights with you, despite my… 14 min read Dec 23, 2021 Contexte: j’ai écrit cette lettre suite au dénouement victorieux de la grève de la faim de Guillermo Fernandez, à un politicien qui a exprimé de l’intérêt et de la consternation pour l’action de Guillermo, mais (comme beaucoup d’autres) a préféré présenter les efforts et institutions suisses comme infaillibles, plutôt que… 4 min read Mar 13, 2021 Warning: medley ahead. This is a blog post about anarchist-anthropologist David Graeber, documentary-maker Adam Curtis, children’s TV creator Mister Rogers, comic-strip writer Seth Tobocman, trade union newspapers, Switzerland and alternative economics. It all made sense to me when I sat down to write. It will contain some “square words” (=swear… 12 min read Jul 24, 2020 If I were into clickbait, I’d call this a story about cancel culture vs. a culture of cancellation, but I’m not. Also, to be honest, I am writing this while insomniac, stressed and exhausted. I am going to make sweeping oversimplifications (“left” and “right” being the most egregious, perhaps). … 9 min read Published in Climate Conscious ·Jul 10, 2020 A short course in planetary time, for planetary survival —  This is less of a blog post, and more of a howl. The planetary climate clock, in human time Let’s start by some human and planetary timescales. I don’t know why we don’t learn them in grade school (I never learned them at all). But they matter. And let’s represent them visually, in a stark, plain way. 10 min read Jun 17, 2020 You should always at least try to meet your heroes, especially when they are as immense as Kirk Smith, so when I attended a conference in Berkeley in 2011 (one of my last long-haul work flights), I wrote to him to see if we could meet. Characteristically generously, he said… 3 min read"
5,We’re Doomed Because We Don’t Take Care of Each Other Anymore," 110K Followers Pinned Hope isn’t working. —  There’s a lot of doom and gloom on the internet now. There should be. Climate scientists are chaining themselves to the doors at JP Morgan-Chase. They’re getting arrested. They’re breaking down in tears on live video. Here’s what a NASA researcher had to say: It’s time for all of us… 4 min read 16 hours ago We never learn. —  We’re really going to do this again, aren’t we? When I first started talking about monkeypox, miracle mongers laughed it off. “There’s only one case in the U.S.,” they said. They gave me another round of lectures about panicking, explaining how mild the disease is. Now a few weeks later… 5 min read 2 days ago Contribute, or stop complaining. —  So I have this friend… There’s a number of people in my life who would rather ridicule and laugh at me instead of listen. One of them spent the last six months going around without a mask, giving me condescending lectures about how I’m overreacting to everything. Last month he… 6 min read Published in An Injustice! ·3 days ago It would make WWIII official. —  It’s happening. The new chief of Britain’s army just announced he’s preparing troops for war in Ukraine. In his exact words, they “must prepare to fight in Europe once again.” Meanwhile, Belarus is holding military exercises, and British intelligence says it’s cover for an invasion. Maybe you’re thinking this is… 5 min read 3 days ago It’s not the end, it’s the people. —  Two thousand cows just died from heat stress. In other news, avian flu has been jumping to mammals more and more. It’s infecting foxes, raccoons, cougars, otters, skunks, badgers, and coyotes. That part doesn’t bother me. I know, it should. It doesn’t. At this point, it feels like the next… 6 min read 4 days ago That’s why we keep drowning. —  He thought he was going to be rich. One of my uncles got a stock tip a few years ago. Some shark from Wall Street convinced him to invest his entire life savings. Barely a week later, he was broke and contemplating suicide. He actually did try to kill himself… 5 min read 5 days ago Get over yourself. —  Yesterday I saw a tweet by a dad grieving the loss of his healthy 3-year-old daughter. She caught Covid from someone who wasn’t wearing a mask, and then died a barely a week later. It’s heartbreaking. No, the world didn’t end for you or me that day — but it… 6 min read Published in An Injustice! ·6 days ago Letter from a millennial —  Hello, I’m a millennial. I graduated college into one of the worst recessions in American history. For anyone who wasn’t in the top 10 percent, it was really more of a depression. I spent my 20s and most of my 30s living in apartments without furniture, and sometimes without heat… 6 min read 6 days ago That’s why politicians are doing it. —  Apparently climate change is “healthy for all of us.” That’s what Marjorie Taylor Greene (MTG) said on a conservative radio program recently. In her exact words, “the Earth is more green than it was years and years ago and that is because of the Earth warming.” … 6 min read Jun 15 A wake up call. —  The Uber driver kicked her out. He wasn’t going to wear a mask, or even roll down his windows. Instead, he yelled at her. He told her to get out. Stuff like that happens all the time now. You can’t walk into a store, get on a elevator, board a… 6 min read"
6,4 years of IIT life in 4 mins," 220 Followers 1 day ago Yes, you’re up for some big surprises… —  I recently graduated from IIT Guwahati in the 24th convocation ceremony with a B.Tech degree in Mathematics & Computing. Since I have waited for nearly 4 years 😂 to write this story, I sincerely hope you enjoy it. A small side note before we begin, though, I’ll not talk about… 5 min read Published in CodeX ·May 29 This is not okay. This needs to stop now! —  This blog isn’t supposed to be a rant, but start by facing the truth— a lot of the backend developers out there have completely ignored the core REST design principles and best practices. Today I came across some scary endpoints like /getAllSubsections and /deleteContactOfUser 😱 in a Node.js project, which… 9 min read Published in CodeX ·May 18 And wait till you meet number 5 … —  I have been programming for quite a few years now. Having worked with several companies, startups, and organizations, I have come across several kinds of programmers — some dull, some brilliant, some workaholics, some lazy, and so on. However, we can broadly categorize all these traits into five types of… 5 min read Published in CodeX ·May 15 Yes, I use them on a daily basis —  Amongst developers, macOS is a pretty standard operating system. This is partly because Macs, in general, are powerful and efficient, especially the new ones with M1 chips, and somewhat because maybe you found something like Linux too dull for your tastes. Do I hear some disappointment from Windows users? It’s… 4 min read Published in CodeX ·Apr 8 Node JS is not a framework and more … —  Node.js is a server-side runtime environment used to build fast and scalable applications. It is light and lets you create a web server in just a few minutes. According to Stack Overflow, Node.js is the absolute leader in the world of technology with 50.4%. So, what makes it so popular? … 5 min read Published in Nerd For Tech ·Mar 30 Keep your platform safe by filtering out NSFW content —  Common, let us face it! You have a brilliant idea for a startup. You go ahead and add a bunch of unique features. Then you think you also want your users to interact on the platform. So far, so good. … 6 min read Published in Nerd For Tech ·Mar 13 Boost your productivity 10x with these 10 tools —  As developers, we often have a lot of requirements, be it proper documentation, easy snippets, design aspects or content creation! And just like functions in our code, ready made easy to use tools are always a great bonus! … 4 min read Published in Nerd For Tech ·Mar 10 Wondering how the LinkedIn chat works with those nice little suggestions corresponding to your and your peers’ messages? Well, wonder no more. In this article, we are going to build just that. For this tutorial, we will be using Flutter, one of the most famous cross-platform mobile app development frameworks… 5 min read Published in Nerd For Tech ·Feb 26 Let’s scrub those variables and functions clean —  Javascript is one of the most used programming languages on Github and is used by over 97% of all websites running. … 5 min read Published in Nerd For Tech ·Feb 20 Let’s explore the powerful Navigation SDKs of Mapbox —  In this article, we will look at the Mapbox Search APIs, Navigation SDK, and Geocoding APIs while simultaneously creating a complete Uber app-like experience. Love videos and find articles harder to read? I got you covered.😇 Watch the video below for a complete tutorial. In my last blog, we… 5 min read"
7,"Is there phosphine, and maybe life, on Venus after all?"," 142K Followers Published in Starts With A Bang! ·22 hours ago If you think you know how an astronomical nova works, buckle up. You’re in for a ride like you never expected. —  Stars, although they’re incredibly stable over very long timescales, simply cannot live forever. No matter what their composition, mass, temperature, or other properties may be, every star will eventually run out of the nuclear fuel that powers it. For all but the most massive stars in the Universe, each one… 11 min read Published in Starts With A Bang! ·1 day ago Earth is the Solar System’s only known inhabited planet. Could Venus, if its phosphine signal is real, be our second world with life? —  Of all the places where you can imagine that life might be hiding in this vast, immense Universe, Venus might be one of the last places you’d ever think about looking. As the hottest planet in the Solar System, hotter than even Mercury is in full sunlight, the surface of… 9 min read Published in Starts With A Bang! ·2 days ago On July 12, 2022, NASA will release the first science images taken with the James Webb Space Telescope. Here’s what to hope for. —  In astronomy, we study the Universe by gathering light. 3 min read Published in Starts With A Bang! ·3 days ago The James Webb Space Telescope is about to begin science operations. Here’s what astronomers are excited about. —  It’s now been nearly a full six months since the JWST was launched, and we’re on the cusp of getting our first science data and images back from some 1.5 million kilometers away. There are all sorts of things we’re bound to learn, from discovering the farthest galaxies of… 2 min read Published in Starts With A Bang! ·5 days ago In all of science, no figures have changed the world more than Einstein and Newton. Will anyone ever be as revolutionary again? —  If you ask anyone who the greatest scientist in history was, you’re overwhelmingly likely to come away with two names: Albert Einstein and Isaac Newton. Newton’s greatest achievements were his theories of mechanics ⁠ — describing the laws of motion for physical objects ⁠ — and of universal gravitation. For… 11 min read Published in Starts With A Bang! ·6 days ago If you want to understand the Universe, cosmologically, you just can’t do it without the Friedmann equation. With it, the cosmos is yours. Cosmology is the study of the Universe: from the smallest scales to the largest. If we want to understand this Universe we inhabit, we have no choice… 11 min read Published in Starts With A Bang! ·Jun 15 We’ve only seen Uranus up close once: from Voyager 2, back in 1986. The next time we do it, its features will look entirely different. —  Whether we look at them from afar or up close, the eight major planets of the Solar System are all seen to possess their own unique features. The rocky planets have craters, ridges, mountains and more: evidence of a violent past and interior activity. All the planets except Mercury have… 10 min read Published in Starts With A Bang! ·Jun 14 The Standard Model of elementary particles has three nearly identical copies of particles: generations. And nobody knows why. —  Everything that exists in our Universe, as far as we understand it, is made up of particles and fields. At a fundamental level, you can break everything down until you reach the limit of divisibility; once things can be divided no further, we proclaim that we’ve landed upon an entity… 11 min read Published in Starts With A Bang! ·Jun 13 On July 12, 2022, JWST will release its first science images. Here are 5 ways the telescope’s findings could change science forever. —  Building superior scientific tools empowers us to investigate the Universe as never before. 3 min read Published in Starts With A Bang! ·Jun 10 Wind energy is one of the cleanest, greenest sources of power. But could it have the sneaky side-effect of changing the weather? —  When it comes to the question of energy and power, we know with great certainty that we cannot simply keep doing what we’re doing for very long. The Earth’s climate is rapidly changing as never before; human-caused emissions of greenhouse gases are the culprit; generating power in ways that don’t… 11 min read"
8,What Really Happened to Men Whose Lives Were Allegedly Ruined by the #MeToo Movement?," 19.2K Followers Published in About Me Stories ·Pinned Hi, I’m Katie. I’m opinionated, unapologetic, and like writing content that angers people who are mentally stuck in the Middle Ages. But if you made it here, I’m going to assume you’re not one of them. … 4 min read Published in The Noösphere ·Pinned Down the rabbit hole of this increasingly common phenomenon —  A few days ago, I started watching the second season of Euphoria. It’s the latest HBO coming-of-age TV series. And just like any other teen drama — think Skins, Degrassi, 90210 or Gossip Girl — it depicts heartbreak, drug use, mental illness, sexual exploration, and a lot of underage sex… 7 min read Published in The Noösphere ·1 day ago It didn’t exactly change the world like we hoped for —  After five years, it finally happened. The long-awaited and much-dreaded backlash to the #MeToo movement is here. And that’s mainly thanks to the circus surrounding the Depp-Heard trial that dominated news cycles, social media and pop culture discourse over the past couple of months. Although some of Depp’s supporters argue… 7 min read Published in The Noösphere ·5 days ago They really are all the same —  He showed up sort of drunk to our first date. It was a late Sunday morning, and he had apparently gone out partying hard the night before. Nice. It’s not like we had this date scheduled for a least one week before or anything. Oh, wait. We did. And if… 6 min read Published in The Noösphere ·6 days ago There are bigger problems in the field —  AI is now apparently sentient. Or rather, that’s what Blake Lemoine — one of Google’s engineers who is also a priest and a self-proclaimed ‘Christian mystic’ — says. In addition, he claims it’s a seven-year or eight-year-old ‘sweet kid.’ Right. To prove it, he published conversation transcripts between himself and… 7 min read Published in The Noösphere ·Jun 14 The over-sexualisation of female breasts is getting out of control —  One of my friends recently got permanently banned from Tik Tok. What for? Well, she uploaded a video in which she was dancing while not wearing a bra. And you could sort of see the shape of her nipples through her oversized t-shirt. I repeat: an oversized t-shirt. Scandalous, I… 7 min read Published in The Noösphere ·Jun 9 It’s a stark warning to countries all around the world —  You’ve probably already heard about the massive protests in Sri Lanka. They started out peacefully around March and later spread across the country of 22 million people — leaving hundreds injured — as the situation in the country only worsened. And it keeps getting worse today. Sri Lanka’s inflation rate… 6 min read Published in The Noösphere ·Jun 7 When patriarchy and capitalism intertwine —  ‘I’ll try anything… If you told me that I literally had to eat poop every single day and I would look younger, I might. I just might.’ — Kim Kardashian in a recent The New York Times interview Right. As disturbing as the above Kim Kardashian’s quote on the lengths… 7 min read Published in The Noösphere ·Jun 3 A poem — sort of —  Men often yell things at me. While hiding behind their computer screens or phones, of course. And not surprisingly, those things are never nice. Or helpful. Or make sense. So in lieu of a typical essay, here is a poem comprised of copy-and-pasted comments I’ve received from angry men over… 2 min read Published in The Noösphere ·Jun 2 It isn’t merely a harmless, banal tradition —  Before I moved to the UK, I had never understood why the British people retained the monarchy. And now that I live here, I still don’t understand it. Not one bit. I can’t wrap my head around why anyone in this day and age would be in favour of upholding… 6 min read"
9,Why You Subconsciously Feel Like You’re Not Worthy of Success," 91K Followers Published in Forge ·Pinned #1. How they treat service staff —  Learning how to read people is a psychological superpower, but it’s also a skill that anyone can pick up. It’s possible to glean a ton of information about others simply by paying attention. Ever since I started writing, I’ve been honing this skill. It’s not a hard and fast science… 4 min read Published in P.S. I Love You ·Pinned Why do we love life quotes so much? I think I have the answer. Life quotes have a way of piercing through the b.s. and noise surrounding us. Life quotes are the swords that cut the Gordian knots of noise and reveal the essence of life we know deep down… 11 min read Published in Publishous ·1 day ago Seriously, they’re not the ones you’re used to reading —  Most articles about the habits of successful people are total nonsense. In fact, I once wrote an article making fun of the concept altogether. But here I am, writing an article about the habits of successful people. What gives? Well, there are some things you can get in the habit… 6 min read Published in ILLUMINATION ·1 day ago And what to do about it —  You are not nice to yourself. Think about the cumulative effect of all the negative things you’ve told yourself about yourself. Deep down, many of us feel unworthy of our dreams. Do you feel this way? I know parts of me did when I was trying to accomplish the ludicrous… 5 min read Published in Curious ·4 days ago A simple philosophy that works for almost anyone —  Your entire life is your fault. If you don’t like your life right now, it’s your fault. You are at the root cause of every single issue of your life. None of the above statements is true, but you should act as if they are true. And if you had… 5 min read Published in Publishous ·4 days ago Use this simple lesson instead —  Motivation is nothing more than a fuel source. Your goal isn’t to get motivated. It’s to use motivation to pursue meaningful goals. One word in that sentence matters most — meaning. Usually, you’ll experience a change in your life — turning motivation into real effort — when you find some… 5 min read Published in ILLUMINATION ·4 days ago What are you afraid of realizing about yourself? —  The questions you ask yourself to determine the answers you get. The answers you get determine the decisions you make. The decisions you make combined with the circumstances you start from creating the life you have now. As Socrates said: “The unexamined life is not worth living.” So, examine your… 6 min read Published in Mind Cafe ·Jun 13 They know what they don’t know. —  Confidence makes or breaks your life. We all want to be more confident. You can increase your confidence by exhibiting the behaviors of a confident person. You build confidence because of your behaviors and actions. You don’t become confident to exhibit those behaviors. It might not seem like it, but… 6 min read Published in DataDrivenInvestor ·Jun 13 About 30 is when you realize your parents will die. It starts to hit them, too. In the past few years, I’m 32, and I’ve started to have more frank conversations with my parents. I started to see them in totality, including their flaws. I started to see some of… 7 min read Published in Better Advice ·Jun 13 Relax, you’re doing just fine —  I’m a walking contradiction and my advice is paradoxical. Often, I spend a bunch of time berating you into changing your life and telling you how much it sucks. That’s one angle. The other angle is that you already have stuff going for you and you have everything you need… 5 min read"
