,topic,category,content
0,The CurseForge Official API is Now Live,technology," 4 Followers Published in Overwolf Blog ·1 day ago TL;DR: For the players, we now have a standalone Windows client for World of Warcraft. A Linux client was released last week. Get our updates in our official roadmap board and our monthly newsletters. The Road to Releasing The Official CurseForge API We are excited to announce that the official CurseForge API is now available. Docs can be… 3 min read Published in Overwolf Blog ·May 9 TL;DR We’re delaying the deprecation of the old API until Monday, May 16th. The alpha client for Linux is now live! Changes in depreciation schedule for the old API As many of you are aware, we’ve been planning to officially deprecate the old API on Monday, May 9th. … 1 min read"
1,Stop Creating UI Components From Scratch,technology," 414 Followers Published in Level Up Coding ·Pinned We built our world atop the knowledge of those who came before us. —  Learning to Build On Top Of Others’ Work Throughout college, I had this idea stuck in my head that I had to be the one to implement everything. From backend to UI Design, I wanted to reinvent all the damn wheels in the world. You won’t believe how many hours I spent designing, editing, and changing my react… 7 min read Published in Better Programming ·Pinned Yup, you’re probably using them incorrectly —  I'm tired of seeing the same tutorials pop up every couple of weeks. ""JWTokens are the recommended auth method because of scalability."" ""JWTokens are easier to use."" ""JWTokens are stateless, so you don't use memory on the server."" Let me tell you something. These people probably don't know any better. … 10 min read Published in Level Up Coding ·Pinned Yes, and you should get the base model. —  We all know that Linux is the go-to server OS when deploying applications to the cloud as software developers. UNIX is why macs are such exceptional tools for software development. Their terminal uses many of the same commands as Linux, which is just one of the reasons you should consider… 4 min read Published in ILLUMINATION ·5 days ago And it’s still making $50 per day. Here’s what I learned! —  Hey guys, I just wanted to share that I reached a milestone I never thought possible here in Medium. Last week, I wrote an article that instantly went viral, reaching up to 91 hours of reading time in a single day and accumulating 500+ hours in total. Giving Medium Another Shot 7 min read Published in Better Programming ·Apr 12 Hint: It requires combining multiple data structures —  In some interviews, the interviewer will ask you to design a data structure to meet certain criteria and complete tasks with specific memory and speed constraints. I haven't solved this question beforehand, so we'll be cracking it together. I've had this question stuck in my head for a couple of… 7 min read Published in Level Up Coding ·Apr 3 From a whopping 1.1GB to just 40MB! —  Lately, I’ve been working on a side project that I hope to turn into a start-up soon. Since I wanted to make it easy to deploy, I delegated generating the types, building the binary, and running the server to a Dockerfile. My initial Approach Naively, I was using a go docker image as… 4 min read Published in Level Up Coding ·Apr 3 Fix it in under 3 minutes —  So you are probably using an S3 bucket to host a react website or want to serve images to the public. However, nothing seems to make sense, and you get access denied when trying to view an object using its URL. Don't worry; fixing this is very simple. Let's begin. 1. Unchecking ""block all public access."" … 3 min read Published in The Startup ·Jul 1, 2020 Learn the fundamentals of vector math applied to creating video games —  So, I’ve been developing a 2D shooter game in javascript and thought it would be nice to share some of the things I had to learn from the ground up. Initially, I was moving my player’s position by changing the x and y variables. … 7 min read Published in JavaScript in Plain English ·Jun 27, 2020 Create a better experience for your customers even if they aren’t logged in —  So you know about react and you want to implement a cart. Let’s say you’ve tried already, even if you haven’t. Everything is nice and smooth, working as it should, until you reload the page. Just like that, everything in your cart gone, only a distant memory in your head now. How do you implement a cart, or anything alike, that persists information even after page reloads, or closing and reloading… 5 min read Published in JavaScript in Plain English ·Apr 21, 2020 Do not worry; it isn't as hard as it sounds! —  Ah, Dynamic programming. Programmers hate him. All jokes aside, many coders — self-taught or otherwise — don't ever learn about this algorithmic approach. I know, it does sound a little bit scary. But, I remember my reaction when I first heard the term. Dynamic Programming, the first thought that came… 5 min read"
2,Terra LUNA and UST- Deep Dive Into the Terra Recovery Plan,technology," 1.5K Followers Pinned From a simple Python Script to a fully fledged web app. The Binance Volatility Trading bot, or BVT Bot as the community decided to call it, is an Open Source Crypto Trading algorithm that I wrote in Python, that’s supposed to automatically trade the most volatile assets on Binance in an attempt to catch a spike before it happens. It would… 4 min read Published in Coinmonks ·Pinned Most people lose money trading, so the theory goes — if you could place the opposite of their trades, would that turn you into an unstoppable money-making machine? Maybe the question hits closer to home, maybe you yourself are the best test-subject for this theory. I know I definitely am… 4 min read 1 day ago The dramatic crash of over 99.9999% of LUNA and the depeg of UST which now trades at only $0.16, has wiped out over $40 billion in investments. On their way down, UST and LUNA have also destroyed much of the public trust in Terra Labs as well as a considerable… 6 min read 3 days ago In case you missed it, LUNA fell 99.999% from it’s previous $117 all-time-high position and is now trading at a mind-boggling $0.0001 following the depeg of UST — an algorithmic stablecoin provided by Terra Labs. LUNA and UST latest news Here are the latest developments since LUNAs catastrophic crash which occurred and on the 11th… 3 min read 6 days ago The price for LUNA fell a mind-blowing 97.7% on the 11th of May 2022 following an arbitrage exploit for UST — an algorithmic stablecoin provided by LUNA, which de-pegged from its usual $1 price. UST reached a low of $0.2 before climbing back up to $0.61. The drop led the… 5 min read May 8 Web3 development is very different from traditional development environments. From the tools you’re going to use, to the wider approach to learning Solidity and web3 development, this article will list some of the absolute must-haves as a web3 developer. A Reliable Solidity IDE There are many options out there, however I find that the… 3 min read Mar 25 Web3 was going to be the next big topic for this year. With web3 conferences and big names in the blockchain world discussing the potential for a decentralised Internet and how we may get there. Where is web3 now? - you may ask. Well web3.0 is dead, and we have… 5 min read Mar 20 Chances are you’ve heard of Technical Analysis (TA) before, and you have probably used it at one point in order to make an informed decision about your trades. … 4 min read Mar 15 In this article we’re going to build upon some of the concepts explained in previous articles, designed to help you understand how to build a crypto trading bot in Python from scratch. … 3 min read Mar 6 I made a Chrome extension that inverts your trades on Binance. Buy = Sell. Sell = Buy Have you ever found yourself placing the wrong position at the wrong time, and watched hopelessly as your trade hits the stop loss? … 3 min read"
3,What Does It Mean To Be A “Good-Faith Skeptic” & When Is “Bad-Faith” Warranted,technology," 121K Followers 1 day ago Reflections Prompted By A Conversation Between a16z Crypto Leader Chris Dixon & The Verge’s Nilay Patel —  “Good-Faith Skeptic.” It’s a characterization that has been tossing around in my head since reading Chris Dixon’s tweet about his interview with the Verge’s Nilay Patel. It was crypto true believer in a conversation with a crypto skeptic, but containing a foundation of mutual respect, curiosity and, I think, a… 3 min read May 6 Think Of Your First Non-Investor Board Member As a Senior Hire, And Not Your IPO Board —  Being a CEO and running a startup is hard! So you’d think that founders would take advantage of every resource available to help them out. And for the most part they do. But one gap I see too often is leaving the Independent Board member seat unfilled for long periods… 4 min read Apr 27 Selective Leaks of Previous Discussions & Policy Debates In The Name of ‘Transparency’ Would Put Twitter Employees At Risk —  Typing “I know this makes me sound like a crazy person but..” as a blog post opener is usually a good reason to close my browser window and take a walk. But hey, it’s 2022, let’s soldier onward… Since it was announced that Twitter’s Board of Directors and Elon Musk… 3 min read Apr 23 Madonna, Like a Virgin Tour, June 1985 —  We recently took our daughter to her first concert, delayed somewhat by, you know, that COVID thing. It was Billie Eilish at the Chase Center a few weeks back. Good show. I’m glad my kid had enough taste to pick an artist that she likely will look back on with… 3 min read Apr 13 Why ‘Living Below Your Means’ Is One Key To Success & Happiness —  $0 per year. That’s what my business partner and I decided that we wanted in salary from our newest venture fund. Or at least it was the resulting impact of declining to take additional capital from our investors and commit our own dollars instead. … 3 min read Apr 7 Four Reasons Why I Was Going To Bet On Facebook Beating Crypto. And Was So Wrong. —  So, yeah, ‘Zuck Bucks.’ The nickname is likely just an internal joke, not the actual product moniker (if it is I just threw up in my mouth a little). Sounds mostly like an updated version of Facebook Credits. Meta is reportedly making 'Zuck Bucks'
Meta may have given up on its Diem cryptocurrency, but the company is still exploring finance products, according to a…www.theverge.com 4 min read Mar 31 For Early Stage Startups, You Need Employees To Choose The Company. Not The Other Way Around. —  I love helping startups hire, especially early on. Look, companies don’t exist without founders — often when we write our initial investment checks there aren’t any employees — but nothing amazing happens without a team. I’d go even further and suggest that if I could access just a single predictive… 3 min read Mar 26 Let Others Call You a “Platform,” “Mentor,” “Low Maintenance,” & “Good in Bed,” Never Claim Them —  Tall. I can call myself tall. It’s objectively true because I’m 6' 3"". Sometimes I just joke that I’m ‘tall for tech’ but either way, I’m higher up than average. But there are some things I feel like I can’t just claim about myself. “Easy to work with?” That’s really… 3 min read Mar 17 Learnings From a Decade Investing In These Types of Leaders —  We’ve sent hundreds of millions of dollars to startup bank accounts but none of those have gone to teams which don’t have at least one founder we consider to be ‘mission-driven.’ How do I define that term? Loosely, someone who has a personal connection to the problem they’re trying to… 4 min read Mar 7 Their Pottery Caught Our Eyes, Their Philosophy Grabbed Our Hearts & Their Growth Intrigued Our Brains —  Coffee is very important to me. I mean, my Twitter screen name is “👨‍💻☕” so we’re talking identity-level important and by extension, any coffee-accessory must be up to snuff. I’m not a snob, just deliberate. And that intentionality has caused an exploration of drinking vessels. Size, durability, aesthetics and heft… 3 min read"
4,From KamiLimu to Big Tech,technology," 109 Followers 1 day ago Recently, Kenya has witnessed a remarkable growth in the number of foreign tech firms that set up shop in the country. In April alone, we saw Google announce plans to establish a product development center in Nairobi, while Visa also opened its Product Innovation Hub in the city and first… 2 min read Mar 29 Writing, when deconstructed, oftentimes has less to do with communication between person and person, but more of a conversation with different parts of the self. In 6 Months and Counting, Mark Tanui, a KamiLimu Cohort 6.0 mentee, writes a letter to a pre-KamiLimu version of himself in which he shares… 4 min read Mar 4 Handwashing and social distancing have been preached as the best ways to protect ourselves and our families from getting infected with COVID. We have (re)learnt when and how we should wash our hands to stay safe. As we slowly inch through the current post-pandemic resurgence, space has seen more visitors… 6 min read Jan 21 A few years ago, if you’d asked me what a community is, I would have naively defined it as a group of people who share a common ancestral origin. However, over the past four months that I have been in KamiLimu, I have come to realize that a community is… 3 min read Oct 6, 2021 By Allan Wasega, KamiLimu Committee Member The first time I met Titus was in 2017 when I was a KamiLimu mentee. He walked into the room in KeMU’s 8th Floor in his characteristic well-cut blazer and shirt, and I thought to myself, “I want that blazer!” He was to talk… 7 min read Mar 25, 2021 By Edwin Muema, a KamiLimu 5.0 mentee and SOC Analyst and Junior Penetration Tester at Visibility Technology Services. Last year, I won the University Mega Cyber Challenge sponsored by the EC Council University (ECCU). ECCU is a part of the EC Council, which is the global institution that provides cybersecurity… 5 min read Dec 20, 2020 By Mwaniki Nyaga, KamiLimu Management Committee Member Design provides us with choices to define ourselves. It is often hidden in places, within services and in business innovation. Nowadays, people are finding a deeper sense of identity, purpose and gratification through creating and maintaining connections, memories and experiences. Oftentimes, this cannot… 6 min read Dec 13, 2020 By Mwaniki Nyaga, KamiLimu Management Committee Member Earlier this year, I posited that one of the key components of a strong community is an environment where members feel welcome to share their questions, knowledge, and ideas. I met Tabitha two years ago when she joined KamiLimu’s fourth cohort as a… 7 min read Dec 5, 2020 By Mwaniki Nyaga, KamiLimu Management Committee Member In March this year, 10 days after he started his new role as a junior full-stack engineer at MediaPal, a programmatic advertising company, Meshack conducted a session on preparing for technical interviews alongside his new employer and MediaPal’s Co-Founder, Eric Wesonga. … 7 min read Nov 10, 2020 By Mwaniki Nyaga, KamiLimu Management Committee Member Søren Kierkegaard said of life: it can only be understood backwards but must be lived forwards. Jacklyne Betty has thus far lived a life that reveals hidden motifs only in retrospect. We see her altruism come out from her initial interactions in nursery… 6 min read"
5,Terareum Centralized Cryptocurrency Exchange — The first big exchange ready to open in these changing times.,technology," 23 Followers Published in InsiderFinance Wire ·Pinned “When something is important enough, you do it even if the odds are not in your favor.” Elon Musk — Owner — SpaceX, Tesla, Twitter How it all started — Introduction A Boeing Ex-Pilot, 3 medical doctors and an Ex-Hollywood producer walk into a coffee shop for a few hours… 4 min read Published in InsiderFinance Wire ·1 day ago “Fast, Agile, Secure, Responsive, Customer Centric Cryptocurrency Exchange — Integrating these for rapidly changing conditions and a secure cross-border digital era ”. — Praveen Buddiga MD, Senior Advisor — Terareum Project Introduction: When Mr. Milton John Mathew & Dr. Ramana asked me to come aboard the… 4 min read Published in InsiderFinance Wire ·May 3 Have an ETH, BNB, Polygon project ready to launch on a decentralized cryptocurrency platform such as Uniswap , PancakeSwap , Sushiswap… 3 min read"
6,ZoidPay partners with QoWatt: Driving Web 3.0 payments for the first green energy charging solution.,technology," 248 Followers Published in ZoidPay ·Pinned For long, the Bitcoin Pizza story has eclipsed the thoughts of many when it comes to purchasing goods and services using cryptocurrencies as payments in place of FIAT. … 5 min read Published in ZoidPay ·Pinned We are proud of our strong community, which shares our commitment and desire to see ZoidPay succeed. We've just released our latest interim roadmap, and are gearing up for the launch of the Chrome Extension. … 4 min read Published in ZoidPay ·1 day ago Our latest advisor has built a career building and managing cloud architectures for MNCs to accelerate cloud adoption and fuel transformative business initiatives. In his latest role as Global Senior Solutions Architect at Amazon Web Services (AWS), he helped organizations adopt advanced cloud-based solutions. Meet Andrei David. Expanding on his… 3 min read Published in ZoidPay ·1 day ago We are excited to announce that we have partnered with QoWatt, the first French green startup powered by Elrond Network. Driven by a mission to build the largest European network of electric vehicle charging terminals, QoWatt aims to combine modern, cutting edge sustainability and energy-efficient concepts, with that of blockchain… 4 min read Published in ZoidPay ·4 days ago The ZoidPay team's growing by the day, and our latest teammate is Mihai Stanica, who joins in as Front End Engineer. Mihai's got an interesting background having made a switch from a previous career of over six years in digital marketing. It was during this period that he got intrigued… 2 min read Published in ZoidPay ·5 days ago We've got a new team member. Meet Vasile Tanasa. With over 15 years of experience in Retail Banking, Vasile has held positions across product management, digital and risk management. In these roles, he successfully designed and implemented product & risk programs, processes and flows, while leading cross-functional teams. More recently… 3 min read Published in ZoidPay ·May 5 Yes. We’ve got one of the most well-known growth hackers and community builders in the cryptocurrency space onboard. Join us in welcoming Justin Wu, Co-Founder & CEO at DCentral Conference, to the ZoidPay Advisory Board. A prolific content creator, Justin has hosted some of the largest Web3 conferences in Seattle… 2 min read Published in ZoidPay ·May 2 April's been an incredible month at ZoidPay. In March, we made it into the Top 500 by market cap project. Last month, we took that several notches higher, ending the month in the Top 200. The support received from the community has been overwhelming. Every like, comment, and feedback of… 7 min read Published in ZoidPay ·May 1 ZPAY can now be staked in the ZoidPay Shopping Pools. For the uninitiated, a Shopping Pool can be thought of as a node in the traditional sense. But, it goes many steps further. Here's a look at what staking ZPAY in one of the 200 Shopping Pools can get you… 5 min read Published in ZoidPay ·Apr 27 We are excited to announce that we continue to forge stronger connections in the Elrond Ecosystem. This time we have joined hands with Partner Staking, a leading EGLD staking provider. As a first step to the partnership, Partner Staking participated in our recent Shopping Pool sale to own their pool… 2 min read"
7,Why I deeply love crypto/Web3,technology," 10.1K Followers 2 days ago The shallowest and dumbest article I have recently read was by some computer science professor about why he thinks “all crypto should burn in hell.” I won’t bother linking to it, he didn’t say anything new. But this morning I was wondering about why that article pissed me off. And… 5 min read 4 days ago In early 2021 our venture builder, Curiosity, co-founded Multiomic, a company that has a credible strategy to improve much of how we treat heart disease (or rather an even broader set of conditions called metabolic syndrome). And this will have a huge impact on our understanding of extending life. I… 6 min read May 10 Modern medicine already has the potential to be so much more than it is. In particular it can be high performance medicine. This is most obvious in sports. Elite athletes already have medical teams that get them to perform better at the goal that matters — results in their sports… 5 min read May 5 All my life I dreamed about using biotech for life extension and true, significant human enhancement. Why? I’m curious about what happens next. What do we find in the vastness of space and the depths of our own consciousness? Plus I am a transhumanist and believe the idea of re-engineering… 11 min read May 5 I am a cliché tech entrepreneur. I spend my days hanging out in California, pitching VCs, hiring engineers, reading HackerNews/AstralCodexTen and searching for product-market fit. The braggart version is that I went to Stanford, interned at Google, raised my first VC round from Sequoia, went through YCombinator, built at least… 6 min read Apr 7, 2020 In recent days I heard a very similar story from many of my friends around the world: “the COVID crisis showed me that my friends, family, health and emotional well-being are much more important than I thought. And governments, mass media, money, corporations, social media posts are less important. Plus… 4 min read Mar 31, 2020 Last night I didn’t sleep well. Decided to do a 48-hour fast and went to bed hungry, cortisol was up. So this morning I managed only 3–4 hours of focus before boredom set in. When I’m bored I either force myself to do something “useful” (e.g. gym) or do something… 4 min read Sep 24, 2019 Friends have been asking when I will write something again. There are two reasons I haven’t written much recently: I don’t have much else to say on the subject of biohacking and personal optimization. I have been focused on other things, and don’t yet have a sufficiently deep and coherent… 4 min read Published in HackerNoon.com ·Sep 21, 2018 There are certain things, at certain times, that I start to acutely crave. These cravings are programmed behaviors that always execute in the same mechanical, linear way. I’d like this to not happen. So I spent a bunch of time closely observing how these programs execute. And developing approaches that… 8 min read Published in HackerNoon.com ·May 21, 2018 Other deep-dive articles by Serge: —  I’m 32 and spent $200k on biohacking. Became calmer, thinner, extroverted, healthier & happier.
This post is about how to use modern science and personalized medicine to make yourself healthier, more productive and…hackernoon.com How to biohack your intelligence — with everything from sex to modafinil to MDMA
I had some free time over the holidays and wrote this article to showcase, on the basis of a personal story, many…hackernoon.com 19 min read"
8,How to swap two numbers without using a temporary variable,technology," 45 Followers Pinned Working from home has its perks. But, as any remote worker will tell you, it also has its challenges. And, if you’re not careful, you can end up working from some pretty terrible places. There are plenty of great places to work from if you have the opportunity to work… 2 min read Pinned If you work from home, you know how challenging it can be to stay productive. Whether you’re constantly interrupted by family members or you have a hard time focusing in your home office, it’s easy to get off track. But there are a few things you can do to make… 2 min read Pinned If you’re developing an app for the App Store, you need to be aware of the potential for rejection. Here are some tips to avoid App Store rejection: 1. Make sure your app adheres to the App Store Review Guidelines. These guidelines are designed to ensure that apps are safe… 2 min read Pinned Working remotely has become increasingly popular in recent years, as technology has made it easier than ever to connect with colleagues and clients from anywhere in the world. But what is working remotely really like? In this blog post, we’ll explore what it’s like to work remotely, from the pros… 2 min read Pinned It is often assumed that swapping two numbers requires the use of a temporary variable. However, this is not always the case! There are a few ways to swap two numbers without using a temporary variable, which can be useful in certain situations. In this article, we will discuss two… 1 min read 1 hour ago We all want to learn new things, but sometimes it can be difficult to find the motivation to do so. Learning doesn’t have to be a chore, though. There are plenty of ways to make it fun! Here are a few tips to get you started: 1. Find a way… 3 min read 6 hours ago Are you a people pleaser? Do you find yourself constantly saying “yes” to others, even when you really want to say “no”? If so, you’re not alone. According to a recent study, up to 80% of people identify as people pleasers. People pleasers often put the needs of others above… 2 min read 8 hours ago If you’re a coder, you know the feeling. You’re up late at night, working on a project and you’re in the zone. The world around you fades away and you’re just focused on the code. But what you may not realize is that coding at night can have some negative… 2 min read 11 hours ago No matter what kind of app you’re developing, there are certain tools that are essential to the process. Here are 5 must-have tools for your app development toolkit: 1. A Good Text Editor: A good text editor is essential for writing code. … 1 min read 11 hours ago In a world where we are constantly inundated with messaging and social media, it can be easy to get caught up in the noise and lose sight of what truly matters. … 2 min read"
9,A View into the DEI(B) Tech Landscape,technology," 2 Followers 1 day ago The DEIB (Diversity, Equity, Inclusion, & Belonging) technology landscape continues to grow at an incredible rate. Over the past several years, there has been a cultural shift in how companies approach diversity, equity, and inclusion leading to a clear need for tools to address these systemic challenges. As companies are… 5 min read"
