,topic,category,content
0,Bill Nye The Science Guy Is Now A Married Man,entertainment," Senior Culture Reporter, HuffPost Bill Nye is celebrating his first month as a married man. The host of the long-running “Bill Nye the Science Guy” TV series tied the knot with journalist and author Liza Mundy in May, People confirmed Wednesday. The ceremony took place in the Enid A. Haupt Garden of the Smithsonian Institution in Washington, D.C., and was officiated by “Star Trek: Voyager” actor Robert Picardo. Photos of the nuptials were taken by former White House photographer Pete Souza. The couple wrote their own vows, which one attendee described as “equal parts moving and comical.” Mundy, a former Washington Post reporter, mentioned Nye’s mother, cryptanalyst Jacqueline Jenkins-Nye, in her 2017 book, “Code Girls: The Untold Story of the American Women Code Breakers of World War II.” Nye emailed Mundy following the release of the book, and the two began dating shortly afterward. The pair have kept their relationship mostly private. Last week, they attended the premiere of Nye’s new Peacock series, “The End Is Nye,” at the 2022 Tribeca Film Festival in New York. And in March, Mundy was by Nye’s side at the Captain Planet Foundation’s 30th anniversary gala, a nonprofit organization in Atlanta. “The End Is Nye” due out Aug. 25, will feature Nye as he explores “the most epic global disasters imaginable ― both natural and unnatural ― and then demystifies them using science to show how we can survive, mitigate, and even prevent them,” according to press notes. The six-episode series will include guest appearances by Seth MacFarlane, who is also an executive producer. Senior Culture Reporter, HuffPost"
1,Martin Sheen Says He ‘Regrets’ Not Using His Real Name Professionally,entertainment," Reporter, HuffPost Martin Sheen may be a household name, but the actor himself wishes you knew him by his real name. Sheen — the son of a Spanish immigrant father and Irish immigrant mother — was born with the name Ramon Estévez. In an interview with Closer Weekly published Monday, the “Apocalypse Now” star said that he wishes he used his actual name when he was starting out as an actor. “That’s one of my regrets,” he told the magazine. “I never changed my name officially. It’s still Ramon Estévez on my birth certificate. It’s on my marriage license, my passport, driver’s license.” He chalked up the decision of being naive when he first started in show business. “Sometimes you get persuaded when you don’t have enough insight or even enough courage to stand up for what you believe in, and you pay for it later,” he said. “But, of course, I’m only speaking for myself.” He added that when his son, Emilio Estévez, first started acting professionally, he advised his son to stay true to his name. “The only influence I had on Emilio was to keep his name,” Sheen told Closer. “When he started out, his agent was advising him to change his name to Sheen and he wouldn’t do it. And I thank God he didn’t.” Sheen’s other famous son, Charlie Sheen, didn’t take the same advice — initially. In 2013, he was credited in Robert Rodriguez‘s film “Machete Kills” by his real name, Carlos Estévez, in the title cards. But in 2017’s “Mad Families,” Charlie Sheen was credited by his professional name. Reporter, HuffPost"
2,Brad Pitt Gets Conned Into Hunting For Fake Buried Treasure At His French Mansion,entertainment," Senior Reporter, HuffPost In a stunning rebuke of today’s relatable celebrity culture, Brad Pitt revealed he spent a year hunting for buried medieval treasure that never existed beneath his French estate. Yes, for some reason the Oscar winner chose to come clean about getting swindled by an unnamed man who convinced him that the property he once shared with ex-wife Angelina Jolie was even more valuable than the estimated $60 million the former couple forked over for it back in 2008. Speaking with GQ in a profile published on Wednesday, Pitt said he was told that there were “millions of dollars worth of gold” left by the villa’s medieval owners that had been “taken from the Levant during the Crusades and buried on the grounds.” “I got obsessed,” said Pitt, who acquired radar equipment to hunt for the loot. “Like for a year, this was all I could think about, just the excitement of it all. Maybe it has something to do with where I grew up, because in the Ozark Mountains” near his childhood home in Missouri, “there were always stories of hidden caches of gold.” Ultimately, Pitt came up empty, and it was revealed that the man had targeted him as a potential investor in a radar company and (successfully) pitched the prospect of undiscovered riches to dupe the actor. Pitt said the ordeal left him feeling “pretty foolish in the end.” “It was just the hunt that was exciting,” he remarked. Despite the slightly embarrassing admission, there are grounds to believe buried treasure may lay beneath the historic villa. Pitt’s Château Miraval sits along an ancient Roman trade route and contains a sprawling estate and various structures, including the 13th-century chapel where he and Jolie wed. The château and its award-winning wine from the property’s vineyards have since become a major source of contention in the former couple’s ongoing divorce battle. After Jolie sold her stake in the business last year to Russian billionaire Yuri Shefler, Pitt sued her in February, claiming she unlawfully disregarded their agreement never to sell their shares without the other’s permission. In a filing from Pitt’s legal team earlier this month, the actor claims Jolie “sought to inflict harm on” him by forcing him to partner with “a stranger with poisonous associations and intentions” who plans to launch a “hostile” takeover of the business. Jolie hasn’t commented on Pitt’s allegations or his hunt for fake treasure. Senior Reporter, HuffPost"
3,"James Rado, Co-Creator Of Groundbreaking Musical ‘Hair,’ Dead At 90",entertainment," NEW YORK (AP) — James Rado, co-creator of the groundbreaking hippie musical “Hair,” which celebrated protest, pot and free love and paved the way for the sound of rock on Broadway, has died. He was 90. Rado died Tuesday night in New York City of cardio respiratory arrest, according to friend and publicist Merle Frimark. “Hair,” which has a story and lyrics by Rado and Gerome Ragni and music by Galt MacDermot, was the first rock musical on Broadway, the first Broadway show to feature full nudity and the first to feature a same-sex kiss. “Hair” made possible other rock musicals like “Jesus Christ Superstar” and “Rent.” Like “Hamilton,” it was one of only a handful of Broadway shows in the past few decades to find its songs on the pop charts. The so-called “American tribal love-rock musical,” had its world premiere at the Public Theater in New York City’s East Village in 1967 and transferred the following year to Broadway, where the musical ran more than 1,800 performances. Rado played Claude, a young man about to be drafted and sent to the war in Vietnam. Clive Barnes, theater critic for The New York Times, called the show “the first Broadway musical in some time to have the authentic voice of today rather than the day before yesterday.” The New York Post said it had “unintentional charm,” contagious high spirits and a “young zestfulness” that “make it difficult to resist.” Variety, however, called it “loony.” It lost the Tony in 1969 to the more traditional “1776” but won a Grammy Award. The 2009 revival won the best revival Tony. The show was revived on Broadway in 1977 and again in 2009. It was made into a movie directed by Milos Forman in 1979 starring Treat Williams and Beverly D’Angelo. “Hair” spawned four top four singles on the American pop charts, including the No. 1 hit “Aquarius/Let the Sunshine In” by the Fifth Dimension, which won the Grammy Award for record of the year and best pop vocal performance by a group in 1970. Others included “Hair” by the Cowsills, “Good Morning, Starshine” by the singer Oliver and “Easy to Be Hard” by Three Dog Night. The cast album itself stayed at No. 1 on the Billboard 200 for 13 weeks “Hair” tells the story of Claude and Berger, best buddies who find freedom in the late 1960s. Between draft-card burnings, love-ins, bad LSD trips and a parade of protest marches, the two wander through a New York filled with flower children, drugged-out hippies and outraged tourists who don’t approve of the wild goings-on. In one song, Claude poignantly sings, “Why do I live, why do I die, tell me where do I go, tell me why.” The show is playful and chaotic, but there’s also a sense of outrage in its protests against war, racism, sexism, pollution and the general hypocrisy of an era dominated by the American involvement in Vietnam. “I’d still like ‘Hair’ to be about what it was about then,” Rado told The Associated Press in 1993. “‘Hair’ had a spiritual message, and it has a mystical message I hope is coming through — there’s more to life than the way it’s been devised for us, explained to us, taught to us.” The songs of “Hair” have been used in everything from the films “Forrest Gump,” “Minions” and “The 40-Year-Old Virgin” to TV shows like “Glee,” “So You Think You Can Dance” and “My Name Is Earl.” Billboard magazine lists “Aquarius/Let the Sunshine In” at No. 66 of all-time top 100 songs. In 2019, the original 1968 Broadway cast recording was inducted into the National Recording Registry of the Library of Congress. Librarian of Congress Carla Hayden deemed “these aural treasures worthy of preservation because of their cultural, historic and aesthetic importance to the nation’s recorded sound heritage.” Rado was born in Venice, California, and raised in Rochester, New York, and Washington, D.C. After serving two years in the U.S. Navy, he moved to New York and studied acting with Paula and Lee Strasberg. Rado was part of the ensemble of the Broadway play “Marathon ’33” in 1963 and played Richard Lionheart in “The Lion in Winter” in 1966 opposite Christopher Walken. He met Ragni when he was cast in the off-Broadway musical “Hang Down Your Head and Die.” The two were interested in birthing a new kind of show and focused on the hippie scene. They wrote the script while sharing an apartment in Hoboken, New Jersey. Rado originated the “Hair” role of the draftee Claude on Broadway. “Hair” met resistance across the country. In addition to the use of four-letter words, the flouting of authority, sexual references and gross-out humor, the end of Act 1 had the entire cast strip naked to “Where Do I Go” and there was what many believed was desecration of the American flag. There were church pickets in Evansville, Indiana. Municipal officials in Chattanooga, Tennessee, denied a request to stage the show, determining that it would not be “in the best interest of the community.” In Denver, police threatened to arrest anyone who appeared nude onstage. A Boston visit was challenged in court on the basis of flag desecration. The original Public Theater production had cut the nude scene, but the creators wanted it back for the Broadway debut. Under the law at that time, New York City allowed nudity onstage onstage as long as the actors weren’t moving, which is why the whole cast of “Hair” stood together in a row, nude and perfectly still. After “Hair,” Rado wrote the music and lyrics of the off-Broadway show “Rainbow,” co-authoring the book with his brother, Ted Rado. He later teamed up with Ragni to create the book and lyrics for the show “Sun.” Ragni died in 1991. Rado wrote a new show called “American Soldier” with his brother. In 2009, Rado, MacDermot and Ragni were inducted into the Songwriters Hall of Fame. Marilyn McCoo and Billy Davis Jr., of the group The Fifth Dimension, were joined onstage by the Broadway cast at the time for a finale that brought the ceremony’s approximately 1,000 guests to their feet. MacDermot died in 2018. Rado told the Hudson Reporter in 2009 that none of the show’s creators anticipated that it would have such an enormous impact. “We thought we’d stumbled on a great idea, and something that potentially could be a hit on Broadway, never thinking of the distant future.” He is survived by his brother Ted Rado, sister-in-law Kay Rado, nieces Melanie Khoury, Emily DiBona and Melissa Stuart, great-nieces and a great-nephew. ___ Mark Kennedy is at http://twitter.com/KennedyTwits"
4,David Muir Swiftly Shuts Down Chris Christie After His Jan. 6 Comparison,entertainment,"  ABC News anchor David Muir shut down Chris Christie’s attempt to compare the 2000 and 2016 presidential election results with the GOP-backed attempt to overturn the electoral vote count on Jan. 6, 2021. Muir, during the network’s coverage of the Jan. 6 committee hearings on Tuesday, pointed out that Republicans across the country are running campaigns based on claims of a “faulty” 2020 presidential election. Christie, a former New Jersey governor who headed Donald Trump’s presidential transition team, claimed former Secretary of State Hilary Clinton in 2016 and supporters of then-Vice President Al Gore in 2000 refused to accept the “legitimate” results of their presidential defeats long before Jan. 6. Clinton conceded following the 2016 election and Gore acknowledged his 2000 loss after a Florida recount battle. “This is a very dangerous thing in this country, which was brought to a new level in 2020 by Donald Trump and his campaign,” Christie said. Muir interrupted. “I just don’t want our audience to think I’m not aware that there isn’t a real equivalency here when you have a former president who is sowing seeds of doubt,” Muir said. You can watch the moment Muir cuts Christie off below. ABC News anchor David Muir pushes back against Chris Christie for equating the 2000 election between Gore and Bush to the Jan. 6 insurrection.""I just don't want our audience thinking there is a real equivalency here when you have a former president who is sowing seeds of doubt"" pic.twitter.com/7wNtQMIfUK "
5,Fox News Anchor Calls Out 'Stunning' Lack Of Evidence For Trump Election Fraud Claim,entertainment," General Assignment Reporter, HuffPost Fox News anchor Martha MacCallum on Tuesday called out the “stunning” absence of proof to support Donald Trump’s election-fraud claims during the latest hearing on the Jan. 6, 2021 attack, The Hill reported. MacCallum said a rift among Republicans over whether to buy into the former president’s continued allegations of cheating will be exploited by the Democratic-dominated House panel investigating the Capitol riot, according to the news outlet. “The lack of evidence is the huge stunning clear moment here where these people are saying, ‘Look I supported you, please give me something to work with,’ and it simply doesn’t materialize,” MacCallum said, per The Hill. Arizona Republican House Speaker Rusty Bowers testified Tuesday that Trump and his lawyers pressured him to overturn President Joe Biden’s victory in the state. “There was no ― no evidence being presented of any strength ... anything that would say to me, ‘You have a doubt. Deny your oath.’ I will not do that,” Bowers said of Trump’s fraud claims. Trump in May accused Fox News, which amplified Trump’s lies about the 2020 results and got sued for it, of failing to spread his falsehoods. He said it decreased the conservative channel’s ratings. “That’s the one subject they don’t want to talk about,” the ex-president said. McCallum on Tuesday said the hearings could influence Trump’s decision on whether to run in 2024. “We never wanna see what we saw happen on Jan. 6 at the Capitol ever happen again,” she added. General Assignment Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
6,"Andrew Gillum, Former Candidate For Florida Governor, Facing Federal Charges",entertainment," TALLAHASSEE, Fla. (AP) — Andrew Gillum, the 2018 Democratic nominee for Florida governor, is facing 21 federal charges related to a scheme to seek donations and funnel a portion of them back to him through third parties, the U.S. attorney’s office announced Wednesday. Gillum, 42, and co-defendant Janet Lettman-Hicks, 53, face 19 counts of wire fraud. Gillum is also charged with making false statements to the Federal Bureau of Investigation. The U.S. attorney’s office said the pair “conspired to commit wire fraud, by unlawfully soliciting and obtaining funds from various entities and individuals through false and fraudulent promises and representations that the funds would be used for a legitimate purpose.” Lettman-Hicks then used her company to fraudulently give money to Gillum disguised as payroll payments, the office said in a press release. It’s the latest trouble for Gillum, who narrowly lost to Republican Gov. Ron DeSantis in a race that required a recount. Gillum served as mayor of Tallahassee before running for governor. In March 2020, Gillum was found intoxicated and unconscious in a hotel room with two men, including one who works as a male escort. Two days later he entered a rehabilitation center, and later did a television interview and said he’s bisexual. Do you have information you want to share with HuffPost? 
    Here’s how."
7,Newt Gingrich's Kamala Harris Insult Barrage Might Be Beneath Even Him,entertainment," General Assignment Reporter, HuffPost Far-right pot-stirrer Newt Gingrich mocked Vice President Kamala Harris’ qualifications to be president on Fox News Tuesday. (Watch the video below.) The former House speaker, a guest on “Jesse Watters Primetime,” launched a dismissive, demeaning and somewhat racist broadside against the veep, frequently mentioned as a possible Democratic successor to President Joe Biden. Gingrich attacked her intelligence and called her a prospect “crazy enough to satisfy the left” who checks the box of “being a woman of color.” “She doesn’t know anything, she doesn’t know how to learn anything, she’s inarticulate, and she’s not sure what the big words mean anyway,” he said. Gingrich previously said Harris “may be the dumbest person ever elected vice president in American history.” If Biden doesn’t seek reelection, Harris would be the leading Democratic candidate to replace him by a fairly wide margin, according to a recent poll. Biden has said he intends to stand for reelection, especially if Donald Trump runs. Gingrich called the prospect of Harris assuming the presidency under “terrible” circumstances “horrifying.” She would “achieve worst president in American history, I think, within 30 days,” Gingrich said. H/T Media Matters General Assignment Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
8,Baltimore Ravens Linebacker Jaylon Ferguson Dies At Age 26,entertainment," General Assignment Reporter, HuffPost Jaylon Ferguson, a linebacker for the Baltimore Ravens who played in 10 games last season, has died. He was 26. “We are profoundly saddened by the tragic passing of Jaylon Ferguson,” the team said in a statement on Wednesday. “He was a kind, respectful young man with a big smile and infectious personality. We express our heartfelt condolences to Jaylon’s family and friends as we mourn a life lost much too soon.” Ferguson, a father of three young children with fiancée Doni Smith, was due to report to training camp for his fourth season in late July. He practiced last week with the Ravens at a minicamp where he sprained his ankle, the Baltimore Sun reported. Police found an unresponsive Ferguson being tended to by medics in Baltimore Tuesday night and told the newspaper there was no initial indication of “trauma or foul play.” The cause of death has not yet been determined. Ferguson played all three of his NFL seasons with the Ravens, appearing in 38 games. The Ravens made him a third-round pick out of Louisiana Tech in 2019. “The last person I talked to leaving the facility,” Ravens linebacker Patrick Queen tweeted. “Spent almost everyday in the sauna together tryna see who gone last longer. Said it was our turn this year man. Ima miss you bro.” Ferguson’s agent, Safarrah Lawson, said in a statement shared by ESPN: “He will be remembered not just as a football player, but as a great father, son, brother and friend.” General Assignment Reporter, HuffPost"
