,topic,category,content
0,Paddleboard Duo Rescues Swimmer Attacked By Great White Shark Off California Beach,environment," Trends Reporter, HuffPost Two paddleboarders and a surfer came to the rescue of a swimmer at a Central Coast beach in California after hearing his panicked cries for help while he was being attacked by a great white shark. The swimmer noted in a statement later that he was incredibly lucky that people rushed to his aid. “He was screaming for help. You could tell by the sound and the emotion in his voice that there was something definitely wrong, and he was slapping the water,” Paul Bandy told KSBW-TV in Monterey. Bandy, a police officer, was paddleboarding with his wife, who’s a nurse, when they heard the swimmer’s screams Wednesday at the popular Lovers Point Beach in Pacific Grove, just south of Monterey. They were in town on vacation celebrating their wedding anniversary. The swimmer, Steven Bruemmer, 62, a member of a swim club that often uses the beach, had bites to his leg and torso. Bandy and others pulled him to shore and applied first aid before he was rushed to Natividad Medical Center in Salinas. “The shark bite was unlucky. But after that, I ... had so much good luck,” Bruemmer said in a statement Thursday to KION-TV in Monterey. “The day was so calm and warm, and the beach was crowded. There were no waves, and there was no chop. So people could hear me yelling ‘Help’ from a great distance,” he added. Bandy and his wife “knew what to do” when they came to his aid, Bruemmer said. A surfer teaching a safety class on shore also jumped into the water with his board and brought an extra one with him to help bring in Bruemmer. “Several bystanders, including a doctor and a nurse who were on the beach for the day, helped put tourniquets on me and get me to the ambulance,” he said. “I remember ... lying in the ambulance, and I thought, ‘My lungs are good. I can breathe.’ ... It seemed really lucky that the shark got me in a spot that seemed survivable,” Bruemmer added. Despite major injuries to his leg and stomach, he is expected to recover. Doctors operated on him for two hours. DNA tests confirmed he was attacked by a great white shark, according to the California Department of Fish and Wildlife. Doctors credited the good Samaritans with saving his life. Dr. Nicholas Rottler told KION that Bruemmer was lucky no bones were broken, no organs were damaged and no major arteries were severed. There’s a distinct U-ring shark bite mark around his pelvis, Rottler told KION. Trends Reporter, HuffPost"
1,Devastating Earthquake Strikes Afghanistan As Taliban Struggles To Respond,environment," Afghan Fellow, HuffPost Hundreds were killed in an earthquake in the southeastern region of Afghanistan early Wednesday, adding to the country’s already-grave economic and humanitarian crisis. Search and rescue operations are underway. The 5.9-magnitude earthquake caused the most damage in the mountainous areas of Khost and Paktika provinces, which are located in Afghanistan’s southeast and border Pakistan. Afghan media showed images of collapsed buildings and victims wrapped in blankets on the ground in the hours following the quake. Accurate information from the remote mountain villages affected by the quake has been limited. Around 770 people are estimated to have been killed, at least 1,455 people have been injured, and nearly 1,500 homes have now been verified as destroyed and damaged, according to the United Nations Office for the Coordination of Humanitarian Affairs, or OCHA. The Taliban has estimated the death toll at more than 1,000 people. On Wednesday evening, the Taliban’s Ministry of Defense confirmed that 90% of earthquake-related search and rescue operations had been finalized. However, additional assessments are taking place Thursday to verify this, and casualties may rise further, OCHA reported. The Taliban’s supreme leader, Haibatullah Akhundzada — who almost never appears in public — pleaded with the international community and humanitarian organizations “to help the Afghan people affected by this great tragedy and to spare no effort.” United Nations Secretary-General António Guterres said the global agency had “fully mobilized” to help, with the U.N. confirming that it had deployed health teams and supplies of medicine, food, trauma kits and emergency shelter to the quake zone. President Joe Biden is monitoring the developments in Afghanistan and has directed the U.S. Agency for International Development and other federal government partners to evaluate how to help those most affected, U.S. national security adviser Jake Sullivan said in a statement on Thursday. But until that happens, international aid is limited, given the severe sanctions placed on the Taliban government last year after the U.S.-backed Afghan government fell. Turkey’s Ministry of Foreign Affairs said Wednesday that the Turkish Red Crescent, which operates in Afghanistan, had sent humanitarian aid for the victims. On Thursday, a Taliban spokesperson said aid had also arrived from Qatar, Iran and Pakistan, with flights and trucks carrying items including medicine, tents and tarpaulins. Humanitarian partners are continuing to assist affected families in Paktika and Khost provinces in coordination with the de facto authorities, OCHA reported. Taliban officials have dispatched five helicopters and more than 45 ambulances to Paktika province to facilitate medical evacuations, according to OCHA. Taliban leadership has allocated 100 million afghanis (around 1.1 million U.S. dollars) for relief. Reuters reported that poor telecommunications networks and a lack of proper roads are hampering relief efforts. “We can’t reach the area, the networks are too weak, we [are] trying to get updates,” Mohammad Ismail Muawiyah, a spokesperson for the top Taliban military commander in Paktika province, told Reuters. Poor weather conditions are also hampering transportation, according to the International Federation of Red Cross and Red Crescent Societies, or IFRC. “We face risks that are far more serious than war.” Mobile teams have already reached all earthquake-affected locations, reported Dr. Ramiz Alakbarov, U.N. deputy special representative in Afghanistan. “Of course, as the U.N. we do not have … specific equipment to take people from under the rubble. This has to rely mostly on the efforts of the de facto authorities, which also have certain limitations in that respect,” he said. “We are concerned about not just non-food items and getting people into shelters and providing medical supplies, but also preventing water-borne diseases,” Alakbarov said, adding “and that could be a very, very unwelcome scenario.” An estimated $15 million in aid is needed to respond to the disaster, Alakbarov said ― a figure that will likely keep rising as information trickles in about the situation on the ground. “Disaster response is complex and challenging,” said ex-Afghan State Minister for Disaster Management Najib Aqa Fahim, who expressed doubts in an interview with HuffPost about the Taliban’s ability to respond. “The Taliban administration lacks experience in responding to disasters. There was an insufficient response to the seriousness of the occurrence.” Fahim said Afghanistan’s disaster response infrastructure was harmed when the Taliban took over. Unskilled Taliban members have replaced disaster management professionals at the ministry and provincial levels. The High Commission for Disaster Management, which previously served to coordinate between government agencies and international humanitarian organizations, is currently ineffective. There are no longer any provincial or district disaster management committees or local councils to aid in the coordination and dissemination of information. “There is not proper coordination, division of tasks, and clear procedures for responding to such incidents in a timely manner,” Fahim said. This earthquake has only added to the many issues that have been affecting Afghanistan. The economy was already struggling due to armed conflict and severe drought, and the U.S. and its allies had frozen about $7 billion in foreign reserves and cut off international funding when the Taliban took power. “The country is reeling from the effects of decades of conflict, protracted severe drought, the effects of other intense climate-related disasters, extreme economic hardship, a battered health system, and system-wide gaps,” said the IFRC on Wednesday, calling for more global support. “Hence, even though the disaster is localized, the scale of humanitarian needs will be massive.” “Warehouses and stocks are empty. The available funds are meager,” Fahim said. Fahim says that although some funds have been allocated for relief efforts, it takes a long time for them to be used because of a lack of coordination within the Taliban leadership. “My guess is that greater damage and suffering will result from this weakness if international relief organizations do not step in immediately to fill this gap,” Fahim said. Afghanistan is a country with a high risk of being affected by any natural disaster, as it has already been hit by drought and flooding. “We face risks that are far more serious than war,” Fahim said. “We now face the additional difficulty of dealing with natural disasters. These concerns require an understanding by the current administration. We need leadership, strategy, expertise, and funding.” Afghan Fellow, HuffPost"
2,NY Man And Woman Face $500 Fines After Bringing Raccoon To Store,environment," ATTICA, N.Y. (AP) — A New York man and woman face fines of $500 each after they took a raccoon to a pet store to shop for food and a store worker ratted them out, authorities said. A state Department of Environmental Conservation police officer got an urgent call from the Erie County Department of Health about a potentially rabid raccoon on June 2, the DEC said in a news release. The health department said a couple had brought a raccoon to a pet store for food and supplies and a store employee contacted authorities. Raccoons are considered dangerous wild animals because they are known to carry and transmit the deadly rabies virus. The DEC officer used store surveillance video, a store-issued rewards card and license plate information to locate the couple in the town of Attica in western New York, the department said. The owners turned the raccoon over and were each charged with unlawfully possessing a wild animal, which is subject to $500 fine, authorities said. The raccoon that was confiscated from the couple was euthanized and tested for rabies — a test that can only be performed on an animal after it has died. The test was negative, the DEC said."
3,"At Least 1,000 Killed After Powerful Earthquake Hits Eastern Afghanistan",environment," KABUL, Afghanistan (AP) — A powerful earthquake struck a rural, mountainous region of eastern Afghanistan early Wednesday, killing 1,000 people and injuring 1,500 more in one of the deadliest temblors in decades, the state-run news agency reported. Officials warned that the already grim toll may still rise. Information remained scarce on the magnitude 6.1 temblor near the Pakistani border, but quakes of that strength can cause severe damage in an area where homes and other buildings are poorly constructed and landslides are common. Experts put the depth at just 10 kilometers (6 miles) — another factor that could lead to severe destruction. The disaster posed a major test for the Taliban-led government, which seized power last year as the U.S. planned to pull out from the country and end its longest war, two decades after toppling the same insurgents in the wake of the 9/11 attacks. Rescuers rushed to the area by helicopter Wednesday, but the response is likely to be complicated since many international aid agencies left Afghanistan after the Taliban takeover. Neighboring Pakistan’s Meteorological Department said the quake’s epicenter was in Afghanistan’s Paktika province, some 50 kilometers (31 miles) southwest of the city of Khost. Buildings were also damaged in Khost province, and tremors were felt as far away as the Pakistani capital of Islamabad. Footage from Paktika showed men carrying people in blankets to waiting helicopters. Others were treated on the ground. One resident could be seen receiving IV fluids while sitting in a plastic chair outside the rubble of his home and still more were sprawled on gurneys. Some images showed residents picking through clay bricks and other rubble from destroyed stone houses, some of whose roofs or walls had caved in. The death toll, given by Afghan emergency official Sharafuddin Muslim, made it the deadliest quake since 2002, when a 6.1 magnitude temblor killed about 1,000 people in northern Afghanistan immediately after the U.S.-led invasion overthrew the Taliban government. Muslim said 600 more people were injured. In most places in the world, an earthquake of this magnitude wouldn’t inflict such extensive devastation, said Robert Sanders, a seismologist with the U.S. Geological Survey. But a quake’s death toll more often comes down to geography, building quality and population density. “Because of the mountainous area, there are rockslides and landslides that we won’t know about until later reporting. Older buildings are likely to crumble and fail,” he said. “Due to how condensed the area is in that part of the world, we’ve seen in the past similar earthquakes deal significant damage.” The Taliban are still trying to reconstitute government ministries abandoned by staff loyal to its previous Western-backed government, and it was not clear how officials arrived at the casualty tolls reported by Bakhtar. In Kabul, Prime Minister Mohammad Hassan Akhund convened an emergency meeting at the presidential palace to coordinate the relief effort, and Bilal Karimi, a deputy spokesman for the Taliban government, wrote on Twitter to urge aid agencies to send teams to the area. The “response is on its way,” the U.N. resident coordinator in Afghanistan, Ramiz Alakbarov, wrote on Twitter. That may prove difficult given the situation Afghanistan finds itself in today. After the Taliban swept across the country in 2021, the U.S. military and its allies fell back to Kabul’s Hamid Karzai International Airport and later withdrew completely. Many international humanitarian organizations followed suit because of concerns about security and the Taliban’s poor human rights record. In the time since, the Taliban has worked with Qatar, Turkey and the United Arab Emirates on restarting airport operations in Kabul and across the country — but nearly all international carriers still avoid the country, and reluctance on the part of aid organizations to put any money in the Taliban’s coffers could make it difficult to fly in supplies and equipment. The Afghan Red Crescent Society, however, sent some 4,000 blankets, 800 tents and 800 kitchen kits to the affected area, according to Bakhtar’s director-general, Abdul Wahid Rayan. The Italian medical aid group Emergency, which still operates in Afghanistan, said it sent seven ambulances and staff to the areas closest to the quake zone. “The fear is that the victims will increase further, also because many people could be trapped under collapsed buildings,” said Stefano Sozza, country director for Emergency in Afghanistan. “This latest tragedy cannot but worsen further the condition of fragility and economic and social difficulties which Afghanistan has experienced for months.” Pakistan’s Prime Minister Shahbaz Sharif said his nation would provide help. At the Vatican, Pope Francis offered prayers for all those killed and injured and for the “suffering of the dear Afghan population.” Some remote areas of Pakistan saw reports of damage to homes near the Afghan border, but it wasn’t immediately clear if that was due to rain or the earthquake, said Taimoor Khan, a disaster management spokesperson in the area. The European seismological agency, EMSC, said the earthquake’s tremors were felt over 500 kilometers (310 miles) by 119 million people across Afghanistan, Pakistan and India. Mountainous Afghanistan and the larger region of South Asia along the Hindu Kush mountains has long been vulnerable to devastating earthquakes. ___ Associated Press writers Rahim Faiez and Munir Ahmed in Islamabad and Jon Gambrell and Isabel DeBre in Dubai, United Arab Emirates, contributed to this report. "
4,Twitter Users Mock Matt Gaetz's 1st Tweet After His Pardon Request Is Made Public,environment," Senior Reporter, HuffPost Rep. Matt Gaetz (R-Fla.) became a victim of “pardon bombing” Thursday on Twitter. It happened after the House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol revealed that the lawmaker was one of at least five members of Congress who attempted to get pardons from then-President Donald Trump for their roles in helping Trump attempt to overturn the 2020 presidential election. But Gaetz wanted his pardon to be a lot broader than his role in Trump’s election fraud, according to Cassidy Hutchinson, a former aide to White House chief of staff Mark Meadows. She told the committee that Gaetz had been pushing for a pardon since early December, according to Business Insider. Former White House senior adviser Eric Herschmann told the committee that the “general tone” of the pardon request revolved around the idea that “We may get prosecuted because we were defensive of, you know, the president’s positions on these things.” However, Herschmann noted that the pardon Gaetz was angling for may have been intended to also protect him from the sex trafficking investigation swirling around him. “The pardon that he was discussing, requesting, was as broad as you could describe, from... the beginning of time up until today, for any and all things,” Herschmann told the committee. After the revelation, Gaetz posted on Twitter to accuse the committee of being “an unconstitutional political sideshow” that is “rapidly losing the interest of the American people and now resorts to siccing federal law enforcement on political opponents.” The January 6 Committee is an unconstitutional political sideshow. It is rapidly losing the interest of the American people and now resorts to siccing federal law enforcement on political opponents. Many Twitter users responded with variations on the same joke. I beg your pardon? Pardon me? Beg your pardon?@RepAndyBiggsAZ @Jim_Jordan@RepMTG@RepMoBrooks@RepMattGaetz @RepGosar @replouiegohmert@RepScottPerry Pardon me? Traitor says what? Others pointed out that innocent people rarely request pardons. Wow. Congressmen helping Trump on & before 1/6 & then demanding pardons. Makes me think of 18 USC 201: A public official who corruptly seeks anything of value in return for an official act or colluding in fraud shall be imprisoned for up to 15 years & disqualified from office Hi Matt. Why did you ask for a pardon? Cheers 🍻 You sought a pardon because you knew you committed a crime, helping Trump try to overturn the election.Sit down. https://t.co/jNzth4P0m2 You asked for a pardon, and now the DOJ will impolitely ask you to head to your cell, Matt. One person had a pertinent question for the congressman. Beg your pardon, Matt, do you take Venmo? pic.twitter.com/WyeVsMR92d Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
5,"At Least 5 Members Of Congress Asked Trump For Pardons, According To Jan. 6 Committee",environment," Senior Reporter, HuffPost Senior Politics Reporter, HuffPost WASHINGTON ― The House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol named five additional Republican Congress members who sought pardons from President Donald Trump. The requests stemmed from their involvement in Trump’s schemes to try to subvert the 2020 presidential election, which Trump insisted he won despite losing by several million votes. The committee previously revealed that Rep. Scott Perry (R-Pa.) sought a presidential pardon, something the congressman denied. During Thursday’s public hearing on Capitol Hill, witnesses close to the Trump White House said in previously recorded interviews that Republican Reps. Matt Gaetz (Fla.), Mo Brooks (Ala.), Andy Biggs (Ariz.) and Louie Gohmert (Texas) also asked for pardons. “The pardon he was requesting was as broad as you can describe ... for any and all things,” former Trump White House lawyer Eric Herschmann said of Gaetz in video testimony that the committee played on Thursday. Cassidy Hutchinson, an aide to former White House chief of staff Mark Meadows, confirmed to the committee that Gaetz and the other GOP members of Congress sought pardons. “Mr. Gaetz and Mr. Brooks I know both advocated for there to be a blanket pardon,” Hutchinson said. In a statement after the hearing, a spokesperson for Brooks said the congressman only wanted a pardon in case Democrats abused the justice system and started “prosecuting and jailing” their political opponents. Brooks also released an image of the email he sent to the White House in December, on behalf of himself and Gaetz, recommending that the president give “general (all purpose) pardons” to every Republican who voted to overturn the election after the Jan. 6 riot. In a speech at Trump’s rally before the attack on the U.S. Capitol, Brooks said, “Today is the day American patriots start taking down names and kicking ass.” Hutchinson said that she heard Rep. Marjorie Taylor Greene (R-Ga.) also asked for a pardon but that she didn’t hear it directly. “I heard that she asked the White House counsel’s office for a pardon,” she said. “The only reason I know to ask for a pardon is because you think you’ve committed a crime,” Jan. 6 committee member Adam Kinzinger (R-Ill.) said. In a tweet after the hearing, Greene didn’t exactly deny that she had asked for a pardon but said, “Saying ‘I heard’ means you don’t know. Spreading gossip and lies is exactly what the January 6th Witch Hunt Committee is all about.” Thursday’s hearing featured testimony from former Justice Department officials Jeffrey Rosen and Richard Donoghue, as well as Office of Legal Counsel director Steven Engel, who described Trump’s efforts to throw out the election despite their objections that doing so would be unconstitutional and contrary to the will of the American voters. Donoghue, who was then acting deputy attorney general, testified that when Trump threatened to replace Rosen as the acting attorney general with Jeffrey Clark, an assistant attorney general in the department’s Environment and Natural Resources Division, he was told the change would spark mass resignations in the Justice Department. “Mr. President, I would resign immediately. I would not work one minute for this guy,” Donoghue said he told Trump, referring to Clark. During the Jan. 6 committee hearing, Kinzinger described how Perry lobbied the White House to elevate Clark in the Justice Department in order to gain his help in subverting the election. Perry improperly brought Clark to a White House meeting and texted White House chief of staff Mark Meadows, urging him to appoint Clark to a role with “the authority to enforce what needs to be done.” Perry denied seeking a pardon earlier this month. “The notion that I ever sought a Presidential pardon for myself or other Members of Congress is an absolute, shameless, and soulless lie,” Perry said on Twitter. Kinzinger deliberately juxtaposed testimony about pardon-seekers with the live testimony from Justice Department officials who refused to do Trump’s bidding. “They knew that every bit of what they did was a lie and it was wrong,” Kinzinger said of those who sought pardons. “That is all the more reason to respect those who came here to testify today.” Trump last week reiterated his intention to pardon people charged in connection with U.S. Capitol riot if he becomes president again in 2024. “And if I become president, someday if I decide to do it, I will be looking at them very, very seriously for pardons,” Trump said of defendants in the insurrection. Senior Reporter, HuffPost Senior Politics Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
6,Angry Trump Again Demands The Impossible From Jan. 6 Panel After Riveting Hearing,environment," Trends Reporter, HuffPost Former President Donald Trump’s reaction Thursday to another powerful day of testimony before the House select committee investigating the U.S. Capitol riot was to again demand the impossible: evidence of a rigged presidential election. “The only thing not discussed by the Unselects, in any way, shape, or form, is the irrefutable evidence of massive and totally pervasive ELECTION FRAUD & IRREGULARITIES which took place during the 2020 Presidential Election. They refuse to go there,” he posted. It wasn’t discussed because it never happened. A litany of testimony from former Department of Justice officials on Thursday — and in earlier sessions — refuted Trump’s “irrefutable” claims. Trump appears to be ignoring the information in the hearings the same way he ignored responses from his Justice Department, various state officials and U.S. Attorney General William Barr: The claims of a rigged election were baseless. A number of specific claims have been refuted in detail. Trump insisted on Truth Social that it would be “impossible” for the Jan. 6 hearing to “refute or challenge that which would be put before them. To the Unselects, I ask, LET US PUT ON THE EVIDENCE STATE BY STATE.” Neither he nor his supporters have offered any such evidence. Arizona House Speaker Rusty Bowers (R) testified Tuesday that Trump lawyer Rudy Giuliani asked him to hold up electoral votes because “200,000 illegal immigrants” and more than 5,000 “dead people” voted in the state. Bowers told Giuliani he wanted names and was promised he would get them, he said. Despite repeated requests, he was never given a single name, Bowers testified. Last week, Trump noted on Truth Social that the “Unselect Committee refuses to debate the Election results, the reason for the massive crowd on January 6th, because they can’t.” In a separate post Thursday, Trump asked: “What about the massive ballot stuffing shown ... by the highly respected and credible Patriots of Truth (2000 Mules).” He was referring to a discredited “documentary,” which elicited a derisive laugh from the former attorney general during Barr’s testimony. “I suppose that’s OK by the Unselects? Such lies!” Trump added in his post. Trends Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
7,Former U.S. Attorney General Highlights Trump's 'Smoking Gun' In New Jan. 6 Testimony,environment," Senior Reporter, HuffPost Former U.S. Attorney General Eric Holder on Thursday identified what he called the “smoking gun” for criminally charging former President Donald Trump over his conspiracy to overthrow the 2020 presidential election. Appearing Thursday before the House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol, Richard Donoghue, the acting deputy attorney general in the last weeks of the Trump administration, testified that Trump directed him to “just say the election was corrupt and leave the rest to me and the Republican congressmen” during a Dec. 27, 2020, conversation. Donoghue had written the directive down in his notes and testified that it was an “exact quote from the president.” “This is the smoking gun. Coupled with other testimony, [it] demonstrates both Trump’s substantive involvement and corrupt intent, requisite state of mind,” tweeted Holder, who served in the Barack Obama administration. Any prosecution of Trump would need to convince a jury that Trump acted with criminal intent to overturn the results of the election, knowing that he had legitimately lost. Trump - “Just say the election was corrupt and leave the rest to me and the Republican congressmen”. This is the smoking gun. Coupled with other testimony demonstrates both Trump’s substantive involvement and corrupt intent, requisite state of mind. Donoghue also wrote down that Trump said the Justice Department had “an obligation to tell people that this was an illegal, corrupt election.” Asked if the Department of Justice had actually found evidence of corruption in the 2020 presidential election, Donoghue said: “There were isolated instances of fraud. None of them came close to calling into question the outcome of the election in any individual state.” Thursday’s hearing focused on efforts by Trump and his allies to pressure Justice Department officials into supporting his scheme to overturn democracy and remain in power. A number of former Justice Department officials have said the Jan. 6 committee’s hearings have delivered compelling evidence that Trump committed crimes. Donald Ayer, a former deputy attorney general in the George H.W. Bush administration, told The Guardian last week that “the committee hearings have bolstered the need to seriously consider filing criminal charges against Trump.” The current attorney general, Merrick Garland, has not yet indicated if Trump is under investigation or if there will be indictments, though he said he would be following the hearings closely. Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
8,Bob Woodward: 20% Of Republicans Would Now Like To 'Push Trump Off The Cliff',environment," Trends Reporter, HuffPost Washington Post Watergate journalist Bob Woodward said Thursday on CNN that “dramatic” hearings by the House select committee investigating the Jan. 6, 2021, insurrection are having such a significant impact that “at least 20% of Republicans” would now like to figuratively “push” Donald Trump “off the cliff.” Whether Republicans are watching the hearings “or not, a lot of them know that the earth is shaking,” Woodward’s Watergate partner Carl Bernstein added in a panel interview with Anderson Cooper. “Why is the earth shaking? Because “both the committee and the Justice Department” know that “before, during and after Jan. 6,” there was a “massive obstruction and conspiracy from the president down ... to not allow the transition of power,” Bernstein said. “What we do know, factually, is the Justice Department has the evidence of this massive conspiracy and cover-up,” he added John Dean, a Richard Nixon White House counsel who flipped on him, said the insurrection proceedings are “working much better than the Watergate hearings,” with “very effective ... presentations.” They’re “probably getting to Trump because they are so effective. He appreciates good media.” “We forget how protracted the Watergate hearings were,” Dean noted. “They were seven months. I didn’t testify for a few hours; I testified for five days, eight hours a day. They were grinding. Woodward agreed that the House select committee’s hearings are “very dramatic.” “I think if you can step back, what’s going on here right now in the Republican Party ... 50% roughly of the Republicans would walk off the cliff for Donald Trump,” said Woodward. “Now I think at least 20% want to push him off the cliff.” And 30% are fixated on simply winning, Woodward noted. “If there’s one lesson from writing three books about Trump, spending hours interviewing him, there is the lexicon: Win. You have to win. And they want to win,” he added. Voters “can make the calculation: Is this a winning hand with Donald Trump or not? And it’s eroding. Whether significant, we will see.” The hearings are uncovering “meaty, dramatic” information, Woodward said. Check out the full interview here: Trends Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
