,topic,category,content
0,"COVID Vaccines Saved Nearly 20 Million Lives In 1st Year, Scientists Say",health," Nearly 20 million lives were saved by COVID-19 vaccines during their first year, but even more deaths could have been prevented if international targets for the shots had been reached, researchers reported Thursday. On Dec. 8, 2020, a retired shop clerk in England received the first shot in what would become a global vaccination campaign. Over the next 12 months, more than 4.3 billion people around the world lined up for the vaccines. The effort, though marred by persisting inequities, prevented deaths on an unimaginable scale, said Oliver Watson of Imperial College London, who led the new modeling study. “Catastrophic would be the first word that comes to mind,” Watson said of the outcome if vaccines hadn’t been available to fight the coronavirus. The findings “quantify just how much worse the pandemic could have been if we did not have these vaccines.” The researchers used data from 185 countries to estimate that vaccines prevented 4.2 million COVID-19 deaths in India, 1.9 million in the United States, 1 million in Brazil, 631,000 in France and 507,000 in the United Kingdom. An additional 600,000 deaths would have been prevented if the World Health Organization target of 40% vaccination coverage by the end of 2021 had been met, according to the study published Thursday in the journal Lancet Infectious Diseases. The main finding — 19.8 million COVID-19 deaths were prevented — is based on estimates of how many more deaths than usual occurred during the time period. Using only reported COVID-19 deaths, the same model yielded 14.4 million deaths averted by vaccines. The London scientists excluded China because of uncertainty around the pandemic’s effect on deaths there and its huge population. The study has other limitations. The researchers did not include how the virus might have mutated differently in the absence of vaccines. And they did not factor in how lockdowns or mask wearing might have changed if vaccines weren’t available. Another modeling group used a different approach to estimate that 16.3 million COVID-19 deaths were averted by vaccines. That work, by the Institute for Health Metrics and Evaluation in Seattle, has not been published. In the real world, people wear masks more often when cases are surging, said the institute’s Ali Mokdad, and 2021′s delta wave without vaccines would have prompted a major policy response. “We may disagree on the number as scientists, but we all agree that COVID vaccines saved lots of lives,” Mokdad said. The findings underscore both the achievements and the shortcomings of the vaccination campaign, said Adam Finn of Bristol Medical School in England, who like Mokdad was not involved in the study. “Although we did pretty well this time — we saved millions and millions of lives — we could have done better and we should do better in the future,” Finn said. Funding came from several groups including the WHO; the UK Medical Research Council; Gavi, the Vaccine Alliance; and the Bill and Melinda Gates Foundation. ___ AP health and science reporter Havovi Todd contributed. ___ The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Department of Science Education. The AP is solely responsible for all content."
1,NY Man And Woman Face $500 Fines After Bringing Raccoon To Store,health," ATTICA, N.Y. (AP) — A New York man and woman face fines of $500 each after they took a raccoon to a pet store to shop for food and a store worker ratted them out, authorities said. A state Department of Environmental Conservation police officer got an urgent call from the Erie County Department of Health about a potentially rabid raccoon on June 2, the DEC said in a news release. The health department said a couple had brought a raccoon to a pet store for food and supplies and a store employee contacted authorities. Raccoons are considered dangerous wild animals because they are known to carry and transmit the deadly rabies virus. The DEC officer used store surveillance video, a store-issued rewards card and license plate information to locate the couple in the town of Attica in western New York, the department said. The owners turned the raccoon over and were each charged with unlawfully possessing a wild animal, which is subject to $500 fine, authorities said. The raccoon that was confiscated from the couple was euthanized and tested for rabies — a test that can only be performed on an animal after it has died. The test was negative, the DEC said."
2,U.S. To Increase Monkeypox Testing As WHO Weighs Possibility Of Global Health Emergency,health," Breaking News Reporter, HuffPost The Department of Health and Human Services announced plans on Wednesday to accelerate testing for monkeypox nationwide, while the World Health Organization convened an emergency meeting Thursday to decide whether the outbreak constitutes a global health emergency. HHS said it will ship monkeypox testing kits to five commercial laboratory companies with the help of the Centers for Disease Control and Prevention. Those companies are Aegis Science, Labcorp, Mayo Clinic Laboratories, Quest Diagnostics and Sonic Healthcare. U.S. health providers will be able to take advantage of the laboratories for monkeypox testing starting in July. “This development will facilitate increased testing, leverage established relationships between clinics, hospitals and commercial laboratories, and support our ability to better understand the scope of the current monkeypox outbreak,” the HHS press release stated. HHS Secretary Xavier Becerra assured Americans the country is prepared to combat the current outbreak. “All Americans should be concerned about monkeypox cases. Thankfully we have right now the tools to fight and treat cases in America,” Becerra said in a statement. “By dramatically expanding the number of testing locations throughout the country, we are making it possible for anyone who needs to be tested to do so.” Last week, the U.S. conducted 60 monkeypox tests per day, up from 10 tests per day earlier this month, a Biden administration official told The Washington Post. This year’s monkeypox outbreak has spread across 42 countries with global cases at 3,308 as of Wednesday, according to the Centers for Disease Control and Prevention. The U.S. recorded 155 cases, most of which have been found in California. The new U.S. testing effort comes as the WHO is reportedly considering declaring the monkeypox outbreak a global health emergency, according to the Associated Press. Some scientists see the move as a double standard, given that the WHO did not take such action for past outbreaks. The first human cases of monkeypox were identified in 1970 in the Democratic Republic of Congo, but the disease has since been found in other countries around the world. In 2003, the U.S. experienced a monkeypox outbreak linked to infected pet prairie dogs that led to 70 cases, according to the WHO. More recently, in 2017, Nigeria experienced a large outbreak of monkeypox. While at least three African countries have reported deaths from monkeypox this year, the current outbreak has not killed anyone outside of the African continent. “If WHO was really worried about monkeypox spread, they could have convened their emergency committee years ago when it reemerged in Nigeria in 2017 and no one knew why we suddenly had hundreds of cases,” Oyewale Tomori, a Nigerian virologist who sits on several WHO advisory groups told AP. “It is a bit curious that WHO only called their experts when the disease showed up in white countries.” Health authorities are still investigating transmission patterns, but men account for a large number of cases, according to the CDC. “It’s not clear how the people were exposed to monkeypox, but early data suggest that gay, bisexual, and other men who have sex with men make up a high number of cases,” the CDC says on its website. “However, anyone who has been in close contact with someone who has monkeypox is at risk.” The U.K. announced Tuesday it would offer a vaccine to some men who have sex with other men, according to AP, as the country has recorded 793 cases. Breaking News Reporter, HuffPost"
3,FDA Bans Juul E-Cigarettes Tied To Teen Vaping Surge,health," WASHINGTON (AP) — Federal health officials on Thursday ordered Juul to pull its electronic cigarettes from the U.S. market, the latest blow to the embattled company widely blamed for sparking a national surge in teen vaping. The action is part of a sweeping effort by the Food and Drug Administration to bring scientific scrutiny to the multibillion-dollar vaping industry after years of regulatory delays. Parents, politicians and anti-tobacco advocates wanted a ban on the devices that many blame for the rise in underage vaping. Supporters say they can help smokers cut back on regular cigarettes. The FDA noted that Juul may have played a “disproportionate″ role in the rise in teen vaping and its application didn’t have enough evidence to show that marketing its products “would be appropriate for the protection of the public health.” The agency has granted some e-cigarette applications. Since last fall, the agency has given its OK to tobacco-flavored e-cigarettes from R.J. Reynolds, Logic and other companies. But industry players and anti-tobacco advocates have complained that those products account for just a tiny percent of the $6 billion vaping market in the U.S. Regulators repeatedly delayed making decisions on devices from market leaders, including Juul, which remains the best-selling vaping brand although sales have dipped. Last year, the agency rejected applications for more than a million other e-cigarettes and related products, mainly due to their potential appeal to underage teens. To stay on the market, companies must show that their products benefit public health. In practice, that means proving that adult smokers who use the products are likely to quit or reduce their smoking, while teens are unlikely to get hooked on them. E-cigarettes first appeared in the U.S. more than a decade ago with the promise of providing smokers a less harmful alternative. The devices heat a nicotine solution into a vapor that’s inhaled, bypassing many of the toxic chemicals produced by burning tobacco. But studies have reached conflicting results about whether they truly help smokers quit. And efforts by the FDA to rule on vaping products and their claims were repeatedly slowed by industry lobbying and competing political interests. The vaping market grew to include hundreds of companies selling an array of devices and nicotine solutions in various flavors and strengths. The vaping issue took on new urgency in 2018 when Juul’s high-nicotine, fruity-flavored cartridges quickly became a nationwide craze among middle and high school students. The company faces a slew of federal and state investigations into its early marketing practices, which included distributing free Juul products at concerts and parties hosted by young influencers. In 2019, the company was pressured into halting all advertising and eliminating its fruit and dessert flavors. The next year, the FDA limited flavors in small vaping devices to just tobacco and menthol. Separately, Congress raised the purchase age for all tobacco and vaping products to 21. But the question of whether e-cigarettes should remain on the market at all remained. The FDA has been working under a court order to render its decisions; anti-tobacco groups successfully sued the agency to speed up its review. FDA regulators warned companies for years they would have to submit rigorous, long-term data showing a clear benefit for smokers who switch to vaping. But all but the largest e-cigarette manufacturers have resisted conducting that kind of expensive, time-consuming research. While Juul remains a top seller, a recent federal survey shows that teen have been shifting away from the company. Last year’s survey showed Juul was the fourth most popular e-cigarette among high schoolers who regularly vape. The most popular brand was a disposable e-cigarette called Puff Bar that comes in flavors like pink lemonade, strawberry and mango. That company’s disposable e-cigarettes had been able to skirt regulation because they use synthetic nicotine, which until recently was outside the FDA’s jurisdiction. Congress recently closed that loophole. Overall, the survey showed a drop of nearly 40% in the teen vaping rate as many kids were forced to learn from home during the pandemic. Still, federal officials cautioned about interpreting the results given they were collected online for the first time, instead of in classrooms. The brainchild of two Stanford University students, Juul launched in 2015 and within two years rocketed to the top of the vaping market. Juul, which is partially owned by tobacco giant Altria, still accounts for nearly 50% of the U.S. e-cigarette market. It once controlled more than 75%. On Tuesday, the FDA also laid out plans to establish a maximum nicotine level for certain tobacco products to reduce their addictiveness. In that announcement, the agency also noted that it has invested in a multimedia public education campaign aimed at warning young people about the potential risks of e-cigarette use. ___ AP Health Writer Tom Murphy contributed to this report. ___ The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Department of Science Education. The AP is solely responsible for all content."
4,Twitter Users Mock Matt Gaetz's 1st Tweet After His Pardon Request Is Made Public,health," Senior Reporter, HuffPost Rep. Matt Gaetz (R-Fla.) became a victim of “pardon bombing” Thursday on Twitter. It happened after the House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol revealed that the lawmaker was one of at least five members of Congress who attempted to get pardons from then-President Donald Trump for their roles in helping Trump attempt to overturn the 2020 presidential election. But Gaetz wanted his pardon to be a lot broader than his role in Trump’s election fraud, according to Cassidy Hutchinson, a former aide to White House chief of staff Mark Meadows. She told the committee that Gaetz had been pushing for a pardon since early December, according to Business Insider. Former White House senior adviser Eric Herschmann told the committee that the “general tone” of the pardon request revolved around the idea that “We may get prosecuted because we were defensive of, you know, the president’s positions on these things.” However, Herschmann noted that the pardon Gaetz was angling for may have been intended to also protect him from the sex trafficking investigation swirling around him. “The pardon that he was discussing, requesting, was as broad as you could describe, from... the beginning of time up until today, for any and all things,” Herschmann told the committee. After the revelation, Gaetz posted on Twitter to accuse the committee of being “an unconstitutional political sideshow” that is “rapidly losing the interest of the American people and now resorts to siccing federal law enforcement on political opponents.” The January 6 Committee is an unconstitutional political sideshow. It is rapidly losing the interest of the American people and now resorts to siccing federal law enforcement on political opponents. Many Twitter users responded with variations on the same joke. I beg your pardon? Pardon me? Beg your pardon?@RepAndyBiggsAZ @Jim_Jordan@RepMTG@RepMoBrooks@RepMattGaetz @RepGosar @replouiegohmert@RepScottPerry Pardon me? Traitor says what? Others pointed out that innocent people rarely request pardons. Wow. Congressmen helping Trump on & before 1/6 & then demanding pardons. Makes me think of 18 USC 201: A public official who corruptly seeks anything of value in return for an official act or colluding in fraud shall be imprisoned for up to 15 years & disqualified from office Hi Matt. Why did you ask for a pardon? Cheers 🍻 You sought a pardon because you knew you committed a crime, helping Trump try to overturn the election.Sit down. https://t.co/jNzth4P0m2 You asked for a pardon, and now the DOJ will impolitely ask you to head to your cell, Matt. One person had a pertinent question for the congressman. Beg your pardon, Matt, do you take Venmo? pic.twitter.com/WyeVsMR92d Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
5,"At Least 5 Members Of Congress Asked Trump For Pardons, According To Jan. 6 Committee",health," Senior Reporter, HuffPost Senior Politics Reporter, HuffPost WASHINGTON ― The House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol named five additional Republican Congress members who sought pardons from President Donald Trump. The requests stemmed from their involvement in Trump’s schemes to try to subvert the 2020 presidential election, which Trump insisted he won despite losing by several million votes. The committee previously revealed that Rep. Scott Perry (R-Pa.) sought a presidential pardon, something the congressman denied. During Thursday’s public hearing on Capitol Hill, witnesses close to the Trump White House said in previously recorded interviews that Republican Reps. Matt Gaetz (Fla.), Mo Brooks (Ala.), Andy Biggs (Ariz.) and Louie Gohmert (Texas) also asked for pardons. “The pardon he was requesting was as broad as you can describe ... for any and all things,” former Trump White House lawyer Eric Herschmann said of Gaetz in video testimony that the committee played on Thursday. Cassidy Hutchinson, an aide to former White House chief of staff Mark Meadows, confirmed to the committee that Gaetz and the other GOP members of Congress sought pardons. “Mr. Gaetz and Mr. Brooks I know both advocated for there to be a blanket pardon,” Hutchinson said. In a statement after the hearing, a spokesperson for Brooks said the congressman only wanted a pardon in case Democrats abused the justice system and started “prosecuting and jailing” their political opponents. Brooks also released an image of the email he sent to the White House in December, on behalf of himself and Gaetz, recommending that the president give “general (all purpose) pardons” to every Republican who voted to overturn the election after the Jan. 6 riot. In a speech at Trump’s rally before the attack on the U.S. Capitol, Brooks said, “Today is the day American patriots start taking down names and kicking ass.” Hutchinson said that she heard Rep. Marjorie Taylor Greene (R-Ga.) also asked for a pardon but that she didn’t hear it directly. “I heard that she asked the White House counsel’s office for a pardon,” she said. “The only reason I know to ask for a pardon is because you think you’ve committed a crime,” Jan. 6 committee member Adam Kinzinger (R-Ill.) said. In a tweet after the hearing, Greene didn’t exactly deny that she had asked for a pardon but said, “Saying ‘I heard’ means you don’t know. Spreading gossip and lies is exactly what the January 6th Witch Hunt Committee is all about.” Thursday’s hearing featured testimony from former Justice Department officials Jeffrey Rosen and Richard Donoghue, as well as Office of Legal Counsel director Steven Engel, who described Trump’s efforts to throw out the election despite their objections that doing so would be unconstitutional and contrary to the will of the American voters. Donoghue, who was then acting deputy attorney general, testified that when Trump threatened to replace Rosen as the acting attorney general with Jeffrey Clark, an assistant attorney general in the department’s Environment and Natural Resources Division, he was told the change would spark mass resignations in the Justice Department. “Mr. President, I would resign immediately. I would not work one minute for this guy,” Donoghue said he told Trump, referring to Clark. During the Jan. 6 committee hearing, Kinzinger described how Perry lobbied the White House to elevate Clark in the Justice Department in order to gain his help in subverting the election. Perry improperly brought Clark to a White House meeting and texted White House chief of staff Mark Meadows, urging him to appoint Clark to a role with “the authority to enforce what needs to be done.” Perry denied seeking a pardon earlier this month. “The notion that I ever sought a Presidential pardon for myself or other Members of Congress is an absolute, shameless, and soulless lie,” Perry said on Twitter. Kinzinger deliberately juxtaposed testimony about pardon-seekers with the live testimony from Justice Department officials who refused to do Trump’s bidding. “They knew that every bit of what they did was a lie and it was wrong,” Kinzinger said of those who sought pardons. “That is all the more reason to respect those who came here to testify today.” Trump last week reiterated his intention to pardon people charged in connection with U.S. Capitol riot if he becomes president again in 2024. “And if I become president, someday if I decide to do it, I will be looking at them very, very seriously for pardons,” Trump said of defendants in the insurrection. Senior Reporter, HuffPost Senior Politics Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
6,Angry Trump Again Demands The Impossible From Jan. 6 Panel After Riveting Hearing,health," Trends Reporter, HuffPost Former President Donald Trump’s reaction Thursday to another powerful day of testimony before the House select committee investigating the U.S. Capitol riot was to again demand the impossible: evidence of a rigged presidential election. “The only thing not discussed by the Unselects, in any way, shape, or form, is the irrefutable evidence of massive and totally pervasive ELECTION FRAUD & IRREGULARITIES which took place during the 2020 Presidential Election. They refuse to go there,” he posted. It wasn’t discussed because it never happened. A litany of testimony from former Department of Justice officials on Thursday — and in earlier sessions — refuted Trump’s “irrefutable” claims. Trump appears to be ignoring the information in the hearings the same way he ignored responses from his Justice Department, various state officials and U.S. Attorney General William Barr: The claims of a rigged election were baseless. A number of specific claims have been refuted in detail. Trump insisted on Truth Social that it would be “impossible” for the Jan. 6 hearing to “refute or challenge that which would be put before them. To the Unselects, I ask, LET US PUT ON THE EVIDENCE STATE BY STATE.” Neither he nor his supporters have offered any such evidence. Arizona House Speaker Rusty Bowers (R) testified Tuesday that Trump lawyer Rudy Giuliani asked him to hold up electoral votes because “200,000 illegal immigrants” and more than 5,000 “dead people” voted in the state. Bowers told Giuliani he wanted names and was promised he would get them, he said. Despite repeated requests, he was never given a single name, Bowers testified. Last week, Trump noted on Truth Social that the “Unselect Committee refuses to debate the Election results, the reason for the massive crowd on January 6th, because they can’t.” In a separate post Thursday, Trump asked: “What about the massive ballot stuffing shown ... by the highly respected and credible Patriots of Truth (2000 Mules).” He was referring to a discredited “documentary,” which elicited a derisive laugh from the former attorney general during Barr’s testimony. “I suppose that’s OK by the Unselects? Such lies!” Trump added in his post. Trends Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
7,Former U.S. Attorney General Highlights Trump's 'Smoking Gun' In New Jan. 6 Testimony,health," Senior Reporter, HuffPost Former U.S. Attorney General Eric Holder on Thursday identified what he called the “smoking gun” for criminally charging former President Donald Trump over his conspiracy to overthrow the 2020 presidential election. Appearing Thursday before the House select committee investigating the Jan. 6, 2021, attack on the U.S. Capitol, Richard Donoghue, the acting deputy attorney general in the last weeks of the Trump administration, testified that Trump directed him to “just say the election was corrupt and leave the rest to me and the Republican congressmen” during a Dec. 27, 2020, conversation. Donoghue had written the directive down in his notes and testified that it was an “exact quote from the president.” “This is the smoking gun. Coupled with other testimony, [it] demonstrates both Trump’s substantive involvement and corrupt intent, requisite state of mind,” tweeted Holder, who served in the Barack Obama administration. Any prosecution of Trump would need to convince a jury that Trump acted with criminal intent to overturn the results of the election, knowing that he had legitimately lost. Trump - “Just say the election was corrupt and leave the rest to me and the Republican congressmen”. This is the smoking gun. Coupled with other testimony demonstrates both Trump’s substantive involvement and corrupt intent, requisite state of mind. Donoghue also wrote down that Trump said the Justice Department had “an obligation to tell people that this was an illegal, corrupt election.” Asked if the Department of Justice had actually found evidence of corruption in the 2020 presidential election, Donoghue said: “There were isolated instances of fraud. None of them came close to calling into question the outcome of the election in any individual state.” Thursday’s hearing focused on efforts by Trump and his allies to pressure Justice Department officials into supporting his scheme to overturn democracy and remain in power. A number of former Justice Department officials have said the Jan. 6 committee’s hearings have delivered compelling evidence that Trump committed crimes. Donald Ayer, a former deputy attorney general in the George H.W. Bush administration, told The Guardian last week that “the committee hearings have bolstered the need to seriously consider filing criminal charges against Trump.” The current attorney general, Merrick Garland, has not yet indicated if Trump is under investigation or if there will be indictments, though he said he would be following the hearings closely. Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
8,Bob Woodward: 20% Of Republicans Would Now Like To 'Push Trump Off The Cliff',health," Trends Reporter, HuffPost Washington Post Watergate journalist Bob Woodward said Thursday on CNN that “dramatic” hearings by the House select committee investigating the Jan. 6, 2021, insurrection are having such a significant impact that “at least 20% of Republicans” would now like to figuratively “push” Donald Trump “off the cliff.” Whether Republicans are watching the hearings “or not, a lot of them know that the earth is shaking,” Woodward’s Watergate partner Carl Bernstein added in a panel interview with Anderson Cooper. “Why is the earth shaking? Because “both the committee and the Justice Department” know that “before, during and after Jan. 6,” there was a “massive obstruction and conspiracy from the president down ... to not allow the transition of power,” Bernstein said. “What we do know, factually, is the Justice Department has the evidence of this massive conspiracy and cover-up,” he added John Dean, a Richard Nixon White House counsel who flipped on him, said the insurrection proceedings are “working much better than the Watergate hearings,” with “very effective ... presentations.” They’re “probably getting to Trump because they are so effective. He appreciates good media.” “We forget how protracted the Watergate hearings were,” Dean noted. “They were seven months. I didn’t testify for a few hours; I testified for five days, eight hours a day. They were grinding. Woodward agreed that the House select committee’s hearings are “very dramatic.” “I think if you can step back, what’s going on here right now in the Republican Party ... 50% roughly of the Republicans would walk off the cliff for Donald Trump,” said Woodward. “Now I think at least 20% want to push him off the cliff.” And 30% are fixated on simply winning, Woodward noted. “If there’s one lesson from writing three books about Trump, spending hours interviewing him, there is the lexicon: Win. You have to win. And they want to win,” he added. Voters “can make the calculation: Is this a winning hand with Donald Trump or not? And it’s eroding. Whether significant, we will see.” The hearings are uncovering “meaty, dramatic” information, Woodward said. Check out the full interview here: Trends Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
