,topic,category,content
0,GEORGE CONWAY,politics,
1,Congress Has Just Days To Extend A Crucial School Summer Lunch Program,politics," Politics Reporter, HuffPost A federal program meant to ensure low-income kids are still fed in the summer when school lunches aren’t available is set to be hobbled after June 30. Now Congress is making a last-minute dash to keep that from happening. Lawmakers are yearning to get out of Washington for a two-week Fourth of July holiday break, a recess likely to give momentum to a bipartisan gun safety deal made in the wake of the Uvalde, Texas, and Buffalo, New York, mass shootings last month. But that same last-week-of-school atmosphere may also help, or potentially kill, a deal to keep the summer meal program from serving fewer kids at least into the fall. “We have a bipartisan bill,” Majority Leader Steny Hoyer (Md.), the second-ranking Democrat in the House, told reporters Wednesday. He said that it could come to the House floor as early as Thursday and that he hoped to bring it up under a process used for non-controversial bills but which requires a two-thirds majority for passage. Without action, many kids — a House panel estimated “millions” — would face reduced access to food if there are more restrictive conditions and eligibility requirements. Some meal sites would have to close, the ability to pick up meals to go would end and parents would be required to fill out eligibility paperwork that largely disappeared during the pandemic. The tightened conditions would return because waivers are set to expire June 30. The waivers had been extended in 2021 in a government funding bill but another extension, which could have been included in a funding bill in March, was left out amid concerns over the cost and extending again what opponents said were meant to be temporary pandemic measures. But late Tuesday, mindful of the looming deadline and the recess, the Democratic and Republican leaders of the Senate Agriculture Committee and the House Education and Labor Committee said they’d reached agreement on another extension and found a way to pay for it, using unspent COVID money. “While the country is on the road to recovery, many schools are still struggling with supply chain shortages and other increased costs that will make it more difficult to serve meals next year. This bill provides additional assistance to ensure that students can get the nutrition they need to help them learn and grow,” said Rep. Bobby Scott (D-Va.), chair of the House Education and Labor Committee. “This budget-neutral legislation will also put our country’s school nutrition programs back on the right track and keep the permanent pandemic narrative from being used to expand school meal programs beyond their intended purpose,” said Rep. Virginia Foxx (N.C.), the top-ranking Republican on the panel. It’s unclear exactly how many children would be affected by the expiration of the waivers, but House Democrats on the Education and Labor Committee put it in the millions. The deal could still be undone by intransigence in the Senate. With senators champing at the bit to leave town, any senator opposing the deal could force a drawn-out consideration of the extension bill, delaying a vote until late in the week when many lawmakers will want to be on their way home. And Politico reported at least one Republican, Sen. Roger Marshall (Kan.), was threatening to hold up the deal over guidance from the Agriculture Department, which administers the program, banning discrimination over LGBTQ status in food programs that get federal dollars, which includes most school lunch programs. Hoyer, though, was optimistic. “It has broad, broad agreement, this waiver between now and Sept. 30,” he said. Politics Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
2,Arkansas’ Israel Boycott Pledge Law Upheld By Appeals Court,politics," LITTLE ROCK, Ark. (AP) — A federal appeals court on Wednesday upheld Arkansas’ law requiring state contractors to pledge not to boycott Israel, finding the restriction is not an unconstitutional violation of free speech. The full 8th Circuit U.S. Court of Appeals reversed a 2-1 decision last year by a three-judge panel of the court that found the requirement to be unconstitutional. The Arkansas Times had sued to block the law, which requires contractors with the state to reduce their fees by 20% if they don’t sign the pledge. “(The law) only prohibits economic decisions that discriminate against Israel,” Judge Jonathan Kobes wrote in the court’s opinion. “Because those commercial decisions are invisible to observers unless explained, they are not inherently expressive and do not implicate the First Amendment.” A federal judge in 2019 dismissed the Times’ lawsuit, ruling that the boycotts are not protected by the First Amendment. A three-judge panel of the appeals court reversed that ruling, and the state appealed to the full appeals court. The American Civil Liberties Union, which represented the Times, said it planned to appeal to the U.S. Supreme Court. “We hope and expect that the Supreme Court will set things right and reaffirm the nation’s historic commitment to providing robust protection to political boycotts,” Brian Hauss, senior staff attorney for the ACLU Foundation’s Speech, Privacy & Technology Project, said in a statement. The new ruling didn’t give a breakdown of how judges decided, but at least one dissented, saying the law is written so broadly that it could go beyond boycotts. “One could imagine a company posting anti-Israel signs, donating to causes that promote a boycott of Israel, encouraging others to boycott Israel, or even publicly criticizing the act with the intent to ‘limit commercial relations with Israel’ as a general matter,” Judge Jane Kelly wrote in her dissent. “And any of that conduct would arguably fall within the prohibition.” The Times’ lawsuit said the University of Arkansas Pulaski Technical College refused to contract for advertising with the newspaper unless the paper signed the pledge. The newspaper isn’t engaged in a boycott against Israel. “Today is a resounding victory for Arkansas’s anti-discrimination law and reinforces Arkansas’s relationship with our long-time ally, Israel,” Republican Attorney General Leslie Rutledge, whose office defended the law, said in a statement. Republican legislators in Arkansas who drafted the 2017 law have said it wasn’t prompted by a specific incident in the state. It followed similar restrictions enacted by other states in response to a movement promoting boycotts, divestment and sanctions of Israeli institutions and businesses over the country’s treatment of Palestinians. Israeli officials say the campaign masks a deeper goal of delegitimizing and even destroying the country. Similar measures in Arizona, Kansas and Texas that were blocked were later allowed to be enforced after lawmakers narrowed the requirement so it applied only to larger contracts. Arkansas’ law applies to contracts worth $1,000 or more. Citing its anti-boycott law, Arizona last year sold off millions of dollars in Unilever bonds over subsidiary Ben & Jerry’s decision to stop selling its ice cream in Israeli-occupied territories. Do you have information you want to share with HuffPost? 
    Here’s how."
3,The Child Care Crisis Needs A Lot More Attention Than It's Getting,politics," Senior National Correspondent, HuffPost This article is part of HuffPost’s biweekly politics newsletter. Click here to subscribe. This past week has been full of news, including the Jan. 6 hearings and bipartisan agreement on a gun violence bill. The Supreme Court handed down a major decision on church and state, with landmark rulings on guns and abortion coming soon ― maybe even this week. HuffPost has been all over these stories if you need to catch up. I’d especially recommend last week’s series imagining a post-Roe America ― including Alanna Vagianos on how conservatives are trying to cut off access to abortion pills, Travis Waldron on the connections between anti-abortion and anti-democracy movements, and Nathalie Baptiste on the disproportionate impact abortion bans have on Black women. But for today’s newsletter, I’d like to write about something else that really should be getting more coverage: the crisis in American child care, which is causing tangible, serious hardship for millions of parents and their kids. About one in three families with young children encountered “serious problems” finding child care last year, according to a survey that came out in October. And there’s plenty of other data out there just like it. I’m familiar with child care because I’ve covered the issue for a decade, plus I’ve been the working parent of young children. But a story I saw on Tuesday got my attention in a way few have recently. It involved a scene from a chain café, a passage from Jane Addams’ memoir and a stateside episode from World War II. The story was in a Medium post by John Duong, who leads the venture capital arm of a higher education foundation. While working at a neighborhood café, he spotted a young girl asleep in a booth. She looked 2, maybe 3 years old, Duong wrote. He figured her mom or dad was in the restroom. Later he realized that her father worked there and had brought her to work, checking on her every now and then ― presumably, because he didn’t have or couldn’t afford child care. I say “presumably” because Duong didn’t get the backstory, so there’s no way to be sure. But the scene made me think immediately of two periods in U.S. history when this kind of thing was common. One was the early 20th century, when families in the big cities for factory work would leave their kids alone, frequently at home and unsupervised ― in other words, they didn’t even have a parent checking on them regularly the way the dad in the café was. Jane Addams, writing in her memoir “Twenty Years at Hull-House,” recounted what happened to three children she met in Chicago: “One had fallen out of a third-story window, another had been burned, and the third had a curved spine due to the fact that for three years he had been tied all day long to the leg of the kitchen table, only released at noon by his older brother who hastily ran in from a neighboring factory to share his lunch with him.” The other historical antecedent was during World War II, when women were working in factories while men were fighting overseas. “Stories of children locked in cars adjacent to factories, chained to temporary trailer homes, and left in movie theaters quickly filled newspapers and eventually became the subject of congressional hearings,” Chris Herbst, a professor of public affairs at Arizona State University, explained in a 2017 paper about the Lanham Act, which set up a network of government-run child care centers. The Lanham program might have become the basis for a permanent national system, if only the federal government had kept it going. But it didn’t. The next and really only serious attempt to create a national plan took place in 1971, when Congress passed a bipartisan bill that President Richard Nixon vetoed following opposition from conservatives. That has left U.S parents struggling, in a way that their counterparts in peer countries don’t. But politicians barely noticed ― until relatively recently. Child care got serious attention in the 2016 presidential campaign (from Hillary Clinton) and again in 2020 (from all the top Democratic presidential candidates). It also was the focus of a sweeping proposal that Sen. Patty Murray (D-Wash.) and Rep. Bobby Scott (D-Md.) developed and then promoted with the help of outside advocacy groups. Then the pandemic hit. At first, working parents couldn’t find child care because providers had to shut down. Later, as child care providers started opening up again, they couldn’t hire enough workers. The root of the problem is that child care salaries are notoriously low, making the jobs less attractive; at the same time, providers don’t have the money to raise salaries, because they’re already charging as much if not more than many parents can afford. It felt like exactly the sort of political conditions it would take to pass significant legislation ― and, for much of 2021, it seemed like that would happen. President Joe Biden made child care (and caregiving more generally) a chief focus of his “Build Back Better” agenda. Democratic leaders included a version of the Murray-Scott proposal in the legislation. We all know what happened to that bill: It died in December when Sen. Joe Manchin (D-W.Va.) said it was too big, depriving Democrats of the 50th vote they needed. Democrats have been quietly (and, lately, not so quietly) working to save some portion of that legislation, but so far there’s not a lot of public talk about including child care in the bill. It’s difficult to separate out the failure of the original child care proposal from the failure of the original Build Back Better ― which, depending on your perspective, is the fault of Manchin, Democratic leaders, broader political constraints including unanimous Republican opposition, or some combination of those factors. But two other factors were obviously important too. One is that enacting any kind of notable welfare state expansion in the U.S. is extraordinarily difficult, both because the structural design of the U.S. legislative process deters it and because public faith in government is at historic lows. The other is that child care is still seen by many as a “women’s problem” ― which in a sense is accurate, because women typically shoulder responsibility for child care disproportionately ― and men still hold disproportionate power in Washington. That seems to be changing, slowly, as women gain more influence. It’s no coincidence that this latest effort happened at a time when the House speaker, chair of the relevant Senate committee and vice president were all women ― and that the president happened to be a man who, unusually for men of his generation, has lots of experience as a caregiver for his children. Some kind of child care legislation could still happen. Murray recently partnered with Sen. Tim Kaine (D-Va.) on a more modest initiative that could squeeze into whatever legislation Biden and Democratic leaders get through this year ― or maybe even be the basis of a future bipartisan bill. A new study out this week by Herbst and a group of colleagues showed it could significantly lower child care costs for most families. But nothing is going to happen if child care remains a second- or third-tier issue. It’s going to take more attention from politicians and, ultimately, more attention from the public. Maybe stories like the one about the little girl in the café can help make that happen. Senior National Correspondent, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
4,David Muir Swiftly Shuts Down Chris Christie After His Jan. 6 Comparison,politics,"  ABC News anchor David Muir shut down Chris Christie’s attempt to compare the 2000 and 2016 presidential election results with the GOP-backed attempt to overturn the electoral vote count on Jan. 6, 2021. Muir, during the network’s coverage of the Jan. 6 committee hearings on Tuesday, pointed out that Republicans across the country are running campaigns based on claims of a “faulty” 2020 presidential election. Christie, a former New Jersey governor who headed Donald Trump’s presidential transition team, claimed former Secretary of State Hilary Clinton in 2016 and supporters of then-Vice President Al Gore in 2000 refused to accept the “legitimate” results of their presidential defeats long before Jan. 6. Clinton conceded following the 2016 election and Gore acknowledged his 2000 loss after a Florida recount battle. “This is a very dangerous thing in this country, which was brought to a new level in 2020 by Donald Trump and his campaign,” Christie said. Muir interrupted. “I just don’t want our audience to think I’m not aware that there isn’t a real equivalency here when you have a former president who is sowing seeds of doubt,” Muir said. You can watch the moment Muir cuts Christie off below. ABC News anchor David Muir pushes back against Chris Christie for equating the 2000 election between Gore and Bush to the Jan. 6 insurrection.""I just don't want our audience thinking there is a real equivalency here when you have a former president who is sowing seeds of doubt"" pic.twitter.com/7wNtQMIfUK "
5,Baltimore Ravens Linebacker Jaylon Ferguson Dies At Age 26,politics," General Assignment Reporter, HuffPost Jaylon Ferguson, a linebacker for the Baltimore Ravens who played in 10 games last season, has died. He was 26. “We are profoundly saddened by the tragic passing of Jaylon Ferguson,” the team said in a statement on Wednesday. “He was a kind, respectful young man with a big smile and infectious personality. We express our heartfelt condolences to Jaylon’s family and friends as we mourn a life lost much too soon.” Ferguson, a father of three young children with fiancée Doni Smith, was due to report to training camp for his fourth season in late July. He practiced last week with the Ravens at a minicamp where he sprained his ankle, the Baltimore Sun reported. Police found an unresponsive Ferguson being tended to by medics in Baltimore Tuesday night and told the newspaper there was no initial indication of “trauma or foul play.” The cause of death has not yet been determined. Ferguson played all three of his NFL seasons with the Ravens, appearing in 38 games. The Ravens made him a third-round pick out of Louisiana Tech in 2019. “The last person I talked to leaving the facility,” Ravens linebacker Patrick Queen tweeted. “Spent almost everyday in the sauna together tryna see who gone last longer. Said it was our turn this year man. Ima miss you bro.” Ferguson’s agent, Safarrah Lawson, said in a statement shared by ESPN: “He will be remembered not just as a football player, but as a great father, son, brother and friend.” General Assignment Reporter, HuffPost"
6,"James Rado, Co-Creator Of Groundbreaking Musical ‘Hair,’ Dead At 90",politics," NEW YORK (AP) — James Rado, co-creator of the groundbreaking hippie musical “Hair,” which celebrated protest, pot and free love and paved the way for the sound of rock on Broadway, has died. He was 90. Rado died Tuesday night in New York City of cardio respiratory arrest, according to friend and publicist Merle Frimark. “Hair,” which has a story and lyrics by Rado and Gerome Ragni and music by Galt MacDermot, was the first rock musical on Broadway, the first Broadway show to feature full nudity and the first to feature a same-sex kiss. “Hair” made possible other rock musicals like “Jesus Christ Superstar” and “Rent.” Like “Hamilton,” it was one of only a handful of Broadway shows in the past few decades to find its songs on the pop charts. The so-called “American tribal love-rock musical,” had its world premiere at the Public Theater in New York City’s East Village in 1967 and transferred the following year to Broadway, where the musical ran more than 1,800 performances. Rado played Claude, a young man about to be drafted and sent to the war in Vietnam. Clive Barnes, theater critic for The New York Times, called the show “the first Broadway musical in some time to have the authentic voice of today rather than the day before yesterday.” The New York Post said it had “unintentional charm,” contagious high spirits and a “young zestfulness” that “make it difficult to resist.” Variety, however, called it “loony.” It lost the Tony in 1969 to the more traditional “1776” but won a Grammy Award. The 2009 revival won the best revival Tony. The show was revived on Broadway in 1977 and again in 2009. It was made into a movie directed by Milos Forman in 1979 starring Treat Williams and Beverly D’Angelo. “Hair” spawned four top four singles on the American pop charts, including the No. 1 hit “Aquarius/Let the Sunshine In” by the Fifth Dimension, which won the Grammy Award for record of the year and best pop vocal performance by a group in 1970. Others included “Hair” by the Cowsills, “Good Morning, Starshine” by the singer Oliver and “Easy to Be Hard” by Three Dog Night. The cast album itself stayed at No. 1 on the Billboard 200 for 13 weeks “Hair” tells the story of Claude and Berger, best buddies who find freedom in the late 1960s. Between draft-card burnings, love-ins, bad LSD trips and a parade of protest marches, the two wander through a New York filled with flower children, drugged-out hippies and outraged tourists who don’t approve of the wild goings-on. In one song, Claude poignantly sings, “Why do I live, why do I die, tell me where do I go, tell me why.” The show is playful and chaotic, but there’s also a sense of outrage in its protests against war, racism, sexism, pollution and the general hypocrisy of an era dominated by the American involvement in Vietnam. “I’d still like ‘Hair’ to be about what it was about then,” Rado told The Associated Press in 1993. “‘Hair’ had a spiritual message, and it has a mystical message I hope is coming through — there’s more to life than the way it’s been devised for us, explained to us, taught to us.” The songs of “Hair” have been used in everything from the films “Forrest Gump,” “Minions” and “The 40-Year-Old Virgin” to TV shows like “Glee,” “So You Think You Can Dance” and “My Name Is Earl.” Billboard magazine lists “Aquarius/Let the Sunshine In” at No. 66 of all-time top 100 songs. In 2019, the original 1968 Broadway cast recording was inducted into the National Recording Registry of the Library of Congress. Librarian of Congress Carla Hayden deemed “these aural treasures worthy of preservation because of their cultural, historic and aesthetic importance to the nation’s recorded sound heritage.” Rado was born in Venice, California, and raised in Rochester, New York, and Washington, D.C. After serving two years in the U.S. Navy, he moved to New York and studied acting with Paula and Lee Strasberg. Rado was part of the ensemble of the Broadway play “Marathon ’33” in 1963 and played Richard Lionheart in “The Lion in Winter” in 1966 opposite Christopher Walken. He met Ragni when he was cast in the off-Broadway musical “Hang Down Your Head and Die.” The two were interested in birthing a new kind of show and focused on the hippie scene. They wrote the script while sharing an apartment in Hoboken, New Jersey. Rado originated the “Hair” role of the draftee Claude on Broadway. “Hair” met resistance across the country. In addition to the use of four-letter words, the flouting of authority, sexual references and gross-out humor, the end of Act 1 had the entire cast strip naked to “Where Do I Go” and there was what many believed was desecration of the American flag. There were church pickets in Evansville, Indiana. Municipal officials in Chattanooga, Tennessee, denied a request to stage the show, determining that it would not be “in the best interest of the community.” In Denver, police threatened to arrest anyone who appeared nude onstage. A Boston visit was challenged in court on the basis of flag desecration. The original Public Theater production had cut the nude scene, but the creators wanted it back for the Broadway debut. Under the law at that time, New York City allowed nudity onstage onstage as long as the actors weren’t moving, which is why the whole cast of “Hair” stood together in a row, nude and perfectly still. After “Hair,” Rado wrote the music and lyrics of the off-Broadway show “Rainbow,” co-authoring the book with his brother, Ted Rado. He later teamed up with Ragni to create the book and lyrics for the show “Sun.” Ragni died in 1991. Rado wrote a new show called “American Soldier” with his brother. In 2009, Rado, MacDermot and Ragni were inducted into the Songwriters Hall of Fame. Marilyn McCoo and Billy Davis Jr., of the group The Fifth Dimension, were joined onstage by the Broadway cast at the time for a finale that brought the ceremony’s approximately 1,000 guests to their feet. MacDermot died in 2018. Rado told the Hudson Reporter in 2009 that none of the show’s creators anticipated that it would have such an enormous impact. “We thought we’d stumbled on a great idea, and something that potentially could be a hit on Broadway, never thinking of the distant future.” He is survived by his brother Ted Rado, sister-in-law Kay Rado, nieces Melanie Khoury, Emily DiBona and Melissa Stuart, great-nieces and a great-nephew. ___ Mark Kennedy is at http://twitter.com/KennedyTwits"
7,Bill Nye The Science Guy Is Now A Married Man,politics," Senior Culture Reporter, HuffPost Bill Nye is celebrating his first month as a married man. The host of the long-running “Bill Nye the Science Guy” TV series tied the knot with journalist and author Liza Mundy in May, People confirmed Wednesday. The ceremony took place in the Enid A. Haupt Garden of the Smithsonian Institution in Washington, D.C., and was officiated by “Star Trek: Voyager” actor Robert Picardo. Photos of the nuptials were taken by former White House photographer Pete Souza. The couple wrote their own vows, which one attendee described as “equal parts moving and comical.” Mundy, a former Washington Post reporter, mentioned Nye’s mother, cryptanalyst Jacqueline Jenkins-Nye, in her 2017 book, “Code Girls: The Untold Story of the American Women Code Breakers of World War II.” Nye emailed Mundy following the release of the book, and the two began dating shortly afterward. The pair have kept their relationship mostly private. Last week, they attended the premiere of Nye’s new Peacock series, “The End Is Nye,” at the 2022 Tribeca Film Festival in New York. And in March, Mundy was by Nye’s side at the Captain Planet Foundation’s 30th anniversary gala, a nonprofit organization in Atlanta. “The End Is Nye” due out Aug. 25, will feature Nye as he explores “the most epic global disasters imaginable ― both natural and unnatural ― and then demystifies them using science to show how we can survive, mitigate, and even prevent them,” according to press notes. The six-episode series will include guest appearances by Seth MacFarlane, who is also an executive producer. Senior Culture Reporter, HuffPost"
8,Uvalde Officer Was Detained Trying To Save His Wife Who Was Dying In A Classroom,politics,"  A Uvalde school police officer was prohibited from trying to save his wife, a Robb Elementary school teacher, during the deadly mass shooting in May. His wife, fourth grade teacher Eva Mireles, was one of the two teachers killed in the attack. Nineteen children also lost their lives. Texas Department of Public Safety director Col. Steven McCraw revealed the details while giving testimony on Tuesday. He also called the police response to the massacre an “abject failure.” The officer, Ruben Ruiz, arrived at the school after the accused 18-year-old gunman walked into Robb Elementary, KSAT reported. Mireles had called Ruiz and told him that she had been shot and was “dying.” “And what happened to [Ruiz] is he tried to move forward into the hallway,” McCraw said. “He was detained and they took his gun away from him and escorted him off the scene.” McCraw also criticized school district police chief Pete Arredondo for his handling of the mass shooting. At least three investigations are currently studying the response by law enforcement. “Obviously, not enough training was done in this situation, plain and simple,” McCraw said of the police chief. “Because terrible decisions were made by the on-site commander.” "
