,topic,category,content
0,"India reels under heatwave: Four easy ways to keep your eyes safe, vision protected",health,"While we can defend our bodies from top to bottom with clothing and
sunscreen, our eyes are left vulnerable."
1,5 yoga asanas to get better sleep ,health,"Having trouble sleeping? These four yoga asanas will have you falling asleep
faster than counting sheep."
2,"How to protect yourself from loo, prevent heatstrokes",health,"As Delhi battles heatwave, here are some measures you must take to protect
yourself from its woes and prevent heatstroke."
3,Does green tea help in reducing belly fat?,health,"IndiaToday.in spoke to a few health experts to understand if green tea helps
in reducing belly fat. Read on to know what they said. "
4,"Sports sponsorship, product placement in movies: WHO warns of population exposure to alcohol",health,"A WHO report highlights the increasing use of sophisticated online marketing
techniques for alcohol and the need for more effective regulation."
5,Does water expire?,health,"The shelf life of water has been a topic of debate for long. Let us dig into
the facts and find out how long stored water remains safe for consumption and
what could be the risks of drinking ""expired"" water."
6,Are you working from home? Here are 6 ways you can stay fit,health,Check out 6 ways that might help you to stay fit while working from home.
7,3 ways to lose belly fat. Take your pick,health,"IndiaToday.in spoke to three fitness enthusiasts who shared their thoughts
about yoga, zumba and gym respectively, at length. Do read what they have to
say and take your pick for losing weight."
8,5 home remedies to relieve menstrual cramps,health,Here are 5 home remedies that can help you deal with menstrual cramps.
9,"Covid-19 worsens asthma in children, finds study ",health,"A study conducted among 62,000 children in the US with asthma revealed that
Covid infected children had significantly more asthma visits."
10,Obesity levels in Europe at 'epidemic proportions': WHO,health,"The World Health Organization says the rates of people who are obese and
overweight in Europe have hit “epidemic proportions."""
11,Severe heatwave leading to sunburn problems in students: Experts ,health,"Many students are experiencing sunburn-related problems due to the heatwave.
Experts have advised parents to prevent children from going out during severe
heatwave hours."
,topic,category,content
0,What happens if I get Covid-19 while traveling?,health,"As Covid-19 cases rise again in several parts of the world including India,
here's what you can do if you get Covid while travelling."
1,"Want to be healthy? Seven hours of sleep is ideal, reveals study",health,"According to a new study, seven hours of sleep each night is the optimal
duration for middle to old-age people."
2,What is Hepatitis being reported among children in over 12 countries?,health,"Since the outbreak of Hepatitis among children in Europe is spreading like
fire, it is important to understand the disease deeply and be secure before
it gets any of us."
3,"Paid promotions, targeted ads: How baby formula makers are undermining breast milk | WHO report",health,"According to a new WHO report, baby formula makers are leveraging social
media and influencers to target women and boost sales, undermining efforts to
increase breastfeeding rates."
4,Covid-19 cases rising: 5 homemade drinks for boosting immunity,health,"As India witnesses a sharp increase in the Covid-19 cases, here are some 5
homemade drinks that can help boost your immunity."
5,What is H3N8 bird flu whose first human case was reported in China?,health,"The variant was found in a four-year-old boy from the central province of
Henan in China who showed fever and other symptoms."
6,Covid-19 cases rising: Can a cloth mask protect you?,health,"As India witnesses a sharp rise in Covid-19 cases again, read on to know
whether wearing a cloth mask can protect you."
7,Oral health essentials: 5 things you should not miss,health,"Read on as we list basic yet significant things you must add to your oral
hygiene routine in order to keep an array of issues such as tooth decay and
bad breath at bay."
8,"Asthma drug blocks coronavirus from replicating, finds study",health,"Researchers at the IISc found that Montelukast, used to reduce inflammation
caused by conditions like asthma, blocks SARS-CoV-2 from replicating."
9,4 yoga asanas to get relief from lower back pain,health,"Appropriate yoga poses suggested by an expert can relax and strengthen your
back and body."
10,5 easy tips to lose belly fat,health,"Want to reduce belly fat? Here are some easy tips that will help you bid bye
to those extra inches."
11,5 DIY home remedies to get rid of sun tan,health,"A little touristy trip to the beach is all fun until you are back home with
your skin looking tanned."
,topic,category,content
0,3 DIY lip-scrub recipes to cure chapped lips this summer,health,"While there are numerous recommendations for how to improve the health of
your skin, lip care is an area that is often overlooked."
1,6 home remedies to get rid of dandruff naturally ,health,"The genuine fear of having dry and dehydrated skin, as well as the dreaded
D-word – dandruff, begins to emerge. Check out 6 home remedies to get rid
of dandruff naturally."
2,"Covid-19 cases rise again: How can you keep your children safe in schools, home",health,"Parents and teachers can keep a few things in mind to keep children safe both
at school and at home as new cases pop up."
3,5 face yoga exercises to help you get perfect glowing skin,health,"Facial yoga can be extremely beneficial for those who want glowing, youthful
skin. A yoga practitioner suggests 5 face yoga exercises to help you get the
perfect glowing skin and get rid of wrinkles and a double chin."
4,5 morning drinks that help in reducing belly fat,health,"Want to reduce belly fat? Add these easy-to-make morning drinks to your
routine."
5,Love mulberries? Here are 3 reasons why you should eat them this summer,health,"Love mulberries? Read on, as we list 3 reasons why you should eat them this
summer."
6,5 homemade hair care mask recipes for healthy hair this summer,health,"Hair can become messy in any season. Products will come and go, but homemade
hair care mask recipes are here to stay. Here are 5 homemade hair care mask
recipes for healthy hair this summer."
7,"New blood test can predict risk of stroke, heart failure four years before it happens",health,"Researchers have developed a blood test that uses proteins and machine
learning to predict the risk of heart disease four years in advance."
8,5 yoga asanas that help reduce belly fat,health,"Want to reduce belly fat? Try these 5 yoga asanas that will definitely help
you."
9,Doctors share tips you must follow to maintain a healthy lifestyle,health,"On World Health Day, IndiaToday.in spoke to a few doctors who listed a few
tips you must follow to maintain good health and lifestyle."
10,Summer hair care: Say yes to healthy hair with these simple hacks,health,"As the sun sends intense heat waves towards us, here are some hacks on how to
keep your hair healthy and nourished."
11,Scientists discover microplastic stuck deep inside human lungs,health,"Scientists have discovered 12 different types of microplastics embedded in
human lungs of living people."
,topic,category,content
0,Study finds eating avocado twice a week lowers the risk of heart disease,health,"Eating avocado can reduce the risk of cardiovascular disease. Experts point
to the benefits of this superfood."
1,Rujuta Diwekar lists 3 food items women can eat to beat hot flashes,health,"Here are 3 food items women can eat to beat hot flashes, as suggested by
celebrity nutritionist Rujuta Diwekar."
2,5 homemade face-mask recipes to make your skin glow this summer,health,Pamper your skin this summer with 5 easy homemade face-mask recipes.
3,"How to take care of your gut health this summer, experts reveal",health,"Experts share simple tips you can follow to take care of your gut health this
summer."
