,topic,category,content
0,Stone found in Egypt hides first clues of the biggest explosion in universe,science,"Researchers have said that the unique stone found in Egypt is not from our
solar system and it was formed even before our solar system came to life."
1,How did crocodiles come to land from the sea? Prehistoric fossil in Peru reveals long journey,science,"The animal likely would have probably crossed the Atlantic Ocean to the coast
of South America, eventually populating what is now southern Peru."
2,Scientists to record first video of black hole,science,"The Event Horizon Telescope is being improved to record the first-ever video
of a black hole. The observations will begin in 2024."
3,Tesla to host second artificial intelligence day in August,science,"The use of AI in self-driven cars has stirred up debate around safety issues,
but Musk has often contended that such vehicles are far safer than those
driven by humans."
4,"Pollution kills 2.4 million people a year in India, 9 million globally: Study",science,"A team of scientists reported that air pollution from industrial processes
along with urbanization drove a 7% increase in pollution-related deaths from
2015 to 2019."
5,Dust devil to kill Nasa's InSight lander on Mars in July,science,"The InSight lander, which has been on Mars since 2018, is gasping for breath
as dust accumulates on its solar panels cutting down its power."
6,Boeing to launch Starliner on second flight test to space on Thursday,science,"Boeing will attempt to launch its Starliner spacecraft into space on Thursday
as it looks to compete against SpaceX in commercial spaceflight."
7,"In 1st public hearing, US reports rise in UFO sightings in past 20 years",science,"The US, in a rare hearing, has reported an increase in UFO sightings in the
past 20 years."
8,Most Great Barrier Reef coral studied this year was bleached,science,"Bleaching is caused by global warming. According to the Great Barrier Reef
Marine Authority annual report, 91% of the areas surveyed were affected."
9,New Mexico wildfire now ranks as largest in state history,science,"The 45-mile-long (72-km long) conflagration began on April 6 when the U.S.
Forest Service failed to contain a so-called controlled burn designed to
prevent larger wildfires."
10,Climate change is hurting insurers: Report,science,"Insured losses from natural catastrophes have increased 250% in the last 30
years, with perils such as wildfires and storms, seen as particularly
impacted by climate change."
11,How is space keeping cars connected over roads on Earth?,science,"The European space agency (ESA) is working with automakers to ensure
connected vehicles fully utilise the potential of space."
,topic,category,content
0,US lab to create versions of atoms that never existed on Earth,science,"The facility for Rare Isotope Beams (FRIB) will look behind the scenes at the
creation of chemical elements like carbon, oxygen, uranium and create their
unstable versions to understand how stars form and die."
1,"Conspiracy theorists flock to bird flu, spreading falsehoods",science,"While it poses little risk to humans, the global outbreak has led farmers to
cull millions of birds and threatens to add to already rising food prices."
2,Do aliens exist? Intelligence officers to answer in first UFO hearings in 50 years,science,"Two intelligence officials will testify about what the government knows of
unidentified flying objects (UFOs)."
3,This is how Super Flower Blood Moon eclipse looked from space,science,"In a series of photographs released by the European Space Agency, the Moon
can be seen playing hide and seek with one of the International Space
Station's solar panels."
4,'Private Inc must invest in disaster resilience systems to fight climate change disruptions',science,"Dr Kit Miyamoto, CEO of Miyamoto International Inc, a global hazard and
disaster risk firm, says that the key is really how to bring back private
sector investment to boost disaster resilience."
5,When will the Artemis mission launch to the Moon? Nasa answers,science,"Nasa has released a detailed schedule for the mission to liftoff from Cape
Canaveral between July 26 to December 23 this year."
6,"Satellite to reveal how oceans absorb carbon, moderate global temperature",science,"Observing the oceans on a smaller scale helps in determining their role in
moderate climate change."
7,"Tiny nanobots in teeth can kill bacteria, help better dental treatment",science,"Developed by the Indian Institute of Science, Bengaluru, the nanonbots can be
injected into the teeth and controlled using a device."
8,"'It's a bird. It's a plane...': Mysterious metal balls raining in Gujarat, likely space debris",science,"Villagers from Gujarat's Surendranagar, Kheda and Anand districts have
reported mysterious metal balls falling from the sky."
9,"Total lunar eclipse turns moon blood red, see stunning pics",science,
10,New Zealand govt to help pay for cleaner cars to reduce emissions,science,"The plan represents a step toward the pledges the nation made under the 2016
Paris Agreement on climate change and New Zealand’s stated goal of
achieving net-zero carbon emissions by 2050."
11,Total Lunar Eclipse dazzles stargazers as Moon turns blood red,science,"The Moon, which appeared blood-soaked, was visible to the naked eyes as
stargazers peered into the event."
,topic,category,content
0,"China flies airship at record altitude, higher than Mount Everest",science,"China has flown an airship at a record altitude, going higher than Mount
Everest. Part of China's Earth Summit Mission 2022, the airship is studying
the environment above the highest peak in the world."
1,"Omicron infection better at upping immunity than boosters, claims study",science,"People who are vaccinated and then get infected by the Omicron variant may
have better antibodies to deal with a vast range of Covid variants."
2,Chinese findings on Mars suggest water existed for longer on planet's surface,science,"Mars is believed to have been wet until about 3 billion years ago, when the
planet's second geological age, known as the Hesperian Epoch, ended."
3,Long night begins: Antarctica goes dark as the Sun sets for four months,science,"During the long winter, no supplies or people can be flown in and the high
altitude causes the crew to experience chronic hypobaric hypoxia or lack of
oxygen in the brain."
4,Mars rumbles with biggest ever quake to be detected on another planet,science,"The InSight lander, which has its ears stuck to the ground, recorded the
magnitude 5 quake, which is the biggest ever detected on another planet."
5,Total Lunar Eclipse turns Moon blood red | Watch LIVE,science,"The Moon will turn blood red as the Earth casts a giant shadow blocking the
Sun. Here's when and where to watch the event live."
6,Isro successfully tests rocket that will power India's Gaganyaan mission,science,"Isro has conducted a static fire test of the boosters that will liftoff the
Gaganyaan mission from the ground."
7,"How is supermassive black hole, found in Milky Way Galaxy, formed? Watch video to know",science,"Steller-mass black hole is formed when a huge star burns up all its fuel and
collapses in on itself. These stars are more than 10 times bigger than the
Sun. They grow by taking control of other stars or merge with other black
holes and become supermassive black hole."
8,How to photograph black hole in our own galaxy? You make an Earth-sized telescope,science,"Scientists have for the first time imaged the black hole at the centre of our
own Milky Way galaxy. But, how did they capture this mysterious object 27,000
light-years away from us? They built an Earth-sized telescope."
9,"Britain, US sign deal to make spaceflight cheaper",science,"The new declaration ""lays the foundation for rockets, high-altitude balloons
and spaceplanes to lift off from spaceports across the UK very soon,"" the
British government said in a statement."
10,"Total lunar eclipse 2022: These cities will see a blood moon on May 15,16",science,"A total lunar eclipse happens during a full moon when the Sun, Earth, and
Moon are aligned in a perfect line."
11,Bracing for her future: Human medicine rescues giraffe,science,"Zoos increasingly are turning to medical professionals who treat people to
find solutions for ailing animals. The collaboration has been especially
helpful in the field of prosthetics and orthotics."
,topic,category,content
0,"When Tonga volcano erupted, ripples were felt in space",science,"While shockwaves raced throughout the world, the ripples crossed the boundary
of Earth and entered space."
1,Farming on Moon is possible. Scientists grow plants in lunar soil,science,"In breakthrough research, scientists have for the first time grown plants in
the Moon's soil brought to Earth 50 years ago."
2,Massive black hole at centre of our galaxy pictured for first time,science,"Astronomers unveiled the first image of the supermassive black hole at the
centre of the Milky Way galaxy on Thursday. Have a look!"
3,Mayday…mayday: Ingenuity loses signals as Mars get cold,science,"The Ingenuity team at the JPL has identified the reason behind the drop in
communication between the helicopter and the rover."
4,'Our mountains are gone': Grief as sacred New Mexico forests burn,science,"Around 35 miles in length, the blaze has destroyed hundreds of homes and
other structures and triggered evacuation orders for 12,000 homes in San
Miguel and Mora counties."
5,This spooky sound is coming from inside a black hole | Listen,science,"Nasa engineers have released the first sounds coming from a black hole. It is
spooky and has travelled billions of kilometers."
6,"China's sea levels touched new high in 2021, government study shows",science,"Coastal sea levels around China have now risen by an average of 0.13 inch a
year since 1980, higher than the global rate over the period."
7,Psyche mission to metal-rich asteroid getting ready for August launch,science,"During the course of the mission, the spacecraft will understand a previously
unexplored building block of planet formation, iron cores."
8,"China launches cargo, food supplies to new space station for next crew",science,"The cargo vessel is carrying supplies for the next crew’s six-month stay,
along with research equipment and spare parts for maintaining the station."
9,"What is Total Lunar Eclipse that will turn Moon blood-red on May 15, 16?",science,"The Moon will turn blood red as the Earth casts its giant shadow blocking the
Sun. Here's why the Moon will become red."
