,topic,category,content
0,"Global factors behind inflation, says KV Subramanian",business,"In an exclusive interview with India Today, former Chief Economic Advisor KV
Subramanian said that global factors are behind the inflation. "
1,IndiGo appoints Pieter Elbers as CEO,business,"Since 2014, Pieter Elbers has served as the President and CEO of KLM Royal
Dutch Airlines."
2,"Sensex, Nifty close in red | Top stocks in focus",business,"Nifty 50 index ended down 0.12 per cent or 19.00 points at 16,240.30 and the
S&P BSE Sensex fell 0.2 per cent or 109.94 to 54,208.53."
3,"After LIC, govt now mulls selling part of Bharat Petroleum - Report",business,"Initially, the government had aimed to raise $8-$10 billion from selling its
full stake in BPCL."
4,AC sales likely to hit record high but China may play spoilsport,business,"With temperatures this month breaching 49 degrees Celsius in New Delhi, sales
are set to reach 8.5-9 million units this year, up from 2019's previous
record of 6.5 million."
5,"HDFC home loan on WhatsApp | Check interest rate, how to apply",business,"HDFC’s home loan offer is built on the WhatsApp business platform. Home
buyers can avail the facility 24x7."
6,"UK inflation surges to 9%, highest since 1982 ",business,"Consumer price inflation hit 9 per cent in April, surpassing even the peaks
of the early 1990s recession."
7,"Bitcoin price falls below $30,000-mark | Check latest cryptocurrency prices",business,"Bitcoin's price fell 1.57 per cent to $29,898.22. Ethereum price was down
1.68 per cent to $2,039.33."
8,"Ethos IPO opens today | Check price band, key details",business,"Ethos IPO opened for subscription on Wednesday. It will close on Friday, May
20."
9,"Gold, silver prices today: Precious metals record dip on MCX | Check latest rates here",business,"Gold, silver prices today: On Wednesday, May 18, both gold and silver were
trading on the lower side of the Multi Commodity Exchange (MCX). Check the
latest city-wise prices here."
10,"LIC share price gains: Check latest on BSE, NSE",business,"The LIC's share price on BSE was up by 0.42 per cent from the previous day's
close. On the NSE, LIC's share price rose 0.54 per cent from Tuesday's close."
11,"Sensex rises over 450 points, Nifty gains big | Check top gaining shares",business,"Sensex rose 0.84 per cent or 455.21 to 54,773.68, the NSE Nifty 50 index was
up 0.82 per cent or 133.70 points at 16,393.00."
,topic,category,content
0,Rupee slips against Dollar | Check latest,business,"Higher inflation, depressed risk assets performance and foreign fund outflows
have been weighing on the Rupee."
1,Rakesh Jhunjhunwala's Akasa Air to have airline code 'QP',business,"Akasa Air, backed by investor Rakesh Jhunjhunwala, said on Tuesday that its
airline code will be 'QP'."
2,Sebi red flags celebrities endorsing Cryptos,business,"Sebi said that crypto assets are neither defined as securities under
Securities Contracts (Regulation) Act, 1956 or SCRA, nor are they notified as
securities by the Central Government."
3,"Sensex rises over 1,300 points, Rupee gains against Dollar",business,"Rupee gradually recovered after touching a record low of 77.79 against the
dollar. BSE Sensex closed 2.54 per cent or 1,344.63 points higher at
54,318.47."
4,"LIC share price falls on debut | What policyholders, investors can do now",business,"As against the issue price of Rs 949, shares of LIC were listed at Rs 872, a
discount of Rs 81.80 apiece, on the BSE."
5,IPO watch: Initial public offerings that suffered losses on listing date in 2022,business,"This year there have been a number of IPOs that made their debut at discount
prices on the listing date."
6,LIC vs Paytm: Tale of India's Top 2 IPOs on listing day,business,"Before LIC, the amount mobilised from the Paytm IPO in 2021 was the largest
ever at Rs 18,300 crore."
7,LIC IPO listing: Why shares made lackluster debut on stock market?,business,"LIC dominates India's insurance sector. The 66-year-old company was the
fifth-biggest global insurer in terms of insurance premium collection in
2020. Even after that, shares got listed at a discount price."
8,Wholesale inflation at record high of 15.08% in April on price rise across all items,business,"The wholesale inflation rose to a record high of 15.08 per cent in April due
to a hike in prices across all segments."
9, Maruti to set up 3rd manufacturing plant in Haryana | Top points,business,"Haryana Chief Minister Manohar Lal said that this is a huge achievement for
the state as Maruti is setting up its third plant."
10,"Bitcoin price falls, cryptocurrency market in volatile mode",business,"The decline in Bitcoin and Ethereum prices was primarily due to inflation and
supply chain issues, forcing investors to remain cautious."
11,LIC share price: India's biggest IPO lists at discount,business,"This comes after the initial share sale witnessed a good response from
domestic investors and fetched Rs 20,557 crore for the government."
,topic,category,content
0,Rupee hits all-time low against Dollar | Check details,business,The rupee fell 14 paise to 77.69 against the US dollar in early trade. 
1,"Sensex rises over 300 points, Nifty nears 16,000 ahead of LIC IPO listing",business,"Sensex was up by 0.59 per cent or 313.23 points to 53,287.07 and the Nifty 50
rose 0.64 per cent or 102.15 points to 15,944.45."
2,"Gold, silver prices today: Precious metals record hike on MCX | Check latest rates here",business,"Gold, silver prices today: On Tuesday, May 17, both gold and silver were
trading on the higher side of the Multi Commodity Exchange (MCX). Check the
latest city-wise prices here."
3,LIC IPO listing: How to check share price,business,"Life Insurance Corporation of India policyholders and employees and other
investors can check LIC share price on the BSE India website."
4,Why world's top cement maker Holcim is exiting India?,business,"Holcim, which had entered the market 17 years ago, held a 63.19 per cent
stake in Ambuja and a 4.48 per cent in ACC, while Ambuja owns a 50.05 per
cent stake in ACC."
