,topic,category,content
0,Pak begins talks with IMF to resurrect enhanced bailout package to support its sagging economy,world,"Pakistan initiated talks with the International Monetary Fund (IMF) on
Wednesday to resurrect an enhanced bailout package to support its sagging
economy."
1,Bangladeshi couple get death sentence for selling teenager to brothel in India,world,"A Bangladeshi couple was sentenced to death on Wednesday for selling a
teenage girl to a brothel in India."
2,Scotland Yard arrests 13-year-old for Islamist terror offence in Britain,world,"A 13-year-old boy was arrested by Scotland Yard on Wednesday for a terrorism
offence."
3,"US seeks to woo India as key defence partner with $500 million military aid, reduce Russian weapon dependence",world,"In order to reduce dependence on Russian weapons, the US is trying to woo
India with a proposed $500 million military aid package."
4,"Chaos, anarchy and despair: Ruined Mariupol now forever etched in Ukraine's history | Pics",world,
5,"Diarrhoea outbreak hits Pakistan's Lahore, 2,000 children hospitalised since April 1",world,"Pakistan’s Lahore is witnessing the worst diarrhoea outbreak as at least
2,000 children have been hospitalised since April 1."
6,Russian invasion leaves trail of destruction across Ukraine | Pics,world,
7,Chinese flight deliberately crashed by pilots? Black box data suggests so,world,"A Chinese aircraft with 132 people on board that crashed in March in the
southern Guangxi province in China seems to have been deliberately crashed,
according to investigators who pulled the flight data from the black box."
8,Experts warn arms for Ukraine could end up in wrong hands,world,"Western nations have announced successive shipments of both light and heavy
weapons for Kyiv's forces since Russian troops crossed the Ukrainian border
on February 24."
9,"Sweden, Finland push ahead with Nato bids as Turkey objects",world,"Sweden and Finland are resolute to join Nato despite Turkey's opposition
because of their alleged support for Kurdish militants."
10,North Korea reports another jump in suspected Covid-19 cases,world,"North Korea reported 232,880 new cases of fever and six deaths on Wednesday.
Only last week did the country finally acknowledge an Omicron outbreak and
that over 1.7 million people have fallen ill amid a spread of fever since
last April 2022."
11,Ukrainian schools targeted: Russia's alleged war crimes bombs the future | Videos,world,"The Ukrainian government says Russia has shelled more than 1,000 schools,
destroying 95. Intentionally attacking schools and other civilian
infrastructure is a war crime. Experts say wide-scale wreckage can be used as
evidence of Russian intent, and to refute claims that schools were simply
collateral damage."
,topic,category,content
0,"Global pollution kills 9 million people a year, says study; India, China top the list",world,"A new study has found that pollution results in over 9 million deaths a year,
globally. China and India, with 2.4 million and 2.2 million deaths, are at
the top of the list, while the US is in 7th place."
1,"China’s zero-Covid strategy ‘unsustainable’ due to Omicron, says WHO chief",world,"WHO Director-General Tedros Adhanom Ghebreyesus described China's
“zero-Covid” strategy as “not sustainable” because of the highly
infectious nature of the omicron variant."
2,Pakistan's Supreme Court says defecting lawmakers' votes will not be counted,world,"Pakistan’s Supreme Court held that the votes of the defecting members of
Parliament cannot be counted."
3,Dictators will die: Zelenskyy quotes Charlie Chaplin in video message at Cannes,world,"In a video message at the Cannes Film Festival, Volodymyr Zelenskyy asked the
cinema world to show solidarity with the Ukrainians in the face of the
Russian invasion."
4,North Korea reports another fever surge amid Covid-19 crisis,world,"On Tuesday, North Korea reported another large jump in illnesses believed to
be Covid-19."
5,"Sweden signs Nato request, Finland formally endorses move",world,"While Sweden signed the Nato request on Tuesday, Finland's parliament has
formally endorsed the move."
6,Monitoring Yasin Malik trial very closely: Minister in UK parliament,world,"The minister was responding to questions on a range of issues when he was
asked about the trial of Yasin Malik by Pakistani-origin peer, Lord Qurban
Hussain, under the heading of “Human Rights Situation in
Indian-administered Kashmir""."
