,topic,category,content
0,Thoko Tali!: Amarinder's party tweets after Sidhu gets 1-year jail,politics,"After Supreme Court sentenced Punjab Congress leader Navjot Singh Sidhu to one year in jail in a 1988 road rage case, his former party colleague Captain Amarinder Singh's Punjab Lok Congress tweeted, ""Thoko Tali! (clap your hands)."" It is Sidhu's famous dialogue from a television comedy show. The SC had spared Sidhu a jail term in 2018.
"
1,No Maoists in Jhargram: Mamata as she warns against 'fake news',politics,"West Bengal Chief Minister Mamata Banerjee said there were no Maoists in Jhargram and warned of strict action against those spreading ""fake news"". ""Around 1,000 people who were active Maoists, surrendered and have been employed as home guards or in the police force,"" Mamata said. She also criticised the BJP government and alleged they were harassing TMC through central agencies. "
2,"Cong workers hold cylinders, protest against inflation in Kolkata",politics,"Congress protested against inflation in Kolkata, where protesters held cylinders and raised slogans against the Central and state government. ""The Union government has increased excise duty on petroleum products and the state govt has imposed VAT on these products,"" West Bengal Congress Chief Adhir Chowdhury said. This comes after LPG prices were increased for the second time this month. "
3,BJP has encroached on government land in Delhi: AAP,politics,"AAP on Thursday released a list of BJP leaders accusing them of encroaching on government land in Delhi and asked when the party would run bulldozers over their illegal construction. ""We've photographic evidence of residences of BJP leaders...which clearly shows encroachment, illegal occupation of government land and unauthorised constructions,"" said Saurabh Bharadwaj, Chief Spokesperson, AAP."
4,"Told Rahul to expel Sidhu, Jakhar but he didn't listen: Sukhjinder Randhawa",politics,"Congress leader and former Deputy CM of Punjab Sukhjinder Singh Randhawa on Thursday claimed that he had told the Congress leadership, including Rahul Gandhi, in February to expel both Navjot Singh Sidhu and Sunil Jakhar from the party. However, Rahul Gandhi did not listen to him, Randhawa said. ""What Congress couldn't do, Supreme Court has done today,"" Randhawa added. "
5,TN Cong protest over Rajiv Gandhi assassination convict's release,politics,"Tamil Nadu Congress Committee on Thursday held silent protests in parts of the state over the release of AG Perarivalan, one of the convicts in late PM Rajiv Gandhi's assassination case. Party workers covered their mouths with a white cloth during the protests. Congress should ""withdraw its support to DMK government"" over the issue, state BJP chief K Annamalai said."
6,He is drunk in appeasement politics: Maurya on Akhilesh's remark on temples,politics,"Reacting to SP chief Akhilesh Yadav's remark on temples, UP Deputy CM Keshav Prasad Maurya said that he is drunk in ""appeasement politics"". ""Akhilesh Yadav ji has forgotten the essence of 'sanatan' Hinduism,"" Maurya added. Earlier, Akhilesh said, ""Just by placing a rock, a red flag under a pipal tree it becomes a temple in the Hindu religion."""
7,Hardik Patel quit Congress fearing jail in sedition cases: Jagdish Thakor,politics,"After Hardik Patel resigned from Congress on Wednesday, the party's Gujarat chief Jagdish Thakor claimed, ""Hardik feared that he may have to go to jail in sedition cases if he stays in the Congress."" ""Hence, to save himself from the possible punishment, he decided to quit the Congress and he might join the BJP as well,"" he added."
8,BJP sees reflection of Indian culture in every regional language: PM Modi,politics,"Speaking on the controversies around making Hindi as the national language, Prime Minister Narendra Modi said, ""BJP sees a reflection of Indian culture in every regional language and considers them worth worshipping."" ""In past few days, we have seen that attempts are being made to spark controversies...We have given importance to every regional language in NEP,"" the PM added."
9,You can't abuse Adani or Ambani every time: Hardik Patel to Congress,politics,"Patidar leader Hardik Patel on Thursday criticised the Congress for purportedly ""taking out anger"" over PM Narendra Modi being from Gujarat on businessmen like Mukesh Ambani and Gautam Adani. ""A businessman rises due to his or her own hard work. [Congress] can't abuse Adani or Ambani every time,"" he added. This comes after Patel resigned from the Congress on Wednesday."
