,topic,category,content
0,First pic of supermassive black hole at the centre of Milky Way released,science,"Astronomers have unveiled the first image of the supermassive black hole at the centre of the Milky Way galaxy. ""The new view captures light bent by the powerful gravity of the black hole, which is four million times more massive than our Sun,"" astronomers said. The image was produced by a global research team called the Event Horizon Telescope Collaboration."
1,Something weird is going on in our universe: NASA,science,"Hubble Space Telescope has reached a new milestone in its work to find out how quickly the universe is expanding, NASA said, adding that data suggests ""something weird is going on"". ""There is a discrepancy between the expansion rate as measured in the local universe compared to independent observations from right after the big bang,"" NASA said."
2,Algae powers a microprocessor continuously for a year; pic released,science,"University of Cambridge researchers used algae to power a microprocessor continuously for a year, and counting, using nothing but ambient light and water. The system contains a type of non-toxic algae 'Synechocystis' that harvests energy from the sun through photosynthesis. The tiny electrical current this generates then interacts with an aluminium electrode and is used to power a microprocessor."
3,'Doorway' spotted on Mars in new image released by NASA,science,"A newly released image by NASA, taken by Curiosity Rover, appears to show a ""doorway"" cut into the rock face on Mars. One social media user described the scene as ""a formation on Mars which appears to be a portal and a wall nearby that looks artificial."" There has been no official explanation from the American space agency about it.

"
4,NASA releases night-time image showing 'heat islands' in & near Delhi,science,"NASA has released a night-time image taken on May 5 by its Ecosystem Spaceborne Thermal Radiometer Experiment on Space Station instrument, showing ""heat islands"" in and near Delhi. Night-time temperatures in Delhi and several smaller villages were peaking at about 39°C, while the rural fields nearby had cooled to around 15°C. The image covers about 12,350 square kilometres."
5,"Plants grown in Moon soil for the first time, NASA shares pics",science,"In a first, plants have successfully been grown in soil collected from the Moon's surface during the Apollo era, NASA said on Thursday while sharing pictures. Researchers at the University of Florida planted thale cress in lunar soil that was brought back by astronauts decades ago. The plants, however, grew slower, showed signs of stress and were also stunted."
6,Astronaut shares pics of rare 'Blood Moon' eclipse taken from space,science,"European Space Agency astronaut Samantha Cristoforetti shared pictures of the recent total lunar eclipse from aboard the International Space Station. ""A partially eclipsed Moon playing hide-and-seek with our solar panel,"" wrote Cristoforetti, along with the pictures. The recent eclipse had resulted in the occurrence of the rare Blood Moon that was visible from many parts of the world."
7,"Full lunar eclipse creates rare super blood Moon in parts of world, pics surface",science,"The first lunar eclipse of the year was visible from several countries in Americas, Europe and Africa. The eclipse coincided with a super Moon, which's when the Moon is at its closest point to Earth in its orbit. It created a super blood Moon as the Earth's natural satellite took on a reddish colour due to the Rayleigh scattering effect."
8,It's a natural geologic feature: NASA after pic of 'door' on Mars goes viral,science,"After a pic appearing to show a ""door"" on Mars went viral, NASA's Curiosity Rover tweeted ""Some of you have noticed this image I took...Sure, it may look like a tiny door, but really, it's a natural geologic feature!"" ""It may just look like a door because your mind is trying to make sense of the unknown,"" it wrote."
9,630-foot-deep giant sinkhole with forest at the bottom discovered in China,science,"A 630-foot-deep giant sinkhole with a forest at the bottom has been discovered in China's Leye County, the Xinhua news agency reported. Zhang Yuanhai, senior engineer at the Institute of Karst Geology of China Geological Survey, said that there are three caves within the sinkhole. ""This is cool news,"" said an official from US' National Cave and Karst Research Institute."
10,"'Blood Moon' lunar eclipse to occur on May 15 & 16; to be visible in US, Europe",science,"The first lunar eclipse of 2022 will be a 'Blood Moon' total lunar eclipse and it will occur on Sunday and Monday (May 15, 16). The Moon is expected to take on a reddish hue and it will pass through the darkest part of Earth's shadow called the Umbra. It'll be visible in Africa, Europe, North America and South America."
11,Closest ever images of Sun reveal its south pole and 'solar hedgehog',science,"The European Space Agency's Solar Orbiter snapped the Sun in March this year during its closest approach to the star. One of the images shows the Sun's south pole as seen by the Solar Orbiter. Another image shows a geyser of hot and cold gas emanating from the Sun's surface in all directions that the scientists dubbed the ""solar hedgehog""."
12,Robots may assemble UK's demonstrator solar power plant in space,science,"The UK Space Energy Initiative has established a 12-year development plan that could lead to robots assembling a demonstrator solar power plant in orbit. This plant will beam gigawatts of power from space to Earth as early as 2035, the initiative's chairman said. The initiative was launched last year to explore options to develop a space-based solar plant."
13,Bezos' Blue Origin delays 5th crewed spaceflight over technical issues,science,"Jeff Bezos-owned Blue Origin delayed its fifth crewed spaceflight due to technical issues. The launch was scheduled for May 20. ""During our final vehicle check-outs, we observed one of New Shepard's back-up systems was not meeting our expectations for performance,"" the firm said. Blue Origin's fourth flight landed successfully in March after a 10-minute journey to the edge of space."
14,"SpaceX launches 53 Starlink satellites, aims to launch 53 more today",science,"SpaceX launched a batch of 53 Starlink satellites on Friday on a Falcon 9 first stage booster. It is aiming to launch another batch of 53 satellites on Saturday, at the earliest, or Sunday. Earlier this week, SpaceX released a map showing the Starlink service's availability in 32 nations. The service is expected to come to India ""soon"", it showed."
15,Dolphins use coral as medicine to treat skin ailments: Study,science,"According to a study, bottlenose dolphins may be self-medicating their skin ailments by rubbing themselves against coral reefs. Corals were found to contain bioactive metabolites with antibacterial, antioxidative and oestrogen-like hormonal properties, which could be helpful in skin treatments. Dolphins are prone to yeast, bacterial and viral pox infections exacerbated by global warming."
16,Boeing launches Starliner capsule to orbit on uncrewed test flight,science,Boeing launched its Starliner spacecraft on an uncrewed test flight to orbit on Thursday. The test will show if the spacecraft is capable of carrying humans to the International Space Station. Boeing had attempted to conduct the mission in August last year but was forced to abandon it after some propellant valves were found to not be working properly.
17,"US, UK agree to collaborate on commercial spaceflight missions",science,The British government has announced that the US and Britain have agreed to collaborate on future commercial spaceflight missions. It said the partnership will make spaceflight easier and cheaper. The two nations will collaborate on the licensing of commercial space launches and provide benefits including critical defence security and better weather forecasts.
18,Stonehenge inhabitants ate internal organs of cattle: Study,science,"The analysis of 4,500-year-old faeces of humans who inhabited Stonehenge showed that they ate offal. Researchers have found evidence of eggs of parasitic worms in the faeces, which they believe shows these people ate the internal organs of cattle. They lived at a Neolithic settlement situated 2.8 km from Stonehenge and are also thought to have built the monument."
19,IISc B'lore develops tooth-cleaning nanobots for dental treatment,science,"Researchers at Indian Institute of Science (IISc), Bangalore have developed nano-sized robots that can kill bacteria deep inside dentinal tubules and improve the success rate of root canal treatments. According to researchers, the existing techniques aren't efficient enough to go deep and kill the bacteria. They said the new technique allows nanobots to penetrate deep and clean the infection."
20,"Pollution killing 90 lakh people per year, Africa hardest hit: Study",science,"Pollution of all types has been causing around 90 lakh premature deaths each year since 2015, a study has revealed. The release of the study's findings reveals that overall pollution deaths haven't changed much from 2015 to 2019. The study offered a list of the 10 countries most affected by pollution-related deaths, showing Africa being the worst affected region."
21,Voyager 1 spacecraft from 1977 facing mysterious issue: NASA,science,"NASA's Voyager 1 spacecraft, launched in 1977, has encountered a mysterious issue, the agency said. It said that while the probe is operating normally, the readouts from the attitude articulation and control system, which control the spacecraft's orientation in space, don't match up with what Voyager is actually doing. The issue hasn't triggered any onboard fault protection systems."
22,"Major cities like London, Delhi face increasing danger of drought: Report",science,"Major world cities including London, New Delhi, Beijing, etc. are facing an increased danger of drought, the Christian Aid report has warned. The report stated that these cities are running out of freshwater resources due to growing population and climate change. Experts said that the intensity and frequency of droughts have increased over last 30 years due to global warming."
23,Mars may have had water for longer than previously thought: Study,science,China's Zhurong rover has found evidence suggesting that water existed on Mars for much longer than expected. The finding is based on the hydrated minerals discovered by the rover in a vast basin believed to be the site of an ancient ocean. Signs of water were detected in sampled minerals from just 700 million years ago.
24,"Delhi, Mumbai could be 5°C warmer in 2080-99 than 1995-2014: Report",science,"The mean annual temperature of Delhi and Mumbai will be 5°C higher in between 2080-99 as compared to the 1995-2014 period if global CO2 emissions double by 2050, Greenpeace India reported. Delhi's annual maximum temperature will jump to 45.97°C in the 2080-99 period. Chennai's annual maximum temperature will increase from 35.13°C at present to 38.78°C in the 2080-99 period."
25,"'Monster quake' occurs on Mars; 'biggest ever on another planet', says NASA",science,"NASA's Jet Propulsion Laboratory has detected a magnitude 5 ""monster quake"" on Mars, which it said was ""the biggest ever detected on another planet"". The tremblor occurred on May 4, 2022, which was the 1,222nd Martian day of the mission involving NASA's InSight Mars lander. On Earth, the tremor would have been considered medium-sized, NASA said."
26,6-yr-old boy finds megalodon shark tooth while looking for shells on UK beach,science,"A six-year-old boy, Sammy Shelton found a three million-year-old megalodon shark tooth while looking for shells on a beach in the UK. The extinct megalodon was said to be 50 to 60 ft-long, three times the size of great white sharks. His father revealed that Sammy now sleeps with the tooth next to his bed."
27,NASA releases audio representing 'sound' of a black hole,science,American space agency NASA has released audio linked to a black hole at the centre of the Perseus galaxy cluster. The audio was created by the translation of data into sound and was released as a part of NASA's Black Hole Week. The black hole sound waves were scaled up by 57 and 58 octaves to make them audible.
28,"What's cerebral aneurysm, the life-threatening disease Xi Jinping may be suffering from?",science,"Chinese President Xi Jinping is reportedly suffering from cerebral aneurysm. A cerebral aneurysm is a weak or thin spot on an artery in brain that balloons or bulges out and fills with blood, according to US' National Institutes of Health. Bleeding into the brain from bulging aneurysm can lead to headache, permanent damage to the brain or even death."
29,Virus found in pig heart transplanted into man in US,science,"While trying to learn what killed the first person to receive a heart transplant from a pig, researchers discovered the organ harboured an animal virus, called porcine cytomegalovirus. However researchers did not say if the virus played any role in the man's death. David Bennett Sr, from US' Maryland, died in March, two months after the groundbreaking experimental transplant."
30,‘Space jellyfish' phenomenon witnessed in US sky after SpaceX rocket launch; pic viral,science,"Several people are sharing pictures and videos of 'space jellyfish' phenomenon witnessed in the sky in US' Florida after SpaceX Falcon 9 rocket launch. SpaceX has launched 53 internet satellites, Starlink. The space jellyfish phenomenon occurs when a rocket lifts off in the hours around dawn or dusk and is caused by sunlight reflecting off high altitude rocket plume gases."
31,"Pic shows strong solar flare erupting from Sun, NASA highlights its impact on Earth",science,"The Sun emitted a strong solar flare on April 30, an image of which has been shared by NASA. It can be seen in the bright flash in the picture's upper right portion. Solar flares are sudden releases of magnetic energy, which if directed towards Earth, can impact radio communications, electric power grids and pose risks to spacecraft and astronauts."
32,ISRO planning to launch mission to Venus in December 2024,science,"Indian Space Research Organisation (ISRO) is readying a spacecraft to orbit Venus, the solar system's hottest planet. Addressing a day-long meeting, ISRO Chairman S Somanath said the Venus mission has been conceived, a project report made and ""money identified"". ISRO is eyeing the December 2024 window for its launch with orbital maneuvers planned for the following year.

 "
33,"NASA shares video that simulates a black hole, people compare it with 'Interstellar'",science,"NASA's Instagram page shared a visualisation simulating appearance of a black hole as seen on its edge, where inbound matter has collected into a thin, hot structure called an accretion disk. Referring to the 2014 film 'Interstellar', an Instagram user commented, ""Reminds me of the black hole in Interstellar."" ""You can tell Interstellar production worked with scientists,"" another person commented."
34,It was a great ride: Indian-American astronaut Raja Chari on returning to Earth,science,"Indian-American astronaut Raja Chari was among the four astronauts aboard a Space X spacecraft which on Friday safely splashed down in the Gulf of Mexico after spending nearly six months at ISS. ""Glad to be back...It was a great ride,"" he said after the splashdown. The commander of SpaceX Crew-3 mission to space, astronaut Raja Chari joined NASA in 2017."
35,Methane emissions from cows' burps observed from space for 1st time; pic released,science,"Methane emissions burped up by cows have been observed from space for the first time, environmental data company GHGSat said as it released a satellite picture. The company's analysis confirmed that the emissions came from a cattle feedlot in California's Joaquin Valley. As cows digest their food, they release methane, mostly through their gassy burps."
36,Pregnant women with COVID-19 may be at risk of premature birth: Study,science,"COVID-19 during pregnancy may lead to an increased risk of adverse maternal outcomes, ICU admissions, hospitalisations and preterm birth, a Canadian study has found. As per the study, these risks increase with age as well as comorbidities like high blood pressure.  The study, however, found that women who are fully vaccinated have a lower risk of experiencing these outcomes."
37,Obesity may weaken vaccine protection: Study,science,"Obesity may weaken vaccine protection against COVID-19 in people, who have never been infected with the coronavirus, a study has found. Researchers compared the effect of vaccination on people without previous SARS-CoV-2 infection, who received the Pfizer vaccine, and found that patients with severe obesity had over three times lower antibody levels than normal-weight individuals."
38,A week's break from social media improves mental well-being: Study,science,"As per new research, taking a week's break from social media not only improves an individual's overall well-being but also reduces symptoms of depression and anxiety. ""Social media is a part of life...But if you are spending hours each week scrolling...it's negatively impacting you,"" researchers said. ""Many of our participants reported positive effects from being off social media,"" they added.
"
39,Many eco-friendly children’s clothing contain toxic PFAS: Study,science,"Many children's products like clothes, bedding and furniture, including those with green certifications, contain harmful PFAS chemicals, also known as forever chemicals, a study has found. The products labelled as water or stain-resistant are most likely to contain PFAS that aren't listed on label. PFAS are linked with health conditions like cancer, thyroid disease, high cholesterol, asthma, etc."
40,SpaceX 'Crew-3' led by Indian-American Raja Chari returns from ISS,science,"SpaceX's Crew-3 led by Indian-American Raja Chari has returned after a six-month mission aboard ISS. The crew consisted of American spaceflight veteran Tom Marshburn, and three first-time astronauts, NASA's Raja Chari, Kayla Barron, and ESA's Matthias Maurer. Crew-3 returned to Earth with some 250 kilograms of cargo, including loads of ISS research samples.


"
41,Operating rooms major contributor to carbon emissions in health sector: Study,science,"As per study, operating rooms make the biggest contribution to carbon emissions within the health sector. Operating rooms generate 70% of the hospital's waste responsible for greenhouse gas emissions. They generate three to six times as much carbon as the rest of health systems, for example, a robotic-assisted hysterectomy produces carbon equivalent to driving over 3,000 kilometres in a car."
42,Deforestation in Brazilian Amazon breaks all records for April,science,"Deforestation seen in Brazilian Amazon broke all records for April, corresponding to more than 1,000 square kilometres. The figure is the highest seen in seven years of record-keeping and 74% more than the same month in 2021, which was the prior record. It's the first time that deforestation alerts have surpassed 1,000 square kilometres during a month in rainy season."
43,Lunar soil can be used to make oxygen & fuel on moon: Study,science,Scientists have found that the lunar soil brought back by China's Chang'e-5 spacecraft contains iron-rich and titanium-rich substances that could work as catalysts to convert carbon dioxide into oxygen and generate hydrocarbons like methane that can be used as fuel. The researchers are exploring if these resources can be used to support human life on the moon and in space.
44,Climate change could spark next pandemic: Study,science,"According to new study, the rising global temperature would lead to relocation of wild animals to areas with large human populations, thereby increasing the possibility of viral jump that could cause the next pandemic. The study stated that several mammals would encounter each other for the first time during such relocations called geographic range shifts and share thousands of viruses."
45,Some bats pretend to be bees to scare off predators: Research,science,"While studying how mouse-eared bats deal with other animals, researchers observed they buzzed like hornets or bees, possibly, in an attempt to push back potential predators. When buzzing sounds were played on speakers, bat predators were seen moving away in contrast to speakers that played non-buzzing sounds. This is the first time a mammal was found mimicking an insect."
46,Intact fossil of pregnant ichthyosaur recovered from glacier in Chile,science,"Scientists have recovered one of world's most complete ichthyosaur fossils with intact embryos from a glacier in Chile's Patagonia region. It's the ""only pregnant ichthyosaur that's been found on the planet from the era between 129 and 139 million years ago"", one of the scientists said. Scientists spent 31 days extracting the fossil, which was found over a decade ago."
47,Insecticide & plastic ingredients found inside pregnant women: Study,science,"Dozens of chemicals used to make plastics and those found in insecticides were found in several pregnant women during a study that analysed 171 pregnant women in the US. Scientists looked for 89 different chemicals in participants and found 73 of them in at least one person. Moreover, 36 of these substances were found in over 50% of the participants."
48,Chinese cargo spacecraft docks with its 1st space station's module,science,"An unmanned Chinese cargo spacecraft successfully docked with an orbiting space station module on Tuesday, completing the sixth of 11 missions needed to finish building China's first space station by year-end. The spacecraft transported propellants, application experiments samples, some payloads and supplies for three astronauts. Three astronauts will travel to Tianhe in June for a six-month stay."
49,Global bird populations steadily declining: Study,science,"According to a study, the population of birds worldwide is declining rapidly. Approximately 48% of existing bird species are known or suspected to be undergoing population decline, 39% are stable, and only 6% are showing an increase in population. The key threats leading to this decline are loss and degradation of natural habitats, direct overexploitation of species and climate change.
"
50,"Vaquita porpoise, with population of 10, could avoid extinction: Study",science,"The world's smallest marine mammal, vaquita porpoise, has a chance of survival, despite numbering only about 10 in the wild. Genetic analysis by a team of UCLA biologists and colleagues has found that the species remains relatively healthy and can potentially survive if illegal ""gillnet"" fishing ceases promptly. ""Vaquita is not doomed to extinction by genetics,"" UCLA's Christopher Kyriazis said."
51,"Researchers develop an enzyme that breaks down plastic in hours, not decades",science,"Researchers have developed an enzyme that breaks down plastic waste in hours instead of decades at ambient temperatures. Developed from a natural PETase that allows bacteria to degrade plastic, the enzyme is named FAST-PETase (functional, active, stable and tolerant PETase). As per researchers, this enzyme breaks plastic down into its basic molecular units, which can be recycled into new products."
52,"10-ft-long squid washes ashore alive in Japan in rare sighting, video surfaces",science,"In a rare sighting, a giant squid was found stranded alive on a shore in western Japan on Wednesday. The squid measuring around 10 feet was found stranded at Ugu beach in Obama of Fukui Prefecture and a video of the same has been shared online. Squids of this size are deep-sea dwelling creatures."
