,topic,category,content
0,Musk offered to buy her a horse for erotic massage: Flight attendant's friend,technology,"In a declaration, the friend of the flight attendant who has accused Elon Musk of sexually harassing her said that he called her ""for a full body massage"" and exposed his genitals to her on a flight in 2016. She said he rubbed her leg and ""offered to buy her a horse"" if she provided him with an erotic massage."
1,"Pichai, Aryabhatta have bigger fans than stars & actors put together: R Madhavan",technology,"Actor R Madhavan, who's attending the 75th Cannes Film Festival, on Thursday said, ""From Aryabhatta to Sundar Pichai, we've such extraordinary stories as far as science and technology is concerned."" He added, ""We are not making movies about these people...They have bigger fans than stars and actors put together."" Madhavan is making his directorial debut with 'Rocketry: The Nambi Effect'."
2,Politically motivated: Musk on report claiming he sexually harassed a flight attendant,technology,"Responding to a report claiming he sexually harassed a flight attendant in 2016, Tesla CEO Elon Musk called the story a ""politically motivated hit piece"". When asked for a comment on the accusations, he said, ""If I were inclined to engage in sexual harassment, this is unlikely to be the first time in my...30-year career that it comes to light."""
3,Sexual harassment story meant to interfere with Twitter acquisition: Musk,technology,"After a report claimed Tesla CEO Elon Musk allegedly sexually harassed a flight attendant employed by SpaceX in 2016, he said that the story was meant to ""interfere with the Twitter acquisition"". Responding to a follower who asked if he responded to the writers of the story, Musk replied, ""The story was written before they even talked to me.""
"
4,What is Twitter's new 'crisis misinformation' policy?,technology,"Designed to tackle ""situations of armed conflict, public health emergencies, and large-scale natural disasters,"" the policy ​will help hide tweets that share false information during such situations. While Twitter said it would rely on various credible sources to check if a tweet is misleading, it will also prioritise adding warning notices to viral tweets and tweets from high-profile accounts. "
5,"Describe any scars, tattoos not known: Musk on claims of 'exposing genitals' to air hostess",technology," 
Tesla CEO Elon Musk took to Twitter to respond to allegations that he allegedly exposed his genitals to a flight attendant in 2016. He tweeted, ""I've a challenge to this liar who claims their friend saw me ""exposed""...describe just one thing, anything...(scars, tattoos) that isn’t known by the public. She won't be able to do so, because it never happened."""
6,"Brazil's Bolsonaro meets Elon Musk, calls his $44 bn Twitter bid a 'breath of hope'",technology,"Brazilian President Jair Bolsonaro met the world's richest person and Tesla CEO Elon Musk in Brazil on Friday. Bolsonaro hailed Musk's $44 billion bid to acquire Twitter and said, ""For us here it was like a breath of hope."" They also talked about connectivity, investments, innovation and the use of technology to reinforce protection of the Amazon rainforest, Bolsonaro tweeted."
7,World's 2nd richest man Bezos shares magazine cover he framed as a 'reminder',technology,"The world's second-richest man Jeff Bezos took to Twitter to share an old magazine cover featuring him, and said, ""I have this old 2006 BusinessWeek framed as a reminder."" The magazine's cover featuring Bezos was titled, ""Amazon's risky bet"". Bezos tweeted, ""The 'risky bet' that Wall Street disliked was AWS, which generated revenue of more than $62 billion last year."""
8,Can finally use 'Elongate' as scandal name: Musk amid sexual misconduct claims,technology,"Tesla CEO Elon Musk has tweeted, ""Finally, we get to use Elongate as scandal name. It's kinda perfect."" He quote-tweeted his own tweet from last year where he had suggested calling any scandal about him 'Elongate'. This comes after a report claimed that he allegedly sexually harassed a SpaceX flight attendant in 2016. Musk has called the claims ""utterly untrue""."
9,₹7.4 crore stolen from payment gateway Razorpay using 'failed transactions',technology,"Hackers and fraudsters have stolen ₹7.38 crore by tampering with the authorisation process of 831 transactions on the payment gateway Razorpay, the company said in a police complaint. The company conducted an internal investigation after its authorisation and authentication partner Fiserv said the transactions had failed. The transactions had taken place from March 6 to May 13 this year."
10,Attacks on me should be seen via political lens: Musk after sexual misconduct claims,technology,"Tesla CEO on Friday tweeted, ""Attacks against me should be viewed through a political lens...this is their standard (despicable) playbook...But nothing will deter me from fighting for a good future and your right to free speech."" Musk's tweet comes after a report claimed that he allegedly sexually harassed a flight attendant, who worked for SpaceX's corporate jet in 2016."
11,Meta asks staff to not discuss abortion on internal chat due to 'increased risk',technology,"A Meta executive asked employees to refrain from discussing abortion on Workplace, an internal social media platform, citing it as ""an increased risk"", as per a report. The top Meta executive also said abortion was ""the most divisive and reported topic"" by employees on Workplace. This comes after the US Supreme Court draft leak proposed abolishing abortion rights nationwide. "
12,Union IT Minister successfully tests 5G call at IIT Madras; shares video,technology,"Union IT Minister Ashwini Vaishnaw on Thursday successfully tested 5G audio and video call at IIT Madras. ""Aatmanirbhar 5G...The entire end-to-end network is designed and developed in India,"" the minister tweeted as he shared a video of the 5G call. The IIT Madras-led 5G testbed, built at a cost of ₹220 crore, was inaugurated by PM Narendra Modi on Tuesday."
13,"Musk's deal moving forward as planned, not on 'hold': Twitter executives tell staff",technology,"Twitter executives told their staff that Tesla CEO Elon Musk's acquisition offer is moving forward as planned and that there is ""no such thing as a deal being on hold,"" as per the employees. While Musk had earlier suggested he might seek a lower price for the deal, executives said they won't renegotiate the agreed-upon price of $54.20 per share.
"
14,"Musk shares meme, says 'Tesla on my mind 24/7' amid concerns about Twitter distraction",technology,"Tesla CEO Elon Musk on Friday tweeted a meme and wrote, ""Tesla is on my mind 24/7"" amid concerns that he was getting distracted by the Twitter acquisition deal. Sharing the meme, he wrote, ""So may seem like below, but not true. To be clear, I'm spending less than 5% (but actually) of my time on the Twitter acquisition.""
"
15,She's a far-left actor: Musk on friend of air hostess who accused him of sexual harassment,technology,"Tesla CEO Elon Musk said the friend of the flight attendant who has accused him of sexual harassment ""is a far-left activist/actress in LA with a major political axe to grind."" In a report, the flight attendant's friend accused Musk of exposing himself and offering to buy a horse for her friend in exchange for an erotic massage in 2016."
