,topic,category,content
0,Musk offered to buy her a horse for erotic massage: Flight attendant's friend,world,"In a declaration, the friend of the flight attendant who has accused Elon Musk of sexually harassing her said that he called her ""for a full body massage"" and exposed his genitals to her on a flight in 2016. She said he rubbed her leg and ""offered to buy her a horse"" if she provided him with an erotic massage."
1,"Describe any scars, tattoos not known: Musk on claims of 'exposing genitals' to air hostess",world," 
Tesla CEO Elon Musk took to Twitter to respond to allegations that he allegedly exposed his genitals to a flight attendant in 2016. He tweeted, ""I've a challenge to this liar who claims their friend saw me ""exposed""...describe just one thing, anything...(scars, tattoos) that isn’t known by the public. She won't be able to do so, because it never happened."""
2,"Brazil's Bolsonaro meets Elon Musk, calls his $44 bn Twitter bid a 'breath of hope'",world,"Brazilian President Jair Bolsonaro met the world's richest person and Tesla CEO Elon Musk in Brazil on Friday. Bolsonaro hailed Musk's $44 billion bid to acquire Twitter and said, ""For us here it was like a breath of hope."" They also talked about connectivity, investments, innovation and the use of technology to reinforce protection of the Amazon rainforest, Bolsonaro tweeted."
3,Sexual harassment story meant to interfere with Twitter acquisition: Musk,world,"After a report claimed Tesla CEO Elon Musk allegedly sexually harassed a flight attendant employed by SpaceX in 2016, he said that the story was meant to ""interfere with the Twitter acquisition"". Responding to a follower who asked if he responded to the writers of the story, Musk replied, ""The story was written before they even talked to me.""
"
4,She's a far-left actor: Musk on friend of air hostess who accused him of sexual harassment,world,"Tesla CEO Elon Musk said the friend of the flight attendant who has accused him of sexual harassment ""is a far-left activist/actress in LA with a major political axe to grind."" In a report, the flight attendant's friend accused Musk of exposing himself and offering to buy a horse for her friend in exchange for an erotic massage in 2016."
5,"Canadian MP Chandra Arya speaks in Kannada in Canadian Parliament, video viral",world,"Canada's Indian-origin MP Chandra Arya spoke in his mother tongue Kannada in the Canadian Parliament on Thursday and shared a video that has since gone viral. ""This is the first time Kannada is spoken in any parliament...outside India,"" said Arya. He quoted lines from a poem, which translated to 'wherever you are, however you are, be a Kannadiga forever'."
6,It's in illegally-occupied area: Govt on reports of 2nd Chinese bridge on Pangong,world,"The government has issued a statement on reports of a second Chinese bridge being constructed across the Pangong Lake in Ladakh by China. ""Both these bridges are in areas that have continued to be under illegal occupation of China since the 1960s,"" said the government. ""We've never accepted such illegal occupation of our territory,"" it added."
7,WHO calls for emergency meet amid rise in monkeypox cases: Report,world,"The World Health Organization (WHO) has called for an emergency meeting to discuss the rapidly growing monkeypox outbreak, British publication The Telegraph said on Friday. This comes hours after France, Germany and Belgium confirmed their first cases. Other countries that have detected monkeypox cases include the UK, US, Portugal, Sweden, Spain and Italy."
8,"Rishi Sunak, wife Akshata enter 'UK Rich List' with combined £730 million wealth",world,"UK Finance Minister Rishi Sunak and his wife Akshata Murty have been included in The Sunday Times Rich List of the UK's wealthiest 250 people for the first time. The couple has ranked 222nd on the list with a combined fortune of £730 million. Akshata Murty, the daughter of Infosys Founder NR Narayana Murthy, owns about 0.9% stake in Infosys."
9,Russia to consider allowing citizens over 40 to join military,world,"Amid the Ukraine war, the Russian Parliament said it'd consider a bill to allow Russians over 40 years of age and foreigners over 30 to join the military. This would enable the military to utilise the skills of older professionals, it added. Currently, only Russians aged 18-40 and foreigners aged 18-30 can enter into a first contract with the military."
