,topic,category,content
0,"Kangana Ranaut buys Mercedes Maybach worth over ₹3 crore, pic surfaces",entertainment,"Kangana Ranaut on Thursday attended the premiere of her upcoming film 'Dhaakad' and unveiled her latest purchase, the Mercedes Maybach S680 worth over ₹3 crore. Pictures and videos of Kangana unveiling her new car have been shared online. A video shows Kangana clapping as two people removed the cover of the car."
1,"Depp was controlling, said I got a scratch from sex with another person: Ex-girlfriend",entertainment,"Johnny Depp was jealous, controlling and frequently drunk, his ex-girlfriend, actress Ellen Barkin, said in testimony. ""I had a scratch on my back once that got him very, very angry because he insisted it came from me having sex with a person who wasn't him,"" she added. Barkin said she had a brief ""sexual relationship"" with Depp in the 1990s."
2,I don't understand the term pan-India: Akshay Kumar on Bollywood vs South cinema debate,entertainment,"Akshay Kumar has reacted to the ongoing debate between South and Hindi cinema and said, ""I don't believe in this divide.. We're all one industry."" ""I hope every film works...This word pan-India, I don't understand it,"" he added. I think the day we realise...we're one industry, things will start working better for us,"" Akshay stated."
3,"Meme compares Jacqueline and Sona, singer tells trolls 'Stop degrading her'",entertainment,"Singer Sona Mohapatra reacted to a meme comparing Jacqueline Fernandez and her as 'Expectation vs reality'. ""I'm not available on 'order' thankfully...Not on sale. My earlier tweet on her asked for youngsters not to be too. Stop making a...fool of yourself,"" she tweeted. Sona earlier shared she won't buy products endorsed by Jacqueline due to her ongoing involvement with ED."
4,"Madhavan's 'Rocketry...' gets standing ovation at Cannes, video surfaces",entertainment,"R Madhavan's 'Rocketry: The Nambi Effect' received a standing ovation during its world premiere at the Cannes Film Festival on Thursday, a video of which has also surfaced. Following the film's premiere, Madhavan, who has directed and produced the film in addition to acting in it, said, ""We couldn't have asked for...better stage to showcase this film. Thank you...very much."" "
5,"Got bruises on arms, legs shooting 'Designer': Divya Khosla Kumar",entertainment,"Actress-filmmaker Divya Khosla Kumar, who was seen in 'Designer' with Guru Randhawa and Yo Yo Honey Singh, said that she got bruises on her arms and legs while shooting. ""There was one outfit...made out of...metal. Along with that...I had inches long nail extensions...I couldn't sit during the shoot because of my outfit! It was a...shoot of seven hours,"" she added."
6,"My sons used to ask, 'Why's papa home, doesn't go to work?': Bobby",entertainment,"Actor Bobby Deol has said in an interview that he took a break from acting after welcoming his sons Aryaman and Dharam in 2001 and 2004, respectively. The actor added, ""(They would ask) 'Why is papa home? Why doesn't he go to work?' And when I heard them say that, I didn't want to set a bad example for them."""
7,Poonam Dhillon's daughter Paloma to debut opposite Sunny Deol's son Rajveer,entertainment,"Actress Poonam Dhillon's daughter Paloma Thakeria is set to make her Bollywood debut opposite Rajveer Deol, the younger son of actor Sunny Deol, in Rajshri Productions' upcoming project. It will also mark filmmaker Sooraj Barjatya's son Avnish Barjatya's debut as a director. The yet-untitled film is reportedly set against the backdrop of a lavish destination wedding. "
8,"Soni Razdan joins the cast of 'Brown' alongside Karisma Kapoor, Helen",entertainment,"Actress Soni Razdan has joined the cast of Abhinay Deo's upcoming film 'Brown'. The film also stars Karisma Kapoor and Helen in key roles. ""An eclectic set of characters are part of...story. I was [compelled] to come out of my comfort zone,"" Soni said. Produced by Zee Studios, 'Brown' is a neo-noir crime drama set in the city of Kolkata. "
9,Happy that people have accepted the choices I made: Kartik Aaryan,entertainment,"Kartik Aaryan, while talking about choosing a particular role or a film, said he is happy that people have accepted the choices he made till date. ""It's the energy that people are catching up on,"" he said. Further, while talking about breaking his image of a monologue boy from 'Pyaar Ka Punchnama', Kartik said that he made conscious decisions. "
