,topic,category,content
0,NCDRC says construction of additional tower by M3M Group ‘illegal’; directs builder not to proceed with its construction,business," The National Consumer Disputes Redressal Commission (NCDRC) on June 23 termed the construction of an additional tower by Gurgaon-based M3M Group as ‘illegal’ and the act of not taking consent of buyers for the purpose of raising new construction as ‘a clear deficiency of service' and directed the builder not to proceed with its construction. The application was filed by 300 buyers of the project M3M Merlin located in Sector 67 in August 2020. “…going for a new tower is a clear deficiency of service in terms of the Consumer Protection Act, 2019 and Haryana Apartment Ownership Act, 1983. It is another matter that if the builder had obtained the consent and then applied for change in the site plan along with permission for a new tower, it would have been in order as per the statutory provision. Having not obtained this consent, we take the construction as violation of the aforementioned statutes. In view of the aforesaid discussions, we deem the construction of Tower 11 as illegal and direct the Opposite Parties 1 and 2 not to proceed with its construction,” the order said. The consumer complaint was filed under Section 58 read with Section 35(1)(c) of the Consumer Protection Act, 2019 by homebuyer Ajay Kumar Verma and others against M3M India Private Limited and Others seeking certain relief and compensation, on the ground of alleged deficiency on the part of the builder and other parties. Also Read: Supreme Court upholds NCDRC order directing NCR-based builder to refund Rs 1.9 crore to homebuyer The buyers stated in their application that while the project was supposed to consist of 10 residential towers, the builder proposed construction of a new tower, i.e. 11th tower, with no prior intimation or consent of the existing buyers. They said that it was only in April-May, 2019 that it came to their knowledge that the builder was planning to construct a new tower without seeking their prior consent. The complaint also noted that the buyers took possession of their units from 2017 onwards and it was only after five-six months of taking possession that the defects and deficiencies started coming to their knowledge. However, till date none of the defects have been cured, the application said. The buyers had prayed that the builder should not be permitted to construct the 11th tower in the project until consent is taken from all the apartment owners of the project M3M Merlin. Also Read: A homebuyer not an investor despite owning multiple properties with same builder, is entitled to refund: NCDRC “In our considered opinion, obtaining the consent of flat owners becomes essential when a new tower is being constructed and which is in deviation to the certain approval, site plan, number of towers, Occupation Certificate, etc. initially promised to the allottees and as per Haryana Apartment Ownership Act, 1983. The submission of the learned Counsel for the Opposite Parties that the consent was already taken from the flat owners in the Builder Buyer Agreement and the Deed of Declaration is disingenuous without a basis. “We do agree that certain caveats and provisions were mentioned in these two documents. Nowhere there is clarity that the builder is proposing construction of a tower in the area earmarked for future development. So the rightful process should have been adopted by the builder to obtain the consent of the flat owners and then proceed ahead with obtaining the approval of the DTCP for change of layout and construction of a new tower. We do not see any evidence of any effort taken by the Opposite Parties 1 and 2 to connect with the flat owners or sending any communication to them with regard to their plan for construction of a new tower,” the order said. “…there is a major deficiency of service on the part of the Opposite Parties for having promised to the prospective flat buyers in the form of the brochure that a certain kind of Project is being conceived, which will have only 10 towers and a low-rise EWS building on one side. Having gotten applications from the flat buyers and having accepted booking amounts, the developer has been changing the plan one at a time in deviation to the original Project. The first change is that of the shift of EWS housing area and next the construction of a new Tower. It is admitted that the flat buyers have not objected to change in 2014 for shifting of EWS area. But the area for future development does not necessarily mean construction of new high-rise tower. ""The same story continued with the Occupation Certificate, Deed of Declaration and Builder Buyer Agreement in 2017 keeping area for future development as vague as possible and without any inkling of construction of a new Tower,” the order said. Piyush Singh, advocate, who represented the 300 homebuyers of Merlin, said that this is a massive victory for homebuyers residing in completed projects since in this case the residents were facing harassment of illegal construction within the common area, which is not only a safety hazard but also decreases the super area of the project. The order also provides relief on the issue of IFMS, excess EDC/IDC collected and poor quality of construction. “This judgment will reinforce confidence among buyers that they do have a legal remedy against a developer even if a project is complete and registry is done,” he added. “Suo-moto cognisance should also be taken by the authorities and investigations be launched, as to how permission of such an illegal tower was given without due compliances and strict penalty should be imposed on the builder,” said Aditya Parolia, advocate, PSP Legal. An M3M spokesperson said that while the company has “high regard for NCDRC, we believe that the facts have been falsely presented against M3M by the complainants. We now propose to take this matter further for justice.” The buyers, in their application, had also said that the builder should be directed to obtain the necessary permissions from concerned authorities to acquire the revenue road for the project to be complete in all respects, within six months from the date of filing of their complaint and if the same was not done, the builder should be directed to pay Rs 5 lakh to each of the owners as compensation towards the devaluation of property and threat to life and security on account of revenue road. The homeowners had also prayed that the builder should be directed to refund the excess EDCIIDC charges collected from all the apartment owners of the project with interest at the rate of 18 percent per annum from the date of receipt of such payment towards EDC/IDC charges. Also Read: SC orders demolition of Supertech twin towers in Noida; observes construction was illegal as consent of buyers not takenThey had also said that the builder should be ordered to disclose the details of all common areas along with calculation of each apartment area and proportionate common area and refund the excess amounts of super area charged, if any, to each apartment owner and to conduct the elections for appointment of the governing body in the complex. The NCDRC order said that the issue of RWA needs to be pursued by the buyers as per the statutory provisions in the appropriate forum. As for the defects in construction of the apartments and towers in the project, M3M India Private Limited and Consolidate Realtors Private Limited have been directed to appoint statutory approved architect and engineer within 15 days, who will then submit a report within one month on the actual position on ground with respect to what was proposed in the agreement and they would have to carry out such changes/ rectification as recommended within four months of receipt of this report. On the issue of EDC/IDC, they have been directed to get the account of receipt and expenditure vetted by a chartered accountant within one month and return the excess fund, if any collected, from the flat owners. "
1,The Bureau of Indian Standards issues performance standards for electric vehicle batteries,business," The Bureau of Indian Standards (BIS) has come out with performance standards for electric vehicle batteries in order to ensure the safety of consumers, a senior consumer affairs ministry official said on Thursday. BIS, the national standards-setting body that functions under the consumer affairs ministry, has published the ""performance standards for electronic vehicle batteries"", the official said. The standard ""IS 17855: 2022"" has been formulated for lithium-ion traction battery packs and systems of electrically-propelled road vehicles and it has been harmonized with ISO 12405-4: 2018, the official added. According to the official, the new EV batteries' standard incorporates the test procedure for the basic characteristic of performance, reliability and electrical functionality for the battery packs and system for either high power or high energy application. This standard is formulated considering real-life scenarios for an electric vehicle such as vehicle in parking (battery is not used for an extended period of time), the battery system is being shipped (stored), operating battery at low and high temperature etc., accordingly various tests are incorporated in this standard. Electric vehicles operate on an electric motor and rechargeable batteries. Over the past decade, electric vehicles have grown in terms of visibility and availability in the market. Most electric vehicles use lithium-ion batteries because of their high power-to-weight ratio."
2,India's Russian oil imports jump 50 times; now accounts for 10% of all import: official,business," India's crude oil imports from Russia have jumped over 50 times since April and now make up for 10 per cent of all crude bought from overseas, a senior government official said on Thursday. Russian oil made up for just 0.2 per cent of all oil imported by India prior to the Ukraine war. ""Russia oil now makes up 10 per cent of India's oil import basket in April. It is now among the top 10 suppliers,"" the official told reporters here. As much as 40 per cent of the Russian oil has been bought by private refiners – Reliance Industries and Rosneft-backed Nayara Energy. Last month, Russia overtook Saudi Arabia to become India's second-biggest supplier of oil behind Iraq as refiners snapped up Russian crude available at a deep discount following the war in Ukraine. Indian refiners bought about 25 million barrels of Russian oil in May. Russian-origin crude accounted for 10 per cent of India's total seaborne imports in April for the first time, rising from 0.2 per cent throughout 2021 and Q1 2022. India, the world's third-biggest oil-importing and consuming nation, has long defended purchases of crude oil from Russia following President Vladimir Putin ordering the invasion of Ukraine. The Oil Ministry had last month stated that ""energy purchases from Russia remain minuscule in comparison to India's total consumption."" Iraq remained the top supplier to India in May and Saudi Arabia is now the third biggest supplier. India has taken advantage of discounted prices to ramp up oil imports from Russia at a time when global energy prices have been rising. After the US and China, India is the world's third-largest consumer of oil, over 85 per cent of which is imported. Following its invasion of Ukraine, there are now fewer buyers for Russia's Ural crude oil, with some foreign governments and companies deciding to shun Russian energy exports, and its price has fallen. Indian refiners have taken advantage of this and bought Russian crude oil at discount as high as USD 30 per barrel. Earlier, the crude was disadvantageous because of the high freight cost."
3,Binance signs NFT partnership with Cristiano Ronaldo,business," Binance, the world's biggest cryptocurrency exchange by trading volumes, said on Thursday it has signed a partnership with Cristiano Ronaldo for the promotion of NFTs. Earlier on Wednesday Binance named Joshua Eaton, a former Deputy U.S. Attorney in the Northern District of California, as the deputy general counsel of the world's largest cryptocurrency exchange. Eaton will be responsible for Binance's legal affairs, leading the support for global compliance, investigations and law enforcement coordination activities, the company said in a statement."
4,Dhruva Space to test satellite deployer onboard ISRO PLSV-C53 on June 30,business," Hyderabad-based space tech startup Dhruva Space Private Limited will be testing its satellite deployer which would be onboard an Indian Space Research Organisation (ISRO) launch vehicle (rocket) slated to launch on June 30. The startup will be testing its CubeSats satellite orbital deployer, which would be on board ISRO’s Polar Satellite Launch Vehicle C 53 (PSLV C53). PSLV-C53 is the second commercial mission of NewSpace India Limited (NSIL), a public sector undertaking of the Indian government and commercial arm of ISRO. Satellite orbital deployers are the mechanical casings in which CubeSats, nano satellites with the dimensions of 10 cm x 10 cm x 10 cm, sit when a launch takes place. Through the test, Dhruva intends to space qualify its satellite orbital deployer. “When an asset is space-qualified, it means that an asset meets the design and technical requirement for it to operate in the space environment,” a Dhruva Space Private Limited spokesperson explained. To ensure a smooth launch and stable deployment, Dhruva Space said that it has indigenously developed the systems for the orbital deployer keeping in mind that it has to be compatible with the PSLV. It would also be conducting in-orbit experiments using the PSLV Orbital Experimental Module (POEM). In March, Dhruva Space had signed an agreement with NewSpace India Limited regarding this. Speaking ahead of the PSLV C53 mission, Sanjay Nekkanti, CEO, Dhruva Space Private Limited, said, “The mission will demonstrate the in-house developed CubeSat Deployers ahead of the launch of our Satellite Missions, Thybolt-1 and Thybolt-2, onboard the PSLV C54 Mission.” The PSLV C53 mission follows the June 10 inauguration on IN-SPACe, an independent nodal agency under the Department of Space. The entity permits, regulates, promotes, hand-holds, monitors, and supervises space activities of Non-Governmental Private Entities (NGEs) in India."
5,Musk says Tesla's new car factories 'losing billions of dollars',business," Tesla Inc's new car factories in Texas and Berlin are ""losing billions of dollars"" as they struggle to increase production because of a shortage of batteries and China port issues, Chief Executive Elon Musk said in an interview published on Wednesday. ""Both Berlin and Austin factories are gigantic money furnaces right now. Okay? It's really like a giant roaring sound, which is the sound of money on fire,"" Musk said in an interview with Tesla Owners of Silicon Valley, an official Tesla-recognized club, in Austin, Texas, on May 31. The club divided its interview with Musk into three parts, the last of which was released on Wednesday. Musk said Tesla's Texas factory produces a ""tiny"" number of cars because of challenges in boosting production of its new ""4680"" batteries and as tools to make its conventional 2170 batteries are ""stuck in port in China."" read more ""This is all going to get fixed real fast, but it requires a lot of attention,"" he said. He said its Berlin factory is in a ""slightly better position"" because it started with using the traditional 2170 batteries for cars built there. He said the COVID-19-related shutdowns in Shanghai ""were very, very difficult."" The shutdown affected car production not only at Tesla's Shanghai factory, but also at its California plant, which uses some vehicle parts made in China, he said. read more Tesla plans to suspend most production at its Shanghai plant in the first two weeks of July to work on an upgrade of the site to boost output, according to an internal memo seen by Reuters. ""The past two years have been an absolute nightmare of supply chain interruptions, one thing after another, and we're not out of it yet,"" Musk said. Tesla's overwhelming concern, he said, is ""How do we keep the factories operating so we can pay people and not go bankrupt?"" Musk said early this month he had a ""super bad feeling"" about the economy and that the company needed to cut staff by about 10% and ""pause all hiring worldwide."" Earlier this week, he said a 10% cut in salaried staff at Tesla will occur over three months. read more Tesla earlier this year started production at the factories in Berlin and Texas, both of which are critical to the growth ambitions of the top electric car maker."
6,"Adanis donate Rs 60,000 crore for philanthropic causes to mark Gautam Adani’s 60th birthday",business," Gautam Adani -- who is counted among Asia’s richest – has, along with his family, pledged to donate Rs 60,000 crore for various philanthropic causes to mark his 60th birthday, which falls on June 24, and the centenary birth anniversary of his father Shantilal Adani. According to Forbes Real Time Billionaires' list, at present, Adani's net worth is nearly $95 billion. The corpus will be administered by the Adani Foundation, the Group said in a statement, adding that the charity will be used in sectors such as healthcare, education, and skill development. On our father’s 100thbirth anniversary & my 60thbirthday, Adani Family is gratified to commit Rs 60,000 cr in charity towards healthcare, edu & skill-dev across India. Contribution to help build an equitable, future-ready India. @AdaniFoundation pic.twitter.com/7elayv3Cvk  A Business Standard report quoted the Adanis as saying: “At a very fundamental level, programs related to all these three areas should be seen holistically and they collectively form the drivers to build an equitable and future-ready India. Our experience in large project planning and execution and the learnings from the work done by the Adani Foundation will help us uniquely accelerate these programs. This contribution from the Adani Family intends to draw upon some of the brightest minds that have a passion to make a difference in the Adani Foundation’s journey to do more towards fulfilling our ‘Growth with Goodness’ philosophy.”"
7,ONGC Videsh announces new oil discovery in Colombia,business," ONGC Videsh Limited (OVL), the wholly-owned subsidiary and overseas arm of Oil and Natural Gas Corporation Ltd. (ONGC), on June 23 announced that it has made an oil discovery in the Llanos Basin region of Colombia. The company, in its press release, said, it has made an ""oil discovery in the recently drilled well, Urraca-IX, in CPO-5 block, Llanos Basin, Colombia. Well, Urraca-1X was spudded on 20th April 2022 and drilled to target depth (TD) of 10956 ft., encountering 17 ft thick oil-bearing sands at a depth from 10201ft -10218 ft. During initial testing with Electrical Submersible Pump (ESP), fluid flowed @ approx. 600 bbl./day with around 40-50% W/C and oil of 16oAPI. Oil discovery in the Lower Mirador play in this well opens up new areas for further exploration in the northern part of the block."" ONGC Videsh had earlier discovered oil in the blocks Mariposa and Indico fields, which are currently commercially producing 20,000 bbl of oil per day. The oil was discovered in 2017 and 2018, respectively. Block CPO-5 was awarded to ONGC Videsh Limited in 2008. ONGC holds 70 percent of the participating interest (PI) and operatorship of the Block and its partner Geopark holds the remaining 30 percent, according to the release. With three other exploratory blocks in the nation and joint ownership of the oil-producing company Mansarovar Energy Colombia Ltd, ONGC Videsh has a significant presence in the oil & gas sector in Colombia (MECL). Petrol & Diesel Rates Yesterday Wednesday, 22nd June, 2022 Petrol Rate in Mumbai Yesterday Wednesday, 22nd June, 2022 Diesel Rate in Mumbai Yesterday"
8,Moneycontrol Pro Panorama | Financial innovation: RBI walks a tight rope,business," Dear Reader, The Panorama newsletter is sent to Moneycontrol Pro subscribers on market days. It offers easy access to stories published on Moneycontrol Pro and gives a little extra by setting out a context or an event or trend that investors should keep track of. What’s fintech? It’s subprime lending on an app — that’s American investment manager Jim Chanos, who perhaps made the remark not entirely in jest. Financial innovation is under fire, in India and other parts of the world as well. Locally, fintech companies are scrambling to make sense of a Reserve Bank of India circular that said loading credit lines into prepaid payment instruments (PPIs) such as wallets and prepaid cards is not permitted. Now PPIs can be loaded with cash, a debit from your bank account, a debit card and even a credit card. On the face of it, one is tempted to ask what’s the big deal – if you can load a PPI using a credit card, why not a credit line provided by a regulated lender? But it seems that the regulator is worried about financial stability and unregulated lending. In a regular credit card, KYC (know your customer) norms are handled by the card issuing bank. In the new business models, KYC is done by the fintech company while the credit line is provided by a bank, or more often, by a non-bank finance company. There is some confusion since the RBI circular said the norms applied to non-bank PPIs. However, there are cases, where a bank-issued PPI (eg. Slice card) are backed by a credit line from an NBFC. RBI, of course, is not comfortable with NBFCs getting into the credit card business. Nor does it seem to have much confidence in the underwriting models employed by fintech companies. Moreover, there are also murmurs that some of the fintechs which are lending aggressively do not report transactions to credit bureaus, all of which can lead to instability building in the system without anyone realising it. If that is the case, the whole Buy Now Pay Later (BNPL) gig would become a case for scrutiny. It is one of the fastest growing sectors in the fintech industry. Credit is also seen as a key avenue for profitability among fintech companies since very few make money from payments. While these are early days yet, data from TransUnion Cibil show that BNPL users have higher delinquency rates on credit products compared to users of other forms of unsecured credit such as personal loans, consumer durable loans and so on. The regulator has to walk a tight rope. On one hand, it doesn’t want to stifle innovation. Quite often, products such as BNPL bring new customers into the formal financial system and help them set up a credit history. As Kotak Institutional Equities points out, such innovation then helps banks build scale where they let off, since they have access to low cost funds. The brokerage cites the examples of housing finance to self-employed, commercial vehicle finance and so on, where traditional NBFCs offered new products before banks built scale. On the other hand, there is the question of financial instability, something which no regulator can take lightly. It is not an easy task and Governor Shaktikanta Das said as much in a recent speech: “Large scale use of new methodologies in credit risk assessment can create systemic concerns like over-leverage, inadequate credit assessment, etc. Authorities and regulators have to strike a fine balance between enabling innovation and preventing systemic risks.” In the same speech, the governor also talked about decentralised finance (DeFi) and the unique challenges it posed to regulators. Perhaps, he need not worry so much, at least on this count. The goal of DeFi is to get rid of third parties involved in financial transactions and do away with a centralised governance body. The cryptocurrency crash has exposed the hollowness of such claims as several “Crypto networks that pledged to put users in control have put themselves in charge”, says this article from the FT. Moneycontrol Pro subscribers can read it for free here. Why this attractively valued turnaround IT play merits a look Gland Pharma: Inorganic opportunity a key watch in near term What else are we reading? Will macro headwinds dampen animal spirits in the domestic investment cycle? The Red Queen, nihilists and other insights from the MPC minutes Rates, recession, war and markets: A Reappraisal Clouds over steel stocks have darkened Start-up Street: Lessons from the bursting of the Edtech bubble Crypto Conversations | How NFTs are supporting Ukraine's cause in the war against Russia Looming US recession need not break the back of Indian IT The art of options adjustments IEA chief warns Europe to prepare for total shutdown of Russian gas exports (republished from the FT)"
