,topic,category,content
0,What’s good for India is good for HUL: Chairman Nitin Paranjpe at 89th AGM,companies," Nitin Paranjpe, the chairman of FMCG major Hindustan Unilever (HUL) on June 23 outlined the company’s goals going forward in India and stressed on the need for equitable and inclusive growth in India that is both productivity and employment led. “HUL has been an integral part of India’s growth story over the years and has always believed that what is good for India is good for the company,” he said addressing the shareholders at HUL 89th Annual General Meet (AGM). This was Paranjpe’s first AGM after taking over as the chairman of the company. As its parent Unilever undergoes major restructuring, HUL in February separated the positions of chairman of the board and the CEO and managing director of the company and appointed Nitin Paranjpe as its non-executive chairman and non-executive director, effective March 31. The company’s erstwhile chairman Sanjiv Mehta continues to serve as the CEO and MD of the company. The India opportunity Paranjpe’s speech titled ‘serving India today and tomorrow’ addressed the challenges of inequality of wealth, and poverty and said the India growth story needs to be built by transforming rural India, accelerating the growth of medium, small and micro enterprises (MSMEs), building strong infrastructure, creating a competitive edge in manufacturing, ensuring women’s participation in the workforce and deft management of the environment. “One of the biggest drivers will be the transformation of rural India. Today, nearly 60 percent of the country’s population depends on agriculture, and yet, agriculture and allied sectors only contribute about 19 percent to the country’s GDP,” Paranjpe said. According to the chairman, agriculture needs productivity-led growth, so that the sector can contribute significantly by improving output. “Hypothetically, we need to aim for 30 percent of those engaged in agriculture to produce what 60 percent or more do today.” Paranjpe also stressed that the country needs to ensure that there are ample employment opportunities in other sectors to phase people out of agriculture. The chairman similarly outlined the potential of MSMEs in driving further growth in India not only supplementing the country’s GDP, but by also providing for one of the highest employment to turnover ratios. He further lauded government initiatives to create India as a manufacturing hub and strengthening the infrastructure in the country. “Initiatives such as ‘Housing for All’, ‘Smart Cities Mission’; setting up of the National Bank for Financing Infrastructure and Development and the Rs 100 lakh crore master plan for multi-modal connectivity are all steps in the right direction,” he added. However, he added, the country needs to address gender gap in the society to meet its full economic potential. “A McKinsey study estimates that India has the highest relative potential for additional GDP growth from achieving gender equality – as much as $700 billion. However, in the current scenario, according to the International Labour Organisation (ILO), India has one of the highest gender gaps with less than 20 percent women participation in the labour force. We have a long way to go to meet the global average of over 45 percent,” Paranjpe said addressing the shareholders. Maintaining ecological balance and next generation policy reforms like GST and Insolvency and Bankruptcy Code were other important measures shared by Paranjpe to drive growth in the country. HUL’s gameplan for India Paranjpe said HUL will continue on its mission to serve India going ahead as the company recognises that it is the role of business to not just create economic value but also to generate social value, and to do so in a sustainable way. “With more than 9 out of 10 Indian households using one or more of our brands, we realise that we have the power to impact the lives of our consumers,” he added. According to the chairman, through several initiatives, HUL has been addressing challenges like water scarcity, livelihood opportunities, employability, health and sanitation among others. The company will continue to serve India, however Paranjpe added, it is important to understand the impact of the pandemic on the country. “For instance, people are now demanding products that not only deliver functional benefits but are also good for the planet and for people. Forecasters are predicting a new `green awakening’ and increased `climate literacy’ among consumers especially after the fragility of the planet was exposed during the pandemic,” he said. Paranjpe outlined the need to tap digital as well as the offline medium as consumers shop across channels. “Brands need to be present everywhere and communicate consistently to stay top of mind. But that’s not all. In a nation of paradoxes, critical to unlocking value is de-averaging – we will need to win in rural as well as urban, in mass as well as premium, in traditional as well as digital,” he added. As HUL tries to leverage the India opportunity, the company is striving to build an intelligent enterprise, focusing on environmental sustainability build more resilient and equitable communities by raising living standards. He highlighted initiatives such Shikhar, the company’s B2B app which helps retailers track and place orders and now reaches over 8 lakh outlets and its tech-driven Dapada manufacturing unit that became the first FMCG factory in India to join the World Economic Forum’s Global Lighthouse Network. Paranjpe also reaffirmed HUL’s resolve to achieve net-zero emissions for all its products from sourcing to point of sale by 2039. “We have eliminated CO emissions from 2 thermal energy in our operations by replacing coal with greener alternatives such as biomass and biodiesel. By 2030, we will move away from fossil fuel-derived chemicals in our cleaning and laundry products, unlocking new ways of reducing our carbon footprint,” he added. In conclusion, he said HUL will continue to serve its consumers by leveraging technology across the value chain while taking care of people and the planet."
1,Nexon EV fire incident: Tata Motors says detailed investigation underway,companies," Tata Motors on Thursday said it is investigating the incident of a Nexon electric vehicle catching fire in Mumbai. Responding to the incident that has been widely shared on social media, Tata Motors in a statement said, ""A detailed investigation is currently being conducted to ascertain the facts of the recent isolated thermal incident that is doing the rounds on social media."" Further, it said, ""We will share a detailed response after our complete investigation. We remain committed to the safety of our vehicles and their users."" The company asserted, ""This is a first incident after more than 30,000 EVs have cumulatively covered over 1 million km across the country in nearly 4 years."" In the electric two-wheeler segment there have been many incidents of vehicles catching fire in the recent past. Electric two-wheeler makers such as Ola Electric, Okinawa Autotech and PureEV had recalled their scooters in the wake of separate fire incidents."
2,Chaayos raises $53 million for business expansion,companies," Tea cafe chain Chaayos on Thursday said it has raised USD 53 million (around Rs 414 crore) for tech-enhancement, hiring and store expansion as it plans to add 100 stores by the end of this year. The company said the funding round was led by Alpha Wave Ventures with participation from all existing investors -- Elevation Capital, Tiger Global and Think Investments. New funds will be used for tech-enhancement, hiring and store expansion, it said in a statement. Founded in 2012 by Nitin Saluja and Raghav Verma, Chaayos runs 190 stores across 6 cities and plans to add another 100 by the end of 2022. At Chaayos, guests can personalize their fresh cup of 'chai' in 80,000 combinations and Chaayos IoT-enabled tea bots called Chai Monks, make this possible. It said the company's facial recognition software enables faster checkouts and payments. The latest capital raise will help us deepen our technology investments to further enhance our guest experience and build a ubiquitous brand that is an integral part of the Indian society over decades to come. ""Like always, we will continue to grow our cafe footprint and go deeper into the cities we are present in and explore new markets. We are also continuously on the lookout to hire talent to handle the scale that we aspire for,"" Saluja said."
3,Clouds over steel stocks have darkened,companies," Iron ore prices are sending a signal that distress may lie ahead for the steel sector. The industry outlook had already dulled in 2022 due to a series of setbacks, including rising energy costs, China’s real estate slowdown, the Russia-Ukraine war’s impact on demand and central banks hitting the brakes on easy monetary policy, a course correction that will slow the world economy.
But all of this was already known. In fact, in India, matters had turned worse after the government imposed..."
4,Storyboard18 | Nipun Kaushal joins YES Bank as Chief Marketing Officer,companies," YES Bank has appointed Nipun Kaushal as the chief marketing officer for the bank, where he will be responsible for the marketing and corporate communication functions and develop comprehensive marketing and communication strategies that will support the overall strategic objectives of the bank. Reporting to Rajan Pental, Global Head – Retail Banking, at the bank, Kaushal will also be involved in accelerating the CSR initiatives to position YES Bank as a leading socially responsible organisation. He takes over from Jasneet Bachal who quit in April this year to start her entrepreneurial journey. Before joining YES BANK, Kaushal was the CMO for PNB Metlife Insurance and was responsible to develop and deliver business strategy and build a ‘Customer First’ culture. He was involved in the launch of rebranding activity for PMLI and re-crafted the brand strategy. He is a seasoned marketing professional with over 22 years of experience in the financial services and automobile industry. Prashant Kumar, MD and CEO, YES BANK said, “We are sure that with his expertise and domain knowledge, he will play an instrumental role in this transformational journey of the Bank. With Nipun’s appointment as the Chief Marketing Officer, the brand will rely on him to leverage his capability of storytelling and brand building to help the Bank usher in the next level of growth and increase customer delight.” "
5,Uber is said to have explored a sale of Indian ride-hailing arm,companies," Uber Technologies Inc. explored options for its Indian ride-hailing business, including a sale, but suspended discussions after tech startup valuations cratered, people familiar with the matter said. The US company began weighing alternatives and reached out to several interested parties after recognizing it had limited potential for profitable expansion in the country, the people said, asking not to be named as the information is not public. It pondered a stock swap with local companies or even a pullout, before a global equity market rout upended plans, the people added. A stock deal was favored in exploratory talks as that would allow Uber to retain a foothold in India, the people said. Uber and its local-rival Ola had been struggling to eke out a profit in a rapidly growing but price-sensitive market, where constant driver attrition was pressuring margins. A sale to a local operator could have mirrored similar deals it struck with Didi Global Inc. in China and Grab Holdings Ltd. in Southeast Asia, where Uber ceded the markets but kept an equity stake in the dominant local player to tap future growth. The maneuvers ended costly turf wars waged with driver incentives and cash subsidies. Uber disputed the idea it had considered retreating from India. “Bloomberg’s reporting is categorically false. We have never explored exiting India — not even for a minute,” company spokesperson Ruchica Tomar said in an emailed statement. Uber remains committed to India and continues to hire people “aggressively.” Uber, whose shares have gyrated wildly since its 2019 IPO, has hived off money-losing businesses to achieve its goal of being consistently profitable. In May, it delivered a positive outlook for earnings, signaling the company plans to capitalize on robust ride demand without compromising profits by focusing on product changes, rather than incentives, to address a driver shortage. India and Japan are the sole major remaining Asian markets for Uber, which has scaled back sharply since the tumultuous days of former chief Travis Kalanick. The San Franciso-based company started services in India in 2013 and now offers ride-hailing in almost 100 cities across the country, its website showed. Conversations around an India deal had been preliminary and the company could decide not to revisit those options, the people said."
6,"Vodafone Idea defers Rs 8,837 crore AGR dues payment, gets option to pay interest via equity",companies," Debt-ridden telecom operator Vodafone Idea has decided to defer payment of additional adjusted gross revenues of Rs 8,837 crore dues by a period of four years. The company in a late night filing on June 22, said that the DoT on June 15, has raised adjusted gross revenue (AGR) demand for additional two financial years beyond 2016-17, which were not covered under the Supreme court order on the statutory dues. Vodafone Idea (VIL) in the filing said that its board of directors ""has approved the exercise of the option of deferment of the AGR related dues by a period of four years with immediate effect, in accordance with the said DoT Letter. The amount of the AGR related dues as stated in the said DoT Letter is Rs 8,837 crores which is subject to revision on account of disposal of various representations"". The government calculates its share of revenue from telecom operators based on their AGR, which is considered to have been earned by them from the sale of services. VIL filing said that the DoT has offered the company a moratorium of four years for all AGR related dues up to Financial Year 2018-19, which were not included in Supreme Court order dated September 1, 2022 which can be exercised within a period of 15 days by June 30. ""The said DoT Letter also provides the Company an option for equity conversion of interest dues upfront for these AGR related dues for which a period of 90 days has been provided from the date of the said DoT Letter,"" VIL said. The company said the fresh demand of Rs 8,837 crore is subject to revision on account of disposal of various representations, CAG, special audit and any other outcome of litigation and ""the final amount to be paid in six equal annual instalments post moratorium period starting from March 31, 2026"". The government has already approved Vodafone Idea's proposal to convert about Rs 16,000 crore interest payment dues of previous AGR moratorium into around 33 per cent stake in the company. According to official data, telecom operators owe over Rs 1.65 lakh crore to the government in adjusted gross revenue up to financial year 2018-19. The fresh calculation shows AGR liability on Bharti Airtel was Rs 31,280 crore, Vodafone Idea Rs 59,236.63 crore, Reliance Jio Rs 631 crore, BSNL Rs 16,224 crore, MTNL Rs 5,009.1 crore up to financial year 2018-19. The company in a separate filing said that its board has approved raising of Rs 436.21 crore from Vodafone Group company Euro Pacific Securities through issue of preferential share at a unit price of Rs 10.2 apiece or warrants at the same price."
7,"Tata Steel plans low CO2 steel-making technologies in UK, Netherlands",companies," Tata Steel is working on a plan for transition to low carbon technologies for making steel in the UK and the Netherlands. In October 2021, Tata Steel completed the process of separating Tata Steel UK and Tata Steel Netherlands as two independent companies from Tata Steel Europe. Both, Tata Steel UK and Tata Steel Netherlands have been developing detailed plans for transition to low CO2 technologies in line with the company's goal to produce CO2-neutral steel by 2050 in Europe, company's CEO & MD T V Narendran and Executive Director & CFO Koushik Chatterjee said. ""In Tata Steel Netherlands, we plan to gradually phase out our blast furnaces and coal over the next 10 years by replacing them with a combination of Direct Reduced Iron (DRI) technology based on hydrogen, and electric furnaces,"" the executives said in the company's annual report for 2021-22. In the Netherlands, the company has a capacity of 7 MTPA. According to the company, Tata Steel UK also produces steel through blast furnaces and basic oxygen furnace routes, and has an annual capacity of 5 million tonne per annum (MTPA). According to the company, Tata Steel UK also produces steel through blast furnaces and basic oxygen furnace routes, and has an annual capacity of 5 million tonne per annum (MTPA). Speaking on the India operations, the company said, ""Based on our assessment of the opportunities in the Indian market, we will calibrate our growth plans and timing for implementation. We are currently focussed on completing our expansion project in Kalinganagar to create a state-of-the-art 8 MTPA site."" During 2022-23, Tata Steel will be commissioning a pellet plant, which is 70 per cent complete, and the phase-wise commissioning of the cold rolling mill complex, starting with the pickling line and the cold rolling mill. Both are margin expansionary projects as part of the overall expansion project in Kalinganagar. This expansion in Kalinganagar is focussed on higher value-added products including plates, coated products, advanced high strength steels and products for newer applications. As part of its mid-term plan, capacity addition in India using scrap Electric Arc Furnace (EAF) route will also be set up to convert the collected and processed scrap into steel."
8,Why this attractively valued turnaround IT play merits a look,companies," The IT pack had a tough going on the bourses in the past three months and Zensar (CMP: Rs 265 Market Cap: Rs 5,997 crore) — the mid-sized IT company from the RPG stable — was no exception. It not only underperformed the Nifty but also the IT index, with a decline of close to 28 percent over this period.

After a lacklustre FY21, which was in sharp contrast to its peers, FY22 was sort of a turnaround year for..."
