,topic,category,content
0,India's Russian oil imports jump 50 times; now accounts for 10% of all import: official,economy," India's crude oil imports from Russia have jumped over 50 times since April and now make up for 10 per cent of all crude bought from overseas, a senior government official said on Thursday. Russian oil made up for just 0.2 per cent of all oil imported by India prior to the Ukraine war. ""Russia oil now makes up 10 per cent of India's oil import basket in April. It is now among the top 10 suppliers,"" the official told reporters here. As much as 40 per cent of the Russian oil has been bought by private refiners – Reliance Industries and Rosneft-backed Nayara Energy. Last month, Russia overtook Saudi Arabia to become India's second-biggest supplier of oil behind Iraq as refiners snapped up Russian crude available at a deep discount following the war in Ukraine. Indian refiners bought about 25 million barrels of Russian oil in May. Russian-origin crude accounted for 10 per cent of India's total seaborne imports in April for the first time, rising from 0.2 per cent throughout 2021 and Q1 2022. India, the world's third-biggest oil-importing and consuming nation, has long defended purchases of crude oil from Russia following President Vladimir Putin ordering the invasion of Ukraine. The Oil Ministry had last month stated that ""energy purchases from Russia remain minuscule in comparison to India's total consumption."" Iraq remained the top supplier to India in May and Saudi Arabia is now the third biggest supplier. India has taken advantage of discounted prices to ramp up oil imports from Russia at a time when global energy prices have been rising. After the US and China, India is the world's third-largest consumer of oil, over 85 per cent of which is imported. Following its invasion of Ukraine, there are now fewer buyers for Russia's Ural crude oil, with some foreign governments and companies deciding to shun Russian energy exports, and its price has fallen. Indian refiners have taken advantage of this and bought Russian crude oil at discount as high as USD 30 per barrel. Earlier, the crude was disadvantageous because of the high freight cost."
1,Moneycontrol Pro Panorama | Financial innovation: RBI walks a tight rope,economy," Dear Reader, The Panorama newsletter is sent to Moneycontrol Pro subscribers on market days. It offers easy access to stories published on Moneycontrol Pro and gives a little extra by setting out a context or an event or trend that investors should keep track of. What’s fintech? It’s subprime lending on an app — that’s American investment manager Jim Chanos, who perhaps made the remark not entirely in jest. Financial innovation is under fire, in India and other parts of the world as well. Locally, fintech companies are scrambling to make sense of a Reserve Bank of India circular that said loading credit lines into prepaid payment instruments (PPIs) such as wallets and prepaid cards is not permitted. Now PPIs can be loaded with cash, a debit from your bank account, a debit card and even a credit card. On the face of it, one is tempted to ask what’s the big deal – if you can load a PPI using a credit card, why not a credit line provided by a regulated lender? But it seems that the regulator is worried about financial stability and unregulated lending. In a regular credit card, KYC (know your customer) norms are handled by the card issuing bank. In the new business models, KYC is done by the fintech company while the credit line is provided by a bank, or more often, by a non-bank finance company. There is some confusion since the RBI circular said the norms applied to non-bank PPIs. However, there are cases, where a bank-issued PPI (eg. Slice card) are backed by a credit line from an NBFC. RBI, of course, is not comfortable with NBFCs getting into the credit card business. Nor does it seem to have much confidence in the underwriting models employed by fintech companies. Moreover, there are also murmurs that some of the fintechs which are lending aggressively do not report transactions to credit bureaus, all of which can lead to instability building in the system without anyone realising it. If that is the case, the whole Buy Now Pay Later (BNPL) gig would become a case for scrutiny. It is one of the fastest growing sectors in the fintech industry. Credit is also seen as a key avenue for profitability among fintech companies since very few make money from payments. While these are early days yet, data from TransUnion Cibil show that BNPL users have higher delinquency rates on credit products compared to users of other forms of unsecured credit such as personal loans, consumer durable loans and so on. The regulator has to walk a tight rope. On one hand, it doesn’t want to stifle innovation. Quite often, products such as BNPL bring new customers into the formal financial system and help them set up a credit history. As Kotak Institutional Equities points out, such innovation then helps banks build scale where they let off, since they have access to low cost funds. The brokerage cites the examples of housing finance to self-employed, commercial vehicle finance and so on, where traditional NBFCs offered new products before banks built scale. On the other hand, there is the question of financial instability, something which no regulator can take lightly. It is not an easy task and Governor Shaktikanta Das said as much in a recent speech: “Large scale use of new methodologies in credit risk assessment can create systemic concerns like over-leverage, inadequate credit assessment, etc. Authorities and regulators have to strike a fine balance between enabling innovation and preventing systemic risks.” In the same speech, the governor also talked about decentralised finance (DeFi) and the unique challenges it posed to regulators. Perhaps, he need not worry so much, at least on this count. The goal of DeFi is to get rid of third parties involved in financial transactions and do away with a centralised governance body. The cryptocurrency crash has exposed the hollowness of such claims as several “Crypto networks that pledged to put users in control have put themselves in charge”, says this article from the FT. Moneycontrol Pro subscribers can read it for free here. Why this attractively valued turnaround IT play merits a look Gland Pharma: Inorganic opportunity a key watch in near term What else are we reading? Will macro headwinds dampen animal spirits in the domestic investment cycle? The Red Queen, nihilists and other insights from the MPC minutes Rates, recession, war and markets: A Reappraisal Clouds over steel stocks have darkened Start-up Street: Lessons from the bursting of the Edtech bubble Crypto Conversations | How NFTs are supporting Ukraine's cause in the war against Russia Looming US recession need not break the back of Indian IT The art of options adjustments IEA chief warns Europe to prepare for total shutdown of Russian gas exports (republished from the FT)"
2,Indian economy to grow by 7-7.8% in FY23 despite global headwinds: Experts,economy," The Indian economy can grow by 7-7.8 per cent this fiscal on the back of better agriculture production and a revitalised rural economy amid global headwinds mainly due to the ongoing Russia-Ukraine war, eminent economists said. Eminent economist and BR Ambedkar School of Economics (BASE) Vice-Chancellor NR Bhanumurthy said at present Indian economy is facing multiple headwinds largely from external sources. Noting that global inflationary pressures and the Russia-Ukraine war have brought in risks to the economy, which is otherwise strong with all the domestic macro fundamentals being well managed, he said unlike advanced economies, India's Covid stimulus measures, especially the fiscal policy interventions, are less inflationary and rather growth-enhancing. ""With better agricultural production and revitalised rural economy India should touch 7 per cent growth in the current year despite global headwinds,"" Bhanumurthy told PTI. Echoing similar views, eminent economist and Institute for Studies in Industrial Development (ISID) director Nagesh Kumar said the high-frequency indicators point to a robust growth momentum carrying through 2022-23 with a real GDP growth somewhere between 7-7.8 per cent. French economist Guy Sorman said India could be severely impacted by the high cost of energy and fertiliser imports. ""However, because India is still, largely an agricultural economy, the social impact of slower growth will be tempered by city workers going back to their village. ""This could increase agricultural production and grain exports,"" Sorman added. The World Bank has cut India's economic growth forecast for the current fiscal to 7.5 per cent as rising inflation, supply chain disruptions, and geopolitical tensions taper recovery. India's economy grew 8.7 per cent in the last fiscal (2021-22) against a 6.6 per cent contraction in the previous year. In its third monetary policy of 2022-23, the Reserve Bank retained its GDP growth forecast at 7.2 per cent for the current fiscal, but cautioned against negative spillovers of geopolitical tensions and a slowdown in the global economy. On high inflation, Bhanumurthy said, CPI inflation peaked in March 2022 and a large part of the CPI inflation in the last three months is driven by fuel prices. ""Delayed transmission of domestic fuel prices and rise in global fuel and other commodity prices appears to have led to a sudden spurt in CPI inflation,"" he said, adding that recent policy measures, such as reduction in fuel taxes and hike in policy interest rates, should smoothen inflation and inflation expectations in the coming quarters. Kumar noted that the global headwinds of rising commodity prices do pose downside risks for the Indian economic outlook as the CPI levels are elevated. ""Yet, I do not think that India is heading towards stagflation, given that the growth momentum seems quite robust,"" Kumar argued. According to Sorman, inflation has become a global phenomenon, caused by unanimous poor money management, an excess of public expenses (largely justified to compensate for Covid-19), and low-interest rates. ""The monetary bubble is exploding everywhere. India is not different,"" he pointed out. Retail inflation eased to 7.04 per cent in May, mainly on account of softening food and fuel prices as the government and the RBI stepped in to control spiralling price rise by way of duty cuts and repo rate hikes. However, the inflation print stayed above the Reserve Bank's upper tolerance level of 6 per cent for the fifth month in a row. Asked whether India's economy is in a better place than eight years ago, Sorman said Prime Minister Narendra Modi was selected to fight public corruption and stimulate the Indian economy. ""Modi has, partially, of course, fulfilled his agenda. Most Indians are better off today than they were eight years ago,"" he said."
3,India reports 13.5% rise in engineering exports at $9.79 billion in May 2022,economy," India reported engineering exports at $9.79 billion in May 2022, recording a growth of 13.5 percent over the $8.62 billion reported in the same month a year ago, while the country saw its cumulative engineering exports growing by 16.84 percent at $19.39billion ($16.6 billion) during April-May 2022 period. Though exports to China declined by 52 percent to $217.4 million in May, down from $451.7 million in the same month a year ago, India saw its engineering exports to the United States surging 63.2 percent at $1.81 billion in May, up from $1.11 billion a year ago. Germany, Singapore, the UK, Italy, and Thailand were among the countries that recorded positive growth in the import of engineering goods from India during May. The top 25 countries contributed nearly 75 percent of total engineering exports from India. North America and the European Union were the regions that reported maximum growth in exports from India in both monthly and cumulative terms, according to the data released by the Engineering Exports Promotion Council (EEPC) of India on June 23. Engineering exports accounted for 25.14 percent of total merchandise exports of India in April-May 2022, up from 24.64 percent reported in the same period a year ago. Though India saw its engineering exports growing so far in the current fiscal, concerns still remain, said Mahesh Desai, chairman of EEPC India. “One of the biggest concerns is the Russia-Ukraine war that has severely hampered shipments to CIS nations and may have a ripple effect on the global economy.” Further, Desai viewed that the resurgence of COVID-19 and subsequent damage to business prospects in some industrial cities may also adversely impact the global trade scenario. “Rising oil and commodity prices have added to the uncertainty. A sharp depreciation of rupee, although can help exports, for the time being, continuous weakening may be damaging for the economy,” said Desai, adding that the signing of new free trade agreements with UAE and Australia and ongoing negotiations with a number of developed nations may help exports from India to rise. As per the data of EEPC India, 28 out of 34 engineering panels witnessed positive year-on-year growth in exports during April-May 2022 over the same period a year ago. In May 2022, the exports of iron and steel and its products saw a 16 percent growth to $2.63 billion, up from $ 2.26 billion a year ago. Exports of non-ferrous metals and products rose 21 percent year-on-year to $1.31 billion, while exports of industrial machinery jumped 33 percent to $ 1.58 billion ($ 1.19 billion) in May 2022."
4,"MPC members can start with near-term interest rate forecasts, says Jayanth Varma",economy," Jayanth Varma, one of the three external members of the Reserve Bank of India's Monetary Policy Committee (MPC), has said the rate-setting panel's members should start taking the first steps to providing interest rates projections by initially giving their individual views on where they see the policy rate in the near-term. ""I believe it is possible to start with baby steps and proceed gradually towards the desired goal,"" Varma told Moneycontrol via e-mail. ""It is possible to start with projections only for the next quarter and slowly expand the horizon. It is possible to begin with broad ranges for the policy rate and then progressively refine the range. These are all matters of implementation detail. The important thing is to have a consensus on whether this is worth doing."" Varma's comments come after he was cited as saying in the minutes of the June 6-8 meeting, released on June 22, that the time was ""ripe"" for the committee's members to start moving towards providing projections of the future path of the policy rate. This, according to the Indian Institute of Management-Ahmedabad professor, would help in stabilising long-term bond markets and anchor inflation expectations. The MPC increased the repo rate by 40 basis points in an unscheduled meeting on May 4 and by 50 basis points on June 8, leading to speculation over how many rate hikes will be announced to curb inflation. Economists expect the repo rate to be anywhere between 5.5 percent and 6 percent by the end of FY23. India's headline retail inflation rate was 7.04 percent in May, according to data released earlier this month. The rate has exceeded the medium-term target of 4 percent for 32 consecutive months. It was also the fifth month in a row that inflation was higher than the 6 percent upper limit of the 2-6 percent inflation mandate of the RBI. The central bank's latest forecasts suggest it will fail to meet its inflation mandate later this year. Fed's forecasts The most famous set of interest rate forecasts comes from the US Federal Reserve. These projections, popularly called the dot plot, detail the Federal Open Market Committee (FOMC) members' – voting and non-voting – assessment of the appropriate mid-point of the federal funds rate target range at the end of the current and upcoming couple of calendar years as well as in the longer run. The latest projections, released on June 15, showed the median forecast of FOMC members was that the federal funds rate target range would be 3.25-3.50 percent by the end of 2022. In March, the forecast was 1.75-2.00 percent. The US Federal Reserve's dot plot is a key monetary policy guide for financial markets, who often alter their expectations of future interest rate action after seeing changes in the dot plot. While the US central bank publishes these interest rate forecasts – along with those for GDP growth, unemployment rate, inflation, and core inflation – four times a year, the RBI publishes only an inflation and growth forecast six times a year. However, the RBI's inflation forecasts have come under fire over the years – initially for being overestimates and more recently, underestimates. According to Abhiman Das, now a professor at Indian Institute of Management-Ahmedabad after spending over 20 years in the RBI's statistics department working closely on its inflation forecasts, the lack of independent examination of the central bank's analysis by the MPC's external members is a big worry. ""The external members right now come and sit at the RBI for two-three days,"" Abhiman Das told Moneycontrol last month. ""Whatever the RBI staff come and tell them becomes the projection. But who says that projection is right?"" According to Varma, ""a lot of preparation and hard work"" is needed from the RBI and the MPC members to come out with interest rate forecasts. ""The MPC statement does include fan charts of projected inflation and growth which provide information about both the expected path as well as the range of uncertainty. Individual members' views might reflect different nuances,"" Varma told Moneycontrol."
5,"Africa must end food, pharma import dependence, African Development Bank president says",economy," Africa must wean itself off dependence on food and medicine imports, the president of the African Development Bank (AfDB) said, as the institution approved creation of a pharmaceutical tech foundation and began processing requests for food relief. Africa was hit hard by the economic fallout from the coronavirus pandemic. Now, as many countries are still struggling to rebound, they are facing rising inflation and food shortages aggravated by the war in Ukraine. ""Africa should not allow itself to be vulnerable in excessively depending on others, whether it is for vaccines or whether it is for food,"" AfDB president Akinwumi Adesina told Reuters on the sidelines of a meeting of Commonwealth leaders in Kigali. ""The fact is that when you are dependent on others, you are also very highly vulnerable to any shock of any kind."" The bank last month approved a $1.5 billion financing facility for emergency food production, with the aim of averting a looming food crisis. The funds are meant to help 20 million farmers produce 38 million tonnes of food. Adesina said the bank had already received requests from countries to draw on the fund. ""Once those things come to our board, they are swiftly reviewed and approved, and the money is out at the door,"" he said. Meanwhile, the AfDB's board this week approved the creation of a new Africa Pharmaceutical Technology Foundation. Adesina said the foundation would allow Africa to leverage intellectual property rights, protected technologies and innovations to expand Africa's pharmaceutical and vaccine manufacturing sectors. ""Africa imports 80% to 90% of all its medicines for a population of 1.3 billion people. We cannot and we must not outsource the health security of Africa to the benevolence of others,"" he said. The World Trade Organization last week agreed on a partial waiver of intellectual property rights to allow developing countries to produce and export COVID-19 vaccines."
6,"Investment through participatory notes declines to Rs 86,706 crore in May",economy," Investment in the Indian capital markets through participatory notes (P-notes) dropped to Rs 86,706 crore till May-end from the preceding month, while experts say foreign investors will reverse their selling stance and return to the country's equities in the coming 1-2 quarters. P-notes are issued by registered Foreign Portfolio Investors (FPIs) to overseas investors who wish to be a part of the Indian stock market without registering themselves directly. They, however, need to go through a due diligence process. According to Securities and Exchange Board of India (Sebi) data, the value of P-note investments in Indian markets -- equity, debt, and hybrid securities -- stood at Rs 86,706 crore at May-end compared to Rs 90,580 crore at April-end. In March, the investment was at Rs 87,979 crore. It was Rs 89,143 crore in February and Rs 87,989 crore in January. Of the total Rs 86,706 crore invested through the route till May 2022, Rs 77,402 crore was invested in equities, Rs 9,209 crore in debt, and Rs 101 crore in hybrid securities. In comparison, Rs 81,571 crore was invested in equities and Rs 8,889 crore in debt during April. ""In terms of ODI (offshore derivative instruments) in equity and debt, we have reached back to the levels of December 2020. ""However, if we look forward from here, most of the pain is factored in with the increase in 10-year bond yields, and equity markets showing significant drawdown,"" said Divam Sharma, founder at Green Portfolio, a portfolio management service provider. There is still an uncertainty around inflation levels and the US Federal Bank's actions. Besides, currency correction has happened to a large extent. ""Equity markets are offering some attractive valuations at these levels and the supply chain, and inflation issues should begin to subside over the coming months. Markets usually move ahead of the economic cycle and we believe that over the coming 1-2 quarters, we should see FPIs coming back to allocating capital towards Indian equities,"" he added. In line with decline in P-notes investment, the assets under the custody of FPIs dropped by 5 per cent Rs 48.23 lakh crore at May-end from Rs 50.74 lakh crore at April-end. Sharma attributed a large part of this reduction to the market correction in equity and debt portfolios. Meanwhile, foreign investors withdrew nearly Rs 40,000 crore from Indian equities and Rs 5,505 crore from the debt markets last month on fears of an aggressive rate hike by the US Fed that haunted such investors and dented sentiments."
7,IEA chief warns Europe to prepare for total shutdown of Russian gas exports,economy," David Sheppard, Energy Editor

The International Energy Agency has warned that Europe must prepare immediately for the complete severance of Russian gas exports this winter, urging governments to take measures to cut demand and keep ageing nuclear power stations open.

Fatih Birol, the head of the IEA, said Russia’s decision to reduce gas supplies to European countries in the past week may be a precursor to further cuts as Moscow looks to gain “leverage” during its war with Ukraine.

“Europe should be..."
8,Cryptocurrency fallout delivers sharp kick to decentralised finance dreams,economy," Scott Chipolina in London

Crypto networks that pledged to put users in control have put themselves in charge as they try to survive the deepening crisis gripping the digital asset market.

In the past week, three decentralised finance groups have stepped in with emergency plans to protect their projects and users from economic pain in the face of tumbling cryptocurrency prices.

The three platforms — Maker DAO, Bancor and Solend — are not household names. But they are prominent in the world..."
