,topic,category,content
0,Stocks rally as euro leaps on likely rate hikes,markets," U.S. and European stocks mostly rallied on Monday, with the S&P 500 trading just above bear market territory, while the euro jumped after the European Central Bank said it was likely to lift its deposit rate out of negative territory by September. Oil prices slid and gold extended recent gains, but the dollar fell further as investors cut their bets on more advances in the greenback based on market expectations of yields moving higher still from Federal Reserve monetary tightening. The MSCI all country world index gained 1.14%, though it was still down about 17% from its record high in January, and the pan-European STOXX 600 index was up 0.99%. Stocks on Wall Street also gained, though the Nasdaq lagged after it briefly traded in the red. The Dow Jones Industrial Average rose 1.65%, the S&P 500 gained 1.33% and the Nasdaq Composite added 0.76% in choppy trade. Value stocks rose 1.49%, or more than the 1.15% gain in growth stocks. Stock investors are under the illusion that the Fed will rescue the market from further decline by easing monetary policy, or what has become known as the Fed ""put,"" said Steven Ricchiuto, U.S. chief economist at Mizuho Securities. ""It's going to be a very, very sluggish growth environment and the Fed's not going stand in the way of it,"" Ricchiuto said. ""You're seeing the bond market go down in yield. That's been saying to the equity market that the put isn't there and therefore the equity market needs to adjust as well."" The yield on 10-year Treasury notes was up 5 basis points at 2.837%, but almost 40 basis points lower than a multi-year high of 3.203% set two weeks ago. The focus in Europe was on ECB President Christine Lagarde, who accelerated an already sharp policy turnaround from all but ruling out rate hikes to now pencilling in several in the face of record-high euro zone inflation. read more ""The doves are throwing in the towel,"" said Holger Schmieding of Berenberg bank, adding that he expects ECB rate hikes of 25 basis points in July, September and December. A survey from the Ifo institute on Monday showed that German business morale unexpectedly rose in May, helping to calm investors for now, at least. ""I don't think we have reached rock bottom yet, it's a bear market rally. The market is still pretty concerned about sticky inflation,"" said Michael Hewson, chief markets analyst at CMC Markets. The World Economic Forum holds its first in-person meeting in two years in Davos, Switzerland over the coming four days, with central bankers and the International Monetary Fund participating in panels on the outlook for economies and inflation. The World Economic Forum holds its first in-person meeting in two years in Davos, Switzerland over the coming four days, with central bankers and the International Monetary Fund participating in panels on the outlook for economies and inflation. The dollar index , which tracks the greenback against a basket of other major currencies, was down 0.729%. The index rose by about 16% to a two-decade high over the 12 months to mid-May. ""The dollar may be carving out a peak, given Europe's resilience to the energy shock and potential easing of lockdowns in China,"" said Commonwealth Bank of Australia strategist Joe Capurso. Asian stocks fell as investors worried inflation and rising interest rates would hamper the global economy's performance. MSCI's broadest index of Asia-Pacific shares outside Japan (.MIAPJ0000PUS) was slightly weaker. U.S. crude fell 0.91% to $109.28 per barrel and Brent was at $112.02, down 0.47% on the day. Spot gold added 0.5% to $1,854.00 an ounce. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
1,Bulk Deals | Sixth Sense India Opportunities III buys 4.2% stake in ADF Foods,markets," Sixth Sense Ventures' venture capital fund Sixth Sense India Opportunities III has acquired a 4.18 percent equity stake in ADF Foods via open market transactions on May 23. ADF Foods' share price settled at Rs 733.80, up 1.44 percent. Sixth Sense India Opportunities III bought 9.2 lakh equity shares in ADF Foods at an average price of Rs 700.67 per share. However, Authum Investment & Infrastructure sold 10 lakh shares at an average price of Rs 700.07 per share. Authum Investment & Infrastructure held 16.67 percent stake in the company as of March 2022. Among other deals, Nalanda India Equity Fund bought additional 62 lakh equity shares in Jyothy Labs at an average price of Rs 154.98 per share. However, EMBLEM FII exited the company by selling the entire 60,89,056 shares at an average price of Rs 155 per share. Nalanda India Equity Fund already held 86,21,439 equity shares (2.35 percent stake) in Jyothy Labs as of March 2022. The stock rallied 4.4 percent to close at Rs 152. Infiniti Infrasteel LLP sold 6.25 lakh shares and Harshul Kumarpal Shah offloaded 5.75 lakh shares in Lesha Industries at an average price of Rs 19.05 per share. Amit Vijay Rajpal bought 10,01,000 equity shares in Niyogin Fintech at an average price of Rs 50 per share. However, Strategic India Equity Fund was the seller, offloading 10 lakh shares at the same price. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
2,"Battered US stocks begin week higher, S&P 500 gains 0.9%",markets," Wall Street stocks bounced early Monday, boosted by hints the United States could end some tariffs on China and by bargain-hunting after the big pullback this year. Appearing in Tokyo for the launch of a new Asia-Pacific trade initiative, US President Joe Biden said he was considering remove some of the punitive import duties enacted by former president Donald Trump on China. Analysts also pointed to positive market sentiment after stocks rallied on Friday after the S&P 500 briefly dipped into a ""bear market"" -- defined as a drop of more than 20 percent from a market peak. About 25 minutes into trading, the Dow Jones Industrial Average was up 1.1 percent at 31,619.50. The broad-based S&P 500 gained 0.9 percent to 3,937.92, while the tech-rich Nasdaq Composite Index advanced 0.7 percent to 11,429.00. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
3,"Technical View | Nifty forms small-bodied bearish candle, needs to hold 16,161 for upmove",markets," The Nifty was off a positive start on May 23 and traded in the green in the first half but as has been the trend in the last few days, profit-booking, mainly in metal, pharma and energy names, in the second half erased all the gains. The index ended flat at 16,214.70, down 51.50 points, or 0.32 percent, and formed a small-bodied bearish candle on the daily chart. The Nifty has to hold 16,161 to extend this bounce towards 16,400 and 16,666, while on the downside, support exists at 16,061 and 16,000, experts said. ""Going forward, to regain strength Nifty not only needs to sustain above 16,400 levels but also requires to clear a slew of resistance points present between 16,400-800 as supply points are present at every 100 points up move,"" said Mazhar Mohammad, Founder & Chief Market Strategist, Chartviewindia.in, said. If it slips below 16,207, the weakness can drag it to 16,000. A close above 16,400 would be an opportunity for short-term traders to capture 150–200 Nifty points. However, for the next session, traders should remain neutral by focussing on stock-specific opportunities, he said. The options data suggests a trading range between 15,800 and 16,500. On the options front, maximum Call OI (Open Interest) is at 17,000 then 16,800 strike, while maximum Put OI is at 16,000 then 15,000 strike. Significant Call writing is seen at 17,000 then 16,800 strike, while Put writing is seen at 15,100 then 16,100 strike. ""Volatility is at its higher zones, which is giving some discomfort to the bulls and needs to come down for market stability,"" said Chandan Taparia, Vice President | Analyst-Derivatives at Motilal Oswal Financial Services. India VIX was up by 1.29 percent from 23.10 to 23.39 levels. Banking index The Bank Nifty opened positive and outperformed the broader market in the first half but, like benchmarks, it witnessed weakness and it drifted towards 34,100 later in the session. It formed an inverted hammer candle on the daily scale and closed 30 points down. ""Now it has to hold above 34,000 zones to build strength towards 34,500 and 34,750 zone, while on the downside, support exists at 33,666 and 33,500 zones,"" Taparia added. Among stocks, a positive setup was seen in the Ashok Leyland, M&M, Maruti Suzuki, Indian Hotels, HAL, HUL, L&T, Asian Paints, Eicher Motors and Britannia Industries. Weakness was seen in Jindal Steel, Tata Steel, JSW Steel, NMDC, Divis Labs, Amara Raja Batteries, ONGC, BHEL, UltraTech Cement, Lupin, HPCL, ICICI Lombard General Insurance, UPL, Grasim, United Spirits and Canara Bank. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
4,"Taking Stock | Market erases gains to end flat amid volatility; auto shines, metal worst hit",markets," The Indian benchmark indices ended marginally lower in a highly volatile session on May 23, dragged by metal stocks as the government imposed export duties on iron ore and some steel intermediaries. At close, the Sensex was down 37.78 points or 0.07% at 54,288.61, and the Nifty was down 51.50 points or 0.32% at 16,214.70. During the day, BSE Sensex and Nifty50 indices touched 54,931.30 and 16,414.70, respectively. After a positive start with the Nifty opening above 16,300, the market remained in positive territory in the first half but erased all the gains in the second half to end on a flat note. ""Markets gave up all its gains in afternoon trade today as it simply could not recover after the export tax imposed on steel products with the metal index falling almost 9% to 5,200 levels in morning trade,"" said S Ranganathan, Head of Research at LKP securities. ""The prolonged Russia-Ukraine conflict coupled with its consequences and inflationary pressures weighed heavily in the minds of investors and traders."" ""Prospects of additional market borrowings by the GOI in the wake of the tax cuts on fuel to tame inflation also came to the forefront,"" he added. M&M, Maruti Suzuki, HUL, Asian Paints, and Larsen and Toubro were among the top Nifty gainers, while losers included JSW Steel, Tata Steel, Divi's Labs, ONGC, and Hindalco Industries. Among sectors, Nifty Auto and Information Technology indices rose 1 percent each, while the metal index fell 8 percent and the pharma index fell 1 percent. Also Read - Metal stocks melt down as government imposes export duties Stocks and sectors On the BSE, auto, capital goods, and Information Technology indices added 0.5-1 percent, while the metal index declined 8.3 percent, and the power, realty, healthcare, and oil & gas index fell 1 percent each. BSE midcap and smallcap indices ended in the red. A long build-up was seen in Container Corporation of India, Ashok Leyland, and M&M, while a short build-up was witnessed in Jindal Steel, JSW Steel, and Tata Steel. MRPL, Adani Power, and Chennai Petroleum Corporation were among the stocks that touched their 52-week high on the BSE. On the other hand, HPCL, Tata Steel, NMDC, and Lupin hit their 52-week low. Among individual stocks, a volume spike of more than 300 percent was seen in Jindal Steel, Divis Laboratories, and Adani Ports. Also Read - Auto stocks trade higher after government cuts excise duty on fuel Outlook for May 24 Shrikant Chouhan, Head of Equity Research (Retail), Kotak Securities After a firm start, markets failed to hold on to their early upsurge and simply lost track to end marginally lower. Metal stocks bore the brunt while automobile, realty, and oil & gas stocks also came under selling pressure, thus dragging key indices lower. Technically, on intraday charts, the Nifty has formed a double top formation and on daily charts, it has formed a Hammer candlestick formation which is broadly negative. For day traders, 16,200 would act as a crucial support level, and below the same, we could see a quick intraday correction till 16,100-16,050. On the flip side, the fresh uptrend is possible only after a 16,300 intraday breakout. On breaching the level, the index could move up to 16,400-16,475. Gaurav Ratnaparkhi, Head of Technical Research, Sharekhan by BNP Paribas The Nifty opened on a positive note & attempted to scale higher on May 23. It went on to test the crucial level of 16,400 where the index had faced resistance in the last two weeks. 16,400 proved to be a strong barrier yet another time. The hourly chart shows that the upper end of an upward sloping channel also created pressure near 16,400. Thus, the index nosedived towards the end of the session & closed in the red for the day. The overall structure shows that the Nifty is likely to witness sideways action in the short term. 16,000 – 16,400 is expected to be the range for the next few sessions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
5,Rupee recovers from record lows to end 15 paise higher at 77.55/USD,markets," Rupee recovered from record lows and settled 15 paise higher at 77.55 (provisional) against the US dollar on Monday, supported by a weak greenback overseas. At the interbank forex market, the domestic unit opened at 77.69 against the US dollar. It moved in a range of 77.51 to 77.69 during the session. The rupee finally snapped its three-session losing streak and closed at 77.55, registering a rise of 15 paise over its previous close. On Friday, the rupee had settled at a record low of 77.70 against the American currency. According Gaurang Somaiya, Forex & Bullion Analyst, Motilal Oswal Financial Services, rupee continued to consolidate and volatility remained confined to a narrow range despite choppiness in domestic equities. ""Today volatility for the dollar could remain low as no major economic data is expected to be released from the US. We expect the USD-INR (Spot) to trade sideways and quote in the range of 77.20 and 77.80,” Somaiya added. However, unabated foreign fund outflows and firm crude oil prices weighed on the rupee and kept the appreciation bias capped. The dollar index, which gauges the greenback’s strength against a basket of six currencies, was trading 1 per cent lower at 102.12. On the domestic equity market front, the 30-share BSE Sensex ended 37.78 points or 0.07 per cent lower at 54,288.61, while the broader NSE Nifty fell 51.45 points or 0.32 per cent to 16,214.70. Brent crude futures, the global oil benchmark, advanced 1.27 per cent to USD 113.98 per barrel. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
6,Government clips steel sector’s wings at wrong moment,markets," The steel sector, which looked all set to be the leader of the much-awaited revival in India’s private investment cycle, has now been left to hold the bag for dousing the flames of inflation in the country. On May 21, the government announced a series of measures to bring down inflation in the country which in April reached multi-month highs and forced the Reserve Bank of India’s Monetary Policy Committee into an emergency hike in interest rate of 40 basis points earlier this month. Among the measures announced by the government, the one that could end up having long-term ramifications for India to emerge out of its decade-old slump in private capital expenditure is the move to bring in 15 percent duty on steel exports to reign in domestic prices. Analysts believe the export duty will not only hurt steel companies in terms of profitability as the lucrative export market, which drove earnings at a time when domestic demand was hit by COVID-19, becomes unattractive, but will cloud their long-term expansion plans. India’s finished steel exports rose by 25 percent in 2021-22 to 13.5 million tonnes while the same rose more than 60 percent when compared to the pre-pandemic period, according steel ministry data. Ironically, in March, the Steel Minister Piyush Goyal hailed India’s emergence as a key player in the global steel market as a vindication of the government’s export-focused policies in the pandemic era. The same export-focused policy, which was buttressed by steel import duties to deter countries like China and South Korea from dumping cheaper steel, now appear to have been kept on the backburner to reduce input costs for several steel-consuming industries. “Will it lead to lower price of housing, automobiles, construction? We don’t think so,” said brokerage firm Motilal Oswal Financial Services, which has put its coverage on the sector under review in light of the shift in policy. Brokerage firm Kotak Institutional Equities has termed the government’s measure a “policy shock” that “would slow down growth capex and could eventually force a reversal of duties”. Investors saw the sudden shift of policy in the same vein as shares of Tata Steel, Jindal Steel and Power, JSW Steel, and SAIL tanked 6-16 percent on May 23. Motilal Oswal Financial believes that the measures are a year too late given that at the time profits of steel companies were near record highs and cost of coal was about 20 percent lower, allowing companies to easily absorb the higher cost of export. “The current measure will impact the ability and will of the companies to continue with their long term capex plans and will only commission the capacities where capex has been significantly committed,” Motilal Oswal Financial said in a note. Kotak Equities is of the view that the slowdown in capital expenditure from the sector, generally a key driver of private capex, could force the government to reverse the hike in export duties but “we do no build it in our base case”. Tata Steel, which announced a more than Rs 10,000 crore outlay on capital expenditure for 2022-23, said earlier this month that it will review its capex plan during the middle of the financial year with the expectation of increasing it substantially to bake in its long-term capacity expansion plans. Those plans will likely be put on hold given that much of it was driven by the need to cater to the appetite of global markets, which are dealing with China’s withdrawal as the dragon focuses on cleaning its environment. Jindal Steel and Power’s Managing Director VR Sharma summed up the shock for the industry when he told Reuters that the sector will be forced to cancel orders from European companies, who were counting on India to lend a hand in replacing million tonnes of Russian steel that are now under sanctions. ""This could possibly lead to force majeures. And the customer has done no wrong here and he doesn't deserve to be treated that way,” Sharma told Reuters. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
7,Startup claims 'go-between' firm for IPO siphoned off funds,markets," In a stunning, if not, bizarre case of lack of financial know-how and market fraud, BSE-listed startup Trekkingtoes.com has alleged that a firm, acting as a go-between itself and its investment banker during its initial public offering (IPO) has run away with a large chunk of the proceeds of the issue. In an April 13 exchange filing, Trekkingtoes.com told BSE that the major portion of proceeds raised through an IPO by the company had been misappropriated by GYR Capital Advisors (formerly Alpha Numero Services). As per Trekkingtoes.com's complaint to Securities and Exchange Board of India (SEBI), GYR Capital Advisors was a consultant and intermediate between Fast Track Finsec and the company. The Jaipur-based company had raised Rs 4.54 crore through a public issue in August 2020. The company is a new-age digital startup involved in intercity cab rental services. “The company has initiated action against them for defrauding the company with the intention of siphoning the proceeds of the IPO, as aptly mentioned in our complaint attached below,” Trekkingtoes.com said. Trekkingtoes has filed a complaint with SEBI against Fast Track Finsec (merchant banker), whose former director Abhishek Vijay Kumar Sharma is a director at Alpha Numero (now known as GYR Capital), Rohit Pareek, and Mohit Baid, director of Alpha Numero, and three others. ""Without any ground or supporting documents they have taken our name in the public domain for which we will take necessary legal actions against in the due course,"" a spokesperson for GYR Capital Advisors said in an email statement. GYR Capital said that neither was it the investment banker nor an advisor to the issue. Promised land In 2020, Trekkingtoes.com’s founders Sahil Agarwal and Sagar Agarwal were approached by Fast Track Finsec, a SEBI-registered category-I merchant banker, with the idea for an IPO. Fast Track convinced the startup’s founders that it could help them raise funds from the market to grow the business instead of relying on the promoters’ own funds, debt and investments from friends and family, as was the case till then, the copy of the complaint filed by the company showed. “It is apposite to mention here that being a start-up and due to their lack of familiarity with the capital market, the Promoters were not well acquainted with and required hand-holding even for basic capital market processes, operations and understanding,” Trekkingtoes.com said in its SEBI complaint. As per the draft red herring prospectus of Trekkingtoes.com, Sagar Agarwal, a whole-time director and chief financial officer at the company, is Bachelor in Commerce (B.Com.) and has cleared Integrated Professional Competence Examination Certificate held by ICAI. Trekkingtoes.com ultimately floated a public offering with the intention of using the funds for strategic initiatives, repayment of some portion of existing debt and general corporate purposes. Red flags The promise of raising much-needed capital for the company and getting itself listed on the stock exchanges quickly turned into an ordeal for Trekkingtoes.com after it took a look at its agreement with the banker to the issue, ICICI Bank, just before the issue. “It was for the first time vide the banker to the issue agreement that the complainant got to know that it would be entitled to utilize only Rs 40-45 lakhs from proceeds of the IPO,” Trekingtoes.com said. According to Trekkingtoes.com, the investment bankers coerced the founders into agreeing to invest Rs 4 crore into other entities suggested by the investment bankers by way of strategic investment or unsecured loans. “The Respondent no. 3 (Abhishek Sharma) stated that if the complainant does not approve of the Respondent No. 1’s (Fast Track Finsec) new and arbitrary arrangement then the whole agreement between the Respondent No. 1 and the complainant would fall apart and the IPO would fail even before it had taken flight,” Trekkingtoes.com said. Trekkingtoes.com argued that since its founders had committed to repaying its debtors and told employees about the IPO, it was forced to agree to the unfavourable terms under “commercial duress”. According GYR Capital Advisors' statement to Moneycontrol, the purpose of the IPO funds was decided by the board of the company in a meeting as mentioned in the prospectus of the issue. ""Board of directors of trekkingtoes.com Ltd. are well qualified includes chartered accountant, IIT etc. and in the board meeting they have decided the fund utilization and identification of companies,"" GYR Capital Advisors said. Further, Fast Track Finsec allegedly assured the founders that it had conducted due diligence on the companies it wanted Treekingtoes.com to invest in and that the company “would be paid back the money invested in or lent to these companies with suitable interest and that the Trekkingtoes.com is completely secured as regards the entire arrangement”. Muddled Details Disaster struck Trekkingtoes.com in the days following the closure of the IPO on August 20, 2020. Having agreed to invest the majority of the proceeds in four firms shortlisted allegedly by the merchant banker, Trekkingtoes.com signed and emailed agreements with two of them, Swarnsiddhi and OPCL, for unsecured loan agreements. The startup also couriered the same documents to the addresses of the two companies but the delivery failed, raising suspicion that both entities were shell companies. Similarly, Trekkingtoes.com entered into an agreement to buy compulsorily convertible debentures of two others companies suggested by the merchant bankers but did not hear from both entities following the execution of the agreement. On August 28, the day of the market debut when issues arose around the listing of the company, Trekkingtoes.com tried to contact the merchant bankers but got no response. On speaking to ICICI Bank regarding the status of the IPO funds, “the complainant was shocked to learn from the Banker to the Issue that a sum of Rs 4 crore had already been siphoned off from their account”. Collateral damage This is not Fast Track Finsec’s first run-in with the regulator. In January, the merchant banker was penalised for failing to make timely disclosure of an open offer in the case of Sea Gold Infrastructure and AKM Lace and Embrotex—in both cases, it was the lead manager to the issue. But despite the case of alleged fraud with Trekkingtoes.com, Fast Track Finsec acted as the lead manager in another startup IPO listing, that of Jeena Sikho Lifecare, on the National Stock Exchange’s Emerge platform without any hitches. For investors in Trekkingtoes.com, meanwhile, things have been going from bad to worse. Investors faced a double whammy of having its funds allegedly siphoned off by the merchant bankers and also the stock has nosedived since its listing. Having raised funds at an issue price of Rs 105 per share, Trekkingtoes.com’s shares have sunk to Rs 29 each and have been suspended from trading due to penal reasons that spring from the IPO case. While the company has been submitting its quarterly results to the bourse, they are unaudited results that in many occasions were filed late and in some instances did not disclose the results. According to Trekkingtoes.com, the delay in disclosure of financial results is down to its inability to secure the services of a statutory auditor in the light of the diversion of its IPO proceeds. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
8,Ruchir Sharma writes: This realm beyond regulators is where the next crisis will arise,markets," As the US Federal Reserve raises interest rates, debate rages over whether this tightening cycle will trigger a recession or not. History suggests an interesting answer: since the Second World War, Fed tightening has led to a range of outcomes for the economy, from hard to softish landings, but has always led to financial crises somewhere — including every major global crisis in recent decades.

With the rapid spread of bank and mortgage lending, the first signs of crisis often..."
