,topic,category,content
0,Accumulate Strides Pharma Science; target of Rs 355: Geojit,stocks," Geojit's research report on Strides Pharma Science Strides Pharma Science (STAR) is an R&D focussed, vertically integrated pharmaceutical company with an experienced management team having presence across multiple therapeutic segments. Strides reported its Q4FY22 revenue at Rs.866cr (9% QoQ, -4.7% YoY), with the US business (38% of total revenue) clocking 17% QoQ growth. Unusual price erosion and volume drops in the US led to contraction in EBITDA (-73.4% YoY) to Rs.42cr with EDITDA margin contracting 430 bps QoQ. Stelis Biopharma revenues were reported at $17.7mn (from a zero base) in FY22, securing commercial sales value of $85mn starting FY24. We expect a revenue CAGR of 20% over FY22-FY24E on the portfolio expansion, healthy order book, better cash flows and focus on debt & cost reduction. Outlook Hence, we reiterate our “Accumulate’ rating based on 14x FY24E EPS at target price of Rs.355. More Info At 16:01 hrs Strides Pharma Science was quoting at Rs 312.45, up Rs 15.55, or 5.24 percent. It has touched an intraday high of Rs 314.15 and an intraday low of Rs 296.40. It was trading with volumes of 30,464 shares, compared to its thirty day average of 41,922 shares, a decrease of -27.33 percent. In the previous trading session, the share closed down 2.51 percent or Rs 7.65 at Rs 296.90. The share touched its 52-week high Rs 817.45 and 52-week low Rs 263.45 on 06 July, 2021 and 11 May, 2022, respectively. Currently, it is trading 61.78 percent below its 52-week high and 18.6 percent above its 52-week low. Market capitalisation stands at Rs 2,805.92 crore. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
1,Buy Ipca Laboratories; target of Rs 1030: Motilal Oswal,stocks," Motilal Oswal's research report on Ipca Laboratories We recently met the management of IPCA lab to understand its business outlook in detail: The domestic formulation (DF) segment continues on its robust growth path, led by market share gain, favorable price hikes, addition of medical representatives (MRs), and its increased presence particularly in the cardiology segment. The exports opportunity is expected to improve with increased product launches in the UK, new launches and market share gain in Russia, and industry outperformance in Africa branded generics market. After 18% YoY decline in earnings in FY22, we expect 11% earnings CAGR over FY22-24, led by 13%/8%/8% sales CAGR in DF, exports formulations, and API, respectively. We reduce the 12M forward PE multiple to 22x from 24x to factor in extended period to revive exports formulation and API business. Thereby, we arrive at a price target of INR1,030 on 12M forward basis. Outlook Further, considering a 30% correction in market price over the past nine months and the stock now trading at 23x FY23E EPS of INR37 and 19x (vs 3-year average of 23x) FY24E EPS of INR45, we reiterate our Buy rating on the stock. More Info At 16:01 hrs Ipca Laboratories was quoting at Rs 895.00, up Rs 5.85, or 0.66 percent. It has touched an intraday high of Rs 903.00 and an intraday low of Rs 883.65. It was trading with volumes of 3,365 shares, compared to its thirty day average of 8,490 shares, a decrease of -60.36 percent. In the previous trading session, the share closed down 0.04 percent or Rs 0.40 at Rs 889.15. The share touched its 52-week high Rs 1,383.55 and 52-week low Rs 831.40 on 15 September, 2021 and 13 June, 2022, respectively. Currently, it is trading 35.31 percent below its 52-week high and 7.65 percent above its 52-week low. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
2,Buy Gujarat Gas; target of Rs 650: Motilal Oswal,stocks," Motilal Oswal's research report on Gujarat Gas Spot LNG prices have risen to USD34/mmBtu from USD19/mmBtu in CY21, making alternate fuels such as LPG more attractive in Morbi, Gujarat. However, we highlight that over the long term, LNG would continue to remain cheaper than LPG, except during the summer season. Further, increased availability of domestic gas over the few months is likely to help GUJGA reduce its sourcing cost, thereby help improve its margins. GUJGA trades at 20x FY24 EPS of INR25. We expect its volume to register a CAGR of 13% over FY22-24E. Valuing the stock at 26x FY24E EPS, we reiterate our Buy rating on the company and retain it as our top pick in the sector.  Outlook We estimate 11.8/13.5mmscmd of total sales in FY23/24, up from 10.7mmscmd in FY22. Our EBITDA/scm estimate stands at INR5.5 for FY23/24, up from INR5.3 in FY22. We value the stock at 26x FY24E EPS and reiterate it as the top pick in the sector. More Info At 16:01 hrs Gujarat Gas was quoting at Rs 408.85, up Rs 1.40, or 0.34 percent. It has touched an intraday high of Rs 414.15 and an intraday low of Rs 403.80. It was trading with volumes of 70,210 shares, compared to its thirty day average of 161,475 shares, a decrease of -56.52 percent. In the previous trading session, the share closed down 3.11 percent or Rs 13.10 at Rs 407.45. The share touched its 52-week high Rs 786.65 and 52-week low Rs 405.65 on 04 August, 2021 and 17 June, 2022, respectively. Currently, it is trading 48.03 percent below its 52-week high and 0.79 percent above its 52-week low. Market capitalisation stands at Rs 28,144.83 crore. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
3,Disney’s stakeholder capitalism vs Netflix’s shareholder capitalism,stocks," Wouldn’t it be nice if companies cared less about profits and more about the social good? It’s popular to think so. Stakeholder capitalism is fashionable. Shareholder capitalism is not. Many high-profile business leaders and academics now condemn the idea Milton Friedman laid out in a famous 1970 New York Times Magazine essay: ‘a corporate executive is an employee of the owners of the business. He has direct responsibility to his employers. That responsibility is to conduct the business in accordance with their desires, which generally will be to make as much money as possible while conforming to the basic rules of the society, both those embodied in law and those embodied in ethical custom.’ If only this wicked notion of maximising profits hadn’t come along, some seem to think, we’d live in a progressive utopia of high wages, racial harmony, economic equality, and environmental purity. In 2019, the Business Roundtable repudiated the Friedman doctrine, changing its ‘Principles of Corporate Governance’ to embrace the goal of managing companies for the “benefit of all stakeholders — customers, employees, suppliers, communities and shareholders.” It didn’t specify how businesses would resolve conflicts between constituencies. The usual response is that conflicts are illusory. Do good and you’ll do well. “In today’s globally interconnected world, a company must create value for and be valued by its full range of stakeholders in order to deliver long-term value for its shareholders,” wrote BlackRock’s Larry Fink in his 2022 letter to CEOs, reiterating the message that made news in 2018: “To prosper over time, every company must not only deliver financial performance, but also show how it makes a positive contribution to society.” Of course, if stakeholder-pleasing endeavours and the creation of economic value always went hand-in-hand, stakeholder and shareholder capitalism would be identical. But life isn’t that simple. Contrary to what you may have heard, letting stakeholders take precedence over business objectives is anything but nice. Stakeholder capitalism isn’t just a temptation for managers to pursue their pet interests. It’s a prescription for culture wars, political backlash, managerial paralysis, and human-resources nightmares. Every effective enterprise has to consider the interests of employees, suppliers, customers, and other stakeholders. But not everyone wants the same thing, and sometimes organisations have to make trade-offs between goals everyone might agree are good. The question is what to do when faced with a conflict. Without an eye on value maximisation, it’s too easy for managers to dissipate company resources by pursuing their personal interests. The great value of the Friedman doctrine is that it establishes a coherent standard for making trade-offs. Maximising economic value tells you to “spend an additional dollar on any constituency provided the long-term value added to the firm from such expenditure is a dollar or more,” as Harvard Business School economist Michael Jensen put it in a 2010 article. Stakeholder theory, by contrast, tells you nothing. It assumes you just make everybody happy. As Jensen wrote, “Without the clarity of mission provided by a single-valued objective function, companies embracing stakeholder theory will experience managerial confusion, conflict, inefficiency, and perhaps even competitive failure.” Jensen’s article is the best articulation of why what he calls “enlightened value maximization” is indispensable. But neither he nor Friedman fully imagined the chaos that could ensue without it. Look at the backlash when Walt Disney Co. tried to placate vocal employees by opposing Florida legislation to ban discussing sexual orientation with younger children in schools. The political pushback — like the original protests — reflected a sense of betrayal by a beloved company whose fans see their dreams and values reflected in its characters and stories. Appeasing one group of stakeholders alienated others. It wasn’t hard for conservatives to find opposing voices within the company. Disney has nearly 200,000 employees, and countless customers. All are stakeholders, and they represent every conceivable viewpoint. By focusing on business goals, by contrast, Netflix, despite other challenges, has more successfully weathered its own controversies, from conservative uproar over the French film ‘Cuties’ to more recent protests about Dave Chappelle’s jokes about trans women. To make expectations clear, the company revised its cultural guidelines for employees to explicitly say, “As employees we support the principle that Netflix offers a diversity of stories, even if we find some titles counter to our own personal values.” Stakeholder capitalism implicitly assumes a cultural consensus identical to whatever its advocates believe. It harks back to the mid-20th century, when big US companies enjoyed little competition, mass media marginalised all but a narrow range of political, religious, and social views, and hierarchy and security dominated worker expectations. It pretends social media, Slack channels and “bringing your whole self to work” don’t exist. For a purer version of what stakeholder-oriented management can engender, forget profits and political disagreements. Look at the turmoil roiling all sorts of Left-wing non-profits. In a report in the Intercept, Ryan Grim details why Washington DC-based groups have spent the past few years engaged in ‘knock-down, drag-out fights between competing factions of their organizations, most often breaking down along staff-versus-management lines.’ He writes that: ‘Instead of fueling a groundswell of public support to reinvigorate the [Democratic] party’s ambitious agenda, most of the foundation-backed organizations that make up the backbone of the party’s ideological infrastructure were still spending their time locked in virtual retreats, Slack wars, and healing sessions, grappling with tensions over hierarchy, patriarchy, race, gender, and power….’ Grim quotes the executive director of one such group, anonymously: “A lot of staff that work for me, they expect the organization to be all the things: a movement, OK, get out the vote, OK, healing, OK, take care of you when you’re sick, OK. It’s all the things,” said one executive director. “Can you get your love and healing at home, please? But I can’t say that, they would crucify me.” Despite their commitments to making the world a better place — and general agreement on what that means — trying to please every vocal stakeholder is wreaking such widespread organisational havoc that one group’s head, also quoted anonymously, told Grim “you couldn’t conceive of a better Right-wing plot to paralyze progressive leaders.” The problem isn’t that the groups are Leftist. It’s that their missions and decisions are constantly up for internal debate. New attitudes and forms of communication have destroyed the legitimacy of their managerial hierarchies. Compared with mission-oriented non-profits, businesses that focus on creating economic value are fortunate to have a clear definition of success. If they want to make the world a nicer place, they should strive to defend that standard. Virginia Postrel is a Bloomberg Opinion columnist. Views are personal, and do not represent the stand of this publication."
4,"Taking Stock | Nifty back above 15,500, Sensex up 443 pts; auto stocks shine",stocks," The Indian benchmarks recouped most of the previous session losses and ended on a positive note in a highly volatile session on June 23 with the Nifty comfortably finishing above 15,500. At close, the Sensex was up 443.19 points or 0.86% at 52,265.72, and the Nifty was up 143.40 points or 0.93% at 15,556.70. After a flat start, the market gained the upside momentum as the day progressed. However, selling in the afternoon session erased the intraday losses, but buying in Auto, Information Technology, Pharma, and Realty names helped the market to close in the green. ""Indian markets opened on a positive note following Asian market peers which were trading mostly green led by China. During the afternoon session, markets trimmed some of their gains as European markets struggled to shrug off recession fears but managed to trade in the green,"" said Narendra Solanki, Head- Equity Research (Fundamental), Anand Rathi Shares & Stock Brokers. ""Buying in frontline stocks such as Maruti Suzuki, Asian Paints, and Bharti Airtel were aiding sentiment, while selling in Power Grid, Titan Co and NTPC kept the gains in the markets in check."" ""Traders were encouraged as Prime Minister Modi said the government expects the Indian economy to grow by 7.5% this year. Additional support came with RBI data showing that the country's foreign exchange reserves in nominal terms, including valuation effects, rose by $30.3 billion in the 2021-22 fiscal against a $99.2 billion expansion in FY2020-21,"" Solanki added. Maruti Suzuki, Hero MotoCorp, Eicher Motors, M&M, and Bajaj Auto were among the top Nifty gainers. The losers were Reliance Industries, Coal India, NTPC, Power Grid Corporation, and Grasim Industries. Barring Energy, all the sectoral indices ended in the green. The Nifty Auto Index added 4.4 percent, while Information Technology and Pharma indices rose 2 percent and 1.5 percent, respectively. Stock and sectors On the BSE, Auto Index rose 4.4 percent, while Capital Goods, Information Technology, Healthcare, and Realty indices gained 1 percent each. The BSE midcap and smallcap indices, too, added 1 percent each. A long build-up was seen in Maruti Suzuki, Hero MotoCorp, and Eicher Motors, while a short build-up was seen in Interglobe Aviation, Torrent Power, and Manappuram Finance. Among individual stocks, a volume spike of more than 200 percent was seen in Petronet LNG, Adani Ports, and Oracle Financial Services Software. Over 100 stocks hit their 52-week low on the BSE. These included Gujarat Gas, Muthoot Finance, Thyrocare Technologies, PNB Gilts, Tata Steel, Zee Learn, and DB Corp. On the other hand, Elecon Engineering, Kohinoor Foods, and Insecticides (India) touched their 52-week high. Outlook for June 24 Rupak De, Senior Technical Analyst at LKP Securities: Nifty ended higher after a volatile trading session on the day of weekly expiry. On the daily chart, the Nifty registered a strong comeback after a day of decline in the previous session. The daily RSI is in positive divergence. The trend is likely to remain positive in the near term. Support on the lower end is placed at 15,400; a close below 15,400 may induce the resumption of a market sell-off. On the higher end, resistance is visible at 15,600/15,800. Sahaj Agrawal, Head of Research- Derivatives at Kotak Securities The Nifty trend remains weak with resistance seen at 15,870 - unless the same is crossed expect weakness to continue. Short-term volatility continues to remain high. Broadly, expect pressure to continue while limited stock-specific risk definable opportunities are available. Select Auto, banking, and Midcap energy stocks look attractive from a risk perspective. Expect continuous selling pressure in the Metals space. Shrikant Chouhan, Head of Equity Research (Retail), Kotak Securities: Markets witnessed a roller coaster ride till mid-session before rebounding to comfortably settle in positive territory at close on hectic buying activity in IT, automobile & realty stocks. The fall in the crude oil prices gave some respite to the market, although concerns of persistent FII selling and rising bond yields in the US will continue to keep traders on the edge. Technically, for the last three days, the market has been witnessing non-directional activity. For Nifty, 15,400 and 15,600 are the important levels to watch out and below the same, the index could slip up to 15,340-15,300. On the flip side, 15,600 would be the key breakout level for the bulls. Above which, the index is likely to hit the level of 15,720-15,800. Gaurav Ratnaparkhi, Head of Technical Research, Sharekhan by BNP Paribas The Nifty has stepped into a short-term consolidation mode recently & accordingly it is witnessing range-bound action. The index witnessed sharp swings from 15,400-15,600 on June 23. On the higher side, 15,670-15,700, which was earlier acting as a support zone, is now posing as a resistance zone as per the principle of role reversal. The Nifty is facing selling pressure as it is approaching this area. Unless the level of 15,700 gets taken out on a closing basis, the index is expected to stay in a consolidation mode. On the downside, 15,400-15,360 is the near-term support zone, below which the index can test the recent low near 15,183."
5,"Auto stocks shrug weak sentiment, remain outliers since March lows",stocks," Auto stocks have been on an upward trajectory since March lows despite two intermittent corrections, even when the benchmark indices are getting serious threats from bears. In March 2022, the headline indices hit a one-year low as well as the lowest level since July 2021. And, last week too, both the Sensex and Nifty hit their fresh 52-week lows on the BSE, tracking weakness in the global counterparts given the faster policy tightening by the Fed and other central banks amid elevated inflation figures. This suggests that the domestic equities have fallen way below the March 2022 low, though there was a bit of recovery later led by short covering in most beaten-down stocks. ""Markets are already pricing in a lot of bad news and outcomes. There is consensus that inflation will continue to be sticky, interest rates will rise, the US dollar will continue to strengthen, the oil will get to $150 a barrel and Ukraine situation will not get resolved in a hurry,"" Abhay Agarwal, Founder and Fund Manager at Piper Serica said. A very high probability of recession and stagflation has now been built into the models, the expert feels. Therefore, any positive surprise can provide a sharp turnaround to the market since there is a lot of under-ownership with cash sitting on the sidelines, Agarwal said. But Auto index turned out to be the biggest outlier since March lows, even when the global mood is gloomy. Also read - Moneycontrol Market Sentiment Survey | Fund managers buying largecaps stocks in downturn, prefer banks most If we go by the data points, the Nifty Auto index has rallied nearly 14 percent between March 8 and June 22, 2022, whereas in the same period, the Nifty50 index declined nearly 4 percent. Among individual stocks, Mahindra & Mahindra rallied 40 percent during the window while TVS Motor rose 39 percent. Ashok Leyland has gained 34 percent and Eicher Motors 18 percent. Meanwhile, Maruti Suzuki, Hero MotoCorp, and Balkrishna Industries gained 10-14 percent. However, three scrips - Amara Raja Batteries, Bosch, and Exide Industries have been losers among the 15-share Auto index. Even on June 23, the Nifty Auto index climbed 3.7 percent at the time of writing this report, as Maruti Suzuki, Eicher Motors, Hero MotoCorp, Ashok Leyland, Bajaj Auto, M&M, Tata Motors, and TVS Motor Company gained 3-6 percent. In fact, every stock in the sector was in the positive territory. Even in the last two downcycles, especially after hitting March lows, the index has not seen a similar kind of correction as witnessed by the Nifty50. Also read - IT will continue to receive tailwinds from strong deal activity and digital transformation After March lows, Nifty50 dropped 13 percent from April 4 till May 12 and 9.6 percent during June 3-June 20. In the same period, the Auto index declined 6.6 percent and 7.8 percent, respectively. One reason behind the recovery in the Auto space could be a fall in metal prices and supply chains seem to be gradually normalising. Steel is the main material for the automobile industry. ""Autos is another space that will benefit as steel prices cool off and supply chains for key components come back. The domestic demand is robust and a good monsoon will support rural demand, especially for two-wheelers,"" said Abhay Agarwal. Sonam Srivastava, Founder of Wright Research also said the auto sector which was the laggard in the previous year is surging since March as the supply side as well as demand issues are getting resolved. ""Volumes are increasing and with the latest government move to reduce steel prices, margins are going to ease. We have added 2-wheelers in our portfolios last month and we also expect tractors and passenger vehicles to gain traction as the rural demand recovers,"" she added. The Nifty Metal index crashed 34 percent from its high of the current year at 6,826 levels on April 11, to 4,491 levels on June 22, following a correction in global metal prices. In fact, it was the biggest loser during the period, when Auto was flat and Nifty50 corrected nearly 13 percent."
6,Buy Indian Hotel; target of Rs 278: Motilal Oswal,stocks," Motilal Oswal's research report on Indian Hotel Hotel Brands (Traditional business): IH has introduced AHVAAN 2025 strategy, under which it expects to reach a portfolio of 300 hotels, comprising Taj (100), Vivanta and SeleQtions (75), and Ginger (125). For details on AHVAAN 2025, refer to IH Analyst meet report. As on 31st March 2022, IH has 20,581 rooms, after adding around 1,156 rooms in FY22. While owned rooms increased from 10,202 in FY21 to 10,364 in FY22, the managed rooms increased from 6,496 to 7,439 over the year. IH has a pipeline of 60 Hotels (over 7,500 rooms) with a well-diversified mix of Taj (32%), SeleQtions (9%), Vivanta (19%), and Ginger (40%). Under this robust Hotel pipeline, the share of management contracts is 74%. The remaining 26% is owned by the company. And 92% of the owned hotels belong to the Ginger brand.  Outlook Like FY22, we expect a strong recovery in FY23 and FY24, led by: a) an improvement in ARR once economic activity normalizes; b) improved occupancies, led by business travelers as well as the Leisure segment; c) cost rationalization efforts; d) an increase in F&B income as banqueting/conferences normalizes; and e) higher income from management contracts. We reiterate our Buy rating with a SoTP-based TP of INR278. More Info At 15:29 hrs Indian Hotels Company was quoting at Rs 223.35, up Rs 8.15, or 3.79 percent. It has touched an intraday high of Rs 224.40 and an intraday low of Rs 214.25. It was trading with volumes of 129,142 shares, compared to its thirty day average of 162,753 shares, a decrease of -20.65 percent. In the previous trading session, the share closed down 3.13 percent or Rs 6.95 at Rs 215.20. The share touched its 52-week high Rs 268.85 and 52-week low Rs 128.99 on 04 May, 2022 and 23 August, 2021, respectively. Currently, it is trading 16.92 percent below its 52-week high and 73.15 percent above its 52-week low. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
7,Buy Dr. Reddy’s Laboratories; target of Rs 5550: Sharekhan,stocks," Sharekhan's research report on Dr. Reddy’s Laboratories In its investor’s day, DRL has unveiled its two-pronged growth strategy across its business which could propel the growth. In the short to medium term DRL intends to focus on existing business/products lines while over the long-term new areas such as differentiated formulations, CDMO and Biologics would be the focus area. Basis the growth strategy unveiled DRL has guided for a double digit revenue growth and EBITDA margins at 25% over the medium term. Near-term challenges in the form of elevated cost pressures, demand volatility, price erosion and geo-political issues could affect the performance, though DRL’s long-term growth levers are intact.  Outlook We retain our Buy recommendation on the stock with an unchanged PT of Rs. 5,550. More Info At 11:37 hrs Dr Reddys Laboratories was quoting at Rs 4,284.15, up Rs 33.55, or 0.79 percent. It has touched an intraday high of Rs 4,304.60 and an intraday low of Rs 4,258.10. It was trading with volumes of 3,103 shares, compared to its thirty day average of 18,153 shares, a decrease of -82.91 percent. In the previous trading session, the share closed down 0.48 percent or Rs 20.45 at Rs 4,250.60. The share touched its 52-week high Rs 5,613.65 and 52-week low Rs 3,655.00 on 07 July, 2021 and 04 March, 2022, respectively. Currently, it is trading 23.68 percent below its 52-week high and 17.21 percent above its 52-week low. Market capitalisation stands at Rs 71,299.33 crore. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
8,Buy Infosys; target of Rs 1730: Sharekhan,stocks," Sharekhan's research report on Infosys Our interaction with Infosys’ management revealed that demand stays strong and the company does not see clients’ IT spends weakening even amid geopolitical tensions and high inflation. Infosys is confident of clocking strong revenue growth yet again in FY2023 with front-ended revenue growth. H1 is expected to be better than H2. Margins are likely to improve in H2FY2023 as headwinds are front-loaded, led by rationalisation of sub-contractor costs, pyramid rationalisation and better pricing.  Outlook We thus maintain a Buy on Infosys with a revised PT of Rs. 1,730; the company is expected to outpace large peer in terms of organic revenue growth in FY2023-FY2024E. More Info At 11:31 hrs Infosys was quoting at Rs 1,450.00, up Rs 12.65, or 0.88 percent. It has touched an intraday high of Rs 1,453.75 and an intraday low of Rs 1,433.85. It was trading with volumes of 144,872 shares, compared to its thirty day average of 357,704 shares, a decrease of -59.50 percent. In the previous trading session, the share closed down 0.87 percent or Rs 12.65 at Rs 1,437.35. The share touched its 52-week high Rs 1,953.70 and 52-week low Rs 1,367.20 on 17 January, 2022 and 17 June, 2022, respectively. Currently, it is trading 25.78 percent below its 52-week high and 6.06 percent above its 52-week low. Market capitalisation stands at Rs 610,105.00 crore. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Read More"
