,topic,category,content
0,"Ukrainian girl lost arm, mother to Russian invasion, appeals for a prosthetic hand",trends," A Ukrainian girl who lost her left arm, mother and even her favourite cat when Russia invaded her country has appealed for help to get a prosthetic hand. Sofia, who is safe in Rome now, was in a hospital for three months trying to heal from her trauma--physical and mental, shared a Ukrainian volunteer and Sofia's sister on social media. A post shared by ALINA | РОЗМОВНА АНГЛІЙСЬКА (@alenglish_) A post shared by ALINA | РОЗМОВНА АНГЛІЙСЬКА (@alenglish_)  Before the Russian invasion, Sofia loved playing equestrian sport, but now she's not sure if she can do it with one arm, her sister Alina shared on Instagram. The family is hopeful that if Sofia gets a prosthetic limb, her pain will subside. It will also allow her to get back to normal routine and even dress herself. The family found a clinic in the US that can make her a prothetic arm but it's expensive. ""The clinic has no funding. We need sponsors because the cost runs into tens of thousands of dollars,"" Alina said, requesting Ukranian and foreign companies and celebrities to help them. Read more: Google donated 30,000 Pixel phones to Ukrainian, Afghan refugees in US: CEO Sundar Pichai The now viral post struck a chord with social media users. ""Sofia, I am so sorry for all of the losses that you have sustained and the losses you have witnessed. No person, and especially no child should have to experience any of this. We mourn deeply with you and pray for you and your family,"" wrote LinkedIn coach Marissa Marsala. ""In your post you neglected to mention how beautiful Sofia is. You are beautiful and absolutely gorgeous Sofia! You will do mighty, powerful and courageous things in your lifetime! God Bless you sweetheart!"" commented Beth Donner, president of a consultation firm.​"
1,The road not (to be) taken: This National Highway in Bihar is an obstacle course to disaster,trends," The sorry state of a National Highway in Bihar has made the headlines. A stretch of the National Highway 227, which passes through Bihar's Madhubani, is riddle with gigantic craters as far as the eye can see – to the point where it is difficult to find the road among the potholes. The highway looks like a series of huge swimming pools in an aerial video filmed by Praveen Thakur of Dainik Bhaskar newspaper. According to the Dainik Bhaskar report, the biggest pothole on the National Highway is a staggering 100-feet wide and three-feet deep. माननीय @nitin_gadkari @NitishKumar @NHAI_Official ये एनएच 227 L है। कितना गजब का नजारा है। सड़क दिख नही रही गड्ढे अवश्य दिख रहे छोटे तालाब के शक्ल में। गजब #बिहार की अजब गाथा। क्यों संवेदक फरार हो जाता है।? क्या आप ठोस कार्रवाई नही कर सकते हैं ? pic.twitter.com/zEoL2bWEGO The contractor responsible for building the road is currently absconding. Locals accused politicians and local leaders of indifference, saying that the Bihar government has ignored repeated pleas to repair the highway and it is affecting business. Political strategist Prashant Kishor, a vocal critic of Bihar Chief Minister Nitish Kumar, slammed the state’s government and the chief minister over the condition of NH 227. “Recently, Nitish Kumar ji was telling employees of the road construction department at an event that they should tell everyone about the good condition of roads in Bihar,"" he tweeted in Hindi. 90 के दशक के जंगलराज में बिहार में सड़कों की स्थिति की याद दिलाता यह बिहार के मधुबनी जिले का नेशनल हाईवे 227 (L) है। अभी हाल में ही #Nitishkumar जी एक कार्यक्रम में पथ निर्माण विभाग के लोगों को बोल रहे थे कि बिहार में सड़कों की अच्छी स्थिति के बारे में उन्हें सबको बताना चाहिए। pic.twitter.com/Qp0ehEluty  Meanwhile, locals spoke of how the state of the road has adversely affected their business. Hardware trader Himmat Lal Raut told Dainik Bhaskar that drivers who bring goods from outside often refuse to drive on the battered road, citing the number of potholes it has."
2,"Meet Kanika Tekriwal, the ‘small town girl’ who owns 10 private jets",trends," On Instagram, Kanika Tekriwal describes herself as a “small town girl” with massive dreams. In reality, she is so much more. At the age of 22, Kanika Tekriwal set up her own aviation-based startup after defying cancer, parental opposition and casual sexism. A decade later, this high-flying entrepreneur owns 10 private jets. Her company JetSetGo -- India's first and only marketplace for private jet and helicopter charters – has been credited for transforming the charter plane sector in India. “I had the idea brewing in my head for close to three years or so, but when I took out my sketch board and started working on it, I was diagnosed with cancer, which set me back by a year,” Kanika Tekriwal told Indiatimes. “Luckily for me, nobody else in the country had gotten around to doing something similar until I finished treatment or until now.” The journey was not an easy one for Tekriwal, who was born in a traditional Marwari family where women were not encouraged to work. But Tekriwal was passionate about her mission of making private flying more accessible and economical, and she overcame all odds to set up JetSetGo, which she started in 2012 with her friend Sudheer Perla. The startup, branded the Uber of Indian skies, identified problems with chartering planes that no one had done before, and used innovative technologies to make the process easier for customers. It uses a mix of tech, unique maintenance procedures, and SMART management, according to the Indiatimes report, to ensure profitability and reduce maintenance costs while making it easier for customers to book charter flights. Speaking about the hurdles she faced, Tekriwal told The New Indian Express: “We expected rich plane owners to list their planes and customers to book them from our platform, but our first flight never took off as the pilot didn’t show up."
3,"Google donated 30,000 Pixel phones to Ukrainian, Afghan refugees in US: CEO Sundar Pichai",trends," Google CEO Sundar Pichai has revealed that the company has donated 30,000 Pixel phones for Ukrainian and Afhgan refugees arriving in the US. Apart from this, the company has also contributed $1 million each in grant funding and in search advertisements. This donation is as a part of Pichai's participation in Welcome.US CEO Council. Taking to Twitter, he wrote, ""Tools like Google Translate help refugees communicate with their new communities."" Tools like Google Translate help refugees communicate with their new communities. Today we're donating an additional 20,000 Pixel phones to @welcomeus so more Ukrainian & Afghan newcomers can feel at home in the US. #WorldRefugeeDay https://t.co/OtWZkaEPeB  A Google blogpost shared by Sundar Pichai further revealed that company has so far donated 30,000 Pixel phones in total the refugees. In May, Pichai had announced the first 17 recipients of Google’s Ukraine Support Fund who would receive financial support and mentoring from Google for Startups -- a programme that helps early-stage startups by connecting them with the right people and practices. “While in Warsaw, Poland in March, I announced our Ukraine Support Fund to help Ukrainian entrepreneurs maintain and grow their businesses in a time of war. Today we're welcoming the first recipients who will receive financing + mentoring from Google for Startups,” Pichai had tweeted. While in Warsaw, Poland in March, I announced our Ukraine Support Fund to help Ukrainian entrepreneurs maintain and grow their businesses in a time of war. Today we're welcoming the 1st recipients who will receive financing + mentoring from @GoogleStartups https://t.co/NQQELKCjHN   In a blog post, Google had stated that its $5 million fund will help allocate equity-free cash awards to Ukrainian startups all through 2022. The fund will assist Ukrainian entrepreneurs in maintaining and growing their businesses, strengthening their community and building a foundation for post-war economic recovery."
4,"Meta, Microsoft, Epic Games among others band together to create Metaverse standards forum; Google, Apple not part of the list",trends," The biggest companies in technology have joined forces to create open interoperability standards for the metaverse. The Metaverse Standards Forum is compromised of Microsoft, Meta, Huawei, Nvidia, Qualcomm, Sony Interactive Entertainment, Epic Games, Unity, Adobe and many others. As Reuters reported, Apple and Google seem to be absent from the list. What makes this interesting is both Apple and Google seem to be working on new augmented reality headsets, that are expected to become major players in the metaverse. Niantic, the creators of the augmented reality game Pokemon Go, and Roblox are also missing from the membership list. Neil Trevett, an executive from Nvidia, will chair the forum, and in a statement released to Reuters, the company said they would welcome anyone to join the group, including participants from the crypto world. ""Building a pervasive, open and inclusive metaverse at a global scale will require cooperation and coordination between a constellation of international standards organizations,"" The forum says in a post on its website. ""The Forum will not create standards itself but will coordinate requirements and resources to foster the creation and evolution of standards within standards organizations working in relevant domains,"" the post added."
5,"'Largest python ever' captured in US: It's 18 feet long, weighs 98 kg and has 122 eggs",trends," A team of US researchers captured the largest Burmese python ever discovered in the state, Florida officials announced on Thursday. The female serpent, is almost 18 feet long and weighed about 98 kg, according to the Conservancy of Southwest Florida. This species is considered to be an invasive one in Florida, researchers said. “Look at the scale of the problem” - some 18 feet of very dead invasive python - the largest ever removed from Florida, complete with 120 eggs and adult white-tailed deer hooves - at @ConservancySWFL, which is working to remove them from the Everglades. pic.twitter.com/Zm0xHsZqlb  During examination, the snake was found to have 122 eggs in its abdomen. With this the python broke another record for the most eggs female python can produce in a breeding cycle, the publication stated. Moreover, researchers also found “hoof cores” inside the snake’s stomach indicating that it's last meal was a white tailed deer. Read more: Snake bites man in the butt as he sat playing video game on toilet But how was this Burmese python found? The wildlife biologists revealed that they used a unique research programme that uses radio transmitters implanted in male snakes to lead them to breeding grounds where “large, reproductive females” can be removed to stop their eggs from hatching in the wild. Speaking about this process, Ian Bartoszek, wildlife biologist and environmental science project manager for the Conservancy told New York Post, “How do you find the needle in the haystack? You could use a magnet, and in a similar way our male scout snakes are attracted to the biggest females around."" “The removal of female pythons plays a critical role in disrupting the breeding cycle of these apex predators that are wreaking havoc on the Everglades ecosystem and taking food sources from other native species,” he told the publication. “This is the wildlife issue of our time for southern Florida.”"
6,Not planning to inoculate children below 12 years for COVID: NTAGI on US vaccinating children under five,trends," India is not considering lowering the eligibility of COVID-19 vaccine administration in children below 12 years, an official from the National Technical Advisory Group on Immunisation (NTAGI) told Moneycontrol. NTAGI is India’s vaccine think tank, an apex advisory body on immunisation, which provides guidance and advice to the Union health ministry. “We have not considered vaccinating kids below the age group of 12 years. The uptake of COVID vaccine in the age group above 12-8 years is tepid and we are just focusing on the population that is susceptible to severe infection,” said an official who is part of NTAGI, asking not to be named. Responding to a query related to the US starting COVID vaccination for children aged six months to five years, the NTAGI official said, “The Indian government is in no hurry to administer COVID-19 vaccines to children below 12 years of age.” Also read: Oncologists welcome FDA’s proposal to limit nicotine in cigarettes, but say India has a long road ahead Days after the US Food and Drug Administration's authorisation, the US government started distributing mRNA-based COVID vaccines from Moderna and Pfizer for children aged six months to five years across the country, according to White House COVID-19 response coordinator Ashish Jha. “We believe that a majority of kids have natural protection and the kids have reported minimal severity our focus is only on the age group above 12 years and the aim is to vaccinate comorbid children rapidly,” he added. The office of the Drug Controller General of India (DGCI) has approved two vaccines—Serum Institute of India's Covovax and the Biological E-manufactured Corbevax—for administration in the 5-12-year age group. The DCGI in April had also given emergency use authorisation to Bharat Biotech’s Covaxin for the 6-12-year cohort.  However, NTAGI meetings reviewing data from vaccine makers for children in the 5-12 years bracket have remained inconclusive. Kids have natural immunity and don't need vaccines. Experts say COVID vaccines in children may not provide any additional benefit as most have already developed immunity as they have been exposed to the infection earlier.  Shilpa Sharma, chair of the Delhi Association of Paediatric Surgeons, said that there is no point in giving kids more vaccines and subjecting them to more antigens. “The additional immunity can interfere with the natural immunity of the children. If the natural infection goes down, it may bring a host of other infections they are normally immune to,” she said."
7,Odisha Chief Minister Naveen Patnaik meets the Pope in Vatican City,trends," Odisha Chief Minister Naveen Patnaik met Pope Francis in Vatican City and presented him with a traditional Patachitra painting on Wednesday. ""It has been an absolute pleasure meeting His Holiness Pope Francis in Vatican City. Thanked him for the warm audience and wished him good health and a long life,"" Patnaik tweeted after the meeting. Sharing photos from his meeting with the head of the Catholic church on social media, Naveen Patnaik said the Patachitra painting depicted the Tree of Life. An official statement issued by his office in Bhubaneswar said that the chief minister presented the Pope with the painting on behalf of the people of Odisha and sought his blessings during the meeting. On behalf of #Odisha and her people, presented a #Pattachitra which depicts the Tree of Life to His Holiness Pope Francis (@Pontifex) in Vatican City. The unique ancient traditional scroll painting is one of the finest representatives of Odisha’s craftsmanship and artistry. pic.twitter.com/iCb6YCiD8U Patnaik was accompanied by his private secretary VK Pandian to the meeting on the third day of his trip to Italy. He is leading a high-level delegation to the country on the invitation of the World Food Program (WFP), during which he will share the transformative initiatives of Odisha in the field of food security and disaster management. The delegation includes Chief Secretary Suresh Mohapatra, Secretary to chief minister (5T) V K Pandian, Principal Secretary Food and Civil Supplies V V Yadav, Principal Secretary Industries Hemant Sharma and Resident Commissioner in New Delhi Ravi Kant. Patnaik will also visit Dubai and meet investors during this 11-day tour – his second foreign trip as chief minister of Odisha in the last 22 years. During the tour, Patnaik will meet the Odia diaspora from various parts of Europe, and discuss ways to engage it in promoting Odisha's art and culture and also be part of the state's transformational journey, the statement said."
8,"Amul MD hospitalised after road accident in Gujarat, sustained minor injuries",trends," RS Sodhi, Managing Director of India's leading dairy cooperative GCMMF, which markets its products under Amul brand, sustained minor injuries in a road accident near Anand town in Gujarat on Wednesday night and was admitted to a hospital, police said. The car in which he was travelling turned turtle after hitting a divider on Anand-Bakrol road at around 9 pm, said Deputy Superintendent of Police BD Jadeja. ""Due to some unknown reasons, the car driver lost control over the vehicle, which led to the accident. The driver as well as Sodhi were immediately taken to a nearby hospital by the locals. Both are out of danger as they sustained minor injuries,"" he said. The Gujarat Cooperative Milk Marketing Federation Ltd (GCMMF), having its headquarter in Anand town, sells its products under the brand name Amul. RS Sodhi has been serving as its MD since 2010."
