,topic,category,content
0,News,politics,
1,The Career in Politics,politics," Why do candidates for Congress spend millions of dollars for an office that pays $169,200.00? Between 2004 and 2006, members of Congress' net worth increased an average of 84% - book advances, speaking engagements, stock and land deals, privileged mortgages, etc. The United States is no longer the representative democracy our founders conceived because of a glaring flaw in our Constitution: it allows individuals to make a career of public office. This creates a critical conflict of interest for politicians between their own ambitions and their responsibility as representatives of the American people. These ""careerists"" gradually lose their principles in acceding to campaign contributors, heeding opinion polls, and following their political party's line. Career Congressional members, many of whom have been in office most of their adult lives, have usurped much of the sovereignty of the electorate. This has become a government of the people, by the politicians, and for the special interests, to paraphrase Abraham Lincoln. Self-serving, entrenched Republican and Democratic politicos create costly and harmful programs to secure votes. These programs increase Americans' reliance upon the government, while diminishing our initiative, self-sufficiency, and self-esteem. The average employed American is paying higher payroll taxes than income taxes - for programs from which he or she may never be the beneficiary. These programs, such as unemployment insurance, welfare, Social Security, and Medicare, make recipients completely dependent on the government. Incumbents seek ""earmarks"" and ""pork"" to reinforce their constituents' loyalty at the polls. Earmarks are expenses that conference committees attach, without a vote by Congress, to approved spending bills. In 2004 and 2005, there were an astonishing 15,268 earmarks that squandered over $40 billion from the U.S. Treasury on non-essential projects, such as the infamous ""Alaskan bridge to nowhere."" And in 2007, despite all the political posturing about reform, there was $10 billion of wasteful pork - with the House Appropriation Committee alone writing over $4 billion in earmarks as of November 2007. These funds would be better used to significantly reduce our national debt. Instead, members of both political parties indulge in this underhanded funding; self-serving legislators use their earmarks, an unnecessary waste our tax money, to support their ambitions to remain in office. Legislators constantly battle to reach their goal of being part of the powerful, majority political party. Fortunately, the contentious battle between the parties has prevented the United States from becoming an oligarchy. Unfortunately, the polarizing battle for dominance has increased enmity to ethnic proportions. We have a dysfunctional government because the bitter partisanship precludes the ability to compromise. The mean-spirited pettiness of either minority party discredits the administration's performance, blocks appointees, obstructs important legislation, and convenes endless committee hearings for harassing purposes. Sadly, we have no loyal opposition. The divisiveness, which conceals the theft of our sovereignty and the abuse of the legislators' power, is so extensive that it affects the entire country. Unfortunately, we are so engrossed in this vitriolic rivalry between the political parties that we are unaware that career politicians are exploiting our government. We have been mislead into thinking that members of the opposing political party are the adversaries, while it is actually the career politicians, skillfully looking out for themselves, who are the bad guys. Politicians use the opposing political party as a scapegoat to divert the attention of voters from their own failings. The art of leadership, as displayed by really great popular leaders in all ages, consists in consolidating the attention of the people against a single adversary and taking care that nothing will split up that attention into sections. - Adolph Hitler We can eliminate the ability of office holders to make a career out of civil service by limiting each federal elected office to a single term and guarantee the perpetuation of our representative, democratic Republic."
2,Is America Ready for Barack Obama to be president?,politics," On June 3rd, 2008 Illinois Senator Barack Obama claimed the Democratic presidential nominee, and with this honor Obama become the first black candidate ever nominated by a major political party for the nation's highest office. While breaking this barrier, the question must be asked, is America ready for Obama? Besides the change in policies that Obama represents, his nomination will bring a change in America racially. Is America ready for a black president? Is it conceivable to think that a place where blacks were once enslaved could rise above racial disrimination and elect a black man for president? Will white Americans and even some black Americans really vote for a black man to hold the nations highest position? Or, will he fall victim to the the politically correct population? The people who will smile in your face and say that they will/would vote for a black man because they don't want to be viewed as a racist (or feel that is the right thing to say especially if you are black) but behind close doors know that they will not vote for Obama? The polls are saying that older whites, and non-college educated whites will not vote for Obama; and that Obama's supporters are comprised of black Americans and young white college educated Americans who probably won't go out and actually cast a vote. There are some older white blue collar democrats that supported and voted for Hillary Clinton who have stated they are staunch democrats, always vote for a Democrat but would never vote for Obama. I am specifically pointing out this group of people due to all the coverage this demographic received while the West Virginia primaries occurred. There probably are white collar black and white voters who also feel this way but I am just going to point out what was shown on EVERY single news outlet during the voting. Many white Hillary supporters stated they are willing to sacrifice their political beliefs because they can't bear the thought of having a black man as president regardless if they agree with his views or not. Some even said they didn't think Obama was an American and that he was a Muslim. Now I know the media didn't show everyone they interviewed, like the people who said they would consider Obama and not make a quick judgment and not vote for him, but as usual the media likes to stir things up by showing footage that would get a rise out of their viewers and get under people's skin. That's what they do. You have to be smart enough to decipher what is fact and what is fiction. Just because it's on the news doesn't mean it true. Just like with the polls. One minute Obama is blowing McCain out of the water then a few hours later or a channel change they are saying they are neck and neck, or McCain is ahead. The media is saying to you if you don't like these numbers you better make sure you get out and vote if you want your candidate to win. Don't feel comfortable if your candidate is ahead in these polls, the numbers we are hearing now don't matter, what matters is the final number on election day. So regardless of who you like you must get out and vote because EVERY vote DOES count! I wonder if America is truly ready for Obama (or any other black candidate) because some news outlets, and on some specific news stations, the media is making the 2008 election a race issue. They constantly want to break everything up into black Americans feel this way, white Americans feel that way, Hispanic Americans feel that way, etc. Why isn't it Americans feel this way. Regardless of one's race, deep down we all want the same basic necessities; health care, education for our children, stable economy, affordable housing, a government we can believe and trust in, etc. These hopes are not defined by ones color so the media should not use race when speaking of Obama. He is not only a black man (actually he is part white too), his race is a small part of who he is. It's ironic that they always use black when describing him, when he wasn't even raised by black people and his mother was white. I would think he would relate more to whites because that is who raised him and who he grew up with. But, this takes us back to the one drop rule, if you have one drop of black blood you are black. The media shouldn't always bring up Obama's race. Discuss his issues and not his color, or absentee father. They never say older Americans feel this way, or veterans feel this way when speaking of McCain.  Speaking of that why is it they always bring up McCain being a POW? Is (or isn't he) more than that? The issues should be what this election is all about. On some stations anchors are still harboring on the issue of Rev. Wright. This can be seen on The View, whenever the topic of Obama and his issues comes up Elisabeth Hasselbeck always reverts back to Obamas association to the Reverend. Lets move forward and decide if we want to vote for Obama based on his views, and voting history and what he will bring to the oval office. Now if you don't want to vote for Obama because you don't agree with his message and desire of change, or you feel he doesn't have enough experience, that is fine; but to not vote for him because of the color of his skin, takes us back to a problem that unfortunately in America won't go away - the issue of race. In the United States, race and racism is something we can't escape from. Why, I don't know. Maybe if Obama is elected President the lines of communication will open and racism will take a bold step into being non-existent. (I doubt it, but anything is possible-look there IS a black man who has a good chance of being the president, so never say never.) Other nations see the idea of the United States having a black president as something positive but here in the United States that idea is unthinkable to many. Some members of the KKK and other hate groups have stated that their membership is on the rise due to the thought of having a black man as the president of the United States. Race to many is more important than the issues, and speaking of issues what does Obama really stand for? Do you believe the hype? Will he really be able to make a change that his entire platform consist of? Personally, I feel that regardless of who is elected President there is only so much that can REALISTICALLY be done. The President can hope for things to change and try to make changes, but without support from Congress not much can really happen. Change is something that most people are uncomfortable with, even something as small as a change in a hairstyle can become a big deal. It going to be interesting to see what will happen if there is a change in color of the next president or a drastic change in policies. It's refreshing and promising to hear that someone is trying to lead the country in a new direction, but it frightens me to think of what will become of the person hoping to implement so many changes in such a short amount of time. It takes me back to other men (Martin Luther King, JFK, Lincoln, RFK) who tried to make changes and were assassinated because of their desire to make things different, not necessarily better, but different. (Depending on who you are, you and you alone will know if the change was for the better.) Well what do you think? Is America ready for Obama, and what about you? Are you ready for Obama to be the next president of the Unites States? Be honest and share your thoughts and videos on the message board at isamericareadyforobama.com"
3,The Obama Health Plan,politics," The Democratic National Convention (www.demconvention.com) week officially kicks off today in Denver, Colorado and concludes on August 28, 2008. Delegates from all fifty U.S. states and from American dependencies and territories such as Puerto Rico and the Virgin Islands attend the convention and cast their votes to choose the Party's presidential candidate. Like the Republican National Convention, the Democratic National Convention marks the formal end of the primary election period and the start of the general election season. While both campaigns and the parties’ gear up for the general election season it is important that we look at all of the candidates health care beliefs and plans for all Americans. Barack Obama’s ""Plan for a Healthy American"" can be downloaded at barackobama.com. Obama’s web site reports ""The U.S. spends $2 trillion on health care every year, and offers the best medical technology and scientific research in the world. Yet, the benefits of the American health care system come at a price that an increasing number of individuals and families, employers and employees, and public and private providers cannot afford."" It goes on to say that, ""Barack Obama believes that protecting and promoting health and wellness in this nation is a shared responsibility among individuals and families, school systems, employers, the medical and public health workforce, and federal, state, and local governments."" Obama breaks his health care reform plan down into three parts saying that it builds ""upon the strengths of the U.S. health care system."" The three parts are: Quality, Affordable & Portable Health Coverage For All Modernizing The U.S. Health Care System To Lower Costs & Improve Quality Promoting Prevention & Strengthening Public Health Will Obama be able to cut health care costs? For that answer we’ll have to wait and see. Why should health care be a big issue during the elections? Because according to U.S. Census Bureau, a substantial increase in the number of seniors will occur during the 2010 to 2030 as the nation’s baby boomers age. By the year 2020, 12 million older Americans will require long-term care services. By 2030, 72 million Americans will be over the age of 65 or one out of every five Americans. As the U.S. population continues to age about 80 percent of seniors have at least one chronic health condition and 50 percent have at least two. Arthritis, diabetes, hypertension, heart disease, and respiratory disorders are some of the leading health struggles they will face. The baby boomers are also living longer than any generation before them. Studies show that as our population ages, the more services they rely on from the health care industry. The baby boomers; especial the tail end boomers could live to see 100 plus years; health care demands will dramatically increase and put pressure on health care services. So the health care beliefs and plans of the candidates, our next President, are very important. While the cost of health care is out of the ordinary American’s hands we can take control of our own personal medical history. Knowing, tracking and recording your personal medical history is a critical must. Did you know that most states only require your doctors to keep patient records for an average of 5 to 7 years? So what happens to your records when you really need them? What f your doctor retires, changes practices or moves to another state? Do you really want to fit to rebuild your medical and drug history in an emergency? Wouldn’t it be more sensible to prepare now and keep a running record of your medical and drug history, contact numbers for doctors, family and ICE, pharmacies, insurance companies, personal inventory, directives and much more. The MedicMinder provides peace of mind for users – the knowledge that all pertinent medical and drug history is documented in one comprehensive, easy to use system. No second-guessing in an emergency – having this vital information in immediate reach reduces guesswork and stress so often felt during times of medical crisis. About The MedicMinder Simply stated, the MedicMinder is ""Trusted by Caring Families."" (www.themedicminder.com) About The Sam101.com Sales. Advertising. Marketing. Tips, advice and design help in one stop. (www.sam101.com)"
4,Obama Vs Mccain On The Economy,politics," In a previous post, I discussed Obama’s positions on key economic issues. In this post, I will compare and contrast the two candidates on those same economic issues. After reviewing these issues, I am confident that you will conclude that Barack Obama is a friend of working people while John McCain is a friend of big business and the wealthy elite. On labor related issues, Obama supported the Employee Free Choice Act, federal legislation that grants workers the right to join unions free from employer harassment or intimidation. Obama voted in favor of the motion to close debate on the Employee Free Choice Act. McCain not only failed to sponsor this legislation, he voted against the motion to close debate, effectively killing the Employee Free Choice Act. (H.R. 800, Vote #227, 6/26/07) On another labor issue, protecting striking workers, Obama has opposed replacing striking workers with permanent replacements. McCain voted against ending debate on a bill that would prohibit employers from hiring permanent replacements for striking workers (S55, Vote #189, 7/13/94). Finally, in regard to labor issues, Obama has supported raising the minimum wage and indexing it to inflation.  Obama voted in favor of raising the federal minimum wage to $7.25 an hour while McCain voted against increasing the minimum wage (SA.44 to S.256, Vote #26, 3/7/05). On the subject of tax relief for working families, Obama supports a tax credit of $500 per individual or $1,000 per working family. In addition, Obama supports requiring the wealthiest Americans to pay a higher tax rate to finance these tax credits and other federal programs. McCain supports  a summer gas tax holiday in which the federal gas tax and the diesel tax would be suspended. He also supports keeping the Bush tax cuts for the wealthy, where the top tax rate was cut from 39.6% to 35.0%, giving the very wealthy a tax windfall. In regard to the so called summer ""tax holiday,"" this proposal has been denounced by Obama as a ""gimmick."" The problem with this proposal is that it has no long term effect. The tax relief is limited and temporary. What happens when summer ends? In addition, a cut in the gas tax, even if temporary, would mean that state governments would lose millions of dollars in federal funding for highway improvements necessary for safety and the reduction of traffic congestion. Another issue of major importance to this year’s presidential campaign is trade. Obama wants to amend the North American Free Trade Agreement (NAFTA) so that it benefits American workers by including good labor and environmental standards. McCain is a strong supporter of NAFTA, which the AFL-CIO has stated has cost 1 million American jobs from 1993-2004 (Working Families Vote 2008). McCain has made it clear that he does not support amending NAFTA to create stronger labor and environmental standards. In regard to the Central American Free Trade Agreement (CAFTA), a free trade agreement that is opposed by the labor movement, Obama voted against it while McCain voted for CAFTA (S.1307, Vote 170, 6/30/05). Finally, in regard to protecting homeownership and cracking down on mortgage fraud, Obama supports the creation of a fund to help homeowners refinance their mortgages. The fund would be paid, in part, from increased penalties levied against lenders who act irresponsibly or commit fraud. Obama has also introduced legislation (Stop Fraud Act) that defines mortgage fraud, increases funding for state and local law enforcement, and increases penalties for mortgage fraud. As for his plan to deal with this problem, McCain said the following: …""there is no substitute for faster economic growth.  No government program is a substitute for the jobs provided by a growing economy."" (Forbes, March 20, 2008) In other words, McCain’s plan is to do nothing for those faced with the loss of their homes or for those who watch while the value of their homes decline. This should hardly come as a surprise to those who may recall that McCain was previously quoted as saying that he did not understand economics."
5,Halt Global Warming by Stopping Fossil Fuel Combustion,politics," After years of warning the world about global warming and its dire consequences, Al Gore, the Nobel Prize winner, has finally taken the next, logical step.  He is proposing a solution. Mr. Gore has realized that conservation measures and ""Cap and Trade"" measures do not work.  The world can be saved only, if we completely eliminate all carbon dioxide emissions during the next forty years. Converting the electric power generating sector first, does make the most sense.  All major technologies for generating electric power from renewable energy sources are in various stages of development.  Installations using wind power, solar energy, geothermal heat, and marine power have been started up and are slowly gaining a measurable foothold. At present, coal fired power plants generate the least expensive electricity.  Therefore, market forces will never lead to the shutdown of the most egregious greenhouse gas emitters.  Only legislative action can prevent the construction of any new, coal fired power plants. We must also be aware that it will be very difficult to satisfy our growing electricity demand by building only windmill farms, solar plantations, and geothermal power plants.  For many years to come, there will not be enough manufacturing capacity to build an adequate number of electric power plants using renewable energies.  Initially, the capital costs of these plants will be high, risks for meeting rated output will be well above average, and elevated maintenance costs will be a common experience. We also need to address a few unresolved technical issues.  The most pressing one is the fact that both wind power and solar power can supply energy only on an interruptible basis.  Electric power is a fleeting commodity and we have not yet developed technologies that are capable of storing large amounts of electric energy. It seems unavoidable that nuclear power generation must assume a more substantial role during the next decades.  Nuclear power has become safer and public resistance to nuclear power plants is slowly receding.  Nuclear power plants can be installed faster once we begin to rely more on standardized reactor designs. Nuclear reactors with smaller capacities need to be built as replacements for coal fired plant boilers.  Huge amounts of capital and much time can be saved if existing coal plants can be retrofitted with steam produced in nuclear reactors to replace coal fired boilers.  Steam turbines, generators, substations, administrative buildings, and cooling towers can continue their operation with only minor performance reductions. This new type of reactor must be designed to be absolutely safe by installing both passive and redundant safety systems.  Retrofit reactors should become available in a very few, standardized designs and in sizes that fit up with the predominant sizes of coal fired boilers in use. While the US will be replacing, retrofitting, or shutting down its fossil fuel fired plants, it is an opportune time to prepare the US to regain its independence from foreign oil imports. Very soon, such activity can save the US more than one trillion dollars annually.  Past experience shows that petroleum prices and consumption of transportation fuels will maintain their unstoppable growths. Ideally, the world will continue using its fleets of cars, trucks, trains, ships, and airplanes.  Ideally, the world will keep its oil refineries operating and will preserve the huge distribution systems that deliver high quality liquid fuels to all corners of the world.  Replacement of transportation fleets, oil refineries, and liquid fuel distribution systems will cost too much and may break the economies of even the richest countries. We must realize that the world cannot live for more than a few weeks without transportation of foods, goods, and commodities.  Famines, riots, and economic upheavals will become unavoidable consequences of the lack of plentiful and affordable transportation fuels. To protect against such looming, economic disasters, the US must take the lead and learn how to produce petroleum substitutes from biomass.  Recent events have taught us that we must never again abuse arable lands to make ethanol or diesel from food crops. Instead, we must find plant species with very high energy contents and must grow these plants on arid and infertile lands.  By using desalinated water and novel industrial farming techniques one can grow enough biomass to supply the entire world with transportation fuels for several centuries.  Arid lands are abundant. Best of all, making petroleum substitutes from renewable biomass sources will not have to cost more than $50 per barrel. Building plants for the domestic production of electric power and of transportation fuels from renewable energies will make the US strategically more secure, will make us economically stronger, will reduce global greenhouse gas emissions by one quarter, will create a huge number of jobs, and will pay for itself by producing large, domestic revenues for many decades to come. The US must lead the world by example.  No other country has the capabilities and the resources to rebuild its energy supply systems."
6,A-Z of Global Warming - Kyoto Protocol,politics," This article is taken from The A-Z of Global Warming deals with the Kyoto Protocol. A major political force which brought global climate change to the fore was born from the Rio Earth Summit in 1992, where an agreement called the United Nations Framework Convention on Climate Change (UNFCCC), was agreed. This followed hot on the heals from the release of the Intergovernmental Panel on Climate Change's ( IPCC ) first report on climate change. The Kyoto Protocol as it became known entered into force on the 16th February 2005 and became the first important step in relation to climate change as governments and countries around the world committed themselves to a binding agreement to reduce their greenhouse gas emissions. The road to Kyoto was a bumpy one. After agreeing the UNFCCC, governments realised that action had to be taken to set real reduction targets, and so, in 1997, in Kyoto in Japan the parties to the UNFCCC reached agreement on what later became known as The Kyoto Protocol. For the protocol to enter into force it had to become ratified by at least 55 parties to the convention, and incorporating a list of 35 industrialised nations.  These nations together with the EU, accounted for at least 55% of the total of CO2 emissions in 1990. A stalling point came however when the USA, having signed up to the protocol under President Clinton, withdrew from the protocol when President Bush was elected in early 2000. Luckily, the protocol was given a lifeline by Russia, when President Putin ratified the agreement on November 18th 2004. The protocol's main aims required industrialised countries to reduce their emissions of greenhouse gasses by 5% below 1990 levels by 2008-2012. The gasses covered are the 6 main greenhouse gasses, namely; The agreement attempts to do this by providing for various market based mechanisms to assist countries or individual companies meet their respective emission targets. Emissions caps are put on Annex 1 countries, giving each country an emissions quota, or allowable amount of CO2 emissions. So for example the European Union has been given a target to reduce greenhouse gas emissions by 8% below 1990 levels. This target can be distributed amongst member states. In general developed Annex 1 countries have to reduce their CO2 emissions, whilst developing non Annex 1 countries have not had to cap their emissions, but instead will participate in CO2 emission reducing projects. There are three basic methods open to countries to meet their targets; Emissions Trading Schemes (ETS) As explained above, these schemes allow for the trading of CO2 emissions for carbon credits. So, if a country or industry exceeds their assigned amount of CO2 emissions, they would be able to purchase credits from a country or industry that has not. Only a small proportion of global emissions are covered by these schemes, and currently the EU has the largest scheme, the EU ETS. Clean Development Mechanisms (CDM) This is a way for Annex 1 countries to earn credits by investing and funding climate friendly projects and technologies in developing countries, thus helping control emissions in these countries. Joint Implementations Projects (JIP) Basically these are the same as CDM's, but with Annex 1 countries investing in climate friendly technology in other Annex 1 countries, rather than other developing countries. Whilst Kyoto is an incredible achievement it is at present the world's only agreement attempting to limit greenhouse gas emissions and global warming. There are problems due to the fact that the USA has not ratified the Protocol, and neither had Australia, until literally 3rd December 2007, following government change. Whist the USA refuses to sign up to the protocol other countries such as India and China, whilst ratifying the Protocol do not have obligations at present to reduce their greenhouse gas emissions on the basis that these countries were not responsible for today's greenhouse gas levels. However, at the rate these countries are developing, they will soon be the World's major polluters as they build more and more fossil-fuelled electricity plants to satisfy their energy needs. Indeed it is believed that in June 2007 China overtook the USA as the world's highest CO2 emitters It is true to say however that instead of the richest countries reducing their emissions by 5% to 1990 levels, they have in fact increased them by some 10%. It is believed that only four countries, UK, France, Germany and Sweden are on track to meet the targets set. Recently the UK announced the introduction of a Climate Change Bill making it the first country to set legally binding targets to reduce its CO2 emissions. The Bill will receive royal ascent in the autumn of 2008, and it will set targets to reduce CO2 emissions by 60% by 2050. What will happen after 2012? Well, UN secretary Ban Ki-moon convened a high level event that took place in New York on 24th September 2007, to promote discussions on ways to move the international community toward negotiations on a new global agreement on climate change. This took place at the UN climate change conference which took place in Bali on 3rd December 2008.  The purpose of discussions will be to try and get in place a multilateral framework for action on climate change, already refered to as Kyoto 2, for the period after the Kyoto agreement ends in 2012. Whist the Kyoto Protocol was a big step in the right direction, it seems that much more needs to be done and far greater cuts made to CO2 emissions to ensure global temperatures do not rise over critical levels. Copyright (c) 2008 Simon Rosser"
7,How We Could Solve the Gas Crises Tomorrow,politics," We could solve the gas crises tomorrow! That's right, literally, tomorrow. And no, it's not complicated, not difficult, it doesn't require enormous sacrifice or investment. The average driver, without replacing the car they have, and without changing the miles they drive, could reduce their fuel consumption by 20% simply by driving sanely. When approaching a stop or a turn, take your foot off the gas a block before - if you have never done it, you'll be amazed at how far a car can coast without appreciably slowing.  When accelerating, lightly touch the pedal, don't jump on it.  Take your foot off the gas pedal anytime to slow down, rather than to use the brake, coast down hills and highway ramps.  On the highway, keep a full two second gap between you and the car ahead, so you can drive at a steady pace - most drivers in heavy traffic are continuously braking and re-accelerating, wasting gas.  And perhaps most importantly, most cars have maximum fuel efficiency at 55 to 60 mph.  At speeds above that efficiency falls off precipitously.  At 75 mph you use one third more gas per mile you drive than you do at 55.  Keep your car maintained - clean air filter and fuel filter, fresh oil, and particularly, properly inflated tires are all important elements in improving fuel efficiency. Try it!  You may find that besides saving a bunch of money, that you'll feel good about yourself, good about helping your Nation and helping Planet Earth. Do you really think that the few minutes you might save by driving like a maniac is worth keeping ourselves dependent and beholden to the dictators who control the world's remaining supply of oil?  Is it really worth burning up this precious resource that we are stealing from our children, our grandchildren, and future generations?  Is it really worth polluting the air we breathe, and the atmosphere that regulates the planet's climate? At this time, the world's ability to pump oil out of the ground is just equal to the rate at which the world is burning it up.  Oil prices are determined by a worldwide market.  There are millions of speculators who are betting that the world will continue to burn it up faster, and that supply will not be able to keep up. Fully one quarter of the world supply of oil is consumed in the United States.  If The United States could show the national resolve to reduce gas consumption by even 10%, that would produce an immediate surplus of 2 million barrels of oil a day - within days there would be no place to store that much oil.  Speculators would jump off the oil market like rats off a sinking ship.  The price of a barrel of oil on the world market would Tumble. Of course, reducing gas consumption through driving for fuel efficiency is just a step.  The longer term solution is to trade-in the gas guzzlers for far more efficient vehicles, and eventually, to find the energy source that will replace oil as a fuel. We once had a National leader who resolved to put a man on the moon!  Where is the National leader who will resolve to end our dependence on oil?"
8,The A-Z of Global Warming- Fossil Fuels,politics," This article is taken from The A-Z of Global Warming and discusses fossil fuels. The generation of electricity through burning carbon rich coal has a greater impact on the atmosphere than any other single human activity. In 2003 the power industry created 44.5% of all manmade carbon dioxide (CO2) according to the World Resources Institute, Climate Analysis Indicators Tool (CAIT). If one looks at emissions of carbon dioxide alone (ignoring all other greenhouse gases), then for the year 2000, the figure is just under 33%, and the latest figure available from 2003, as mentioned above shows an increase for this sector to 44.5%. The latest figure however excludes CO2 from land use change.  So what are fossil fuels, and how are they formed? Well fossil fuels form deep in the earth's crust over millions of years from enormous pressure and heat which converts dead plant and animal matter into hydrocarbons in the form of coal, oil or natural gas, which can then be dug up and burnt as fuel. As these fossil fuels have formed over millions of years they are no longer considered to be part of the natural carbon cycle as they have effectively been ""locked up"" within the earth's crust and rocks etc. In 2005 alone some 28 billion tonnes of CO2 was released into the atmosphere, from burning fossil fuels, which is equivalent to around 800 tonnes a second! Out of all the fossil fuels the worst culprit is coal, which is used as the fuel in coal fired electricity power stations for the production of electricity. Generating electricity through carbon rich coal however has a greater impact on the atmosphere than any other single human activity. The power industry produces over twice the amount of CO2 as is produced by the transport sector. Basically electricity generation hasn't changed much from the 19th century with large power plants burning fossil fuels for the creation of electricity, and this model looks set to continue for some time to come. Within the rapidly expanding economies of India and China, coal fired electricity plants will dramatically increase. In fact China, the USA and India are the top three producers in the world. Apart from carbon dioxide, burning coal produces a host of other chemicals, like sulphur dioxide, which causes acid rain, Nitrous oxide and other heavy metals. What makes matters worse is that coal is the world's most widely available fossil fuel and there is almost 200 years of coal left, if it is used at its current rate. This will be pretty academic however as according to the latest report out by the Intergovernmental Panel on Climatic Change, if the burning of fossil fuels continue unchanged, the Earth could warm by as much as 6 degrees Celsius (10.8 F)  by 2100. This would mean almost certain extinction of most of life on the earth. One only has to look at pictures from recent news stories showing industrial cities in these developing countries to see the pollution and clouds of smog hanging over the cities and blocking out the sunlight. It is estimated that by the year 2030, 55% of all power stations built in the Asia pacific region will be coal fired. The transport sector in 2000 accounted for around 14% of greenhouse gas emissions, or 20% of CO2 alone (ignoring other greenhouse gases), in 2003. The majority of these emissions are from road transport, with aviation second, followed by shipping and rail last. Emissions from the aviation sector are expected to grow the quickest however. So whilst developed and especially developing nations continue to build power stations to gobble up the Earth's supply of fossil fuels, serious harm is being done to the atmosphere which will continue to elevate global temperatures as higher CO2 levels add to the greenhouse effect. There are in fact enough fossil fuels left to take the world to levels of CO2 concentrations of around 750ppm and above, (around 330 ppm more than present) which would elevate temperatures to such an extent that it would be catastrophic for all of Earth's inhabitants. CO2 as a result of burning fossil fuels is only one of the many greenhouse gases, which is contributing to the warming of the atmosphere. In the next article we will look at Earth's greenhouse gases, which are essential to life on Earth, but which are now warming the planet as their levels steadily increase. Copyright (c) 2008 Simon Rosser"
