,topic,category,content
0,Coronary artery calcium scoring — Is it useful?,health," 3.6K Followers 4 hours ago One of my patients, who also is a doctor, sent me this article from a website known as “The Medical Republic” with the title “Coronary artery calcium scoring provides no clinical benefit.” This was based on a systematic review published in JAMA Internal Medicine (1), with the initial paragraph after… 4 min read Apr 15 It is now well over 12 months since Covid vaccinations have been available in Australia. A small but very vocal minority of people, the so-called anti-vaxxers, have created a significant divide across the world. … 3 min read Apr 11 Over the past decade, there has been increasing emphasis on the variety of electromagnetic therapies available to treat a number of chronic conditions so common in our modern world. These therapies include different applications of laser treatment, often referred to as photobiomodulation (PBM), transcranial magnetic stimulation, typically used to treat… 3 min read Apr 10 Over the past few decades, there has been increasing evidence linking the importance of good gut health to many other diseases in the body. … 3 min read Mar 26 I’m old enough to remember when most of our food and fluid came in glass containers. These days, I defy you to find much in your refrigerator that is in glass. The commonest container these days is, no doubt, plastic based. Over the past few decades, there has been increasing… 4 min read Mar 18 One week after the death of the two cricketing legends, Rodney Marsh and Shane Warne, a prominent and well respected female Labor politician, Kimberley Kitching died suddenly at exactly the same age as Shane Warne, 52.

This prompted the National Heart Foundation of Australia to release a timely warning to women… 4 min read Mar 5 Friday, March 5, 2022 will always be remembered as a tragic day in the world of cricket with the deaths one of Australia’s greatest wicket keepers, Rodney Marsh, who died at the age of 74 following a resuscitated sudden cardiac arrest a week previously. Just as shocking was the sudden… 9 min read Dec 19, 2021 2021 has been a difficult year for us all. With most of the Australian population being in lockdown for a significant period of time, many people have put on the COVID kilos from a combination of excessive consumption of the so-called discretionary foods (the extra stuff we eat that is… 5 min read Dec 18, 2021 COVID has changed the world, possibly forever. All of our lives have been affected, whether we have been exposed to the virus or not. Our liberties, personal habits & interactions with each other are markedly changed compared with pre-pandemic. I would suggest the majority of us are experiencing the very… 4 min read Dec 4, 2021 With 8% of the adult population in Australia suffering type 2 diabetes, this condition and its less common cousin, type 1 diabetes may induce devastating complications affecting the macrocirculation, leading to heart disease, stroke and blockages in the arteries to the legs known as peripheral vascular disease. … 3 min read"
1,And my colleagues came visiting,health," 63 Followers Pinned 100 Days in Office: Building a stronger health sector for Ekiti State When I was asked by His Excellency, Governor Kayode Fayemi to join his cabinet as Honourable Commissioner for Health and Human Services in Ekiti State, I saw it as one of the greatest honours possible. Over the last… 6 min read 19 hours ago “When you meet with your old friends, you recollect some of the finest moments of your life and find yourself in a joy that has no comparison” This weekend, a number of my classmates back at the College of Medicine, University of Lagos, spent 2 nights in Ado Ekiti with… 4 min read Dec 30, 2021 What a year 2021 has been! As with many people, I am looking forward to 2022 with optimism. But before we close the year, I thought to share some musings on five topics that have either inspired or intrigued me. “Expose yourself to as much randomness as possible” — Ben… 5 min read Sep 21, 2021 The past few weeks have been exciting, to say the least. Results of some of our work are gradually beginning to bear fruit and there is quite a bit more in the pipeline 😁. … 4 min read Sep 2, 2021 Lesson 7: I can’t control expectations, but I can manage them Being in public office comes with quite a number of expectations and this is not absurd. Quite often I get an interesting number of requests from people who have very high expectations of me. Being of assistance to people… 5 min read Aug 31, 2021 This time last year, I was getting ready for my inauguration. I got sworn in on the 31st August 2020 and commenced work on the 1st of September 2020. … 7 min read Aug 29, 2021 Vaccines save lives, get vaxxed! Towards the end of July and the first 3 weeks in August, we saw a sharp spike in the number of positive COVID-19 cases in the State. While we acknowledge the fact that our increased testing allowed us pick up more cases, we have had… 3 min read Aug 18, 2021 Vaccines save lives, take the leap! The Ekiti State Government has continually displayed leadership and commitment in the fight against the Covid-19 pandemic, through several innovative interventions such as the establishment of a molecular laboratory, the use of RDTs for testing, the establishment of Emergency Operations Centre (EOC) in all… 3 min read Aug 13, 2021 Protocol It is a pleasure and honour to be invited as a keynote speaker at this scientific conference organised by the ARD. Pleasure because as an alumnus, LUTH holds many memories for me and this Old Great Hall in particular, contributed to shaping the foundation of what I have become… 13 min read Aug 4, 2021 I was away from Ado for some days, and didn’t have much time to pen my thoughts. While away, I tried to get some rest and also explored my environment. Usually, I would share my top 3 takeaways, but I have several thoughts and experiences to share, a culmination of… 5 min read"
2,Getting Rid of Your Weight-Loss Dreams,health," 1.4K Followers Published in Nine steps for Personal Development ·Pinned List your assets and flaws. —  Self-improvement implies distinctive things to diverse individuals. For some, it means building up a significant profession. For others, figuring out how to have important connections can be self-awareness. You can utilize your qualities and shortcomings as a manual to help you distinguish objectives that will advantage of your life. … 1 min read Published in Life Torch ·Pinned Nothing lasts, except change. —  Change is a part of life. In the Greek philosopher’s day, the change tended to happen. But today, the world is changing at an alarming rate. With television and the Internet, images and information travel around the world in seconds. And we are sometimes expected to react as quickly. Change… 2 min read Pinned Family https://ed-it-us.medium.com/list/family-e1adfa7fecc5 Me, Myself and Ed-iT https://ed-it-us.medium.com/list/me-myself-and-edit-9e309fd1e392 Fitness Tips for Your Daily Life https://ed-it-us.medium.com/list/fitness-tips-for-your-daily-life-dd098dfc2122 Gardening Stories https://ed-it-us.medium.com/list/gardening-stories-d80233c5f7f5 Affiliate Marketing Tips https://ed-it-us.medium.com/list/affiliate-marketing-tips-6ca02bf81eb1 1 min read https://ed-it-us.medium.com/list/family-e1adfa7fecc5 https://ed-it-us.medium.com/list/me-myself-and-edit-9e309fd1e392 https://ed-it-us.medium.com/list/fitness-tips-for-your-daily-life-dd098dfc2122 https://ed-it-us.medium.com/list/gardening-stories-d80233c5f7f5 https://ed-it-us.medium.com/list/affiliate-marketing-tips-6ca02bf81eb1 https://ed-it-us.medium.com/list/steps-for-personal-development-91572eb63c4e https://ed-it-us.medium.com/list/traveling-tips-777a2967d032 https://ed-it-us.medium.com/list/weight-loss-stories-ff921ef360af https://ed-it-us.medium.com/list/published-in-food101-498725684f8b https://ed-it-us.medium.com/list/a-penny-for-your-haikus-033dcc18fb9b https://ed-it-us.medium.com/list/creative-oddity-fdaa81c59b30 345 345 Published in Weight L ·17 hours ago Don’t be put off by their words! —  Too often, people convince themselves to believe many of these myths. Implementing a balanced diet and fitness program will help you achieve the best results. People who have a lot of weight to lose frequently work with a personal trainer. He helps them put in place a comprehensive weight loss… 1 min read Published in Ed-iT Newsletters ·18 hours ago Haiku Over the rainbow — medium.com Creativity flies Continue reading on Writing101 » Personal Development 2 min read Published in MarketingAffiliate ·1 day ago Be aware of great, unchanging principles. —  Traffic is only an industry term for the number of individuals who visit your sites or snap your ad connects. There are numerous approaches to getting traffic on the Web. You can pay for snaps and ads through Google Ads or from flag positions. Facebook even has its own paid… 1 min read Published in Life Torch ·1 day ago You can overcome life’s ups and downs by being together. —  Support and Resilience 1. Friends provide emotional support. They listen to you, empathize with you, and let you know that they care about you. This is especially important when you are feeling depressed or alone.
2. Friends challenge negative thoughts with their different perspectives. They can help you see things from different angles. And… 3 min read Published in MyFitness ·1 day ago Being in fantastic shape and living soundly are not synonymous. —  Having a sound body, and being in great shape are two unique real factors. Numerous people can get sound by burning through a top-notch diet. To accomplish the best outcomes, it’s imperative to join both wellness and wellbeing into day-by-day living. Two people can lose 1 pound of undesirable fat… 1 min read Published in Science For Life ·2 days ago Maintaining a good level of fitness has many benefits. —  Look in almost any magazine, in any TV commercial, and in almost any Internet ad. and you’ll see an avalanche of information about fitness. Why is fitness such a hot topic, and why is it so vital? As you read this story, you will discover many benefits of maintaining a… 3 min read Published in Traveling tips ·3 days ago It’s a fantastic place to go! —  The second-biggest characteristic reef on the planet runs along the Yucatán Promontory, nearby Cozumel. Chankanaab, signifying “little ocean” in the Mayan language, is home to an exceptional Tidal pond. Seaktrekking or Snuba plunging let you investigate. Cozumel is an incredible spot to visit and one of my “number one” puts… 1 min read"
3,"Here’s How You Can Reduce Your Levels of Fatigue by 65%, Starting Today",health," 17.6K Followers Pinned This week’s most viewed story: —  3 Unconventional Ways to Increase Your Energy Levels All-time most viewed stories: A Recent Study Has Revealed the Long-Term Impact of Drinking Coffee Every Day: 229,000+ views The Simple 40 Minute Morning Routine That Completely Changed My Life: 191,000+ views How to Increase Fat Loss in Just 10 Minutes Each… 1 min read Published in Mind Cafe ·Pinned How to master the art of continual self-improvement. —  What is the meaning of life? To become a better human being every single day. “Each person’s task in life is to become an increasingly better person.” — Leo Tolstoy How do we become better every single day? We develop practices that will help move us incrementally forward. Small steps… 12 min read Published in Change Your Mind Change Your Life ·Pinned A few simple practices were all it took to set me on a trajectory for success. —  Almost one year ago, my life changed. It wasn’t a big, dramatic event that was the catalyst, nor a realization that my life was on the wrong path. To be honest, I didn’t even know that the path I was on was heading in a direction I didn’t want to… 7 min read Published in Stoicism — Philosophy as a Way of Life ·Pinned The daily practices of the Stoics for a life lived well. —  The Stoic life centred around habits and routines — practices in which they engaged daily, from their waking moments until going to sleep, that provided the structure necessary for a day lived well. These practices can provide a blueprint for us, to help us to lead good and happy lives… 11 min read Published in In Fitness And In Health ·16 hours ago Use this simple method to reduce fatigue and boost energy. —  A lack of energy is a huge problem today. People want to get fit and eat well, but it’s really hard to make big changes in your life if you’re tired. This means energy needs to be the first thing you address if you want to improve your health. Fortunately… 2 min read Published in The Startup ·2 days ago Improve your productivity and achieve your goals with 3 easy steps. —  “If you don’t produce, you won’t thrive — no matter how skilled or talented you are.” — Cal Newport, Deep Work Deep work is a crucial skill for everyone. You need to be able to focus for long stretches of time if you want to level up in life and… 6 min read Published in Mind Cafe ·4 days ago 3 simple steps to wake up early and crush your goals. —  Waking up early is the best way to change your life. If you have big goals, if you’re not completely satisfied with your life right now, if you know there’s more out there, then you need to start waking up earlier. Yes, it’s uncomfortable and yes, sleeping is easier. But… 4 min read Published in Change Your Mind Change Your Life ·4 days ago Burnout significantly reduces your quality of life. You need to learn the signs. —  Burnout has a huge impact on your health and your quality of life. It’s becoming more and more pervasive in society, and many people are ignoring the signs and inadvertently making things worse. Learning to recognize and manage it is crucial. Here’s what to look for and simple but effective… 3 min read Published in Better Humans ·4 days ago 3 steps to creating boundless energy, every single day. —  Are you tired all the time? A lack of energy can significantly reduce your quality of life. If you’re struggling with fatigue and want to start your day with energy and clarity, this is for you. Energy is the foundation of everything Without energy, everything is 10x harder: Exercising Eating well Pursuing meaningful goals Showing up… 5 min read Published in In Fitness And In Health ·4 days ago A straightforward guide to boosting your energy levels. —  Life in Western societies has become too easy — heated and air-conditioned buildings, electricity, and transportation that lets us get anywhere in a matter of minutes. While undoubtedly helpful and convenient, we are no longer challenging our bodies, and this is leading to an energy crisis. Our physiology thrives off… 5 min read"
4,How To Get The Most Out Of Your Coffee Break,health," 293 Followers Published in ILLUMINATION ·Pinned TIPS TO HELP REGAIN A SENSE OF BALANCE —  You know you want to do it, but what holds you back? Most of the time, when we put off an important task, it’s because we fear that we don’t have enough time or money, or willpower to complete it. We unconsciously take on the scarcity mindset — the belief… 6 min read Published in ILLUMINATION ·Pinned The best ways to identify your unique voice —  When you think of a writer, the first thing that probably comes to mind isn’t a thrilling image of a person hunched over a computer keyboard churning out copy at a furious pace. In fact, the average writer isn’t exactly known for their fast writing pace. What they’re more known… 6 min read Published in ILLUMINATION ·Pinned Accept your feelings and move forward with your life —  You are a human being. And like all other humans, you have emotions. You feel joy, sadness, happiness, stress, and many other emotions. When you are in the grips of them all, you might feel like giving up. But giving in to your emotions is something that never lasts very… 4 min read Published in ILLUMINATION ·Pinned If there’s one thing that all successful people have in common, it’s that they all know how to start living the life they want. They all have a set of habits and a way of operating that allows them to get things done with minimal effort. They all understand that… 6 min read Published in Clear Yo Mind ·Pinned Thoughts on a piece of paper —  Write every day, even if it’s only for five minutes at first. It doesn’t matter if you can’t think of anything to write about and don’t feel like writing that day — just do it anyway! “One day I will find the right words, and they will be simple.”
 —… 5 min read Published in Clear Yo Mind ·6 hours ago FROM SLEEP, STAMINA AND PRODUCTIVITY —  The art of coffee is as old as coffee itself. People have been drinking it for thousands of years, and they’ve been creating some amazing coffee-related art. From iconic coffee-house logos to everyday coffee-lovers scribbling their own notes, coffee has a way of making even the most mundane of activities… 5 min read Published in ILLUMINATION ·21 hours ago Change your beliefs in 24 hours, and you will change your life. —  You’re reading this because you’re interested in changing your life. Whether you’re ready to make a new career opportunity available, or want to lose the last few pounds, changing your life for the better takes action. But action can be scary. It conjures up images of going to the gym… 4 min read Published in The Personal Growth Project ·1 day ago A Simple Way to Get More Ideas and Improve Your Writing Skills —  The idea of writing every day can feel a little overwhelming at first. But the rewards are worth it: improving your writing, increasing your vocabulary, and learning how to take action when your ideas come to you in the form of words. If you’re anything like many of us, you… 5 min read Published in ILLUMINATION ·2 days ago Building a strong foundation for your future —  Personal growth is a process, not a destination. It’s something that constantly needs to be worked on, and there’s no point in thinking that it can be completed once and for all. It requires constant practice, reflection, and attention. Because personal growth is so important, I’ve put together a list… 8 min read Published in Clear Yo Mind ·3 days ago Over 600 words on how to avoid manipulation —  People who are manipulative have a way of making you feel like you’re the one at fault. They’ll make you feel like you’re not good enough, or that you’re not worthy of getting what you want. If you or someone you care about is being manipulated, it’s important to know how to spot it and how to identify the manipulative person in your life. “Half of the people lie with their lips; the other half with their tears”
― Nassim Nicholas Taleb 4 min read"
5,What To Do If You Get Covid,health," 2.7K Followers Pinned Dr. Robin’s Covid-19 Updates Doctors Telling Their Omicron Stories It is Horrific Out There I’m a Boston-based cancer doctor and I’ve been writing weekly fact-based-no-blame-no-rumors-all-science-all-the-time essays about Covid-19 since March 2020. You can read my views on what we know/knew about Omicron here — or about kids and Omicron here — or you can read about vaccines/anti-vaxxers throughout history here 9 min read 13 hours ago Version Three Point Uh-Oh! Omicron case numbers from the very contagious BA.2 and BA.3 variants — and soon BA.4 and BA.5 — continue to move upwards, now climbing in over forty states. — -The good news: Vaccines/boosters no longer are perfect at stopping us from getting Covid but they are… 6 min read 2 days ago Coping with the Great Unmasking Covid cases continue to crawl upwards in early May but not hellaciously in most places — not system-crushing. Since home testing has increased so much it’s probably worse than it looks, but still, hospitalizations are stable, too. So it’s not super-dooper terrible. … 6 min read Apr 12 Building The Plane While We Fly It, Part 706 Our lull in the middle of mild storm clouds continues. In Massachusetts the number of cases has ticked up a bit. The number of people in the hospital is stable and a fraction of what in was in January (like 200… 5 min read Mar 27 Will It Cripple Us Again? We are still in the middle of a wonderful Covid lull but there’s probably some storm clouds gathering, mostly in the form of that Omicron variant called BA.2. Numbers of cases, deaths and hospitalizations are going down in the US but skyrocketing in other parts… 5 min read Mar 16 Six Steps To Being SafeR I’m a Boston-based cancer doctor and I’ve been writing weekly fact-based-no-blame-no-rumors-all-science-all-the-time essays about Covid-19 since March 2020. Here’s my latest; thanks for reading. If you want to support this kind of writing and Medium, you can support us here. In the good news bears category, Omicron cases — mostly caused… 6 min read Mar 8 You just spent two years stewing in a cauldron of anxiety — now what? I am writing this on March 6, 2022. I first wrote about Covid, in a post to my neighbors, on March 6, 2020. There is now absolutely no question that we are facing a major life-altering… 6 min read Feb 21 (at least for a few months) —  I’m a Boston-based cancer doctor and I’ve been writing weekly fact-based-no-blame-no-rumors-all-science-all-the-time essays about Covid-19 since March 2020. You can read my views on what to do if you get Covid here — or about kids and Omicron here — or you can read about vaccines/anti-vaxxers throughout history here Omicron is… 6 min read Feb 9 Dr. Robin’s Covid Updates Yes, You Really Should Get a Booster Shot Time to Get on the Science Train I’m a Boston-based cancer doctor and I’ve been writing weekly fact-based-no-blame-no-rumors-all-science-all-the-time essays about Covid-19 since March 2020. You can read my views on what to do if you get Covid here — or about kids and Omicron here —… 6 min read Jan 24 Dr. Robin’s Covid Updates Omicron Update We’ve Learned a Lot in Two Months. But We’re Still in the Soup I’m a Boston-based cancer doctor and I’ve been writing weekly fact-based-no-blame-no-rumors-all-science-all-the-time essays about Covid-19 since March 2020. You can read my views on what to do if you get Covid here — or about kids and Omicron here — or you can read about vaccines/anti-vaxxers throughout… 6 min read"
6,5 “Normal” Daily Habits that Might Actually Damage Your Brain,health," 8.1K Followers Published in Wholistique ·Pinned It isn’t money, success, fame, or following your passion —  For over 80 years, Harvard’s Grant and Glueck study has tracked the well-being of two demographics: 268 graduates from the batches of 1939–1944 and 456 poor men growing up in Boston since 1939. Since pre-World War II, they’ve painstakingly scrutinized blood samples, performed brain scans, collated surveys, and actually interacted… 4 min read Published in Publishous ·Pinned They can do the same for you if you stick to them for long enough —  There are tons of cliche habit articles floating around the internet. This is not one of them. I’ll share with you 3 habits, just three — the only ones I’ve consistently stuck to for years and reaped tremendous returns. Like most other articles, I could throw in 7 or 12… 5 min read Published in In Fitness And In Health ·Pinned Had I known these earlier — I would’ve saved a lot of effort, time, mental anguish, and money —  It has been close to 5 years since I first stepped foot in a gym and the most shocking thing is just how much fitness misinformation there is out there. The fitness industry looks glamorous and flourishing on the outside but in reality, is one of the darkest industries out… 8 min read Published in Publishous ·Pinned Insightful, engrossing, and beautiful ones that I’ll never tire of —  My love for books first began as a pre-schooler when my mom read to me every night before bed. I would doze off lost in my world of talking animals, glistening treasures, and thieving goblins. Over the years, this love would only grow and I’d go on to read more… 11 min read Published in Blank Page ·Pinned Write every day isn’t one of them —  When I started writing online, one of the first things I noticed was the sheer number of articles on how to write good articles. … 6 min read Published in Wholistique ·4 hours ago Nail these and watch your romantic success soar to the skies —  With social media and dating apps “globalizing” the love space, 21st-century dating has become a nightmarish hellscape. The bar for male attractiveness has jumped on steroids — an OkCupid survey found that women find 80% of men ugly! So this leaves a lion’s share of men desperate for intimacy —… 4 min read Published in Better Humans ·7 hours ago The people we call “the 1%” avoid these common habits of modern life —  As Descartes said, “I think therefore I am”, we are our minds. But modern society’s bent upon messing up our brains — by not only normalizing but promoting toxic habits. The global mental health stats are alarming—around 800 million people suffer from clinical anxiety, depression, or both. Suicide’s the cause… 6 min read Published in Wholistique ·3 days ago Great men are not born great, they grow great —  “Great men are not born great, they grow great …” — Don Vito Corleone Do you know the gap between the man you want to be and the man you are? Your habits. What you do daily might seem trivial, but it’s these minuscule differences that compound into insane results… 6 min read Published in Books Are Our Superpower ·3 days ago Here’s why you should read them —  While most good books are gleefully entertaining or quite informative, some deal a hard punch in the gut, and few outright alter the trajectory of your life. But only a minuscule handful smash your mind to tiny pieces — and make you question the very roots of your reality. These… 5 min read Published in Better Humans ·6 days ago Much better than getting drunk or binge-watching Netflix —  Dragging your feet to work every morning, suffering through the meetings, blowing off steam with a tall jug of beer, and sacrificing sleep at the altar of Netflix. How and when did we normalize such a toxic way of living? To a level where society views people that don’t get… 6 min read"
7,"Covid is Getting Far Worse, But No One Wants to Hear It",health," 3.5K Followers 1 hour ago The strategic decision that may have changed the course of the Ukrainian war —  Military and political intelligence gathering has been a dark game, hidden and mysterious, with a seedy edge. Untrustworthy people double dealing or trying to redeem themselves. That’s the myth, but that image has been blown wide open by this very real time war. The Ukraine invasion rolled out fast and… 3 min read 15 hours ago Go ahead, try the dark side —  I’m noticing a definite trend in the reception of my writing and the writing of those I follow on various platforms (there are not many- I can barely keep up with reading these days though it is part of my job). People are responding to dark scenarios. This is not… 3 min read 1 day ago Deaths are up, way up —  I see the graphs in the WaPo and The Guardian every morning, a quick glance most of the time. Cases, hospitalization rates, deaths, vaccination totals. The two sources don’t always match up, but the trends are generally pretty obvious. And they got a lot worse in the past month, across… 3 min read 1 day ago Or a person —  “If you repeated what you did today 365 more times will you be where you want to be next year?” Kevin Kelly After publishing over 640 articles here, I have probably written about drinking less than a half dozen times. I’m not on a crusade, though apparently many are. I… 2 min read 2 days ago He argues that the subject never comes up in the Constitution, a 240 year old doc —  I had to go back and read the Constitution before I wrote this piece. I’m not actually sure I had ever read it before and I’m pretty sure most of us who are not lawyers haven’t either. Here it is, if you want to take a look. Alito’s most whack… 3 min read 2 days ago This man is a psychopath, good luck Republican stooges —  According to a tell-all book written by Mark Esper, a former Secretary of Defense under Trump, he also speculated about shooting missiles at Mexico to stop drug cartels. I have some news for the Donald: drug cartels don’t work out a garish office towers with their names on them. … 2 min read 2 days ago His fundamental mistake —  I’ve written quite a bit about this war and the politics behind it, but one thing stands out. Ironically it came out when I was writing about the Republicans and this abortion mess. They are making the same mistake that Vlad has made, a critical strategic misstep. They are not… 4 min read 3 days ago They do not want us to set aside our disagreements and talk —  Pro choice/anti-abortion. MAGA/libs. Coasts/Midwest. North/South. Trump/Never Trump. Evangelicals/anyone else. You/me. Yes, you and me. I don’t know you, but I’m supposed to categorize you and decide whether we will talk or not based on that category. This is intentional. It’s called Divide and Conquer. It’s based on a simple premise… 3 min read 4 days ago And at least three of the five conservative SCOTUS judges did it, on tape —  The leaked Alito opinion on overturning Roe v. Wade is real. Let’s get that out of the way. And let’s not get into the pro/cons of abortion. I think my readers know my opinion and you are entitled to yours. I think there is a far worse underlying problem here… 3 min read 5 days ago Alito’s leaked ruling is a terrorist act —  My opinion about abortion is not relevant to anything. I’ll never face that decision, but I know many who have and it is not a simple one. It has nothing to do with religion, which these days is primarily a weapon used by white men to boss people around. The… 2 min read"
8,An Oft-Forgotten Tool to Drop Your Blood Pressure,health," 6.1K Followers Pinned “NIGGER, NIGGER, NIGGER” cut through the air of the oncology consultation room, with the staccato triplet setting my eardrums vibrating and freezing my face and body in space. I have often thought about race and have heard such racial epithets on several occasions. … 6 min read Published in BeingWell ·Pinned Blood levels of proteins reflect the starting, stopping, and changing of biological processes linked to aging. We make significant changes at three ages. —  “The wiser mind mourns less for what age takes away than what it leaves behind.” This is the insightful observation of William Wordsworth (1770–1850), the English romantic who (along with Samuel Taylor Coleridge) helped initiate the Romantic Age in English literature. Together, they published Lyrical Ballads in 1798. 3 min read Published in BeingWell ·2 hours ago YOU KNOW OF THE CARDIOVASCULAR PERILS of smoking, not getting physical activity, excessive weight, insufficient sleep, and drinking too much alcohol. But did you know that connecting with others can benefit your heart and brain? In the United States, the ten leading causes of death are: Heart disease Cancer Accidents … 3 min read Published in BeingWell ·1 day ago CANCER RISK REDUCTION INCLUDES PROTECTION from particular viral infections. There are vaccines for human papillomavirus (HPV) and Hepatitis B that can reduce cancer risk. There are seven viruses known to be associated with cancer: Epstein-Barr virus (EBV) is a herpes virus spread through saliva. Infection with Epstein-Barr virus increases the… 3 min read Published in BeingWell ·2 days ago AS I AGE, MY BLOOD PRESSURE HAS BEEN CREEPING a bit. With my bent toward looking inside the management toolkit (diet and exercise immediately come to mind), I wondered what outside the toolbox measures might help me lower my blood pressure. Today, we’ll look at how mental changes affect the… 3 min read Published in BeingWell ·3 days ago ULTRA-PROCESSED FOODS — FACTORY-MADE AND HIGHLY REFINED — influence our mental health? A new systematic review and meta-analysis of 43 observational studies revealed many harmful effects of ultra-processed foods, including a slight increase in the odds of suffering from depression. Ultra-processed foods can be pretty tasty but not filling. The… 3 min read Published in BeingWell ·4 days ago BEING IN GREEN SPACES CAN ENHANCE OUR HEALTH and well-being. I have written about how a particular fractal complexity delights our brain. A new study shows that the environment around us can shape our stroke risk. Nature comforts us. How often have you felt at peace staring at the ocean… 4 min read Published in BeingWell ·5 days ago “Remembrance of things past is not necessarily the remembrance of things as they were.”
― Marcel Proust A NEW BLOOD TEST OFFERS THE PROMISE OF SUPPLEMENTING an Alzheimer’s disease clinical diagnosis. Scientists at Brain Chemistry Labs (Wyoming; USA) offer that their new approach represents new thinking separate from amyloid-beta and… 4 min read Published in BeingWell ·6 days ago FIRST, I AM NOT GOING TO PROCLAIM THAT nobody should ever eat nitrate-containing foods such as hot dogs or bacon. However, you may want to look for nitrate-free versions of the foods. A French study reports a positive relationship between intake of the food preservative and cancer risk. Researchers analyzed… 4 min read Published in BeingWell ·May 2 VACCINATION IS ESSENTIAL TO LOWERING your risk of suffering severe illness associated with a COVID-19 infection. With that in mind, there is one risk-reducing maneuver that you may not think about: Adequate sleep can promote immune system function and lower your infection risk. Our white blood cells, including T-cells, are… 4 min read"
9,The Most Promising Longevity Drugs To Date,health," 92 Followers Published in Apollo Health Ventures Insights ·2 days ago A Review of Test Results in Animals and Applications in Humans* During its first several decades, up until the early 2000´s geroscience was fighting tooth and nail against the widespread notion that aging is non-malleable — a mishmash of complex processes that cannot be slowed or reversed, certainly not with a single drug. Things began to change after the discovery of… 14 min read Published in Apollo Health Ventures Insights ·Mar 18 Nils & Ole, why did you found Apollo Health Ventures? Nils: Innovation has always made the greatest impact on human development. For a long time, Ole and I observed that one of the greatest challenges remains to be how we tackle aging and age-related diseases. For us it all started… 6 min read Published in Apollo Health Ventures Insights ·Feb 25 Altos Labs started 2022 with big news for the aging space, as the new biotechnology research company announced it had raised some $3 billion in seed money. Backed by highly successful investors and entrepreneurs — including Israeli science and tech investor and DST Global founder, Yuri Milner; Amazon founder, Jeff… 5 min read Published in Apollo Health Ventures Insights ·Jan 5, 2021 Immune function declines steadily with age Over the past few decades, the largest global health challenges were primarily driven by chronic age-related diseases. Many believed we had infectious diseases well under control, at least in the developed world, and so the sudden new threat from infectious agents came as a surprise. Nonetheless, it is essential to… 5 min read Published in Apollo Health Ventures Insights ·Sep 23, 2020 In today’s digitally driven world it is a common habit of the general public and media to dedicate significantly more attention to the classic tech and software space than to biotechnology. Understandably so: Big success stories in the tech economy are loudly communicated and feel always present - seeing Amazon… 6 min read Published in Apollo Health Ventures Insights ·Dec 20, 2019 Samsara Therapeutics Receives $ 3.2 Million Seed Funding for Further Pipeline Expansion December 20, 2019 — Samsara Therapeutics Inc, a biotechnology startup with the world’s largest platform for the discovery and development of drugs to activate autophagy, announced the completion of their $ 3.2 million seed round. After the initial pre-seed investment of an undisclosed amount by Apollo Health Ventures at the… 3 min read Published in Apollo Health Ventures Insights ·Oct 7, 2019 Aeovian Pharmaceuticals Raises $37 Million Series A Financing Hamburg / San Francisco, October 2019 — Aeovian Pharmaceuticals, our portfolio company developing innovative therapies for the treatment of rare and aging-related diseases, announces the close of a $37 million Series A financing co-led by venBio and Sofinnova Investments and supported by us and our longtime partner Evotec. … 3 min read Published in Apollo Health Ventures Insights ·Oct 9, 2018 Surely all of you are excited about the benefits, anti-aging interventions could have on our health and lifespan. However, one thought has probably also crossed your mind: If we make people live longer, won’t that contribute to overpopulation? The short answer is No. Increasing health and lifespan of people won’t… 3 min read Published in Apollo Health Ventures Insights ·Sep 21, 2018 Humanity has been obsessed with the idea of ‘extending life’ for thousands of years. Philosopher’s stones, fountains of youth, spells, and magic… despite the claims and promises nothing seemed to work. That is until we decided to approach the problem with a scientific mind. Almost one hundred years ago, in… 2 min read Published in Apollo Health Ventures Insights ·Aug 16, 2018 Economists like to say ‘demographics are destiny.’ Global demographic aging is a very serious matter. The world is rapidly getting old and sick as we have fewer children and the elderly live longer (but not better or with more vitality). This crisis is also known as the Silver Tsunami, and… 2 min read"
