,topic,category,content
0,Auction clearance rates slide to lowest levels in 2022 after rate hike,house-and-home," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
1,Timed eBay-style online auctions shake up the power dynamic of high-stakes property purchases,house-and-home,"  New eBay-style online property auctions offer transparency as Australian buyers bid from home For the latest flood and weather warnings in Queensland, search on ABC Emergency When Tyler Hoggard and Jess Farrell recently bought their first house in Wollongong, the auction took place in the kitchen of the Mount Pleasant home that is now theirs. They had walked around the place, loved it and already pictured what life would look like living there. ""It [being there] definitely made an impact on the emotional connection, as it's always hard to properly gauge the quality of a home from photos and videos,"" Mr Hoggard said. It is this emotional connection real estate agents bank on at auctions, but technology could end up nullifying the effect as more bidders are raising their hands from their home or office. Timed online auctions are like buying a house on eBay, away from the theatre and pressure of a live onsite auction. ""I think that bidding online would have made for an entirely different experience and it would be much easier to let it go when the bidding had already gone further than we intended,"" Mr Hoggard said. ""While we went into the auction with a strategy in mind, most of it went out the window after the first few bids. ""There's a strong sense of urgency that comes with being present in the room."" Wollongong real estate agent Neil Webster recently sold a house in Shellharbour using a timed online auction. He said while the technology might not be best for every property, it offered a level of transparency that added credibility to his industry. ""There's a perception that real estate agents aren't the most trustworthy of people, it's a hark back to the bygone era when agents would do some dubious practices at times,"" he said. ""By using these platforms, we can operate in a more transparent way because people register, they're bidding and it's like eBay. ""You get notified every time an offer is made and you know someone is genuinely out there bidding against you."" He said the online auction gave buyers more time to consider their options than an onsite auction. If a higher bid comes in just before the auction closes, another five minutes is added to the auction each time the highest bid is exceeded. ""Sometimes the auction can go past the defined time because we have people throwing in that little bit more,"" Mr Webster said. ""That's what you'd be doing at an auction with the auctioneer saying, 'First call', 'Second call', then I can talk to the buyers. ""And online, it's the same process — I'm calling the underbidder to see if they have more in the tank and if they'll put another offer in."" By taking someone away from the front lawn or the kitchen of the property they are bidding on, an online auction can sever some of the attachment to a property. ""Being onsite definitely heightened the stakes,"" Mr Hoggard said. ""It gave us the opportunity to walk around inside the home and picture how we would live in different spaces."" Neil Webster knows it might end up swinging some control back towards the bidder at an auction, which is why real estate agents may still choose onsite auctions for properties people are more likely to live in. ""Having people stand on the front lawn or in the kitchen of the house they're trying to buy has a greater impact in terms of getting you emotionally involved in the sale process and once that aspect is removed, it takes away the connection to the property,"" he said. ""If you're buying as an investment, it's a different thing – you're doing it online where it's a business decision and you're [the agent] encouraging people to buy based on price and investment return."" ABC Illawarra will deliver a wrap of the week's news, stories and photos every Thursday. Sign up here. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
2,Significant drop in auction listings across major cities in Australia,house-and-home," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
3,New Adelaide shop to sell second-hand building materials to raise money for Habitat for Humanity,house-and-home,"  New Habitat for Humanity shop ReStore to sell new and second-hand building materials in Adelaide For the latest flood and weather warnings in Queensland, search on ABC Emergency A charity store in Adelaide's north-west is the first of its kind to launch in South Australia, selling new and second-hand donated building materials at discounted prices. The Alberton shop, called ReStore, sells new or gently used furniture, paving and plumbing materials, as well as lighting and bathroom fixtures that have been donated by building companies, businesses and individuals. It is an initiative that has been 15 years in the making for not-for-profit organisation Habitat for Humanity, which builds homes for disadvantaged families and apartments for homeless youth. The organisation's South Australian executive officer, Louise Hay, said it would be a relief to officially open the doors to the public on Saturday. ""Everybody has greeted us with such vigour and such interest,"" she said. ""Anybody who is interested in purchasing anything for their home is more than welcome; we're not about just helping low-income [people]."" Ms Hay said ReStore would act as a social enterprise, providing the organisation with a funding mechanism to continue its social housing programs. ""The money that we raise here is what will go back into our programs — so it'll go back into the building the homes for the disadvantaged,"" she said. The organisation has so far built more than 40 homes and apartments for South Australians struggling with shelter. Customer Debbie Richardson said it made shopping easier ""knowing that what you buy, that the money goes to housing people as well as feeling good about keeping things from landfill and having a nice buy for your house"". ""It just gives you an opportunity to perhaps buy something that you might have to save up for or you wouldn't get otherwise,"" Ms Richardson said. Port Adelaide Enfield Mayor Claire Boan hoped the shop would also become a hub for recycling. ""We're certainly looking at ways that we can work together in terms of saving some of the refuse that we put out for hard rubbish that can be collected and saved,"" she said. ""Rather than going to landfill, it can come back into this place for sustainability purposes. ""Why would we put something out into the dump if we can actually use it and put it to good use?"" Two other ReStore outlets operate in Victoria. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
4,What does a possible rate rise mean for you?,house-and-home," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
5,Campbell bought this 110yo church for $26K. He and Caroline renovated it and are now mortgage-free,house-and-home,"  Young couple turn ageing church into divine new home and are now mortgage-free For the latest flood and weather warnings in Queensland, search on ABC Emergency A young couple have transformed a decaying country church into a new home, with locals ecstatic a piece of their history has been restored. Campbell Michell had only renovated a couple of small rooms before he found the Pinnaroo Methodist Church, about two hours east of Adelaide near the Victorian border, in 2016. The 110-year-old building was in a state of disrepair after the congregation moved out a decade earlier and storms had caused further damage. It was being considered for demolition and the church committee was ready to pay $45,000 to have it torn down. But that's when Mr Michell was visiting family in the town and put in a bid of $26,000 to purchase the church and save the building. ""When I first walked into the big hall here, I could just see how cool it was with the light shining in and I wanted to build a home that kept that feel,"" he said. ""But I also wanted it to be a modern thing with a lot of stairs and a fun English-manor kind of vibe. ""I think we hit it pretty well."" Mr Michell, who is a cabinet maker by trade, met his partner Caroline Forster three years ago after the project had started. Ms Forster has taken the lead on much of the interior design since she came into the picture. ""There was so much work to do and I did underestimate how much there was to do,"" he said. ""It was hard because the cracks were pretty intensive, the original foundations weren't up to modern standards and had deteriorated pretty badly over 110 years. ""It took a while of sweat and blood to chip at the old stuff, put the new stuff in and get it done."" The church was opened in 1912 and served as a town hall and meeting place during its early days. The large hall out the back was built to cater for the burgeoning Sunday school, which was attracting more students than the local area school. Local historian and church member Max Wurfel said Mr Michell and Ms Forster had saved what was an important building to the town's residents. ""As a congregation it was something we still had to maintain even though we weren't using it,"" he said. ""So to have someone come along and take it over was really good for us and the committee. It's really nice that it's still there. ""I'm pleased that they were able to get it and really do something with it."" The couple recently held an open day so locals could walk through and see the transformation to the building where many of them worshipped, were married and gathered with their friends. ""The town has been so supportive and it's been amazing to do a final reveal for them and have them walk through the house,"" Ms Forster said. ""Lots of them were married here and had funerals and baby showers here. ""They're all really happy with the progress and are just happy to see it being used instead of it going derelict."" Want more local news? Sign up to ABC Riverland's weekly email newsletter. Ms Forster added the renovation had educated the couple about the town they now called home. The large stained-glass windows that rise up inside the main hall bear the names of the town's early residents, each with a story their descendants have been keen to tell. The couple have added their names to the windows, signifying a new era for the church. ""We had a storm come through a year back and it actually damaged one of the windows,"" Mr Michell said. ""Rather than leave it how it was, we replicated the original windows and wrote on there that it was restored by us to add a bit of our own flavour. ""It's also to say thank you to our families too, the Michell and Forster families, because they put in a lot of time and money to help us with this and we're very grateful for that."" Now mortgage-free and ready to begin the next chapter of their lives, Ms Forster said living in the church felt like a ""dream"". ""Waking up in the morning to the church still doesn't feel real,"" she said. ""We're pretty young, we're mortgage-free and we have this awesome home."" Follow Campbell and Caroline's renovation journey from start to finish in the new series of Restoration Australia, coming to ABC TV and iview later in 2022. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
6,What Queensland home owners need to know about the state's fire alarm legislation,house-and-home,"  Queensland fire alarm legislation — what home owners need to know For the latest flood and weather warnings in Queensland, search on ABC Emergency A recent tragedy has put Queensland's fire alarm legislation back on the radar for home owners who must comply with strict new rules by 2027. The Easter long weekend ended in tragedy when six-year-old Max Chirila died in a house fire in Brisbane's inner north on Monday. The Fire and Emergency Services (Domestic Smoke Alarms) Amendment Act 2016 (Qld) commenced on January 1, 2017 and imposed additional obligations on property owners and managers regarding the installation and maintenance of smoke alarms at domestic dwellings. If the existing smoke alarms were manufactured less than 10 years ago and are still in good working order, they can remain in place until 2027 when the smoke alarms are required to be AS 3786-2014 compliant. But that's just for owner-occupiers. Since January 1 this year, where properties were sold, leased or having a lease renewed, interconnected photoelectric smoke alarms must be installed. The Queensland Fire and Emergency Services website states that smoke alarms in the dwelling must also be less than 10 years old; operate when tested; and be interconnected with every other smoke alarm in the dwelling so all activate together. They must not also include an ionisation sensor. Smoke alarms must be installed on each storey, in each bedroom; in hallways that connect bedrooms and the rest of the dwelling or, if there is no hallway, between the bedrooms and other parts of the storey. If there are no bedrooms on a storey, at least one smoke alarm must be installed in the most likely path of travel to exit the dwelling. Smoke alarms must be hardwired or powered by a non-removable 10-year battery, or a combination of both may be allowed. Queensland Fire Alarms & Compliance's Jason Lee said the stipulation that smoke alarms be connected was to ensure occupants of a home were alerted to a fire in any part of the property. ""If there's smoke in a downstairs area, the smoke alarm should go off in an upstairs area too,"" he said. ""The laws have come out for a reason. If you're in a two-storey house you own and the downstairs fire alarm is not interconnected you may not know about a fire in time. ""Only an interconnected fire alarm will give you sufficient time to get out."" Mr Lee said photoelectric smoke alarms could ""see smoke before they sense it inside"" and owners should install the devices as soon as possible. He said the cost to upgrade a smoke alarm system started from about $120 per alarm, excluding labour. Editor's note An earlier version of this story mistakenly used the word hardwired instead of interconnected in this sentence: Since January 1 this year, where properties were sold, leased or having a lease renewed, interconnected photoelectric smoke alarms must be installed. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
7,Renovation blowout: We spent a record $12b doing up our homes during the pandemic,house-and-home,"  Home renovation spending soars to $12b as locked-down Aussies extend, beautify their houses For the latest flood and weather warnings in Queensland, search on ABC Emergency Australians have spent more on home renovations during the pandemic years than at any other time since records began 50 years ago. New data shows how houseproud we became, particularly once the initial shock of the pandemic began to wear off. As COVID landed, spread and paralysed much of Australian life, with state and international borders closed and entire cities locked down, we began spending more on renovations — up 10 per cent to $9.2 billion. But last year it must have felt safer to bet the house, with Australian Bureau of Statistics figures showing renovators poured a massive $12.3 billion into renovating their homes, up 33 per cent on 2020. That's almost double what we spent on renovations just 10 years ago. Alongside the pandemic forcing us to stay home was the Federal HomeBuilder scheme that paid out between $15,000 and $25,000 to  those willing to undertake a major renovation. It was designed as a stimulus measure in response to COVID, and since its launch, almost 25,000 renovators have applied. But not everyone was driven by the promise of free money — others were already designing their dream renovation before COVID arrived. Morgan McGahan was one of them, and she was not about to allow a once-in-a-lifetime pandemic to derail her plans. Her family bought their seaside home on the Sunshine Coast almost 10 years ago for about $400,000. In 2019, they had already begun planning to convert their ageing beach shack into a two-storey home with water views. Ms McGahan said moving did not feel like an option, because this was the only home her seven-year-old son Watson and five-year-old daughter Evelyn had known. ""This is a really special spot for us,"" she said. ""We got married out on that beach, we brought our two babies home here. ""We knew that that's what we wanted to do, to renovate and build on what we had already created – just with a little bit more room for the children."" Demolition at the Golden Beach site began just as Queensland Premier Annastacia Palaszczuk and chief health officer Jeannette Young ordered the entire state to stay at home, and that most businesses be shut down. Although building could continue, they could not escape the spectre of COVID. ""We didn’t know if we would have any job security,"" she said. ""Once we had realised that we were safe in our jobs, and that yes, we can actually pay for this renovation with what's going on, and all the craziness – it continued to flow from there."" Zane McCarthy from Top Plate Building was the renovating builder behind the McGahans' project. He said it was no surprise to him that renovation numbers were breaking records. ""Oh mate, we are flat out — we get enquiries, probably two to three a week, and everyone's renovating,"" he said. The HomeBuilder grant was one of the biggest stimulus injections the housing industry had ever seen, but for those who missed out, it created turmoil. He said people were watching their house values go up, but it was often not enough to buy something bigger. ""I think everyone's at home watching the house value go up and thinking, 'I can borrow some money here'. ""And to buy a new house somewhere else is just not affordable."" Mr McCarthy said one of his projects was a major renovation so the daughter could live nearby. ""They looked at house prices … in the area and it wasn't affordable so they're renovating this place and they're all staying together."" The housing crisis across parts of the country is now critical, with those unable to buy also being turned away from the rental market. Pastor Dale Dowler, from The Shack Community Centre on Queensland's Sunshine Coast, has spent decades working with those either sleeping rough or at risk of homelessness. Will Australia's housing market be the same in the aftermath of the pandemic? He said the rise in renovations might mean higher rents for homeowners, but it also meant fewer affordable homes for those who needed it. ""People are investing in homes and then putting it back on the rental market, but it has priced a lot of community out of that rental market,"" he said. ""We've had families that are still sending their kids to school, but they're living in vans."" And he uses himself as an example, after paying to renovate his own home so his children have a place to call home. ""We bought our house 18 years ago and the cost was $116,000 – that same renovated house now is over $700,000."" It is not just the price of homes that is more expensive. A national lack of building supplies is likely to become more intense as parts of the country rush to rebuild after devastating floods. Mr McCarthy said while his projects continued, there had to be a knock-on effect from the flood disasters. ""It's already affecting us now,"" he said. ""We're probably already delayed a week to get materials we already ordered. ""It's going to be hell for 12 months."" ABC Sunshine Coast will deliver a wrap of the week's news, stories and photos every Wednesday. Sign up to stay connected. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
8,He ran his air conditioner all through Perth's record-breaking summer. The bill? Just $35 a month,house-and-home,"  Loose building standards let homes overheat in summer, stay cold in winter, passive house advocate says For the latest flood and weather warnings in Queensland, search on ABC Emergency When Carlos Acuna and his family moved to Perth 10 years ago, they ""quickly fell in the love with place"". ""We got our permanent residency, and recently our citizenship. We've just loved it here and feel really fortunate to be in a place like this,"" he said. ""But the one thing that really impacted us, and impacts a lot of expats, is how uncomfortable the homes are here."" Around a fifth of new homes built in Western Australia do not have meet six-star energy standards, costing their owners dearly in running costs. Architects say it's time for a re-think. Seattle averages between 4-8 degrees Celsius in winter, while Perth's average winter temperatures are 10-18C, but the family found the houses they rented in Australia the coldest they had ever experienced. ""[The houses are] cold, they're ice chests,"" he said. ""In winter, they're colder than homes I can remember in Seattle, and definitely hard to cool down in the summer. ""We had very high electric bills in the summer to keep the house comfortable."" After years in rented houses, both old and new and that were all hard to keep at comfortable temperatures, he decided to build a highly insulated, airtight house that used passive heating and cooling design to keep the indoor temperature at between 20-25C all year round. He began talking to builders, but found that standards that were common in North America were not a part of most builds in Australia. ""We knew that we wanted a house to be built more towards an American standard, if you will, in terms of insulation and airtightness,"" he said. ""When we started talking with designers and builders, the insulation part was sort of known, but the air tightness was just really a topic that was really unheard of. ""Air tightness is maybe not as obvious, but if you have the best insulation in the world with gaps that allow cold air to escape in the summer, or hot air escaping in the winter, comfort in the house is going to be very difficult to maintain."" He said that every new North American home is tested for airtightness using what is called a ""blower door test"". It measures the number of air exchanges per hour inside a house, showing how quickly cooled or heated air is escaping from the home. In Australia, the current National Construction Code (NCC) requires new homes to be built to do 10 air exchanges per hour or fewer, but does not require blower door testing at the completion of a build to verify the standard has been met. Eight million Australian homes contribute 18 per cent of Australia's carbon emissions, a new report shows. Enacting any major change is especially hard for renters and people in low-income households. ""These are energy efficiency measures that started in the US and Europe with the Iran oil embargo in the 70s,"" Mr Acuna said. ""So today, a typical project builder in the US will achieve three air changes per hour, which is fantastic. ""By time you get below five you have a pretty well-performing and comfortable home that's fairly easy to cool or heat, and it won't escape through the holes."" Mr Acuna said in Australia no testing is required, and he suspects many new builds are not even meeting the six-star energy standards. ""The challenge with those standards is they're written in a way that makes them very unenforceable,"" he said. ""Over the seven years [we rented] older homes that were built in the '70s, and a couple of homes that were recently built to the six star standard, there was really no appreciable difference in performance."" After an extensive search, the Acunas opted for a German Passivhaus design which uses thick, insulated walls and double glazing with tight seals to create an extraordinarily airtight building that, when tested, allows only 0.6 air exchanges per hour. ""The German Passivhaus standard is the most energy efficient standard in the world right now,"" he said. The home is so airtight it needs mechanical ventilation to introduce fresh air and prevent mould, but it also means that a double storey, 200-square-metre, four-bedroom house uses just two small reverse-cycle air conditioners for heating and cooling. While the build was much more expensive than a typical new home, its average heating and cooling costs — which fluctuate with the season — are around just $35 a month. It allows the family to make the most of Perth's climate while staying comfortable. ""When the weather's nice outside, as it is for large parts of the year in Perth, we can open up our windows and allow fresh air in and out,"" Mr Acuna said. ""But as soon as it gets too cold or too hot we can close the doors and windows and know that the heating or cooling that you're pumping into the house is not escaping."" The house has two small split system air-conditioners — one upstairs, one downstairs — which can stay on for months in summer and winter, keeping the temperature consistent. ""We've been living here since January 2019 and we've never had a summer where this space is at more than 23 degrees,"" he said. Despite the energy saving, the high cost of a PassivHaus means it is probably not for everyone. But Mr Acuna believes raising standards, and testing, on conventional builds could make a big difference in all new homes. ""Leaky homes"" are hard to keep warm in winter and cool in summer, but there are simple ways to fix them. ""The building associations are very hesitant to embrace some of these new standards like airtightness, and they're trying to delay the government's implementation as late as they can,"" he said. ""But I do think that people are starting to hear more about this. ""And the truth is it's not difficult to build in a draught-free building envelope. It just needs some attention to detail really. ""Builders are doing it in the rest of the developed world, it's just a matter of time before the builders here learn how to do it, and they'll be doing it for the same cost that they're building houses now."" And he now enjoys winters without freezing. ""You wake up in the morning at five or six to take a shower and the house is at 18 degrees,"" he said. ""In the first winter that was fantastic for us because we'd been living in homes that were at 10 degrees in the morning."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
9,'This is for sale?': Why Natasha left a tiny city unit to run a 180yo country homestead with a big history,house-and-home,"  Historic Narracoorte Homestead in hands of a loving, if 'overwhelmed', Natasha Biggins For the latest flood and weather warnings in Queensland, search on ABC Emergency In June 2021, Natasha Biggins was trying to sell a wardrobe. After living in cities around the world she was based in a one-bedroom unit in Adelaide. ""The people that came to look at [the wardrobe], I ended up selling them my whole house,"" Natasha said. A fourth-generation sheep farmer from Naracoorte on South Australia's Limestone Coast, the pandemic had her seriously questioning where she wanted to bide her time. An offer from her brother to house-sit his farm for a few weeks directed her next steps. ""I went from living in my one-bedroom unit with no pets to looking after ... five thousand sheep, three cats, four dogs … chopping all my own firewood,"" Natasha said. ""I was absolutely exhilarated by that."" A chance encounter with Narracoorte Homestead weeks later stirred her to buy the three-acre site, Naracoorte's first dwelling, with little thought. After 10 years on the market, the historic property was back in local hands. ""I have been inundated by support from the community,"" Natasha said. ""They're just so happy someone is finally here and taking care of the place."" Managing the three dwellings and surrounding gardens is no light task. While experienced in business and tourism, Natasha has had to quickly learn about English cottage gardens, stone masonry and irrigation systems for the property's reopening as a bed and breakfast this Easter. ""I feel like I'm a bit of an Alice in Wonderland. I'm a bit overwhelmed by it all,"" she said. ""I'm the one that's now custodian of all this."" Unaware of the homestead until her mid-20s, Natasha did not know it was on the market until a walk with her mum in August 2021. ""We actually went to about three or four different locations to try and get away from the wind and we ended up walking past here and the sale sign out the front that had sat there for 10 years,"" Natasha said. ""I went, are you kidding me? This is for sale? I need to see if this is a viable option."" It was. Although it was a while before she could get in and have a look. ""Unfortunately, South Australia had gone into a mini lockdown that week,"" Natasha said. Previously restored and run as a bed and breakfast, the place was in pretty good nick. The main homestead was the last building added to the site and consists of four bedrooms and living and dining rooms. A kitchen has been added in more recent years. ""The cooking facilities were previously in another building so they didn't burn the house down,"" Natasha said. The first thing to be built on the site was a lime-washed stone cottage — Naracoorte's first dwelling — in 1842. ""George Ormerod who built that is most well known in the area for going down to Robe and then setting up his businesses down there,"" Natasha said. ""William Macintosh bought it from him and obviously he's got his stamp all over Naracoorte."" After adding a three-floor building to the site he eventually sold it to Thomas and Elizabeth Magarey who built the main homestead. ""It's such a small space and the three most significant families in this town's history have each put their stamp on one building,"" Natasha said. ""The roads in Naracoorte, Magarey Crescent, William Mackintosh Hotel and Ormerod Street ... they're all the guys that were associated with this property."" While the homestead is considered a lavish residence now, Natasha believes Naracoorte's ""forefathers"" did not have anything like the finery in there today. ""I think they were really quite humble and really quite low key and conservative, agricultural people,"" Natasha says. Natasha has recruited the help of Judy Murdoch, an 88-year-old historian — and her former high school teacher — to collate the property's history. ""She's very happily handing over all of her information to me,"" Natasha said. Prior to Natasha's ownership, history of the property has remained scattered. ""For some reason it just hasn't been something that people had the time to focus on here,"" she said. ""They go through droughts and floods and everything here. And it just hasn't been the thing that was important to people."" Locals have gotten in touch with extra anecdotes and personal connections to the place. She is relying on one neighbour to help her link in with the local Meintangk community to document the site's earliest inhabitants. ""[There are] scarred trees here that have been identified as 450 and 500 years old ... you can see a shield and a canoe have been cut out of them,"" Natasha said. ""I think it's really important for us to understand that there was a lot more that happened there. ""There's a little more history than these guys and their buildings."" The spelling of Narracoorte Homestead is intentional and nods to the Indigenous word meaning large waterhole, or place of running water. ""I think it's possibly because the creek was here and there may have been a lot of low-lying water before we did this drainage work in the area to make it more accessible for farming,"" Natasha said. Natasha feels deeply connected to the land she has begun to call home again. ""I love this environment because it's what I know from my childhood,"" she said. ""There is a real connection to place that comes from seeing certain trees and wildlife. There are so many birds here."" Like Natasha, there's a sense that the homestead has also returned to the township. ""The whole neighbourhood has really made this their backyard,"" Natasha said. ""I think it's really lovely because look at this space, you wouldn't want it there taunting you from across the fence."" As well as maintaining the homestead, she is determined to share the place and its history, and has big visions of period drama plays and events. ""I would love it if it could be incorporated into our [school] curriculum locally somehow,"" she said. She has time to pull it all off. ""I'll be here till I'm a very old lady,"" she said. ""I'm not going anywhere. And why would you want to? ""I just feel like the most fortunate person in the world."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
