,topic,category,content
0,New push for Kalgoorlie and Esperance air link in a potential 'game changer' for WA's south coast,travel-and-tourism-lifestyle-and-leisure,"  Proposed air link between Kalgoorlie and Esperance a potential 'game changer' For the latest flood and weather warnings in Queensland, search on ABC Emergency Tourism officials hope a new partnership will make flights between Kalgoorlie-Boulder and Esperance a reality on Western Australia's south coast later this year. It comes as the City of Kalgoorlie-Boulder steps up efforts to reinstate an eastern states air link, which was suspended at the onset of the COVID-19 pandemic. The Kalgoorlie-Boulder-Esperance Aviation Development Partnership is made up of the City of Kalgoorlie-Boulder, the Shire of Esperance and tourism body Australia's Golden Outback (AGO). AGO Esperance tourism development manager Simon Latchford said negotiations were underway with prospective carriers and was hopeful flights could begin as early as September. He quipped the ""walls are coming down"" after two years of the pandemic and WA's hard border ending in March. ""For us to be able to work together to get large aircraft running services out of Melbourne, Perth and Adelaide into Kalgoorlie, we can then leverage off that by providing an appropriate connecting service between Kalgoorlie and Esperance,"" Mr Latchford said. ""That's a game changer … from a business perspective you can fly up in the morning and fly back in the evening in Esperance. ""So it's great for business and it's great for tourism, obviously, because people can now access the region."" Regional Express (REX) is the only commercial passenger service flying into Esperance on a government-regulated route from Perth. The airline began operating the route in February 2016 and has a contract with the state government until June 30, 2023. Meanwhile, the Kalgoorlie-Boulder Chamber of Commerce and Industry has been canvassing the local business community about preferred days for flights to Melbourne. A short online survey asked questions such as how many times a year businesses would use the service and for what purpose. Kalgoorlie-Boulder Airport manager Chris Barnes said he could not discuss which airlines were in negotiations about an eastern states air link. He said there had been ""excellent feedback"" from the business community. ""We already have an understanding, from our historic numbers, of what the average traveller would be using those services for and what the peaks are,"" he said. ""It's important we understand what the business travellers are seeking and what businesses are requiring on those routes, so when we look at negotiating these routes, we can understand best what works best for everyone."" Virgin Australia's direct flights to Melbourne were suspended when the pandemic prompted the introduction of tough border restrictions and eventually forced the airline into administration. Qantas previously ran direct flights between Kalgoorlie-Boulder and Adelaide but the route was axed in 2014 due to poor ticket sales. Meanwhile, the state government today announced $4 million to underpin new direct flights between Karratha and Geraldton. Operated by Aviair, the new route expands the existing Inter-Regional Flight Network, which currently provides flights between Karratha and Port Hedland, Newman and Broome, and Newman and Port Hedland. WA Transport Minister Rita Saffioti said it would significantly reduce travel times, with many small business and FIFO travellers in Geraldton currently travelling to the Pilbara via Perth. We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
1,A bird's-eye view of tractors seeding in WA's Wheatbelt at night,travel-and-tourism-lifestyle-and-leisure," ABC Rural Tractors seeding crops in WA's Wongan Hills blend with the stars from the night sky For the latest flood and weather warnings in Queensland, search on ABC Emergency When Virgin Australia pilot Kris Parnell was stood down at the start of the COVID-19 pandemic, he headed out to Western Australia's wheatbelt to help at the family's tree nursery and drive harvesters for a season. Now that he's back in the air full time, Mr Parnell says it's a joy to look down over the same area from 36,000 feet, or 11,000 metres, and see the tractors seeding through the night. He said for most of the year it would be a sea of black, but during seeding and harvest, it was a different story. ""It's quite incredible when you get a dark night like we've had this week with no moon early in the evening. It's just a sea of lights that look very much like stars,"" he said. ""We fly on our instruments so it doesn't really affect us but if you're flying on visual cues to know which way the plane was up, you'd find it very hard to know because the stars and the ground look exactly the same from all the tractors and the seeding equipment."" Mr Parnell took a photo from the air about 150 kilometres north-east of Perth, near the Wongan Hills area. He said the glow in the picture was Perth city. ""I just took that picture because I've been describing it to my dad and a few mates out there from when I was working on the harvester, and I thought, 'I'll have to try and get a photo of this,'"" he said. ""I was just playing around the long exposure on the phone and that photo came out so I was pretty happy with that."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
2,Bear essential: Treasured teddy rescued from outback after dad's travel photo blunder,travel-and-tourism-lifestyle-and-leisure,"  Lost teddy bear 'Pooh' reunited with family after being lost in the outback For the latest flood and weather warnings in Queensland, search on ABC Emergency A long-lost teddy has finally been reunited with his family months after being left behind in outback NSW. Gordon Wilson left his son's treasured bear 'Pooh' on a fence post along the Barrier Highway near Broken Hill in March while part way through a 5000km journey from Bowen in north Queensland to Perth in WA. Mr Wilson had been taking photos with the bear as a way of keeping himself and the family entertained. After being ""distracted by flies"" and driving off – it took hours for Mr Wilson to realise he'd left his son's prized possession more than 150km away. He decided against going back, and that's where the real adventure began. He and his wife Lois Wilson logged onto to social media and began posting on Broken Hill Facebook groups, asking if someone had seen or picked up the bear. What happened next came as a shock to the Wilsons. Their appeals for help were shared all over the internet. ""I was actually quite amazed by the reaction and how many people were following the story,"" Mr Wilson said. Grazier Mitch Rodgers was one of those interested onlookers. Determined to reunite the family with their beloved bear, he drove out from Comarto Station near Wilcannia to find Pooh where he had been left. While the plan had initially been to post him back in the mail, Mr Rodgers and Mr Wilson thought the adventure should continue. So they decided to harness the power of social media to find more people willing to travel with the bear across to the west coast. ""Mitch went to great trouble and started to share the story on social media with some great photos,"" Mr Wilson said. ""The story then took on a life of it's own and if it wasn't for Mitch it probably wouldn't have got off the ground like it did."" He said Pooh's journey garnered interested from as far afield as Scotland, where he had relatives. He said Pooh travelled 150km to Broken Hill and visited Silverton before heading south to Mildura in Victoria. ""He then received a lift from a couple to Adelaide and from there flew to Perth,"" he said. ""I'll tell you what it took off pretty quick,"" Mr Rodgers said. ""It was just good to hear that people were getting a bit of joy out of it."" 24-year-old Ben Wilson, who's had the bear since he was a baby, is still stunned that so many people dedicated their time and effort to make sure the teddy was returned. ""I thought that was it, and I was never going to get him back,"" he said. ""I'm grateful for Mitch, the Broken Hill community along with anyone and everyone who was involved,"" Ben said. Asked if Pooh would be having any more adventures anytime soon….the answer was ""unlikely"". ""He'll be staying with me until I have my first child and then when he or she gets old enough, I'll tell them the story of what happened here,"" Ben said. ""Because it's not something we're going to forget anytime soon."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
3,First new baby in decades brings life to tiny town where a dark mystery may never be solved,travel-and-tourism-lifestyle-and-leisure,"  For the latest flood and weather warnings in Queensland, search on ABC Emergency Tourists Ondra Hadras and Lucie Minarikova could not have imagined they would land jobs feeding emus and crocodiles in one of Australia's smallest outback towns, infamous for a dark mystery that may never be solved. Then, mere moments after touching down in the Northern Territory – thousands of kilometres from their Czech Republic home country, they were swept off to Larrimah – a dot on the Stuart Highway with no schools, petrol stations, restaurants or even a grocery store. Population, fewer than 11. ""When we got here the internet connection was very poor, we didn't know about the history of the town, or about the missing persons case,"" Lucie said. ""We're used to travelling around to different places, so we just packed our bags and headed here to work."" The couple planned to stay for a fleeting few weeks as the newest publicans of the Pink Panther Hotel to earn some extra money on their travels. But then the World Health Organisation declared the coronavirus outbreak a pandemic, trapping them for far longer than expected. They became parents just a couple of months ago when they welcomed the first baby born in Larrimah in more than two decades. Mathew's birth single-handedly grew the population by about 10 per cent and significantly lowered the median age of a town where residents are closer to 100. ""It's a one-in-a-million story,"" Ondra said. ""This is something which not many people do … our family can't even imagine [what it's like] when we tell them all the things we do. ""When Mathew grows up, we'll be telling him he grew up next to a crocodile cage, in a really special place."" In a town where every single resident now gathers together for Christmas, and most convene at the Pink Panther Pub for an end-of-day beer about 5pm, Mathew ""gets a lot of attention,"" Ondra said. But attention is not out of the ordinary for the residents of Larrimah, who are now accustomed to news crews rolling into town, documentary teams settling in for a couple of weeks and ongoing police probes. A coronial inquest into the missing persons case of Larrimah larrikin Paddy Moriarty, who disappeared without a trace in 2017, last month found he was dead. Even without a body, coroner Greg Cavenagh said he believed Mr Moriarty's colourful life came to an end in suspicious circumstances. ""Paddy was killed in the context of and likely due to the ongoing feud he had with his nearest neighbours,"" he stated in his official findings handed down in April. The case has captured global attention, yet remains unsolved despite a probing book and a podcast. These days, if asked to describe their hometown, most of Larrimah's residents do not hesitate to say it's nearing its demise, even with the most recent population explosion. ""We're all in our 70s and 80s now … we'll all die out eventually,"" long-term resident Karl Roth said. But it hasn't always been that way. During World War II, about 10,000 troops were stationed at Larrimah and years later it served as a railhead until the line closed in 1976. ""It was never a big town … when we first moved here the population was about 28, including kids, but all the stations would come in back in those days,"" Mr Roth said. ""This place used to hum on a Friday, Saturday night."" For Ondra and Lucie, the quietness of Larrimah was a major selling point, and as the sole managers of the ageing hotel, they are usually run off their feet keeping a zoo of animals alive and catering to the flocks of grey nomads on their travels around Australia. ""It gets really crazy with the tourists here during the dry season,"" Lucie said. ""We are the chef, the waiter, the cleaner. We do it all."" Ondra and Lucie say they would look back on the journey as a once-in-a-life-time experience. They have no plans to leave just yet. ""There is something about this place. We have emus that stick their heads in our rooms in the morning,"" Lucie said. ""We never liked the big cities … but for me this is more like an interesting extreme, where you will live for a period of time … and we plan to stay for a few more years."" She said it was not a job where she went into an office and sat for eight hours. ""When you work here you go and feed Sam the crocodile, and the emus, and our parrots, and long-billed corella,"" she said. ""For people from [the] Czech Republic, that's pretty special."" See our full coverage of coronavirus We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
4,Naked tree-hugger Instagram tourist to be deported from Bali,travel-and-tourism-lifestyle-and-leisure," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
5,"Jetstar to fly directly from Canberra to Melbourne, Gold Coast",travel-and-tourism-lifestyle-and-leisure," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
6,'I don't enjoy coming home': What it's like living under two flight paths,travel-and-tourism-lifestyle-and-leisure," For the latest flood and weather warnings in Queensland, search on ABC Emergency We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
7,'Perfect storm': Staff shortages threaten Top End tourist season ,travel-and-tourism-lifestyle-and-leisure,"  For the latest flood and weather warnings in Queensland, search on ABC Emergency Standing in the gleaming lobby of the major Darwin hotel he manages, Markus Kaliss says this dry season has the potential to attract a record number of bookings for the venue – if only he could find enough staff. ""At the moment we're not fully booked, but there's already now days and weeks where we're saying 'you know what, that's it, we don't sell more because we can't handle [it], unless we find staff',"" Mr Kaliss said. ""So we are now capping capacity, simply for staffing reasons."" Mr Kaliss is not alone. The pandemic has brought a challenging two years for businesses, and Mr Kalliss's hotel is one of countless hotels, restaurants and bars across Australia struggling to meet demand due to staff shortages. But while the problem is nation-wide, it's threatening to have a particularly severe impact in the Top End, as it enters its peak tourist season this month. Mr Kaliss said it was a ""tough time"" for territory hospitality businesses, which were also grappling with existing staff taking time off after catching COVID-19 or leaving due to the territory government's wide-ranging vaccine mandate. ""We've never seen this shortage of labour that we need here,"" he said. Alex Bruce, the head of the Territory's peak hospitality industry body, said Top End businesses were bracing for strong demand this dry season, especially from interstate. But with few international visitors in Australia – including prospective workers – and a large number of former domestic staff having left the industry for other sectors during the pandemic, Mr Bruce said the staffing situation was dire. ""What we're hearing now from people that have travelled over to South-east Asia, is a lot of people that were working in the tourism and hospitality industry in those countries, they've moved into other industries as well,"" he said. ""So we're facing a bit of a perfect storm – we don't have enough domestic local workers, and we don't have enough international workers coming back online now."" Mr Bruce said the crisis was having serious impacts on hospitality businesses, which were still trying to recover from a difficult few years during the pandemic. ""You're seeing restaurants unable to open during the day, during the week, even though the demand is there,"" he said. ""We are hearing that some of the hotels around town can't get all their rooms online. ""So it's still a great time to get out and about – the weather's never better — and you'll still get a good experience in our venues, but the tip is this year, to plan and book, and book early."" Martin Bouchier, the owner and chef of a restaurant in Darwin said the current staff shortage at his business made the dry season a ""scary"" prospect. ""There's just not the [staff] around to be able to accommodate the people that want to come into the town as tourists,"" he said. ""So we're bringing people into the CBD, into Darwin and into the Northern Territory, and yet there's not the backpackers or the international students or the working group to keep us going."" Today Tourism and Hospitality Minister Natasha Fyles announced more funding for the territory's tourism industry, ahead of the delivery of the 2022 NT budget tomorrow. It includes $1.3 million for attracting and retaining tourism staff and $1 million for marketing to international students, as well as $14.2 million for generally promoting the NT over the next year. Mr Bruce said the initiatives were welcome, with international students making up ""a core part of the hospitality workforce"". However, he said a range of measures were needed to help solve the sector's staffing crisis, including fast-tracking work visas, easing working hour limits for international students, and even the NT government scrapping its worker vaccine mandate. ""It's not just when the borders open we can flick a switch and get everybody back,"" Mr Bruce said. ""We're on a three-year rebuild for our workers."" See our full coverage of coronavirus We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
8,Search begins for 'good people' to take over remote island resort,travel-and-tourism-lifestyle-and-leisure,"  Sweers Island Resort hits market for $3.95m as owners vow 'good people' will take it over For the latest flood and weather warnings in Queensland, search on ABC Emergency Known among anglers as a fishers' paradise, the pristine Sweers Island Resort in the Gulf of Carpentaria has hit the market at $3.95 million. Its reputation for world-class fishing, resort accommodation and pristine beaches means more than 900 accommodation nights have already been booked by tourists for 2022. Thomas, better known as Tex, and Lyn Battle have held the perpetual lease, on the land of the Kaiadilt people, for the past 34 years. While interest in the island is high, the couple say it will take a special type of buyer to seal the deal. ""It's been a hard decision to sell up. We've been here for 34 years but my date of birth has caught up to me and we've realised we have to sell,"" Mr Battle said. ""We've already said no to a few developer-types, that's definitely not what we want. ""Our ambition is to have good people take it over. ""We want someone who is going to love this place as much as we have and who is going to maybe invest in a few upgrades. A chef would be nice, for example."" Along with its own private airstrip, accommodation, fishing charter facilities, liquor licence, mobile and internet, the resort is the only tourist hotspot in the region. Private Islands Online's Richard Vanhoff said many potential buyers had already shown interest. ""No other land for lease will be made available on any islands within the Gulf of Carpentaria for the use as resort business, so no competition,"" Mr Vanhoff said. ""The phones have been running hot since it got out there and most of the inquiries have come from groups of people."" Mr Battle said it was a ""walk in, walk out"" sale. ""If someone buys it, they get everything we have here. Cabins, workshops, machinery, everything,"" he said. As the couple prepares to depart the island at the end of the year, they say the biggest highlight of managing the getaway has been the people they have encountered over the years. ""We've met everyone from council workers to millionaires. They're all the same when they're here. They come here to enjoy themselves,"" he said. ""The highlights have simply been visits from nice people or seeing people return year after year and enjoy themselves. ""It's a special place, and while we are sad to leave it, rest assured we will be visiting again."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
9,"Jetstar to fly directly from Canberra to Melbourne, Gold Coast",travel-and-tourism-lifestyle-and-leisure,"  Jetstar expands direct flights to and from Canberra to include Melbourne and Gold Coast For the latest flood and weather warnings in Queensland, search on ABC Emergency Jetstar is adding two new routes to its Canberra service with direct flights to and from both Melbourne and the Gold Coast. The budget carrier, owned by Qantas, entered the Canberra market in December with flights to and from Brisbane. Now Jetstar has announced that daily flights to Melbourne will begin on July 1, with the Gold Coast service starting in mid-September. ACT Chief Minister Andrew Barr said Jetstar's Brisbane-Canberra route had proven successful over the past five months, with more than 80 per cent of seats sold. ""This is a real vote of confidence from Jetstar in the Canberra market,"" he said. ""It's going to work both ways for us: it's going to be great for Canberrans who want to get to the Gold Coast or down to Melbourne. ""But it's also going to open the door for thousands of extra tourists to be able to get to Canberra in an affordable way."" While new flights might make it easier for Canberrans to enjoy a Melbourne or Gold Coast getaway, it is the potential influx of inbound visitors that the ACT government and tourism operators are focusing on. ""Visit Canberra will work with Jetstar on cooperative marketing campaigns to promote the new services,"" Mr Barr said. ""Melbourne is our second biggest inbound market after Sydney, so it's going to be an easy opportunity for us to grow our Victorian tourism and particularly short-break tourism over weekends. ""Now to have four airlines flying [to Melbourne] and competing, really is fantastic news. ""One of the challenges for us is that it's often been cheaper to fly to Bali or to other parts of Australia than it has been to fly into Canberra, so this is a game-changer for us."" Canberra Region Tourism Industry Council chief executive, Naomi Dale, agreed the new services would ""make a big difference"". ""It really gives us access to a whole new set of people who otherwise would not make the time to travel to Canberra,"" she said. ""Just the way that Canberra is perceived as an expensive place to visit or travel to, it will make a huge difference having access to that budget airline."" Mr Barr also said Canberra was ""edging closer"" to the return of international flights, with talks ongoing with Australian and overseas carriers. ""Piece by piece we are rebuilding the aviation network out of Canberra,"" he said. ""We'll have some further announcements, we hope, in the months ahead."" Canberra Airport chief executive Stephen Byron offered further details, saying Qatar Airways had been set to resume daily flights to Canberra but a shortage of planes had forced them to delay the restart. He said the airport was also in close contact with Singapore Airlines. ""I was up in Singapore a couple of weeks ago talking to Singapore Airlines and it's very much on their radar as international travel picks up,"" he said. Meanwhile, Mr Byron said mask-wearing in the airport terminal was still being heavily policed, despite restrictions continuing to ease across the country. He said he hoped the airport's mask mandates would be lifted mid-week. ""What amazes me is it's taken 10 weeks already,"" he said. ""You can be in a nightclub for four or five hours and dance until 3am and drink and stand up, and none of that needs a mask, then surely sitting quietly in an airport lounge cannot be more dangerous than that."" We acknowledge Aboriginal and Torres Strait Islander peoples as the First Australians and Traditional Custodians of the lands where we live, learn, and work. This service may include material from Agence France-Presse (AFP), APTN, Reuters, AAP, CNN and the BBC World Service which is copyright and cannot be reproduced. AEST = Australian Eastern Standard Time which is 10 hours ahead of GMT (Greenwich Mean Time)"
