,topic,category,content
0,'Bridgerton' Family Member Replaced For Third Season Of Hit Netflix Show,entertainment," Reporter, HuffPost What would Lady Whistledown make of it? Ruby Stokes is leaving the hit Netflix show “Bridgerton.” Her character Francesca Bridgerton, who appeared sporadically in the first two seasons, will be replaced in the upcoming third season of the regency period drama by Hannah Dodd, of “Anatomy of a Scandal” fame. Stokes is off to star in Netflix’s upcoming “Lockwood & Co.” series, reported Deadline. The recasting could mean the younger Bridgerton sibling has a more prominent role in future episodes, the outlet suggested. Filming on the third season begins this summer. Reporter, HuffPost"
1,Kanye West Told Kim Kardashian Her 'Career Is Over' For Dressing Like Marge Simpson,entertainment," Senior Reporter, HuffPost Kim Kardashian’s and Kanye West’s divorce has pulled a smattering of famous types into its orbit (Trevor Noah, Hillary Clinton and, of course Pete Davidson), but never did we expect the former couple to bring Marge Simpson into their mess. On the most recent episode of the famous family’s new Hulu series, “The Kardashians,” the reality TV star expressed anxiety about charting new fashion territory without West, whom she divorced in February 2021 after six years of marriage. The Yeezy founder played an instrumental role in overhauling his former wife’s style ― he demanded that she purge an entire closet of clothes months into their relationship ― and hand-selected nearly every outfit she wore in public until their split. “I got to a point where I would ask his advice for everything down to what I wear,” Kardashian told sister Kourtney on Wednesday’s episode. “Even now I’m having panic attacks, like what do I wear?” Kardashian was left to her own devices for last year’s WSJ. Magazine’s Innovator Awards, where she was honored for her shapewear brand SKIMS. The brown leather dress, which she accessorized with matching gloves and over-the-knee snakeskin boots, however, received less than favorable reviews from West. “He called me afterwards,” Kardashian said. “He told me my career is over and then he showed me a picture of Marge Simpson wearing something similar.” It’s unclear exactly what picture West might’ve been referring to, but viewers quickly came up with a few options on Twitter after the episode aired. Kanye sent Kim a picture of Marge Simpson in a dress similar to what she wore at the Wall Street Journal awards. Who wore it better? #TheKardashians pic.twitter.com/rOnDHZTy0q Ye tells Kim her career was 'over' as he compared her awards dress outfit to a dress worn by The Simpson's character marge. Ye gave her fashion and took it away pic.twitter.com/Ue8ph6o3Jt Simpson, we must note, is a bit of fashion trailblazer in her own right, rocking garments from the luxury fashion house Balenciaga on an animated runway last year. Later on in the episode, Kardashian seemed to find her own footing style-wise, but admitted that she has “never really been the visionary” when it came to fashion. “His love language is clothes,” she said of West. “I always just trusted in him, but it’s not just about clothes. That was, like, the last thing we had really in common.” “I’m trying to figure out, like, who am I in the fashion world? Who am I by myself?” she continued. “I was always, like, The Kardashians with my sisters and then I was, like, Kimye. Like, who is Kim K? That is the jump. How do I get there without Kanye?” If her recent Met Gala ensemble is any indication, Kardashian is doing just fine in the fashion department. She caused all sorts of conversation for slinking into the vintage gown worn by Marilyn Monroe to President John F. Kennedy’s birthday celebration in 1962. Kardashian attended the event alongside boyfriend, “Saturday Night Live” star Pete Davidson, who she started dating in the fall after her hosting debut on late-night sketch show. In her new relationship, Kardashian has seemingly assumed West’s role, with Davidson joking on the red carpet that she “didn’t let me wear my propeller hat, but it’s fine.” Senior Reporter, HuffPost"
2,Jimmy Kimmel Has Blunt Warning For Republicans 'Caught On Tape Doing Weird Stuff',entertainment," Overnight Editor, HuffPost Jimmy Kimmel called out Republicans as they continue to push their war on women’s rights ― while also noting that other nations are moving in the opposite direction. Spain, for example, is now offering three days of paid leave for women who have severe menstrual pain. “Meanwhile, here in the USA, Republican leaders in Washington are writing a bill that says if a woman has her period in the workplace, she is guilty of witchcraft and should be captured in a burlap bag and cast into the sea,” he said. Kimmel also noted that Republicans in the Senate blocked a bill that would protect abortion rights. “You’d think these people would be for the right to privacy considering how many of them keep getting caught on tape doing weird stuff to their cousins,” he pointed out. See more in his Thursday night monologue: Overnight Editor, HuffPost"
3,Seth Meyers Can’t Get Over 1 Part Of The Latest Wild Trump Revelation,entertainment," Reporter, HuffPost Donald Trump has pretty much lost the power to shock or surprise, “Late Night” host Seth Meyers admitted Thursday. But the comedian said he still “can’t get over the fact” that Trump reportedly asked if the U.S. could bomb drug labs in Mexico without being found out. Former Defense Secretary Mark Esper revealed the former president’s wild idea in his new memoir. “Imagine you’re Mexico. The U.S. just had an election where they chose a visibly insane game show host who said horrible things about Mexicans and suddenly missiles start raining down on you. Would you be mystified?” asked Meyers. Watch Meyers’ full monologue here: Reporter, HuffPost"
4,Lindsey Graham Grovels On Fox News Over Leaked Audio Of Him Praising Joe Biden,entertainment," Senior Reporter, HuffPost Asked on Fox News to explain his recently revealed praise of President Joe Biden on Jan. 6, 2021, Sen. Lindsey Graham (R-S.C.) predictably resorted to criticizing Biden and flattering Donald Trump. On Tuesday, CNN aired audio of Graham speaking to New York Times reporter Jonathan Martin in the hours after the Capitol riot. During the exchange, Graham said the country would eventually move on from the incident and realize “we’re better than this.” He added that Biden would likely be the best person to lead the country forward. “Yeah, totally, he’ll be maybe the best person to have, right? I mean, how mad can you get at Joe Biden?” he said in the recording. Graham was pressed on the comments Thursday during an appearance on “Jesse Watters Primetime.” “Joe Biden. The best person to have? Do you really believe that?” Watters asked him. Graham said “I was wrong.” “I’ve known Joe for 30 years,” he said. “He’s a nice guy, but he’s been a disaster as president.” He added: “This was literally happening on the day of January the 6th and I was hoping that President Biden would bring us together ... But not only has he failed to bring us together, he has made us less safe. He’s ruined our economy. All the bad guys are moving around the world.” He then pivoted to a common Republican refrain, suggesting that Trump projected more strength on the global stage. “They didn’t do this on Trump’s watch because they were afraid of him,” he said. “Nobody fears Joe Biden abroad, and at home his policies are failing.” Watters left the questioning at that, though he swiped at Graham for “speaking to New York Times reporters.” “If I was a senator, I’d never do it,” Watters quipped. Graham called that “very good advice.” Graham’s feelings about the attack have apparently lessened dramatically since the day it happened, when he condemned Trump on the Senate floor, telling colleagues: “All I can say is count me out. Enough is enough.” In the following months, he reverted to sucking up to Trump. By the one-year anniversary of the siege, he was accusing Biden of “brazen politicization” of the attack. The audio was released to promote a new book, “This Will Not Pass: Trump, Biden, and the Battle for America’s Future,” authored by Martin and fellow Times reporter Alexander Burns. Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
5,GOP Rep. Madison Cawthorn Receives A Brutal Reminder After Veterans Tweet,entertainment," Reporter, HuffPost Far-right Rep. Madison Cawthorn’s tweet evoking veterans backfired. The North Carolina Republican appeared to criticize House approval of $40 billion in aid for Ukraine with this post on Wednesday: Imagine if we spent $40 Billion on veterans. In response, he received a series of searing reminders of his own votes against bills that assist former U.S. military service members. “DON’T EVEN pretend you care about Veterans,” responded VoteVets, a progressive PAC promoting Democratic military veterans for Congress. Other critics remembered Cawthorn’s misleading campaign ads that sought to spin his rejection by the U.S. Naval Academy. In March, Cawthorn voted against a bill to provide $20 billion per year to veterans exposed to toxins during their service https://t.co/ySn2OTuhJl Fact #1: The U.S. spends hundreds of billions of dollars a year on the VA.Fact #2: Cawthorn is a member of the House Veterans' Affairs Committee, and he really ought to be aware of Fact #1. https://t.co/RJpxEJ8E7c Imagine if @RepCawthorn, @GOPLeader McCarthy and 172 other House Republicans hadn't voted against the #HonoringOurPACT Act earlier this year. But no, House Republicans don't think health care for veterans sick & dying from burn pit exposure is worth it. https://t.co/Tq8Vgjvs0L https://t.co/ebJ6S7EWou Imagine if we had a Congressman who, being a member of the VA committee, didn't vote no for helping veterans with their debts simply because the book had too many pages to read. https://t.co/P1PLkYLE5W We currently spend $340 billion a year on veterans, you ignorant jackass.You also vote against veterans' benefits every chance you get, so kindly fuck off and stop using our service members as political pawns. https://t.co/95EGIrJMaV pic.twitter.com/KcSL5VbNsl You vote against Veterans EVERY CHANCE YOU GET. You even voted against expanding care for those exposed to burn pits. DON'T EVEN pretend you care about Veterans. The annual VA budget is nearly $300 billion. You'd know that if you were remotely competent. https://t.co/sj95YPLz8l Cawthorn voted against a major toxic exposure package which is arguably the most significant boost to veteran healthcare since the creation of the VA itself. https://t.co/ztUUijaiBM Imagine if Cawthorn could remember back just 6 weeks ago when Republicans were demanding the U.S. send assistance to Ukraine? https://t.co/CMifLqHrJE playing his last card. https://t.co/ySvSX2alFT ""Things aren't going great for me. Time to turn things around and tweet something random about veterans"" https://t.co/hts8raEhoI More America first messaging. https://t.co/HYEaYKhaNj Republicans have repeatedly voted against helping veterans. https://t.co/71awJVhYIL Dear @RepCawthorn: Unlike you, I’m a veteran and didn’t lie about getting accepted to the Naval Academy. Wanted to let you know Democrats increased funding to veterans last year to $270 billion. https://t.co/XhTxT9Ka96 Imagine voting against 12 bills that would benefit veterans and then posting this tweet. https://t.co/WQ5KKES5kf Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
6,Laura Ingraham Asks Why There Was No Hoarding Under Trump. Twitter Explodes.,entertainment," General Assignment Reporter, HuffPost Laura Ingraham asked with a straight face on Thursday why there was no hoarding under former President Donald Trump, prompting outraged people on Twitter to jog the Fox News host’s memory. (Watch the video below.) Ingraham used the current baby formula shortage to assert her blatant falsehood. A recall by a major formula manufacturer has exacerbated an already stressed supply chain, prompting retailers to limit purchases. President Joe Biden on Thursday announced actions to mitigate the crunch, and outgoing White House press secretary Jen Psaki said the administration has called on stores to impose restrictions “to prevent the possibility of hoarding.” “We know that is an issue,” Psaki added in the clip Ingraham showed Thursday night. Ingraham then asked with a smug cackle: “Why didn’t we have hoarding during the Trump administration?” Her guests, Rep. Byron Donalds (R-Fla.) and conservative author Horace Cooper, heartily agreed. Ingraham: Why didn’t we have hoarding during the Trump administration? pic.twitter.com/UTcXyWw2vn Let us take you back in time, Laura, to the beginning of the pandemic, 2020. Under Trump. We’ll let Twitter take it from here: What? She doesn’t remember the folks hoarding hand sanitizer and toilet paper? What f**king planet were these people living on? People were physically fighting each other for toilet paper! Hi @IngrahamAngle - we did have hoarding, you nincompoop. Toilet paper, hand sanitizer, MASKS, meat etc. Are you a dementia victim and can’t remember back to summer 2020?????? 🤦‍♀️🤦‍♀️ https://t.co/fbUGcOS2Ms @IngrahamAngIe must forget the great toilet paper shortage of 2020. Laura Ingraham has bad case of amnesia, wonders out loud, “Why didn’t we have hoarding during the Trump administration?”. pic.twitter.com/9hBJq67HfF @IngrahamAngle This just shows how out of touch you are with real American people. Shelves were empty all across America in 2020 (trump was president). People were hoarding toilet paper, paper towels, paper plates, hand sanitizer, bleach, guns, ammo, water, food, etc. pic.twitter.com/nnmXsBDp4c pic.twitter.com/HPsd0ztmvh General Assignment Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
7,Elon Musk Reveals What He Thinks Of Trump Running In 2024,entertainment," Reporter, HuffPost Elon Musk wants Donald Trump back on Twitter, but that doesn’t mean he’s in favor of Trump retaking the White House. “Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter,” tweeted the billionaire Tesla CEO, who said Friday he’s pausing his $44 billion purchase of the platform but “remains committed.” Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter Musk suggested on Thursday that President Joe Biden was elected because people wanted a break from the nonstop controversies of the Trump administration. “Biden’s mistake is that he thinks he was elected to transform the country,” he wrote, adding: “But actually everyone just wanted less drama.” Biden’s mistake is that he thinks he was elected to transform the country, but actually everyone just wanted less drama Musk, a self-described champion of “free speech,” has said he’ll take Twitter private on completion of his purchase. Twitter banned Trump in January 2021 for inciting the U.S. Capitol riot. He frequently used the platform to peddle lies, attack enemies and divide the nation. Last week, Musk claimed Trump’s removal from Twitter was a mistake. “I think it was a morally bad decision to be clear and foolish in the extreme,” he said, adding it “alienated a large part of the country and did not ultimately result in Donald Trump not having a voice.” Trump, though, has said he won’t return to Twitter and instead will focus on using his own struggling Truth Social network. He is yet to officially declare his candidacy for 2024, despite teasing the prospect ever since losing the 2020 vote. Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
8,Jail Time? Ex-Prosecutor Names The Law Kevin McCarthy Should Be Worried About.,entertainment," Overnight Editor, HuffPost A former federal prosecutor says House Minority Leader Kevin McCarthy (R-Calif.) and several other GOP lawmakers may have committed a very specific crime in their possible attempts to cover up Donald Trump’s Jan. 6 plot to overturn his election defeat. “It’s called misprision of a felony,” Glenn Kirschner, who spent 24 years as a prosecutor in the U.S. attorney’s office for the District of Columbia, explained on his YouTube channel. The law says someone who has knowledge of a felony that’s “cognizable by a court of the United States” but doesn’t come forward with information about it could face up to three years in prison. Kirshner noted that a federal judge in March determined it “more likely than not” that Trump “corruptly attempted to obstruct” the Jan. 6 vote certification by Congress. That makes potential Jan. 6-related crimes “cognizable by a court” ― and significant now that McCarthy and four other GOP lawmakers linked to Trump have been subpoenaed by the House Jan. 6 committee to answer questions about their knowledge and involvement. If they refuse to comply, Kirshner said, it “looks like misprision of a felony to me.” He added: “Also looks like accessory after the fact. Also looks like they are criminal co-conspirators with Donald Trump in his conspiracy to defraud or commit crimes against the United States.” “So many crimes to choose from,” he concluded. Watch Kirshner’s analysis below: Overnight Editor, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
9,Video Shows Police Fatally Shoot Grandmother With Dementia In New Mexico Home,entertainment," Senior Reporter, HuffPost Police in New Mexico have released disturbing body camera footage showing an officer fatally shooting a 75-year-old woman with dementia in her home last month. Warning to readers: The video, below, is graphic and disturbing. The woman, Amelia Baca, had become agitated at family members in the Las Cruces home when her daughter called the police for help on April 16. According to family members, Baca was having a mental health crisis. In body camera video released Tuesday by the city of Las Cruces in response to a public records request, an officer can be seen pointing a gun at Baca through the doorway of the home moments after arriving on the scene. Baca, who family members said did not speak English, is holding two kitchen knives and shouting in Spanish. The officer repeatedly shouts at her in English to “drop the knife,” “drop the fucking knife,” “do it now.” After 38 seconds, he tells her to “put the fucking knife down” and fires two shots at her. She died at the scene. The video is below. It is graphic. The body camera footage begins with the officer arriving at the house. As he approaches the front door, he asks two women — Baca’s daughter and grandmother — to step outside. The granddaughter, Albitar Inoh, tells the officer, “please be very careful with her,” as she passes him. Baca then appears in the doorway holding knives in each hand. He points his pistol at Baca and begins shouting for her to drop the knife. Last month, police released a narrated video containing redacted portions of the 911 call and a very small portion of the body camera video of the officer arriving on the scene. In the 911 call, Baca’s daughter tells the dispatcher: “I really need an officer or an ambulance or someone because my mother is getting really aggressive.” “I’m hiding in a room because she’s threatening to kill me,” she said. She told the dispatcher her mother had dementia. The Las Cruces police officer’s identity has not been made public. He has reportedly been placed on administrative leave. Baca’s family announced Thursday they plan to file civil lawsuits against the city and police department. They have also demanded that the district attorney charge the officer with murder. “Let me be blunt. Amelia Baca was executed by the Las Cruces Police Department,” the family’s attorney, Sam Bregman, told reporters, according to the Las Cruces Sun News. “As a result of this senseless tragedy, the Baca family is respectfully demanding that the district attorney charge this officer with murder.” “You can’t walk up to someone’s front door when they’re having a mental health crisis ... and shoot them after yelling at them for 38 seconds,” Bregman said. Shortly after the news conference, the city said in a statement that it couldn’t comment, the Sun News reported. “First, we do not take critical incidents such as this lightly, especially when there is a loss of life,” the statement said. “We, again, extend our sympathies to the family and friends of Amelia Baca. Any loss of life, no matter the circumstances, is tragic.” A task force of local law enforcement departments are investigating and will send findings to District Attorney Gerald Byers. Senior Reporter, HuffPost"
