,topic,category,content
0,Scientists Grow Plants In Lunar Soil For First Time Ever,environment," CAPE CANAVERAL, Fla. (AP) — For the first time, scientists have grown plants in soil from the moon collected by NASA’s Apollo astronauts. Researchers had no idea if anything would sprout in the harsh moon dirt and wanted to see if it could be used to grow food by the next generation of lunar explorers. The results stunned them. “Holy cow. Plants actually grow in lunar stuff. Are you kidding me?” said Robert Ferl of the University of Florida’s Institute of Food and Agricultural Sciences. Ferl and his colleagues planted thale cress in moon soil returned by Apollo 11′s Neil Armstrong and Buzz Aldrin, and other moonwalkers. The good news: All of the seeds sprouted. The downside was that after the first week, the coarseness and other properties of the lunar soil stressed the small, flowering weeds so much that they grew more slowly than seedlings planted in fake moon dirt from Earth. Most of the moon plants ended up stunted. Results were published Thursday in Communications Biology. The longer the soil was exposed to punishing cosmic radiation and solar wind on the moon, the worse the plants seemed to do. The Apollo 11 samples — exposed a couple billion years longer to the elements because of the Sea of Tranquility’s older surface — were the least conducive for growth, according to scientists. “This is a big step forward to know that you can grow plants,” said Simon Gilroy, a space plant biologist at the University of Wisconsin-Madison, who had no role in the study. “The real next step is to go and do it on the surface of the moon.” Moon dirt is full of tiny, glass fragments from micrometeorite impacts that got everywhere in the Apollo lunar landers and wore down the moonwalkers’ spacesuits. One solution might be to use younger geologic spots on the moon, like lava flows, for digging up planting soil. The environment also could be tweaked, altering the nutrient mixture or adjusting the artificial lighting, Only 842 pounds (382 kilograms) of moon rocks and soil were brought back by six Apollo crews. Some of the earliest moon dust was sprinkled on plants under quarantine with the Apollo astronauts in Houston after returning from the moon. Most of the lunar stash remained locked away, forcing researchers to experiment with simulated soil made of volcanic ash on Earth. NASA finally doled out 12 grams to the University of Florida researchers early last year, and the long-awaited planting took place last May in a lab. NASA said the timing for such an experiment was finally right, with the space agency looking to put astronauts back on the moon in a few years. The ideal situation would be for future astronauts to tap into the endless supply of available local dirt for indoor planting versus setting up a hydroponic, or all-water, system, scientists said. “The fact that anything grew means that we have a really good starting point, and now the question is how do we optimize and improve,” said Sharmila Bhattacharya, NASA’s program scientist for space biology, The Florida scientists hope to recycle their lunar soil later this year, planting more thale cress before possibly moving on to other vegetation. ___ The Associated Press Health and Science Department receives support from the Howard Hughes Medical Institute’s Department of Science Education. The AP is solely responsible for all content."
1,"91% Of Surveyed Corals Bleached Along Great Barrier Reef, Australia Says",environment," Senior Reporter, HuffPost SYDNEY ― More than 90% of coral reefs surveyed along Australia’s Great Barrier Reef were bleached in recent months due to catastrophically warm ocean temperatures, according to a new report by the top government agency monitoring the structure’s health. The Great Barrier Reef Marine Park Authority released its “Reef Snapshot” report Tuesday after conducting aerial surveys of the structure following reports it was suffering from mass bleaching earlier this year. Researchers monitored 719 reefs along the eastern coast of Australia, saying 654 of those showed signs of at least some bleaching. Many of those were classified as severely or extremely bleached. “The Great Barrier Reef’s waters warmed early in December 2021, exceeding historical summer maximums that typically occur in the hottest summer months,” the agency said in a release this week. “This prolonged heat exposure led to a mass bleaching of coral across the Great Barrier Reef; the fourth to occur in seven years. Unusually, this was the first mass bleaching event to occur under La Niña conditions.” The marine park authority said Tuesday that scientists had observed some severe bleaching along some surveyed sights, including “completely white colonies” and coral death in areas hit hardest by the warm oceans. The marine park authority first said in March that the iconic structure was undergoing another devastating mass bleaching event, the fourth since 2016, due to abnormally warm ocean temperatures. It’s the first time, however, that a mass bleaching has happened during a La Niña year, when the ocean is supposed to be cooler than usual. Bleaching happens most often when corals are effectively cooked by warmer than usual water, which causes the delicate polyps to turn a sickly white. They can recover if temperatures stabilize, but if the warm water lingers for too long, huge swaths of the reef can die. The report was quietly published Tuesday night, a week after The Sydney Morning Herald reported the document had been delayed until after Australia’s federal election. The Great Barrier Reef Marine Park Authority maintained at the time the decision had nothing to do with politics, although scientists and environmentalists criticized the agency for not publishing the findings sooner. The agency’s chief scientist, David Wachenfeld, said there was hope the bleaching wouldn’t lead to widespread death of corals. “The early indications are the mortality won’t be very high so we are hoping that we will see most of the coral that is bleached recover, and we will end up with an event rather more like 2020 where yes there was mass bleaching but there was low mortality,” Wachenfeld told the Australian Broadcasting Corporation. But reef advocates have stressed that any mass bleaching event is devastating news. “This was a La Niña year, normally characterized by more cloud cover and rain,” Lissa Schindler, a campaign manger for the Australian Marine Conservation Society, told The Guardian. “It should have been a welcome reprieve for our reef to help it recover … This is not normal and we should not accept that this is the way things are.” Australian Prime Minister Scott Morrison has faced fierce criticism for failing to address climate change, instead throwing his support behind the coal and mining industries. The country has pledged to spend more than $2 billion to protect the structure, but advocates say that figure fails to address the root cause of its demise: our rapidly warming world. Scientists had hoped the season would give corals walloped by frequent bleaching time to recover, but they said the latest event was a “grim” sign for the future of the reef. Instead, some warned that the next strong El Niño summer — when waters are hotter than usual — would be “awful” for the reef. Compared to earlier mass bleaching events, 2022 was more severe than 1998 - then the hottest year on record, and 2002. 2016 (an El Niño summer) remains the most deadly event, killing 30% of corals. 51% died in the north.The next strong El Niño will be awful. https://t.co/4OgAL1fdEx pic.twitter.com/XlMX3tAZ6u Senior Reporter, HuffPost"
2,Great Barrier Reef Condition Now 'Very Poor',environment, Microbio
3,Dog Rescued From Cage Thrown Into River Finds New Home: 'He Still Loves People',environment," Assignment editor, HuffPost A young Michigan dog with a resilient spirit has found a new home after being rescued from a perilous situation. VanBuren, a puppy estimated to be 5 to 6 months old, was picked up by animal control after someone found him “locked in a black wire crate in a river,” Jackson County Animal Shelter spokesperson Lydia Sattler told HuffPost in an email. VanBuren was taken to the shelter, which wrote about his plight last week in a Facebook post that went viral. The shelter noted that “thankfully” someone spotted the cage in the river “before the rains came,” when the water wasn’t too high. The post included a photo showing VanBuren’s leg healing from a “nasty break” that he had when he was found. He also had “several abrasions,” Sattler added. But the trauma he’d been through apparently didn’t dampen the puppy’s loving spirit. “He is absolutely a wiggle bottom and full of kisses for everyone,” Sattler said. The shelter’s post also noted that VanBuren “still loves people” and aspires to be the “best doggo ever.” His sweet attitude is likely a big reason it didn’t take long for him to find a home. On Monday, Sattler said VanBuren had been adopted and shared a happy photo of the pup with his new family. Congrats, VanBuren! Assignment editor, HuffPost"
4,Trump Frets Over Underdog Surge In Dr. Oz Senate Race,environment," Politics Reporter, HuffPost Senior Politics Reporter, HuffPost The sudden rise of conservative commentator and author Kathy Barnette in polls has Donald Trump apparently worried about his pick in Pennsylvania’s GOP Senate race, celebrity doctor Mehmet Oz. Following the release of a Fox News poll that showed Barnette within striking distance of Oz, Trump released a statement slamming Barnette as too weak to face the Democrat in the general election. “Kathy Barnette will never be able to win the General Election against the Radical Left Democrats,” Trump said Thursday in a news release from his political action committee. In the same statement, Trump left the door open to supporting her if she wins, an effort to cover his bases in light of increasing scrutiny about the waning power of his political endorsements. “She has many things in her past which have not been properly explained or vetted, but if she is able to do so, she will have a wonderful future in the Republican Party — and I will be behind her all the way,” he said. Barnette, who wrote a book about being Black and conservative and who has never held public office, has a lengthy history of anti-Muslim and anti-gay statements, according to CNN. She falsely accused former President Barack Obama of being a secret Muslim and has suggested banning Islam. She’s also dabbled in fraud conspiracies concerning the 2020 election. The Fox poll from Tuesday showed Barnette with 19% of the vote, just behind Oz at 22% and former hedge fund CEO Dave McCormick at 20%. It also had 18% of voters still undecided. National Republicans are choosing to stay out of the fray for now. Sen. Rick Scott (R-Fla.), the chair of the National Republican Senatorial Committee, is neutral when it comes to the primary. On Thursday, he downplayed concerns about Barnette’s viability as a general election candidate and projected confidence about winning the open seat no matter who comes out on top. “We’ll win Pennsylvania,” Scott told HuffPost. But Sen. Joni Ernst (R-Iowa), the vice chair of the Senate GOP conference, defended Barnette by calling her “extraordinary.” “Just because you’re a political newcomer doesn’t mean we write you off,” Ernst said in an interview with CNN. Trump on Thursday also announced a tele-rally for Oz just days after he traveled to the state to hold a MAGA rally for the former “Dr. Oz Show” host — another sign that the former president believes Oz might need his last-minute help before Tuesday’s primary. ​​At the live rally last Friday, Trump had trouble selling the crowd on Oz, who got booed on stage. Barnette’s rise in the race’s home stretch is stunning considering the millions Oz and McCormick have spent introducing themselves to voters and trashing each other in TV ads. They’ve each questioned the other’s conservative credentials, ties to China and spotty residency links to the state they want to represent in Congress. Democrats have their own primary headaches to contend with ahead of what is shaping up to be one of the most competitive races of the cycle. But they couldn’t help gloating a little on Thursday about the situation that Republicans find themselves in. “We have a challenge this year for sure, but this primary they’re having ― it’s so negative, so rancorous, so divisive that I think it’s going to hurt their nominee,” Sen. Bob Casey (D-Pa.) said. Politics Reporter, HuffPost Senior Politics Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
5,Kanye West Told Kim Kardashian Her 'Career Is Over' For Dressing Like Marge Simpson,environment," Senior Reporter, HuffPost Kim Kardashian’s and Kanye West’s divorce has pulled a smattering of famous types into its orbit (Trevor Noah, Hillary Clinton and, of course Pete Davidson), but never did we expect the former couple to bring Marge Simpson into their mess. On the most recent episode of the famous family’s new Hulu series, “The Kardashians,” the reality TV star expressed anxiety about charting new fashion territory without West, whom she divorced in February 2021 after six years of marriage. The Yeezy founder played an instrumental role in overhauling his former wife’s style ― he demanded that she purge an entire closet of clothes months into their relationship ― and hand-selected nearly every outfit she wore in public until their split. “I got to a point where I would ask his advice for everything down to what I wear,” Kardashian told sister Kourtney on Wednesday’s episode. “Even now I’m having panic attacks, like what do I wear?” Kardashian was left to her own devices for last year’s WSJ. Magazine’s Innovator Awards, where she was honored for her shapewear brand SKIMS. The brown leather dress, which she accessorized with matching gloves and over-the-knee snakeskin boots, however, received less than favorable reviews from West. “He called me afterwards,” Kardashian said. “He told me my career is over and then he showed me a picture of Marge Simpson wearing something similar.” It’s unclear exactly what picture West might’ve been referring to, but viewers quickly came up with a few options on Twitter after the episode aired. Kanye sent Kim a picture of Marge Simpson in a dress similar to what she wore at the Wall Street Journal awards. Who wore it better? #TheKardashians pic.twitter.com/rOnDHZTy0q Ye tells Kim her career was 'over' as he compared her awards dress outfit to a dress worn by The Simpson's character marge. Ye gave her fashion and took it away pic.twitter.com/Ue8ph6o3Jt Simpson, we must note, is a bit of fashion trailblazer in her own right, rocking garments from the luxury fashion house Balenciaga on an animated runway last year. Later on in the episode, Kardashian seemed to find her own footing style-wise, but admitted that she has “never really been the visionary” when it came to fashion. “His love language is clothes,” she said of West. “I always just trusted in him, but it’s not just about clothes. That was, like, the last thing we had really in common.” “I’m trying to figure out, like, who am I in the fashion world? Who am I by myself?” she continued. “I was always, like, The Kardashians with my sisters and then I was, like, Kimye. Like, who is Kim K? That is the jump. How do I get there without Kanye?” If her recent Met Gala ensemble is any indication, Kardashian is doing just fine in the fashion department. She caused all sorts of conversation for slinking into the vintage gown worn by Marilyn Monroe to President John F. Kennedy’s birthday celebration in 1962. Kardashian attended the event alongside boyfriend, “Saturday Night Live” star Pete Davidson, who she started dating in the fall after her hosting debut on late-night sketch show. In her new relationship, Kardashian has seemingly assumed West’s role, with Davidson joking on the red carpet that she “didn’t let me wear my propeller hat, but it’s fine.” Senior Reporter, HuffPost"
6,Republicans Criticize Biden For Not Starving Undocumented Immigrant Babies,environment," Deputy Politics Editor, HuffPost Republicans criticized the Biden administration on Thursday for providing food to infants detained in its custody — effectively suggesting the babies should be starved because of their immigration status. “The Biden administration has been sending pallets of baby formula for illegal mothers and their babies while American mothers and babies cannot find baby formula,” Rep. Marjorie Taylor Greene (R-Ga.) said at a news conference. “This is completely unacceptable, and this needs to end now.” “Baby formula should go to Americans before illegals,” Rep. Troy Nehls (R-Texas) wrote on Twitter. “This should not have to be said.” Texas Gov. Greg Abbott (R) accused the administration of giving “critical supplies to illegal immigrants before the very people he took an oath to serve.” Greene referenced photos of baby formula at a border facility, likely referring to a Washington Examiner article about immigrants detained at the border receiving baby formula amid a nationwide shortage. Nehls also tweeted a link to the article. The Examiner refers to the immigrants as a “lucky group” and cites posts by Rep. Kat Cammack (R-Fla.) about “thousands and thousands of containers of baby formula” being sent to the border. Cammack said she received a photo of the deliveries from a border agent. Cammack called on people to demand the Biden administration “take the baby formula that they have basically siphoned out of the supply chain and put it back in the damn stores for American kids.” The formula shortage is a crisis. Infants need either breast milk or formula for nutrition until they are at least 1 year old, and breast milk isn’t always an option. Doctors recommend against diluting milk or formula, switching to cow’s milk or making homemade formula. So the need for Americans to access baby formula is very, very real. But babies in U.S. government custody need sustenance, too, and their parents don’t have the option of leaving detention to buy supplies. If the government didn’t provide food to the babies in its custody, they would starve. The baby formula shortage has become a popular way for Republicans to attack President Joe Biden, although few lawmakers from either party have offered actual solutions to the issue. Immigration is a popular attack line, too, so it’s not much of a surprise that the right would blame immigrant babies for stealing food from American ones. The right has demonized undocumented immigrants for years, and the U.S. has a disturbing record of neglecting or mistreating children in its care. In one of the most infamous examples, former President Donald Trump intentionally split children from their parents in an attempt to dissuade immigrants from coming to the United States. For years, Republican lawmakers have blocked efforts to grant legal status to undocumented immigrants who came to the U.S. as kids. Republican politicians have suggested immigrant detention centers, including ones that lock up children, are too nice. The right’s claims about baby formula for undocumented kids fit into the narrative that Democrats are encouraging unauthorized immigration by not being harsher to undocumented people. Stephen Miller, a former senior adviser to Trump who championed many of that administration’s harshest immigration policies, said the Biden administration was “diverting scarce formula to subsidize mass illegal immigration.” How many American Parents couldn’t feed their children, or were forced to use a formula their infants couldn’t tolerate, because Biden was diverting scarce formula to subsidize mass illegal immigration through our open border? https://t.co/hdKFsMvzvo Cammack insisted that her screed against baby formula for undocumented infants was actually part of a pro-children agenda, and she accused the Biden administration of helping cartels smuggle immigrant kids by being insufficiently tough on the border. “It’s not these kids’ fault,” she said. “My heart breaks for these kids.” Just not enough to let them eat. Deputy Politics Editor, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
7,"SI Swimsuit Features First Model With Visible C-Section Scar, And The Reactions Are Mixed",environment," Senior Lifestyle Reporter, HuffPost In recent years, Sports Illustrated has made a concerted effort to expand the, shall we say, limited perception of female beauty highlighted in its annual Swimsuit issue. In 2016, the publication featured its first plus-size cover girl, Ashley Graham. In 2019, Halima Aden became the first model to appear in the magazine wearing a hijab. And in 2020, Valentina Sampaio became the first openly transgender model to appear in the issue. The latest first for the 58-year-old Swimsuit edition? A model proudly showing her visible cesarean section scar. In SI Swimsuit 2022, model Kelly Hughes flashes a big grin and pulls down her bikini bottoms a smidge to reveal a C-section scar above her pelvic bone. A post shared by Sports Illustrated Swimsuit (@si_swimsuit) The photo feature was done in collaboration with pregnancy and postpartum brand Frida Mom, the first brand to partner with Sports Illustrated Swimsuit under its Pay With Change advertising platform. In a statement, Frida Mom founder Chelsea Hirschhorn said the partnership provides a “valuable platform to disrupt the traditional narrative around women’s bodies — especially those they feature who are mothers.” In her Instagram post of the photo, Hughes, who delivered her son via cesarean three years ago, shared her complicated feelings about her C-section scar. “I struggled with insecurities from my scar being that I’m a model and my incredibly difficult recovery but it wasn’t until I embraced my scar that I experienced the true power in it,” she wrote. According to the latest research from the World Health Organization, births by C-section continue to rise globally, now accounting for more than 1 in 5 (21%) of all childbirths. In the U.S., nearly a third of people who give birth now deliver babies via cesarean section. Despite how common the procedure is, many people are left with guilt or shame after having a C-section, especially if their intention going in was to have a vaginal delivery. As Sports Illustrated notes on its site, “the cultural misconception of labeling C-sections as ‘the easy way out’” doesn’t help matters. Then there’s the body shame many feel about their visible scars, even years later, said Carla Korn, a psychotherapist and body image expert in Westlake Village, California. “So many women feel uncomfortable about their scars being on display and make attempts to hide them,” she told HuffPost. Korn thinks seeing a C-section scar in Sports Illustrated “helps send the message to postpartum women that their scar is nothing to be ashamed of.” For male readers coming across the photo, Korn thinks the message conveyed is just as powerful. (Though if they’re familiar with the newer, more inclusive Swimsuit edition ― “Woke Illustrated,” as some have called it ― they probably won’t be too surprised to see it.) “I think the photo shows that women’s bodies are uniquely capable and magical, especially in how we grow babies and give birth,” she said. “Our bodies’ diversity and perceived imperfections make them even more beautiful.” Melissa Weinberg, a psychotherapist in private practice who specializes in the treatment of anxiety and obsessive-compulsive disorder, especially during pregnancy and in the postpartum period, loves that the magazine is normalizing postpartum bodies. Still, she wishes the publication had pushed even further. “It’s certainly a step in the right direction, but it’s hard to get too excited about photos that completely reinforce every other aspect of unhelpful and unachievable beauty ideals that makes most women, including postpartum women, feel like garbage,” she told HuffPost. As nice as the photo is, it doesn’t do much to disrupt the norm of “thin white cis blond women” being revered for their beauty, she added. “Will this be the new standard of how postpartum bodies should look? Will a woman who in most ways looks nothing like this model, aside from their shared C-section scars, feel even worse about her postpartum body in comparison?” she asked. “These photos are really cool, but not enough,” she added. “We need more diversity and inclusivity.” That being noted, Weinberg said it’s always refreshing to see C-sections normalized. “I hope that these photos send the message to anyone viewing them, men included, that C-sections and the marks they leave are unbelievably common and not something to be hidden, but celebrated, something as normal as freckles,” she said. “As a society we want to ignore the details ― glorious and gory ― of such a normal part of the human experience: childbirth.” On social media, the glossy photo has elicited a range of emotions for women who have had C-sections themselves. Some are happily surprised to see scars like theirs shown in the pages of Sports Illustrated. Others have noted that their scars aren’t quite as subtle as Hughes’ due to a “classic” vertical incision rather than a side-to-side “bikini cut,” or that they healed weirdly. Way to go Sports Illustrated, some of us have that scar https://t.co/W5T8T7IVlD Amanda Kammarada, an artist and author who had two C-sections, in 2009 and 2012, was so happy to see the photos featured in a NowThis video, she tweeted it out to her followers. “It made me feel proud of my scar,” she told HuffPost. “Seeing that kind of representation in that type of magazine is a really big deal.” If the picture chips away at the stigma associated with C-sections even slightly, Kammarada said she’s happy. “There are some who say that a C-section isn’t really ‘giving birth,’” she said. “A woman’s body is incredible and there should be no shame in how you have your child.” Senior Lifestyle Reporter, HuffPost"
8,Russian Threats Push Finland Toward Joining NATO Alliance,environment," KYIV, Ukraine (AP) — Finland’s leaders Thursday came out in favor of applying to join NATO, and Sweden could do the same within days, in a historic realignment on the continent 2 1/2 months after Russian President Vladimir Putin’s invasion of Ukraine sent a shiver of fear through Moscow’s neighbors. The Kremlin reacted by warning it will be forced to take retaliatory “military-technical” steps. On the ground, meanwhile, Russian forces pounded areas in central, northern and eastern Ukraine, including the last pocket of resistance in Mariupol, as part its offensive to take the industrial Donbas region, while Ukraine recaptured some towns and villages in the northeast. The first war-crimes trial of a Russian soldier since the start of the conflict is set to open Friday in Kyiv. A 21-year-old captured member of a tank unit is accused of shooting to death a civilian on a bicycle during the opening week of the war. Finland’s president and prime minister announced that the Nordic country should apply right away for membership in NATO, the military defense pact founded in part to counter the Soviet Union. “You (Russia) caused this. Look in the mirror,” Finnish President Sauli Niinisto said this week. While the country’s Parliament still has to weigh in, the announcement means Finland is all but certain to apply — and gain admission — though the process could take months to complete. Sweden, likewise, is considering putting itself under NATO’s protection. That would represent a major change in Europe’s security landscape: Sweden has avoided military alliances for more than 200 years, while Finland adopted neutrality after its defeat by the Soviets in World War II. Public opinion in both nations shifted dramatically in favor of NATO membership after the invasion, which stirred fears in countries along Russia’s flank that they could be next. Such an expansion of the alliance would leave Russia surrounded by NATO countries in the Baltic Sea and the Arctic and would amount to a stinging setback for Putin, who had hoped to divide and roll back NATO in Europe but is instead seeing the opposite happen. NATO Secretary-General Jens Stoltenberg has said the alliance would welcome Finland and Sweden with open arms. Russia’s Foreign Ministry warned that Moscow “will be forced to take retaliatory steps of military-technical and other characteristics in order to counter the emerging threats to its national security.” NATO’s funneling of weapons and other military support to Ukraine already has been critical to Kyiv’s surprising success in stymieing the invasion, and the Kremlin warned anew in chilling terms Thursday that the aid could lead to direct conflict between NATO and Russia. “There is always a risk of such conflict turning into a full-scale nuclear war, a scenario that will be catastrophic for all,” said Dmitry Medvedev, deputy head of Russia’s Security Council. While Russia’s advance in the Donbas has been slow, its forces have gained some ground and taken some villages. Four civilians were killed Thursday in three communities in the Donetsk region, which is part of the Donbas, the regional governor reported. Britain’s Defense Ministry said Russia’s focus on the Donbas has left its remaining troops around the northeastern city of Kharkiv vulnerable to counterattack from Ukrainian forces, which recaptured several towns and villages around the city. Russian strikes Thursday killed at least two civilians on the outskirts of Kharkiv, Ukraine’s second-largest city, local authorities said. The attacks also damaged a building housing a humanitarian aid unit, municipal offices and hospital facilities, Vyacheslav Zadorenko, the mayor of the suburban town of Derhachi, wrote in a Telegram post. None of the sites “had anything to do with military infrastructure,” Zadorenko said. Fighting across the east has driven many thousands of Ukrainians from their homes. “It is terrible there now. We were leaving under missiles,” said Tatiana Kravstova, who left the town of Siversk with her 8-year-old son Artiom on a bus headed for the central city of Dnipro. “I don’t know where they were aiming, but they were pointing at civilians.” Ukraine also said Russian forces had fired artillery and grenade launchers at Ukrainian troops around Zaporizhzhia, which has been a refuge for civilians fleeing Mariupol, and attacked in the Chernihiv and Sumy regions to the north. Overnight airstrikes near Chernihiv, in northern Ukraine, killed at least three people, Ukraine’s military said. It said that Russian troops fired rockets at a school and student dormitory in Novhorod-Siversky and that some other buildings, including private homes, were also damaged. In his evening address to the nation, Ukrainian President Volodymyr Zelenskyy condemned the assaults. “Of course, the Russian state is in such a state that any education only gets in its way. But what can be achieved by destroying Ukrainian schools? All Russian commanders who give such orders are simply sick and incurable.” Noting that Thursday is International Nurses Day, Zelenskyy said the Russian military had damaged 570 medical facilities since the invasion began on Feb. 24 and fully destroyed 101 hospitals. Twelve Russian missiles struck an oil refinery and other infrastructure in the central Ukrainian industrial hub of Kremenchuk on Thursday, the region’s acting governor, Dmytro Lunin, wrote in a Telegram post. In early April, he said, the refinery, which had been the last fully functional one in Ukraine at the time, was knocked offline by an attack. In the southern port of Mariupol, which has largely been reduced to smoking rubble with little food, water or medicine, or what the mayor called a “medieval ghetto,” Ukrainian fighters continued to hold out at the Azovstal steel plant, the last stronghold of resistance in the city. Ukrainian Deputy Prime Minister Iryna Vereshchuk said negotiations were underway with Russia to win the release of 38 severely wounded Ukrainian defenders from the plant. She said Ukraine hoped to exchange them for 38 “significant” Russian prisoners of war. ___ Yesica Fisch in Bakhmut, David Keyton in Kyiv, Yuras Karmanau in Lviv, Mstyslav Chernov in Kharkiv, Jari Tanner in Helsinki, and other AP staffers around the world contributed. ___ Follow AP’s coverage of the war in Ukraine: https://apnews.com/hub/russia-ukraine"
9,Rob Reiner Confirms Sequel To 'This Is Spinal Tap' Is In The Works,environment," Senior Reporter, HuffPost After nearly 40 years, the classic 1984 movie “This Is Spinal Tap” is getting a sequel. Dateline is reporting that the spoof heavy-metal band created by Christopher Guest, Michael McKean and Harry Shearer will be making a comeback in a sequel to the mockumentary called “Spinal Tap II.” Sadly, it looks like the number in the title is meant to be a “2,” and not the number “11,” which looms large in the band’s legend, as you can see from this clip from the first movie. Rob Reiner will direct the movie as well as reprise his role as doofus documentarian Marty DiBergi. He told Deadline that he was constantly asked about whether there would ever be a sequel to the film but said that he and his collaborators came up with the right approach only recently. “You don’t want to just do it to do it. You want to honor the first one and push it a little further with the story,” he said. Reiner noted that Guest, McKean and Shearer have performed as Spinal Tap all over the world but “haven’t spent any time together recently, and that became the premise.” He said the plot will center on the death of longtime manager Ian Faith, played in the film by Tony Hendra. “Ian’s widow inherited a contract that said Spinal Tap owed them one more concert. She was basically going to sue them if they didn’t,” Reiner explained. “All these years and a lot of bad blood we’ll get into, and they’re thrown back together and forced to deal with each other and play this concert.” Reiner said there might be some cameos from famous musicians in the film and added that band might also do a book dedicated to the experiences of real-life rockers that parallel the incidents in the movie. “Like in the movie, they get stoned and can’t find the stage, that happened to Tom Petty and the Heartbreakers,” Reiner said. The new film will be released March 19, 2024, or 40 years and 17 days after the original’s world premiere. Of course, Twitter users had thoughts. Please call it This Was Spinal Tap https://t.co/I25dabJg6R reminder that the actors did the DVD commentary of the original spinal tap in character; it essentially functions as a half sequel https://t.co/Hkj5DexMUc My prediction for Spinal Tap 2022: One member will grapple with the band’s history of misogyny in a post-MeToo world, another will be a “keep politics out of music” guy, and the third will be obsessed with NFTs. https://t.co/P6qolCG5xw And, of course, someone quoted one of the film’s lines. You are present at the new birth of Spinal Tap mk 2… https://t.co/g9Wsq7Le7j Senior Reporter, HuffPost"
