,topic,category,content
0,GEORGE CONWAY,politics,
1,"Mike Pence Breaks With Trump, Will Campaign With Georgia Gov. Brian Kemp",politics," NEW YORK (AP) — Former Vice President Mike Pence will campaign with Georgia’s incumbent Republican Gov. Brian Kemp the day before this month’s GOP primary in his most significant political break with former President Donald Trump to date. Kemp’s campaign announced Friday morning that Pence will headline a get-out-the-vote rally for Kemp on Monday, May 23rd, the day before the vote. That puts Pence in direct conflict with Trump-endorsed candidate David Perdue, who has been trailing in the polls. Kemp is one of Trump’s top targets this election cycle because of his refusal to cooperate with Trump’s efforts to overturn the results of the 2020 election. “Brian Kemp is my friend, a man dedicated to faith, family and the people of Georgia,” Pence said in a statement. “I am proud to offer my full support for four more years of Brian Kemp as governor of the great state of Georgia!” The news comes as Pence has taken steps to distance himself from Trump as the former congressman and Indiana governor considers a 2024 presidential run that could put him into direct competition with his former boss. That has included calling out Trump by name. In February, Pence said Trump was “wrong” to insist that Pence had the power to unilaterally overturn the results of the 2020 election — a power vice presidents do not possess. In a separate speech before top Republican donors, Pence urged the GOP to move on from Trump’s 2020 election grievances and said there was “no room in this party for apologists” for Vladimir Putin after Trump praised the Russian leader’s maneuvering as “genius” before his brutal invasion of Ukraine. “Elections are about the future,” Pence said in March. “My fellow Republicans, we can only win if we are united around an optimistic vision for the future based on our highest values. We cannot win by fighting yesterday’s battles, or by relitigating the past.” A Trump spokesperson did not immediately respond to a request for comment on Pence’s plans. But Trump this week panned a trio of current and former Republican governors, including New Jersey’s Chris Christie, as “RINOs” — or “Republicans in Name Only” — for supporting Kemp. “That tells you all you need to know about what you are getting in Georgia—just a continuation of bad elections and a real RINO if you vote for Brian Kemp,” Trump said. “Maybe the “R” in RINO really stands for re-elected,” Christie quipped back. The Georgia race is a gamble for Trump, who notched a major victory in Ohio earlier this month when JD Vance, the candidate he endorsed, came from behind to win a competitive GOP Senate primary. But last week, his pick for governor in Nebraska, Charles Herbster, lost his primary amid groping allegations. And Trump faces further challenges ahead, including in Pennsylvania next week, where his pick for Senate, celebrity heart surgeon Mehmet Oz, is locked in a tight, three-way race. Kemp had been substantially ahead of Perdue in polls in March and April, and many expect Kemp will be able to prevail without a June runoff, which would be triggered if no candidate won a majority of the vote. Perdue, a former senator, has also been lagging in fundraising and had about $900,000 cash on hand on April 30, less than a month before the May 24 primary, while Kemp had $10.7 million. The winner will face Democrat Stacey Abrams, who has raised more than $20 million so far and had $8 million in cash on April 30. Do you have information you want to share with HuffPost? 
    Here’s how."
2,Mixed Texas Ruling Allows Transgender Youth Abuse Investigations,politics," AUSTIN, Texas (AP) — The Texas Supreme Court on Friday allowed the state to investigate parents of transgender youth for child abuse while also ruling in favor of one family that was among the first contacted by child welfare officials following an order by Republican Gov. Greg Abbott. The court did not rule on the merits of the investigations — which were the first of its kind in the U.S. — only that lower courts in Texas overstepped by trying to block all cases from going forward. The mixed ruling by Texas’ highest civil court, which is entirely controlled by nine elected Republican justices, comes at a moment when GOP lawmakers across the U.S. are accelerating efforts to impose restrictions on transgender rights. Lambada Legal, which helped bring the lawsuit against Texas on behalf of the parents of the 16-year-old girl, called the decision a win because it put the state’s investigation into their family on hold. Although the ruling does not prevent Texas from launching investigations into other families, the state would be foolish to do so now because those families could also seek an injunction, said Omar Gonzalez-Paden, counsel and health care strategist for Lambada Legal. “It would be both futile and a complete waste of resources for them to do so,” Gonzalez-Paden said. Texas went farther than any state in February when Abbott issued a first-of-its-kind order that instructed child welfare officials to investigate reports of gender-confirming care for kids as abuse. A judge in Austin put that order on hold after a lawsuit brought on behalf of the the 16-year-old girl whose family said the state was already investigating their family. It was filed by the American Civil Liberties Union and Lambda Legal. The lawsuit marked the first report of parents being investigated following Abbott’s directive and an earlier nonbinding legal opinion by Republican Attorney General Ken Paxton labeling certain gender-confirming treatments as “child abuse.” The Texas Department of Family and Protective Service has said it opened nine investigations following the directive and opinion. Across the country, Republicans have leaned into the debates over transgender rights as LGBTQ Americans have grown increasingly visible in society and pop culture. In March, the Arizona Legislature passed bills to prohibit gender confirmation surgery for minors and ban transgender athletes from playing on girls sports teams, and Republican Gov. Doug Ducey signed them. Two other GOP governors in Indiana and Utah  bucked their party and vetoed legislation to ban transgender players from girls sports. In Texas, the groups bringing the lawsuit also represent a clinical psychologist who has said the governor’s directive forces her to choose between reporting clients to the state or losing her license and other penalties. The governor’s directive and Paxton’s opinion go against the nation’s largest medical groups, including the American Medical Association, which have opposed Republican-backed restrictions on transgender people filed in statehouses nationwide. Do you have information you want to share with HuffPost? 
    Here’s how."
3,Jen Psaki Says She'll Miss Fox News' Peter Doocy Ahead Of Final White House Briefing,politics," Breaking News Reporter, HuffPost White House press secretary Jen Psaki said she’ll miss Peter Doocy, the White House correspondent for Fox News, after she steps down following her last briefing from the podium on Friday. “I will,” Psaki responded Thursday to a question about Doocy at an event hosted by the Christian Science Monitor. “I think we have a very good professional relationship and I understand that he’s coming there to ask questions every day that are important to report and the outlet he works for, and I respect that, and we have healthy debates and discussions,” Psaki said. Psaki added this “doesn’t mean I agree with his line of questioning on most days,” but she said she still answered Doocy’s questions. Doocy appeared to share the sentiment last week when Psaki announced her departure. “Sorry to see you go,” Doocy said when Psaki called on him. “Are you?” Psaki replied. “Yes, and you’ve always been a good sport,” Doocy replied, thanking Psaki for her service. The pair have repeatedly clashed, most recently over a question by Doocy on the absence of a mask requirement in the White House briefing room. “Well, Peter, I’m not a doctor, you’re not a doctor — that I’m aware of .... OK, not a doctor,” Psaki said. “Nor does he play one on TV — most days.” This wasn’t the first time the adversarial relationship attracted attention. During an interview with the “Pod Save America” podcast, the press secretary was asked if Doocy was “a stupid son of a bitch,” as President Joe Biden was caught muttering on a hot mic in January. “He works for a network that provides people with questions that ― nothing personal to any individual, including Peter Doocy ― but might make anyone sound like a stupid son of a bitch,” Psaki replied. This prompted a response from Fox News. “His questions are his own, he is a terrific reporter and we are extremely proud of his work,” a spokesperson said. Psaki, after her final press briefing, will be replaced by her deputy, Karine Jean-Pierre, who will make history as the first Black woman and first openly gay person in the role. Breaking News Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
4,'Bridgerton' Family Member Replaced For Third Season Of Hit Netflix Show,politics," Reporter, HuffPost What would Lady Whistledown make of it? Ruby Stokes is leaving the hit Netflix show “Bridgerton.” Her character Francesca Bridgerton, who appeared sporadically in the first two seasons, will be replaced in the upcoming third season of the regency period drama by Hannah Dodd, of “Anatomy of a Scandal” fame. Stokes is off to star in Netflix’s upcoming “Lockwood & Co.” series, reported Deadline. The recasting could mean the younger Bridgerton sibling has a more prominent role in future episodes, the outlet suggested. Filming on the third season begins this summer. Reporter, HuffPost"
5,Video Shows Police Fatally Shoot Grandmother With Dementia In New Mexico Home,politics," Senior Reporter, HuffPost Police in New Mexico have released disturbing body camera footage showing an officer fatally shooting a 75-year-old woman with dementia in her home last month. Warning to readers: The video, below, is graphic and disturbing. The woman, Amelia Baca, had become agitated at family members in the Las Cruces home when her daughter called the police for help on April 16. According to family members, Baca was having a mental health crisis. In body camera video released Tuesday by the city of Las Cruces in response to a public records request, an officer can be seen pointing a gun at Baca through the doorway of the home moments after arriving on the scene. Baca, who family members said did not speak English, is holding two kitchen knives and shouting in Spanish. The officer repeatedly shouts at her in English to “drop the knife,” “drop the fucking knife,” “do it now.” After 38 seconds, he tells her to “put the fucking knife down” and fires two shots at her. She died at the scene. The video is below. It is graphic. The body camera footage begins with the officer arriving at the house. As he approaches the front door, he asks two women — Baca’s daughter and grandmother — to step outside. The granddaughter, Albitar Inoh, tells the officer, “please be very careful with her,” as she passes him. Baca then appears in the doorway holding knives in each hand. He points his pistol at Baca and begins shouting for her to drop the knife. Last month, police released a narrated video containing redacted portions of the 911 call and a very small portion of the body camera video of the officer arriving on the scene. In the 911 call, Baca’s daughter tells the dispatcher: “I really need an officer or an ambulance or someone because my mother is getting really aggressive.” “I’m hiding in a room because she’s threatening to kill me,” she said. She told the dispatcher her mother had dementia. The Las Cruces police officer’s identity has not been made public. He has reportedly been placed on administrative leave. Baca’s family announced Thursday they plan to file civil lawsuits against the city and police department. They have also demanded that the district attorney charge the officer with murder. “Let me be blunt. Amelia Baca was executed by the Las Cruces Police Department,” the family’s attorney, Sam Bregman, told reporters, according to the Las Cruces Sun News. “As a result of this senseless tragedy, the Baca family is respectfully demanding that the district attorney charge this officer with murder.” “You can’t walk up to someone’s front door when they’re having a mental health crisis ... and shoot them after yelling at them for 38 seconds,” Bregman said. Shortly after the news conference, the city said in a statement that it couldn’t comment, the Sun News reported. “First, we do not take critical incidents such as this lightly, especially when there is a loss of life,” the statement said. “We, again, extend our sympathies to the family and friends of Amelia Baca. Any loss of life, no matter the circumstances, is tragic.” A task force of local law enforcement departments are investigating and will send findings to District Attorney Gerald Byers. Senior Reporter, HuffPost"
6,Why The 'Explosive' COVID-19 Outbreak In North Korea Is So Alarming,politics," Senior Reporter, HuffPost North Korea declared a “maximum emergency” on Thursday after officials announced the country’s first outbreak of COVID-19, a bleak moment for the reclusive nation as most of its citizens remain unvaccinated against the virus. Just a day later, North Korea said a new fever had spread “explosively” across the nation, infecting at least 350,000 people since April and causing at least six deaths, including one confirmed to be linked to the coronavirus. At least 18,000 people were diagnosed with the fever nationwide on Thursday alone, and more than 187,000 people were being isolated and treated. “A fever whose cause couldn’t be identified explosively spread nationwide from late April, and more than 350,000 people got fever in a short span of time,” North Korea’s state-run KCNA said Friday. The agency added that North Korean leader Kim Jong Un expressed: “It is the most important challenge and supreme tasks facing our Party to reverse the immediate public health crisis situation at an early date, restore the stability of epidemic prevention and protect the health and wellbeing of our people.” The figures echo what many other countries experienced at the outset of the COVID-19 pandemic in 2020. But for North Korea, which has effectively sequestered itself the past two years and maintained an iron grip on its people, the outbreak presents a stark public health challenge and raises deep concern that it could prompt a humanitarian crisis. State media said Thursday that authorities had found the first case of the highly transmissible omicron variant of the coronavirus, a rare admission from Pyongyang. All North Korean cities and counties were ordered into strict lockdown to prevent any spread. NK News reported some experts believe North Korea’s large-scale military parade on April 25 could have been a superspreader event that triggered the current outbreak. Tens of thousands of maskless North Koreans participated in the event, which celebrated the 90th anniversary of the country’s military. Kim himself wore a mask in public on Thursday, the first time he’s believed to have done so. Yonhap News said the decision likely demonstrates the troubling situation North Korea is in with the latest outbreak. The New York Times noted that North Korea has not accepted any COVID-19 vaccine donations from other nations and has a woefully under-prepared public health system. Any strain on its health infrastructure would also be exacerbated by two years of border closures with China, its main trading partner, and fierce United Nations sanctions over its ballistic weapons programs. Joshua Pollack, the editor of the U.S.-based Nonproliferation Review and a close follower of North Korea, said the country’s years-long strategy to keep COVID-19 out only imperiled it when the virus eventually arrived. “North Korea’s weak public health system has pushed them into a corner: to keep COVID out, they have sealed the borders right [up],” he wrote on Twitter. “But this also keeps most food and medical imports out. The public is vulnerable.” For now, North Korea seems to be relying on a lockdown in Pyongyang to handle the outbreak. But it’s almost bound to be more than one case by now. The country can’t be sealed perfectly forever. https://t.co/NuH8KAsc1p South Korean officials have expressed hope that any request for aid from the North could help restart diplomatic talks that have languished for years. Seoul’s Unification Ministry, which focuses on relations between the two nations, said the country would provide medical assistance and other help to the North if requested, The Associated Press reported. The United States said Thursday it had no immediate plans to share vaccines with Pyongyang, with White House press secretary Jen Psaki accusing the Kim regime of focusing more on military power than medical supplies. “We do continue to support international efforts aimed at the provision of critical humanitarian aid to the most vulnerable North Koreans, and this is, of course, a broader part of the DPRK continuing to exploit its own citizens by not accepting this type of aid,” Psaki said Thursday. “It’s not just vaccines. It’s also a range of humanitarian assistance that could very much help the people and the country, and instead they divert resources to build their unlawful nuclear and ballistic missiles programs.” Senior Reporter, HuffPost"
7,Brittney Griner's Russian Detention Extended For 1 Month,politics," MOSCOW (AP) — The lawyer for WNBA star Brittney Griner said Friday her pre-trial detention in Russia has been extended by one month. Griner’s lawyer Alexander Boikov told The Associated Press he believed the relatively short extension of the detention indicated the case would come to trial soon. Griner, a two-time Olympic gold medalist, was detained at the Moscow airport after vape cartridges containing oil derived from cannabis were allegedly found in her luggage, which could carry a maximum penalty of 10 years in prison. The Biden administration says Griner, 31, is being wrongfully detained. The WNBA and U.S. officials have worked toward her release, without visible progress."
8,Mega Millions Pauses Prize Payments After Announcer's On-Air Snafu,politics," Reporter, HuffPost What a mega mixup! The multistate Mega Millions lottery temporarily suspended prize payments this week after a snafu during the broadcast of Tuesday’s winning numbers. Announcer John Crow mistakenly called the gold Mega Ball as a 6, multiple media outlets reported. But the winning ball was a 9. The incorrect 6 also appeared on the screen during the drawing. Watch the video on the Mega Millions website here: “The 9 ball was drawn into the chamber and is the official result,” the lottery said in a statement shared on its website. The actual winning numbers, it confirmed, were 15-19-20-61-70 and gold Mega Ball 9. “We apologize for the confusion,” the lottery added, encouraging players to hold onto their ticket until the issue was resolved. No one won Tuesday’s $86 million jackpot. In New York, some people were paid out based on the wrong winning number. “Due to human error relating to the May 10, 2022 Mega Millions draw, the New York Lottery paid a total of $5,538 to players who presented tickets with the incorrect winning number to retailers before approximately 10 a.m. on May 11,” the organization said in a statement on its website. “This payment was recouped automatically via a Lottery account for uncashed tickets. There is no impact on aid to education or taxpayer funds,” it added. Statement from New York Lottery Processing of Mega Millions Tickets for 5/10/22 Drawing:⁰Following the 5/10/22 Mega Millions drawing, human error resulted in incorrect input of the winning numbers in New York State, resulting in an incorrect publishing of the Mega Ball. pic.twitter.com/1cEIMF3Fsi The New York Lottery is working to resolve the issue as quickly as possible. The Lottery has temporarily suspended prize payments for all Mega Millions tickets and all Mega Millions players should hold their tickets for the May 10, 2022 drawing until the issue is resolved. The correct winning numbers for the May 10, 2022 drawing are: 15-19-20-61-70 and Mega Ball 9. Reporter, HuffPost"
9,Jimmy Kimmel Has Blunt Warning For Republicans 'Caught On Tape Doing Weird Stuff',politics," Overnight Editor, HuffPost Jimmy Kimmel called out Republicans as they continue to push their war on women’s rights ― while also noting that other nations are moving in the opposite direction. Spain, for example, is now offering three days of paid leave for women who have severe menstrual pain. “Meanwhile, here in the USA, Republican leaders in Washington are writing a bill that says if a woman has her period in the workplace, she is guilty of witchcraft and should be captured in a burlap bag and cast into the sea,” he said. Kimmel also noted that Republicans in the Senate blocked a bill that would protect abortion rights. “You’d think these people would be for the right to privacy considering how many of them keep getting caught on tape doing weird stuff to their cousins,” he pointed out. See more in his Thursday night monologue: Overnight Editor, HuffPost"
