,topic,category,content
0,Republicans Criticize Biden For Not Starving Undocumented Immigrant Babies,social-justice," Deputy Politics Editor, HuffPost Republicans criticized the Biden administration on Thursday for providing food to infants detained in its custody — effectively suggesting the babies should be starved because of their immigration status. “The Biden administration has been sending pallets of baby formula for illegal mothers and their babies while American mothers and babies cannot find baby formula,” Rep. Marjorie Taylor Greene (R-Ga.) said at a news conference. “This is completely unacceptable, and this needs to end now.” “Baby formula should go to Americans before illegals,” Rep. Troy Nehls (R-Texas) wrote on Twitter. “This should not have to be said.” Texas Gov. Greg Abbott (R) accused the administration of giving “critical supplies to illegal immigrants before the very people he took an oath to serve.” Greene referenced photos of baby formula at a border facility, likely referring to a Washington Examiner article about immigrants detained at the border receiving baby formula amid a nationwide shortage. Nehls also tweeted a link to the article. The Examiner refers to the immigrants as a “lucky group” and cites posts by Rep. Kat Cammack (R-Fla.) about “thousands and thousands of containers of baby formula” being sent to the border. Cammack said she received a photo of the deliveries from a border agent. Cammack called on people to demand the Biden administration “take the baby formula that they have basically siphoned out of the supply chain and put it back in the damn stores for American kids.” The formula shortage is a crisis. Infants need either breast milk or formula for nutrition until they are at least 1 year old, and breast milk isn’t always an option. Doctors recommend against diluting milk or formula, switching to cow’s milk or making homemade formula. So the need for Americans to access baby formula is very, very real. But babies in U.S. government custody need sustenance, too, and their parents don’t have the option of leaving detention to buy supplies. If the government didn’t provide food to the babies in its custody, they would starve. The baby formula shortage has become a popular way for Republicans to attack President Joe Biden, although few lawmakers from either party have offered actual solutions to the issue. Immigration is a popular attack line, too, so it’s not much of a surprise that the right would blame immigrant babies for stealing food from American ones. The right has demonized undocumented immigrants for years, and the U.S. has a disturbing record of neglecting or mistreating children in its care. In one of the most infamous examples, former President Donald Trump intentionally split children from their parents in an attempt to dissuade immigrants from coming to the United States. For years, Republican lawmakers have blocked efforts to grant legal status to undocumented immigrants who came to the U.S. as kids. Republican politicians have suggested immigrant detention centers, including ones that lock up children, are too nice. The right’s claims about baby formula for undocumented kids fit into the narrative that Democrats are encouraging unauthorized immigration by not being harsher to undocumented people. Stephen Miller, a former senior adviser to Trump who championed many of that administration’s harshest immigration policies, said the Biden administration was “diverting scarce formula to subsidize mass illegal immigration.” How many American Parents couldn’t feed their children, or were forced to use a formula their infants couldn’t tolerate, because Biden was diverting scarce formula to subsidize mass illegal immigration through our open border? https://t.co/hdKFsMvzvo Cammack insisted that her screed against baby formula for undocumented infants was actually part of a pro-children agenda, and she accused the Biden administration of helping cartels smuggle immigrant kids by being insufficiently tough on the border. “It’s not these kids’ fault,” she said. “My heart breaks for these kids.” Just not enough to let them eat. Deputy Politics Editor, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
1,"As An Asian-American Woman, I Can't Step Outside Without Feeling Terrified",social-justice," Guest Writer Despite living in a city infamous for its lack of public transportation, I had excitedly accepted the challenge of getting around Los Angeles via bus, metro, or on foot. That all changed when the pandemic started. Initially, my anxiety was due to COVID-19, but then it was the trauma of watching Asian Americans like me get beat up or killed while walking on the street or on public transit in my city and cities like mine. In March 2021, seven people, mostly Asian women, were killed in the Atlanta-area mass shootings. Then, a few months ago, I saw myself in the grisly murders of Christina Lee and Michelle Go in New York City. Now, with anti-Asian hate crimes increasing by 339% last year, I’m terrified of being outside and away from the safety of my home or car. As soon as I step outside, I’m hyperalert and hypervigilant about everything and everyone around me. When anti-Asian hate crimes began to rise as the pandemic progressed, I was grateful for the mask mandate, as I thought it was helping me blend in by covering my face. I continued my routine of taking long walks in Los Angeles, thinking that this mask would provide me with anonymity and safety. However, very early on, when I was wearing a hat, sunglasses and a mask ― my entire face covered ― I heard two men snicker behind me and say, “Look at that Asian girl.” At that moment I realized that I will always stick out, regardless of how much I try to hide myself. Today I avoid being in heavily populated Asian spaces. The 2.7-square-mile Koreatown used to be my ultimate safe haven and a place where I could exist as a Korean and an American. It’s usually where I can find all the comforts and familiarities of home from across the Pacific Ocean. But these days I try to minimize my time there because I can’t help but feel like we are a massive collective target. Because of this fear, I never leave home without pepper spray, with the safety unlocked and in an accessible place in my pocket. When another body approaches, I instinctively put my hand around it in case I need to protect myself. It’s exhausting and requires more mental exertion and bodily awareness. I can’t stop looking at everyone like they’re a potential threat. I’ve created a safety plan in my head ― always keep an eye on the exit, don’t look people in the eye, have my pepper spray ready, and get ready to run. I avoid the neighbors, strangers and passersby I used to smile at and instead try to disappear even more than I already did as an Asian American ― the invisible minority. And when our cries are met with silence from our allies, the message is loud and clear, once again: We don’t matter. After Atlanta, a common recurring theme that I heard echoed among my Asian American therapy clients was that they didn’t feel acknowledged or seen by the non-Asian colleagues, peers and friends in their lives. We didn’t get the “are you OK” messages or the check-ins from non-Asian friends and co-workers. We continued to feel unseen and unheard. And so, in order to cope, we turned to each other. Asian American mental health care providers in California saw an increase in demand for services in the wake of surging anti-Asian hate incidents, including the killings in Atlanta. Crisis Text Line reported at the start of the pandemic that the number of Asian Americans seeking support more than doubled. I facilitated virtual support groups for Asian Americans after the events in Atlanta, and the familiar feelings of fear, loneliness, isolation and anger united us from all over the country. I met Asian Americans from all sorts of cultures and backgrounds: Korean, Chinese, Indian, Filipino, trans-racial adoptees, third-culture kids, and those without access to an Asian community. Due to many years of my internalized racism and succumbing to the model minority myth, I am the “token Asian” of my friend group, which has resulted in a lack of real connection to an Asian community. Therefore, I cherished my time in these support groups. I also needed support and understanding. We cried together and processed our fears together. We talked about our vision and goals for how we want to move forward as Asian Americans, individually and collectively. We validated and offered support to each other, which made us feel safe and connected, regulating our nervous systems and allowing us access to deeper parts of the brain used for thinking and processing. We decided that we need to be louder and prouder. We need to mobilize and use our voices even when we feel stuck and frozen. We need to educate, speak up and spread awareness. We need to see ourselves and each other if we want others to see us. So lately I’ve been trying something new. I’ve been actively seeking and cultivating relationships with other Asian Americans as a way to feel like a part of a community ― which is a basic need, as humans are biologically wired to want to connect and belong. With them, I don’t have to explain the filial piety and sense of guilt and duty I have toward my parents. I can sing songs in Korean at karaoke. We can order all the spicy food and name all the dishes correctly. With them, I feel safe and accepted, even as the world keeps spinning and the anti-Asian violence continues. Do you have a compelling personal story you’d like to see published on HuffPost? Find out what we’re looking for here and send us a pitch. Guest Writer"
2,Tucker Carlson Goes Full-Bigot To Assess Karine Jean-Pierre's Qualifications,social-justice," General Assignment Reporter, HuffPost Tucker Carlson proudly wore his prejudice Tuesday in a cheap shot at new White House press secretary Karine Jean-Pierre. (Watch the video below.) Jean-Pierre is the first Black woman and openly gay person to hold the position being vacated by Jen Psaki this week. Jean-Pierre previously worked as President Joe Biden’s deputy press secretary. The popular Fox News host declared that the administration had found someone as “shallow, nasty and partisan” as Psaki. He then assessed Jean-Pierre’s job qualifications as only someone who hates others on first sight could. “Karine Jean-Pierre is our first out LGBTQ+ White House press secretary and that’s all you need to know,” Carlson said. “It’s a good thing, shut up and celebrate. That’s why she got the job. She’s in the right group and to the Biden administration, which thinks exclusively in terms of groups and never in terms of individuals because individuals are messy and inconvenient. The group is all that matters.” “Show us your picture and we’ll tell you if you’re qualified for the job,” he added. Carlson has a deep history of homophobic and racist comments. H/T Media Matters General Assignment Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
3,Less Immigrant Labor Across US Contributing To Price Hikes,social-justice," Just 10 miles from the Rio Grande, Mike Helle’s farm is so short of immigrant workers that he’s replaced 450 acres of labor-intensive leafy greens with crops that can be harvested by machinery. In Houston, Al Flores increased the price of his BBQ restaurant’s brisket plate because the cost of the cut doubled due to meatpacking plants’ inability to fully staff immigrant-heavy production lines. In the Dallas area, Joshua Correa raised prices on the homes his company builds by $150,000 to cover increased costs stemming partly from a lack of immigrant labor. After immigration to the United States tapered off during the Trump administration — then ground to a near complete halt for 18 months during the coronavirus pandemic — the country is waking up to a labor shortage partly fueled by that slowdown. The U.S. has, by some estimates, 2 million fewer immigrants than it would have if the pace had stayed the same, helping power a desperate scramble for workers in many sectors, from meatpacking to homebuilding, that is also contributing to supply shortages and price increases. “These 2 million missing immigrants are part of the reason we have a labor shortage,” said Giovanni Peri, an economist at the University of California at Davis, who calculated the shortfall. “In the short run, we are going to adjust to these shortages in the labor market through an increase in wages and in prices.” The labor issues are among several contributors to the highest inflation in 40 years in the United States — from supply chains mangled by the pandemic to a surge in energy and commodity prices following Russia’s invasion of Ukraine. Steve Camarota, a researcher at the Center for Immigration Studies, which advocates for less immigration, believes a spike in illegal immigration under President Joe Biden will make up whatever shortfall lingers from the pandemic. He also contends wage increases in low-paying sectors like agriculture are minor contributors to inflation. “I don’t think wages going up is bad for the poor, and I think mathematically it is not possible to drive down inflation by limiting wages at the bottom,” Camarota told The Associated Press. Immigration is rapidly returning to its pre-pandemic levels, researchers say, but the U.S. would need a significant acceleration to make up its deficit. Given a sharp decline in births in the United States over the past two decades, some economists forecast the overall pool of potential workers will start shrinking by 2025. The immigrant worker shortage comes as the U.S. political system is showing less of an appetite for increasing immigration. Democrats — who control all branches of the federal government and more recently have been the party more friendly to immigration — haven’t tried to advance major legislation permitting more new residents to the country. A recent Gallup poll showed worries about illegal immigration at a two-decade high. With a tough election for their party looming in November, Democrats are increasingly divided about the Biden administration’s attempt to end pandemic-related restrictions on seeking asylum. “At some point we either decide to become older and smaller or we change our immigration policy,” said Douglas Holtz-Eakin, an economist and former official in President George W. Bush’s administration who is president of the center-right American Action Forum. He acknowledged a change in immigration policy is unlikely: “The bases of both parties are so locked in.” That’s certainly the case in Republican-dominated Texas, which includes the longest and busiest stretch of the southern border. The Legislature in 2017 forced cities to comply with federal immigration agents seeking people who are in the U.S. illegally. Gov. Greg Abbott sent the Texas National Guard to patrol the border and recently created traffic snarls by ordering more inspections at border ports. The turn against immigration distresses some Texas business owners. “Immigration is very important for our workforce in the United States,” said Correa. “We just need it.” He’s seeing delays of two to three months on his projects as he and his subcontractors — from drywallers to plumbers to electricians — struggle to field crews. Correa has raised the standard price of his houses from $500,000 to about $650,000. “We’re feeling it and, if we’re feeling it at the end of the day as builders and developers, the consumer pays the price,” said Correa, who spoke from Pensacola, Florida, where he brought a construction crew as a favor to a client whose hasn’t been able to find laborers to fix a beach house damaged by Hurricane Sally in 2020. The share of the U.S. population born in another country — 13.5% in the latest census — is the highest it has been since the 19th century. But even before Donald Trump won the 2016 presidential election vowing to cut immigration, migration to the United States was slowing. The Great Recession dried up many jobs that drew workers to the country, legally or illegally. Rising standards of living in Latin America have prodded more people to stay put — or to return from the United States. Flores, who runs a chain of Mexican restaurants as well as his barbecue restaurant, said while the COVID-19 pandemic was a bigger shock to his industry, the immigration slowdown has hit it hard — and not just for meatpackers that supply his restaurant’s brisket. “You’ve got a lot of positions that aren’t being filled,” he said. He’s steadily raised pay, up to $15 an hour recently. “This is a culmination of years and years,” said Flores, who’s president of the Greater Houston Restaurant Association. Helle, who raises onion, cabbage, melons and kale just outside the border town of McAllen, Texas, is also paying more to his workers, who are almost exclusively immigrants. People born in the U.S., he says, won’t work the fields regardless of the pay. Before he could find farmworkers just in the region. Now he’s joined a federal program to bring agricultural workers across the border. It’s more expensive for him, but he said it’s the only way he can keep his crops from spoiling in the ground. Helle, 60, has farmed the area for decades. “I live 10 miles from the Rio Grande river and I never in my life thought we’d be in this situation.”"
4,Lindsey Graham Grovels On Fox News Over Leaked Audio Of Him Praising Joe Biden,social-justice," Senior Reporter, HuffPost Asked on Fox News to explain his recently revealed praise of President Joe Biden on Jan. 6, 2021, Sen. Lindsey Graham (R-S.C.) predictably resorted to criticizing Biden and flattering Donald Trump. On Tuesday, CNN aired audio of Graham speaking to New York Times reporter Jonathan Martin in the hours after the Capitol riot. During the exchange, Graham said the country would eventually move on from the incident and realize “we’re better than this.” He added that Biden would likely be the best person to lead the country forward. “Yeah, totally, he’ll be maybe the best person to have, right? I mean, how mad can you get at Joe Biden?” he said in the recording. Graham was pressed on the comments Thursday during an appearance on “Jesse Watters Primetime.” “Joe Biden. The best person to have? Do you really believe that?” Watters asked him. Graham said “I was wrong.” “I’ve known Joe for 30 years,” he said. “He’s a nice guy, but he’s been a disaster as president.” He added: “This was literally happening on the day of January the 6th and I was hoping that President Biden would bring us together ... But not only has he failed to bring us together, he has made us less safe. He’s ruined our economy. All the bad guys are moving around the world.” He then pivoted to a common Republican refrain, suggesting that Trump projected more strength on the global stage. “They didn’t do this on Trump’s watch because they were afraid of him,” he said. “Nobody fears Joe Biden abroad, and at home his policies are failing.” Watters left the questioning at that, though he swiped at Graham for “speaking to New York Times reporters.” “If I was a senator, I’d never do it,” Watters quipped. Graham called that “very good advice.” Graham’s feelings about the attack have apparently lessened dramatically since the day it happened, when he condemned Trump on the Senate floor, telling colleagues: “All I can say is count me out. Enough is enough.” In the following months, he reverted to sucking up to Trump. By the one-year anniversary of the siege, he was accusing Biden of “brazen politicization” of the attack. The audio was released to promote a new book, “This Will Not Pass: Trump, Biden, and the Battle for America’s Future,” authored by Martin and fellow Times reporter Alexander Burns. Senior Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
5,GOP Rep. Madison Cawthorn Receives A Brutal Reminder After Veterans Tweet,social-justice," Reporter, HuffPost Far-right Rep. Madison Cawthorn’s tweet evoking veterans backfired. The North Carolina Republican appeared to criticize House approval of $40 billion in aid for Ukraine with this post on Wednesday: Imagine if we spent $40 Billion on veterans. In response, he received a series of searing reminders of his own votes against bills that assist former U.S. military service members. “DON’T EVEN pretend you care about Veterans,” responded VoteVets, a progressive PAC promoting Democratic military veterans for Congress. Other critics remembered Cawthorn’s misleading campaign ads that sought to spin his rejection by the U.S. Naval Academy. In March, Cawthorn voted against a bill to provide $20 billion per year to veterans exposed to toxins during their service https://t.co/ySn2OTuhJl Fact #1: The U.S. spends hundreds of billions of dollars a year on the VA.Fact #2: Cawthorn is a member of the House Veterans' Affairs Committee, and he really ought to be aware of Fact #1. https://t.co/RJpxEJ8E7c Imagine if @RepCawthorn, @GOPLeader McCarthy and 172 other House Republicans hadn't voted against the #HonoringOurPACT Act earlier this year. But no, House Republicans don't think health care for veterans sick & dying from burn pit exposure is worth it. https://t.co/Tq8Vgjvs0L https://t.co/ebJ6S7EWou Imagine if we had a Congressman who, being a member of the VA committee, didn't vote no for helping veterans with their debts simply because the book had too many pages to read. https://t.co/P1PLkYLE5W We currently spend $340 billion a year on veterans, you ignorant jackass.You also vote against veterans' benefits every chance you get, so kindly fuck off and stop using our service members as political pawns. https://t.co/95EGIrJMaV pic.twitter.com/KcSL5VbNsl You vote against Veterans EVERY CHANCE YOU GET. You even voted against expanding care for those exposed to burn pits. DON'T EVEN pretend you care about Veterans. The annual VA budget is nearly $300 billion. You'd know that if you were remotely competent. https://t.co/sj95YPLz8l Cawthorn voted against a major toxic exposure package which is arguably the most significant boost to veteran healthcare since the creation of the VA itself. https://t.co/ztUUijaiBM Imagine if Cawthorn could remember back just 6 weeks ago when Republicans were demanding the U.S. send assistance to Ukraine? https://t.co/CMifLqHrJE playing his last card. https://t.co/ySvSX2alFT ""Things aren't going great for me. Time to turn things around and tweet something random about veterans"" https://t.co/hts8raEhoI More America first messaging. https://t.co/HYEaYKhaNj Republicans have repeatedly voted against helping veterans. https://t.co/71awJVhYIL Dear @RepCawthorn: Unlike you, I’m a veteran and didn’t lie about getting accepted to the Naval Academy. Wanted to let you know Democrats increased funding to veterans last year to $270 billion. https://t.co/XhTxT9Ka96 Imagine voting against 12 bills that would benefit veterans and then posting this tweet. https://t.co/WQ5KKES5kf Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
6,Laura Ingraham Asks Why There Was No Hoarding Under Trump. Twitter Explodes.,social-justice," General Assignment Reporter, HuffPost Laura Ingraham asked with a straight face on Thursday why there was no hoarding under former President Donald Trump, prompting outraged people on Twitter to jog the Fox News host’s memory. (Watch the video below.) Ingraham used the current baby formula shortage to assert her blatant falsehood. A recall by a major formula manufacturer has exacerbated an already stressed supply chain, prompting retailers to limit purchases. President Joe Biden on Thursday announced actions to mitigate the crunch, and outgoing White House press secretary Jen Psaki said the administration has called on stores to impose restrictions “to prevent the possibility of hoarding.” “We know that is an issue,” Psaki added in the clip Ingraham showed Thursday night. Ingraham then asked with a smug cackle: “Why didn’t we have hoarding during the Trump administration?” Her guests, Rep. Byron Donalds (R-Fla.) and conservative author Horace Cooper, heartily agreed. Ingraham: Why didn’t we have hoarding during the Trump administration? pic.twitter.com/UTcXyWw2vn Let us take you back in time, Laura, to the beginning of the pandemic, 2020. Under Trump. We’ll let Twitter take it from here: What? She doesn’t remember the folks hoarding hand sanitizer and toilet paper? What f**king planet were these people living on? People were physically fighting each other for toilet paper! Hi @IngrahamAngle - we did have hoarding, you nincompoop. Toilet paper, hand sanitizer, MASKS, meat etc. Are you a dementia victim and can’t remember back to summer 2020?????? 🤦‍♀️🤦‍♀️ https://t.co/fbUGcOS2Ms @IngrahamAngIe must forget the great toilet paper shortage of 2020. Laura Ingraham has bad case of amnesia, wonders out loud, “Why didn’t we have hoarding during the Trump administration?”. pic.twitter.com/9hBJq67HfF @IngrahamAngle This just shows how out of touch you are with real American people. Shelves were empty all across America in 2020 (trump was president). People were hoarding toilet paper, paper towels, paper plates, hand sanitizer, bleach, guns, ammo, water, food, etc. pic.twitter.com/nnmXsBDp4c pic.twitter.com/HPsd0ztmvh General Assignment Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
7,'Bridgerton' Family Member Replaced For Third Season Of Hit Netflix Show,social-justice," Reporter, HuffPost What would Lady Whistledown make of it? Ruby Stokes is leaving the hit Netflix show “Bridgerton.” Her character Francesca Bridgerton, who appeared sporadically in the first two seasons, will be replaced in the upcoming third season of the regency period drama by Hannah Dodd, of “Anatomy of a Scandal” fame. Stokes is off to star in Netflix’s upcoming “Lockwood & Co.” series, reported Deadline. The recasting could mean the younger Bridgerton sibling has a more prominent role in future episodes, the outlet suggested. Filming on the third season begins this summer. Reporter, HuffPost"
8,Elon Musk Reveals What He Thinks Of Trump Running In 2024,social-justice," Reporter, HuffPost Elon Musk wants Donald Trump back on Twitter, but that doesn’t mean he’s in favor of Trump retaking the White House. “Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter,” tweeted the billionaire Tesla CEO, who said Friday he’s pausing his $44 billion purchase of the platform but “remains committed.” Even though I think a less divisive candidate would be better in 2024, I still think Trump should be restored to Twitter Musk suggested on Thursday that President Joe Biden was elected because people wanted a break from the nonstop controversies of the Trump administration. “Biden’s mistake is that he thinks he was elected to transform the country,” he wrote, adding: “But actually everyone just wanted less drama.” Biden’s mistake is that he thinks he was elected to transform the country, but actually everyone just wanted less drama Musk, a self-described champion of “free speech,” has said he’ll take Twitter private on completion of his purchase. Twitter banned Trump in January 2021 for inciting the U.S. Capitol riot. He frequently used the platform to peddle lies, attack enemies and divide the nation. Last week, Musk claimed Trump’s removal from Twitter was a mistake. “I think it was a morally bad decision to be clear and foolish in the extreme,” he said, adding it “alienated a large part of the country and did not ultimately result in Donald Trump not having a voice.” Trump, though, has said he won’t return to Twitter and instead will focus on using his own struggling Truth Social network. He is yet to officially declare his candidacy for 2024, despite teasing the prospect ever since losing the 2020 vote. Reporter, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
9,Jail Time? Ex-Prosecutor Names The Law Kevin McCarthy Should Be Worried About.,social-justice," Overnight Editor, HuffPost A former federal prosecutor says House Minority Leader Kevin McCarthy (R-Calif.) and several other GOP lawmakers may have committed a very specific crime in their possible attempts to cover up Donald Trump’s Jan. 6 plot to overturn his election defeat. “It’s called misprision of a felony,” Glenn Kirschner, who spent 24 years as a prosecutor in the U.S. attorney’s office for the District of Columbia, explained on his YouTube channel. The law says someone who has knowledge of a felony that’s “cognizable by a court of the United States” but doesn’t come forward with information about it could face up to three years in prison. Kirshner noted that a federal judge in March determined it “more likely than not” that Trump “corruptly attempted to obstruct” the Jan. 6 vote certification by Congress. That makes potential Jan. 6-related crimes “cognizable by a court” ― and significant now that McCarthy and four other GOP lawmakers linked to Trump have been subpoenaed by the House Jan. 6 committee to answer questions about their knowledge and involvement. If they refuse to comply, Kirshner said, it “looks like misprision of a felony to me.” He added: “Also looks like accessory after the fact. Also looks like they are criminal co-conspirators with Donald Trump in his conspiracy to defraud or commit crimes against the United States.” “So many crimes to choose from,” he concluded. Watch Kirshner’s analysis below: Overnight Editor, HuffPost Do you have information you want to share with HuffPost? 
    Here’s how."
