,topic,category,content
0,Inflation challenge: What are the solutions? ,business,"At a time when inflation is surging and the rupee is sliding against the
dollar, we raise these questions in this Economy Roundtable: 
Is inflation India problem or a global problem? Inflation challenge: What are
the solutions? And is India better placed to meet the inflation challenge?
Watch as top economists share their perspectives."
1,"Sensex, Nifty log longest weekly losing streak since 2020",business,"Nifty 50 index closed 0.16 per cent lower at 15,782.15 and the S&P BSE Sensex
fell 0.26 per cent to 52,793.62, having risen more than 1 per cent earlier in
the session."
2,Elon Musk's Tesla puts India entry plan on hold | Here's why,business,"The government is pushing Tesla to commit to manufacturing locally before it
will lower tariffs, which can run as high as 100 per cent on imported
vehicles."
3,Share market update: Investors lose Rs 26 lakh crore wealth | Here's why,business,"The market cap of BSE-listed firms stood at Rs 266.97 lakh crore on April 29
this year. The amount has sharply fallen to Rs 241.13 lakh crore on May 12."
4,"SBI Q4 results: Profit jumps 41%, bad loans decline",business,"State Bank of India (SBI) had registered a profit of Rs 6,451 crore during
the January-March period of 2020-21, the country's largest lender said in a
regulatory filing."
5,LIC IPO allotment status: Haven't received shares? All you need to know about refund,business,"Applicants, who have checked allotment status and were not allotted shares of
LIC, will get back their money as initiation of the refund process began on
Friday."
6,Cryptocurrency market crash: Bitcoin price to remain volatile?,business,"Bitcoin's price jumped over the $30,000-mark and other Cryptocurrencies were
recovering following the collapse of TerraUSD."
7,"Aam Aadmi's woes to persist: Inflation to stay around 7%, interest rate, EMIs likely to rise",business,"The latest ECOWRAP by the economic research arm of State Bank of India
(SBI) says that with inflation likely to persist at the 6 per cent mark, the
RBI is likely to take a ""sledgehammer approach and increase the repo rate
aggressively and front-load it."""
8,Rupee rises against Dollar | Check latest,business,"The rupee rebounded sharply after hitting a record low against the US dollar
for a second time this week."
9,"Sensex rises over 400 points, Nifty nears 16,000 | Top gaining stocks",business,"Nifty 50 index was up 0.92 per cent or 145.10 points at 15,953.10, with all
its major sub-indexes trading in positive territory, while the BSE Sensex
rose 0.77 per cent or 406.73 points to 53,337.04"
10,"Gold, silver prices today: Yellow metal witnesses dip, silver records hike on MCX| Check latest rates here",business,"Gold, silver prices today: On Friday, May 13, while gold rates are trading on
the lower side of the Multi Commodity Exchange (MCX), silver is retailing on
the higher side. Check the latest city-wise prices here."
11,India's retail inflation rises to 8-year high of 7.79% in April,business,"The annual retail inflation surged to 7.79 per cent in April from a year ago.
In March, the retail inflation was at 6.95 per cent."
