,topic,category,content
0,"BJP brutalising minorities, glorifying Gandhiji's killers: Sonia Gandhi",politics,"Congress chief Sonia Gandhi, while speaking at Chintan Shivir in Udaipur, said the BJP government was ""brutalising minorities and glorifying Mahatma Gandhi's killers"". ""It has become...clear what PM [Narendra] Modi and his colleagues really meant by their slogan 'maximum governance, minimum government',"" she added. ""It means keeping the country in a permanent state of polarisation,"" Gandhi said."
1,Hindi speakers sell pani puris in Tamil Nadu: State minister amid language row,politics,"Amid the ongoing controversy over the national language, Tamil Nadu Higher Education Minister K Ponmudy has said that Hindi speakers ""sell pani puris"" in Coimbatore. ""We were told that learning Hindi would land us jobs. Did we get jobs?"" said Ponmudy. This came after Home Minister Amit Shah said that people from different states should speak Hindi instead of English."
2,Will bulldoze if MCD doesn't act: AAP on encroachment at BJP leader's home,politics,"Senior AAP leader Durgesh Pathak on Friday claimed that the municipal corporations in the city were not taking any action against the alleged encroachments by BJP leaders and officials. ""The AAP will bulldoze the unauthorised construction at [Delhi BJP chief] Adesh Gupta's residence and office...if the MCD fails to act against it by 11 am on Saturday,"" Pathak said."
3,Cong has given us a lot and it's time to pay it back: Sonia Gandhi,politics,"Congress President Sonia Gandhi, while speaking at the party's Chintan Shivir in Udaipur, said changes in the organisation are the ""need of the hour"". ""We need to change the way we work,"" she added. ""We've to keep the organisation above personal ambitions as the party has given us a lot and it's time to pay it back,"" Gandhi further said."
4,"Near consensus on one family, one ticket proposal: Congress ahead of 'Chintan Shivir' ",politics,"Ahead of Congress' 'Chintan Shivir', AICC general secretary Ajay Maken said, ""On the one family, one ticket proposal there is near consensus."" ""No person should be in a post for more than five years and there should be a cooling off period for three years,"" Maken added. ""A wing will be set up for assessing leaders' performance,"" he further said."
5,Congress party's 'chintan shivir' is 'chinta shivir': MP minister,politics,"BJP leader and Madhya Pradesh's Home Minister Narottam Mishra on Friday said the Congress party's 'chintan shivir' is 'chinta shivir' to save their party. Congress leader Randeep Surjewala on Thursday said the party will introspect its strengths and weaknesses during the three-day 'chintan shivir'. Surjewala stated inflation, unemployment and increasing debt as reasons for holding the session."
6,Police forced me to leave Udaipur ahead of Cong's 'Chintan Shivir': BJP MP,politics,"Ahead of Congress' 'Chintan Shivir' in Udaipur, BJP MP Kirodi Lal Meena has alleged that he was forcefully shifted from Udaipur by the police. ""SP came with a heavy police force and removed me without any reason (from Udaipur)...They just said that I am not allowed,"" Meena said. ""This is a violation of my constitutional rights,"" he added."
7,BJP chief JP Nadda holds roadshow in poll-bound Himachal Pradesh,politics,"BJP President JP Nadda and CM Jairam Thakur held a roadshow in Himachal Pradesh on Friday. Addressing a gathering, Nadda said, ""Under the guidance of PM Narendra Modi and CM Jairam Thakur, the people of Himachal Pradesh are eager to give their blessings to BJP again."" Notably, Assembly elections in Himachal Pradesh are likely to be held later this year."
8,BJP wants to create a different type of Taliban system in India: Shiv Sena,politics,"The Shiv Sena criticised BJP saying that the party wants to create a different type of Taliban system in this country. BJP is playing politics of bigotry which can disturb peace of the nation, Shiv Sena said in its mouthpiece 'Saamana'. The Sena further said that BJP's Hindutva is an experiment to take the country back a thousand years."
9,PM Narendra Modi is a man of ideas: MP CM Shivraj Singh Chouhan,politics,"Speaking at the launch of a technical training programme for rural tribals in Bhopal, Madhya Pradesh Chief Minister Shivraj Singh Chouhan called PM Narendra Modi a ""man of ideas"". ""Fortunately, this country has a visionary prime minister. He has not only visions, but also ideas to execute them on the ground,"" he said. "
10,BJP-ruled MCDs plan to demolish 63 lakh houses: Delhi Dy CM Sisodia,politics,Delhi Deputy CM Manish Sisodia on Friday claimed that BJP-ruled Municipal Corporations of Delhi (MCDs) plan to demolish 63 lakh houses using bulldozers in an anti-encroachment drive. He alleged that this will leave almost 70% of Delhi's population homeless. He also wrote a letter to Union Home Minister Amit Shah over the matter and urged him to stop the demolition.
