,topic,category,content
0,First pic of supermassive black hole at the centre of Milky Way released,science,"Astronomers have unveiled the first image of the supermassive black hole at the centre of the Milky Way galaxy. ""The new view captures light bent by the powerful gravity of the black hole, which is four million times more massive than our Sun,"" astronomers said. The image was produced by a global research team called the Event Horizon Telescope Collaboration."
1,"'Monster quake' occurs on Mars; 'biggest ever on another planet', says NASA",science,"NASA's Jet Propulsion Laboratory has detected a magnitude 5 ""monster quake"" on Mars, which it said was ""the biggest ever detected on another planet"". The tremblor occurred on May 4, 2022, which was the 1,222nd Martian day of the mission involving NASA's InSight Mars lander. On Earth, the tremor would have been considered medium-sized, NASA said."
2,NASA releases night-time image showing 'heat islands' in & near Delhi,science,"NASA has released a night-time image taken on May 5 by its Ecosystem Spaceborne Thermal Radiometer Experiment on Space Station instrument, showing ""heat islands"" in and near Delhi. Night-time temperatures in Delhi and several smaller villages were peaking at about 39°C, while the rural fields nearby had cooled to around 15°C. The image covers about 12,350 square kilometres."
3,6-yr-old boy finds megalodon shark tooth while looking for shells on UK beach,science,"A six-year-old boy, Sammy Shelton found a three million-year-old megalodon shark tooth while looking for shells on a beach in the UK. The extinct megalodon was said to be 50 to 60 ft-long, three times the size of great white sharks. His father revealed that Sammy now sleeps with the tooth next to his bed."
4,630-foot-deep giant sinkhole with forest at the bottom discovered in China,science,"A 630-foot-deep giant sinkhole with a forest at the bottom has been discovered in China's Leye County, the Xinhua news agency reported. Zhang Yuanhai, senior engineer at the Institute of Karst Geology of China Geological Survey, said that there are three caves within the sinkhole. ""This is cool news,"" said an official from US' National Cave and Karst Research Institute."
5,'Doorway' spotted on Mars in new image released by NASA,science,"A newly released image by NASA, taken by Curiosity Rover, appears to show a ""doorway"" cut into the rock face on Mars. One social media user described the scene as ""a formation on Mars which appears to be a portal and a wall nearby that looks artificial."" There has been no official explanation from the American space agency about it.

"
6,"What's cerebral aneurysm, the life-threatening disease Xi Jinping may be suffering from?",science,"Chinese President Xi Jinping is reportedly suffering from cerebral aneurysm. A cerebral aneurysm is a weak or thin spot on an artery in brain that balloons or bulges out and fills with blood, according to US' National Institutes of Health. Bleeding into the brain from bulging aneurysm can lead to headache, permanent damage to the brain or even death."
7,NASA releases audio representing 'sound' of a black hole,science,American space agency NASA has released audio linked to a black hole at the centre of the Perseus galaxy cluster. The audio was created by the translation of data into sound and was released as a part of NASA's Black Hole Week. The black hole sound waves were scaled up by 57 and 58 octaves to make them audible.
8,‘Space jellyfish' phenomenon witnessed in US sky after SpaceX rocket launch; pic viral,science,"Several people are sharing pictures and videos of 'space jellyfish' phenomenon witnessed in the sky in US' Florida after SpaceX Falcon 9 rocket launch. SpaceX has launched 53 internet satellites, Starlink. The space jellyfish phenomenon occurs when a rocket lifts off in the hours around dawn or dusk and is caused by sunlight reflecting off high altitude rocket plume gases."
9,It was a great ride: Indian-American astronaut Raja Chari on returning to Earth,science,"Indian-American astronaut Raja Chari was among the four astronauts aboard a Space X spacecraft which on Friday safely splashed down in the Gulf of Mexico after spending nearly six months at ISS. ""Glad to be back...It was a great ride,"" he said after the splashdown. The commander of SpaceX Crew-3 mission to space, astronaut Raja Chari joined NASA in 2017."
10,"Plants grown in Moon soil for the first time, NASA shares pics",science,"In a first, plants have successfully been grown in soil collected from the Moon's surface during the Apollo era, NASA said on Thursday while sharing pictures. Researchers at the University of Florida planted thale cress in lunar soil that was brought back by astronauts decades ago. The plants, however, grew slower, showed signs of stress and were also stunted."
11,A week's break from social media improves mental well-being: Study,science,"As per new research, taking a week's break from social media not only improves an individual's overall well-being but also reduces symptoms of depression and anxiety. ""Social media is a part of life...But if you are spending hours each week scrolling...it's negatively impacting you,"" researchers said. ""Many of our participants reported positive effects from being off social media,"" they added.
"
12,Obesity may weaken vaccine protection: Study,science,"Obesity may weaken vaccine protection against COVID-19 in people, who have never been infected with the coronavirus, a study has found. Researchers compared the effect of vaccination on people without previous SARS-CoV-2 infection, who received the Pfizer vaccine, and found that patients with severe obesity had over three times lower antibody levels than normal-weight individuals."
13,Robots may assemble UK's demonstrator solar power plant in space,science,"The UK Space Energy Initiative has established a 12-year development plan that could lead to robots assembling a demonstrator solar power plant in orbit. This plant will beam gigawatts of power from space to Earth as early as 2035, the initiative's chairman said. The initiative was launched last year to explore options to develop a space-based solar plant."
14,Intact fossil of pregnant ichthyosaur recovered from glacier in Chile,science,"Scientists have recovered one of world's most complete ichthyosaur fossils with intact embryos from a glacier in Chile's Patagonia region. It's the ""only pregnant ichthyosaur that's been found on the planet from the era between 129 and 139 million years ago"", one of the scientists said. Scientists spent 31 days extracting the fossil, which was found over a decade ago."
