,topic,category,content
0,Ola Electric CMO Varun Dubey quits days after CTO's exit,startup,"Ola Electric's Chief Marketing Officer (CMO) Varun Dubey has resigned from the company citing personal reasons as the startup grapples with customer complaints and Ola e-scooter fires. The development comes days after Chief Technology Officer (CTO) Dinesh Radhakrishnan departed in a series of top-level exits at Ola. Arun Sirdeshmukh, head of Ola's used-car business Ola Cars, also quit recently."
1,Swiggy buys Dineout from Times Internet for reported $200 million,startup,"Swiggy on Friday announced it has entered into a definitive agreement with Times Internet to acquire dining out and restaurant tech platform Dineout for a reported $200 million. Following the acquisition, Dineout will continue to operate as an independent app and its founders will join Swiggy. Founded in 2012 by four school friends, Dineout was acquired by Times in 2014."
2,Tesla puts on hold plans to sell electric cars in India over import duties: Report,startup,"Tesla has reportedly put on hold plans to sell electric cars in India after the company failed to secure lower import taxes. Billionaire Elon Musk-led Tesla has abandoned a search for showroom space in the country and reassigned some of its domestic team, Reuters reported citing sources. In 2021, Musk had said that India has the world's highest import duties."
3,73 of India's 100 unicorns have at least 1 founder from IIT: Report,startup,"Data shared by analytics firm Tracxn Technologies showed that 73 of India’s 100 unicorns have at least one founder from IITs. Out of these, the founders belong to seven of the 23 IITs, with IIT Delhi in the lead. About 21 unicorns have at least one founder who is an IIT Delhi alumni, followed by IIT Bombay, with 16. "
4,Tesla shares gain after Elon Musk puts $44 billion Twitter deal on hold,startup,"Shares of Tesla surged 4% on Friday after its CEO and the world's richest person Elon Musk said he has temporarily put the $44 billion deal to acquire Twitter on hold. Tesla shares have lost about 25% of their value since Musk disclosed a stake in Twitter on April 4. Meanwhile, Twitter stock plunged 10% after Musk's announcement on Friday."
5,India's most valuable startup BYJU'S in talks to raise over $1 billion: Report,startup,"India's most valuable startup BYJU'S is in talks with banks to raise over $1 billion to fund its acquisitions, Bloomberg reported. Bengaluru-based edtech startup BYJU'S is in talks with banks, including Morgan Stanley and JPMorgan Chase & Co, for the funding to reportedly acquire another edtech company. BYJU'S last raised $800 million in funding at a $22 billion valuation."
6,I don't think hybrid work method will work: Airbnb CEO Chesky,startup,"Airbnb CEO Brian Chesky said that he didn’t believe that the hybrid method, wherein employees come to office two to three days per week, will work. He added that this eventually would lead people coming to office on a different day of the week. Chesky said a better version would be assuming that people will be wherever they work best. "
7,Delete 'negative' posts within 24 hrs: Ola Electric's reply to customer's legal notice,startup,"Ola Electric, in response to Guwahati-based customer Balwant Singh's legal notice, asked him to delete negative comments against the company on social media and to stop making defamatory statements against the company. It warned Singh of action if the demands aren't met within 24 hours. Singh had demanded takedown of his son's scooter's telemetry data published publicly by Ola Electric."
8,SoftBank to cut fundings by half this yr after $26 bn Vision Fund loss,startup,"SoftBank may cut its startup investments this fiscal year by half or even a quarter of what it did in 2021, CEO Masayoshi Son said on an earnings call. The move follows a record loss reported by SoftBank's Vision Fund that stood at $26 billion for FY22. The firm had posted a record quarterly profit a year ago.

"
9,Zomato's 10-minute food delivery initiative being re-evaluated: Report,startup,"Zomato's 10-minute food delivery service is being re-evaluated as the company was unable to meet time targets for all orders during its Gurugram pilot, Economic Times reported. Shortage of delivery fleet and intense heat wave are causing delivery delays of 15-20 minutes, the report stated. It further said that Zomato has halted plans to initiate 10-minute delivery services in Bengaluru."
10,Musk's delay in disclosing Twitter stake under probe by US SEC: WSJ,startup,"The US SEC is investigating Tesla CEO Elon Musk's delay in disclosing his Twitter stake last month, the WSJ reported. Musk had revealed his 9.2% stake in Twitter to SEC on April 4, a delay of at least 10 days since surpassing the 5% threshold for revealing a shareholding. Musk has lately been embroiled in a dispute with the SEC."
11,"SpaceX shows Starlink's availability globally, India marked 'coming soon'",startup,"Elon Musk-owned SpaceX updated Starlink's availability globally, saying, ""Starlink is now available in 32 countries around the world."" It also released a map showing nations where the service is on the waitlist and others where it's expected to come soon. India, along with its neighbours Pakistan, Sri Lanka, Nepal, Bangladesh and Bhutan, was marked under 'coming soon'."
