,topic,category,content
0,"Twitter deal is temporarily on hold, tweets Elon Musk",technology,"The world's richest person Elon Musk on Friday tweeted that his $44 billion deal to take Twitter private is ""temporarily on hold"". The deal has been put on hold ""pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users"", Musk said. Shares of the micro-blogging site fell over 20% in pre-market trading after Musk's tweet."
1,Motorola announces edge 30 as the world’s thinnest 5G phone,technology,"Aiming to disrupt India's premium smartphone market, Motorola has announced the launch of edge 30 as the world's thinnest 5G phone with 6.79 mm thickness & 155 gm weight. The smartphone, starting at ₹25,999* offers flagship features like 144Hz 10-bit pOLED display & India's first Snapdragon 778G+. It goes on sale starting May 19 on Flipkart & Reliance Digital stores."
2,Tesla shares dropped by 26% ever since Musk offered to buy Twitter,technology,"Shares of Tesla have slipped by 26% ever since its CEO and world’s richest person Elon Musk offered to takeover Twitter on April 14. The shares have plunged on the fears that Musk will get distracted with Twitter. Meanwhile, shares of Twitter slipped to $45.23 on Thursday, nearly 20% below Musk’s offer price of $54.20 per share."
3,Employee fired by Twitter changes bio to 'unemployed'; thanks team members,technology,"The second top executive who was fired by Twitter CEO Parag Agrawal, has changed his Twitter bio to ‘unemployed’. In a now deleted tweet, Bruce Falck, who oversaw revenue, had written, “I'll clarify that I too was fired by (Parag)."" Falck later thanked his team in a tweet thread and said he can't wait to see their future work."
4,73 of India's 100 unicorns have at least 1 founder from IIT: Report,technology,"Data shared by analytics firm Tracxn Technologies showed that 73 of India’s 100 unicorns have at least one founder from IITs. Out of these, the founders belong to seven of the 23 IITs, with IIT Delhi in the lead. About 21 unicorns have at least one founder who is an IIT Delhi alumni, followed by IIT Bombay, with 16. "
5,"Blockchain behind collapsed UST, LUNA tokens resumes activity after 9-hour halt",technology,"The blockchain behind stablecoin TerraUSD, or UST, and its affiliated LUNA token has resumed activity after a nine-hour halt on Friday. The Terra blockchain had stopped processing new transactions for the second time in less than a day after UST and LUNA collapsed. Several crypto exchanges, including WazirX, CoinDCX and CoinSwitch Kuber, delisted LUNA from their platforms on Friday."
6,Joe Biden was elected as people wanted less drama: Elon Musk,technology,"World’s richest person and Tesla CEO Elon Musk on Friday tweeted that US President Joe Biden’s ""mistake is that he thinks he was elected to transform the country, but actually everyone just wanted less drama."" Earlier, Musk had also said that he would reverse Twitter’s ban on former US President Donald Trump and said that the ban was ""morally wrong""."
7,Tesla puts on hold plans to sell electric cars in India over import duties: Report,technology,"Tesla has reportedly put on hold plans to sell electric cars in India after the company failed to secure lower import taxes. Billionaire Elon Musk-led Tesla has abandoned a search for showroom space in the country and reassigned some of its domestic team, Reuters reported citing sources. In 2021, Musk had said that India has the world's highest import duties."
8,Still committed to acquisition: Musk after putting $44 billion Twitter deal on hold,technology,"Elon Musk tweeted he's ""still committed to acquisition"" after he put on hold the $44 billion deal to take Twitter private. Musk has temporarily put the deal on hold while he awaits data supporting Twitter's claim that spam accounts comprise less than 5% of users. Twitter shares fell to their lowest level since Musk disclosed his stake after the announcement."
9,"CoinSwitch delists LUNA as it crashes 100%, CEO says 'meltdown is rapid'",technology,"CoinSwitch Kuber CEO Ashish Singhal on Friday tweeted that the crypto exchange is delisting Terra's LUNA crypto token after it crashed nearly 100% in the last 24 hours. ""The last few days have been tough for all of us...The meltdown of the Terra ecosystem and LUNA have been rapid and devastating,"" Singhal said, noting that it is ""a tough decision""."
