,topic,category,content
0,"Titan Company eyes over Rs 1,000 crore in sales from women’s ethnic wear by FY27",companies," Titan Company is eying over Rs 1000 crore in sales from its women’s ethnic wear brand Taneira, which offers products such as sarees, lehangas and other ethnic wear products, the company told investors on May 13 during its annual Investor and Analyst Day. Titan Company also plans to open 125 omnichannel stores and achieve supply chain transformation for the business. It had introduced Taneira stores in 2018; however, the plans to expand the brand were interrupted due to the pandemic. Now, it is giving a renewed push to this range. The company currently operates 15 stores under Taneira. Through Taneira, the company plans to revive the “saree for all consumers including young women,” the company said in its presentation. The retail major has similar plans for the women’s bags category as well and is targeting Rs 1,000 crore in sales from this segment too by FY27. The company plans to open exclusive brand outlets (EBOs) to cater to the segment going ahead besides selling them in department stores. In the ethnic wear segment, Titan Company will be competing with Aditya Birla Fashion and Retail and Reliance Retail, as these companies too have set sights on the women’s ethnic retail segment. ABFRL last year acquired a majority stake in designer label Sabyasachi and a 33 percent stake in another designer label Tarun Tahiliani. Reliance Retail has forayed into the category by launching the ethnic wear brand Avantra. Under its Ambition FY27 plan, Titan Company plans to set up 30 omnichannel stores under Tanishq targeting the Indian diaspora. The company is eying Rs 2,500 crore in sales through this opportunity. Titan Company had earlier this year disclosed its international expansion plans for the jewellery business. The company which houses jewellery brands such as Tanishq, Zoya, Mia and CaratLane, had indicated that the first jewellery store in North America is set to open in May-June 2022 in New Jersey. The company’s focus is going to be on the US, Canada and the Gulf Cooperation Council countries, including Qatar and Bahrain, Ajoy Chawla, CEO, jewellery division, Titan Company, had said while addressing an investor call. “We want to become the jeweller brand of choice for the NRI (non-residential Indian), PIO (person of Indian origin) consumers in North America in the next three years and we are doing everything to get there at a fast pace,” he added. Titan company had opened its first international store in Dubai in 2021 under Tanishq, and according to the CEO, after seeing a good response has launched two more stores – one in Dubai and the other in Abu Dhabi. The company also is giving a push to digital under its Ambition FY27 and has prioritised an omnichannel approach, democratising data access, and deep integration with dealers and franchisees. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
1,Escorts Q4 Result | Firm's net profit falls 29% YoY to Rs 190 crore,companies," Farm machinery and construction equipment major Escorts Ltd on May 13 reported a 28.5 percent decline in its consolidated net profit at Rs 190 crore for the fourth quarter ended March 2022 (Q4FY22). The firm said decline in profit and revenue was due to volume drop in the tractor and construction equipment division. Adverse commodity prices also impacted the financials. Revenue for the quarter fell 16% year-on-year to Rs 1,879 crore. EBITDA margins slumped by 252 basis points (bps) to 13.1% from 15.6% a year ago. Tractor sales were at 21,895 units in the quarter, down 33 percent from a year earlier. Domestic market share of tractors declined by 150 bps to 11.4% from 12.9% last year. Construction equipment sales were at 1,286 units, down 20 percent, the company said. “Agri sector is seeing some positive tailwinds. April industry growth of 41% is a big booster of confidence. With prediction of a normal monsoon and good news on crop prices and production, we hope this sector will continue to flourish,"" said Nikhil Nanda, chairman and managing director of the firm. Nanda said construction and railway sectors have also shown signs of improvement. With Government spending focus in these sectors, the situation shall only improve from here. ""Continued inflation is a big cause of worry, both in terms of suppressing potential demand as well as for ecosystem profitability”, Nanda added. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
2,"Brookfield-backed PIL, GAIL sign initial pact for hydrogen collaboration",companies," Brookfield Asset Management-based Pipeline Infrastructure Ltd has signed a pact with state-owned GAIL for jointly developing a hydrogen-based ecosystem in India. The MoU aims at collectively exploring the feasibility, desirability and viability of hydrogen as a source of energy and thus build a partnership between the companies, official sources said. Pipeline Infrastructure Limited (PIL) is owned by India Infrastructure Trust, an infrastructure investment trust sponsored by Brookfield Asset Management, a global leader in alternative asset management and one of the largest investors in real assets. PIL owns and operates a 48-inch diameter, 1,480 km long Kakinada to Bharuch gas pipeline that connects major domestic supply hubs on the east to key demand centers in the west. It is a vital link in India's national gas grid. GAIL is India's largest gas transporting and marketing company. It owns about two-thirds of truck pipelines. Pipelines are a critical element in transporting hydrogen, a zero-carbon emitting energy source that has caught the fancy of the world. Several Indian firms including GAIL have announced plans to make hydrogen. Aayushi Agarwal, Assistant Vice President (Strategic Planning & New Initiatives), PIL and Ashu Singhal, Executive Director, GAIL signed the MoU in the presence of PIL CEO Akhil Mehrotra and GAIL Director (Business Development) M V Iyer. PIL and GAIL will explore various options for transportation, using the existing natural gas pipeline and the end-use of hydrogen, they said. India as a nation is at a very nascent stage with respect to hydrogen as an energy source. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
3,Spices maker Rakesh group net profit up 16% in FY'22 at Rs 39 crore; revenue up 19 pc to Rs 510 crore,companies," Rakesh group, which manufactures spices and other food products, on Friday reported a 16 per cent increase in its net profit at Rs 39 crore for the financial year 2021-22, on higher sales. Its profit stood at Rs 33.69 crore in the year-ago period. In a statement, Rakesh group said its revenue increased 19 per cent to Rs 510 crore in the 2021-22 fiscal year, from Rs 427 crore in the preceding year. The company targets to double its revenue to Rs 1,000 crore by 2025, the statement added. Established in 1975, Rakesh Group said it is expanding its portfolio to become a full-scale food products company. ""From Rs 40 crore in 2012 to more than Rs 500 crore sales, Rakesh Group has not only come a long way but has always been ahead of its industry growth rate,"" Vivek Pathak, Chief Executive Officer, Rakesh Group said. Rakesh Group has recently bought land near Kanpur to expand its production capacity substantially to feed its future expansion as well as ongoing planned transition to food-products company, the statement said. At present, the company has 10 manufacturing units, including a Food Zone having 6 manufacturing units in Kanpur. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
4,"How Shivakumar uses T20 cricket, aircraft and shopping mall models to offer career advice to professionals",companies," “One can use three analogies to think of life and careers in this decade. The first is what I label the aircraft flight model; the second is the T20 cricket model; and the third is the shopping mall model,” Shiv, as he is popularly called, writes in his new book The Art of Management. Aircraft flight model Aircraft fly at different altitudes and have a clear, specific destination. Having a sense of your destination, of what you could likely become, is important, as well as having a sense of what drives you and your passion, Shiv writes. “Aircraft use and manage jet streams to avoid turbulence and ensure a smooth flight. Life and careers are also like that. You need to use the jet stream in a role to get yourself mileage and then move to the next stream that accelerates your progress,” he writes. He says when one faces dark clouds, one needs to pause and rethink what’s happening to you. For this to happen, you need a few emotional anchors, people you can share your situation with, people who will tell you the raw truth while being empathetic. T20 cricket model T20 is a brutal game. Yesterday’s captain is tomorrow’s twelfth man. This simple lesson in multiple capabilities is something we can apply in life and the corporate world, his writes in the book. “A single-skill cricketer does not have a role in the IPL (Indian Premier League) team, however good he is at the international level. The best Test batsmen who cannot adapt to T20 don’t get picked, but the best bowler still has a chance. Teams tend to pick players with multiple skills—batting, bowling, fielding, wicket-keeping, captaincy. Shopping mall model The third approach I want people to think about in managing their life and career is what I call the shopping mall model. This applies to managers in startup companies, Shiv says. To be fair, this model has been used before in advertising, market research, journalism and consumer electronics, where people tend to move from one door to the next, as in a shopping mall. Professionals tend to shop around for jobs as one shops around in a shopping mall, says the book. “This approach is relevant as long as you have relevant experience and have produced worthwhile results. But the shopping mall approach to a career doesn’t work beyond the middle-management stage,” Shiv says. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
5,L&T bags order from Rajasthan govt,companies," Larsen & Toubro (L&T) on Friday said it has bagged a significant order from the Rajasthan government for executing a parallel carrier system to the Rajiv Gandhi Lined Canal. According to L&T’s project classification, the value of the order falls between Rs 1,000-2,500 crore. The project will serve the water demands of districts of Jodhpur, Pali and Barmer and also supply raw water to Delhi Mumbai Industrial Corridor and Rajasthan State Industrial Development Investment Corporation Ltd (RIICO). ""The water and effluent treatment business of L& T Construction has secured a design and build order from Public Health Engineering Department, Jodhpur Rajasthan to execute a Parallel Carrier System to the Rajiv Gandhi Lined Canal (RGLC Phase Ill) on a single point responsibility basis,"" the company said in a statement. The scope of work under the project includes 213 kilometre of raw water mild steel transmission mains, four pump houses along with associated electrical works. L&T is an Indian multinational engaged in engineering, procurement, and construction projects, hi-tech manufacturing and services. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
6,Govt raises $2.7 billion as LIC prices IPO at Rs 949; listing next week,companies," India raised 205.6 billion rupees ($2.7 billion) as its biggest ever initial public offering priced at the top of the range following strong demand from local investors and a last-minute dash by foreign funds. Life Insurance Corporation of India shares have been priced at 949 rupees each, the state-run firm said in a prospectus filed Friday. LIC shares were offered at 902 rupees to 949 rupees apiece. Trading on the stock exchange is due to begin May 17.  Dubbed India’s “Aramco moment” in reference to Gulf oil giant Saudi Arabian Oil Co.’s $29.4 billion listing in 2019 -- the world’s largest -- the float of LIC has ended up resembling the Aramco IPO not just in scale but in its reliance on domestic investors after some foreign buyers deemed it too expensive. Foreign institutional investors stepped up their bids for the sale in the last hours before the close of subscription this week, shunning currency risks and global market uncertainties. Besides smashing India’s record as the country’s biggest IPO, LIC’s offering is also the world’s fourth-biggest this year, according to data compiled by Bloomberg. LIC’s debut comes at a time when capital-market activities have significantly slowed globally as the war in Ukraine stokes market volatility and saps investor appetite. Shares of LIC are trading at a discount of about 30 rupees to its IPO price in the so-called gray market, traders told Bloomberg News. The expectation for a strong debut by LIC’s shares is waning as the demand in the unregulated market, where investors bet on listing day gains, has come down over the last few days. Retail investors and LIC policyholders were among the most enthusiastic for the offering, thanks to the discounts they were offered. The portion reserved for them was fully taken up days before the offering was closed. The anchor portion of the IPO drew in sovereign funds from Norway and Singapore while other foreign investors picked up pace only on the last day. Overall, the LIC offer was oversubscribed by nearly three times. The money will help the government bridge a budget deficit that’s expected to widen as commodity prices soar across the world. For the banks working on the IPO, the share sale might not give them large fees but offers glory in the league table rankings, Bloomberg News has reported. The 10 banks on the IPO received a total 118 million rupees as fees, according to the prospectus, a fraction of what they could have typically pocketed for an offering of this size. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
7,LIC Housing Finance ups home loan interest rate by 20 bps for select borrowers,companies," Mortgage financier LIC Housing Finance (LIC HFL) on Friday increased interest rate on home loans by 20 basis points to 6.9 per cent, from 6.7 per cent, for select borrowers. For borrowers with CIBIL score of 700 and above, the rate hike has been limited to only 20 bps, LIC Housing Finance said in a statement, adding that the revised rates are applicable from Friday. For customers having CIBIL score (less than 700) maximum hike is 25 basis points (bps). For NTC (New to Credit) customers the hike is 40 bps. CIBIL Score is a 3-digit numeric summary of a customer's credit history. It ranges between 300 to 900. The closer the score is to 900, the better the credit rating is. The increase in the lending rate follows a hike of 40 basis points in the repo rate to 4.40 per cent by the Reserve Bank of India last week. ''RBI has after a long time increased the policy rates and the effect is being seen across the lenders. We have kept our home loan rates competitive despite the increase in the cost of funds to support the aspirations of home buyers,'' LIC HFL's Managing Director and CEO Y Viswanatha Gowd said. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
8,"Coming soon: A new cinema near you, courtesy a multiplex screen drive",companies,"  Films are expected to get a wider play in India this fiscal year with the multiplex industry planning to ramp up the number of screens, taking their overall numbers beyond the pre-Covid count. After a slowdown in launches in the last two years because of the pandemic, PVR, Cinepolis India, INOX Leisure and Miraj Cinemas all plan to add more screens. Consequently, the number of multiplex screens is expected to rise from around 3,100 to more than 3,800 by the end of FY23. “Things are back to pre-Covid levels in terms of screen launches. We are seeing a lot of interest from our developer partners for new properties as well as renewed interest in the completion of existing ones,” Devang Sampat, CEO, Cinepolis India, told Moneycontrol. He said that the company is planning to add 60 screens in FY23, with an average investment of approximately Rs 3 crore a screen. Cinepolis India has around 417 screens. “We will be opening more than double the number of screens compared to our five-year average, with higher overall investment,” he noted. Sampat added that in 2018 and 2019, Cinepolis added about 21 screens annually. PVR, which has a total of 854 screens, plans to add 120-125 screens in FY23, up from 75-100 screens in pre-Covid times. It aims to have a count of 1,000 screens by the first quarter of FY24. “A lot of the development got stuck due to lockdowns and Covid, and malls were not ready but now the malls are ready and therefore, we are taking handover and starting work on them,” said Sanjeev Kumar, Joint MD, PVR, during a Q4 FY22 earnings call. PVR has a capital expenditure (capex) outlook of Rs 350-400 crore for screen fit-outs (interior work) and maintenance spends on existing screens. INOX Leisure plans to open 77 screens in FY23. The company increased its capacity by 85 screens in FY19-2020. In FY22, the multiplex operator had added 32 screens, while PVR had launched 29 screens. Also, PVR and INOX that recently announced merger have plans to add 200 screens every year as a combined entity. Miraj Cinemas' MD Amit Sharma said because of the pandemic many screens that were signed pre-Covid had been kept on hold. But now the company has taken 45 screens for fit-outs and will take another 30 or more screens for fit-outs in the July-September period. “We intend to open 75 screens in FY23. Pre-pandemic, we were doing 35 screens on an average,” he said. “We can do an average of over 50 screens from FY24 onwards. In terms of capex, we will invest Rs 150-170 crore, up from Rs 70-75 crore pre-pandemic,” added Sharma. Even for Carnival Cinemas, Covid-19 played a spoilsport in terms of screen launches. “With the pandemic coming, we had to completely shut down because we are a debt-raised company. Since we were on the brink of (getting) private equity, which did not happen, our biggest challenge post-Covid was opening our entire portfolio of 408 screens. It was not easy in the absence of debt and the time private equity takes to come in,” said Vishal Sawhney, CEO of Carnival Cinemas. He pointed out that pre-Covid the multiplex chain had a run rate of 80-100 screens a year, out of which 60-70 percent were organic screen additions while the rest were acquired screens. ""Now, we are up and running with 70 percent of our existing screens and over the next 60 days, we should be able to open up all our screens. Then we have 118 screens in which we have partly invested and are already part of our portfolio. This will take our total to around 518 screens,” said Sawhney. “We see close to 40-45 screens more, which are our own screens. We have a realty division under which we build malls and every mall has three-four screens.”"
9,"The oil slick effect, or why we systematically overgeneralise",companies," If you have colleagues, what do you think of them? Are they smart? Competent? Motivated? Open to new ideas? Good communicators? Do they work well as a team? The answer may not depend on what you think. And that fact suggests a reason why the modern world now seems so poisonously polarised.

In the 1970s, the psychologist Barry Staw gave a collaborative task to groups of strangers, inviting them to analyse some corporate data and make predictions about the company’s..."
