,topic,category,content
0,Escorts Q4 Result | Firm's net profit falls 29% YoY to Rs 190 crore,markets," Farm machinery and construction equipment major Escorts Ltd on May 13 reported a 28.5 percent decline in its consolidated net profit at Rs 190 crore for the fourth quarter ended March 2022 (Q4FY22). The firm said decline in profit and revenue was due to volume drop in the tractor and construction equipment division. Adverse commodity prices also impacted the financials. Revenue for the quarter fell 16% year-on-year to Rs 1,879 crore. EBITDA margins slumped by 252 basis points (bps) to 13.1% from 15.6% a year ago. Tractor sales were at 21,895 units in the quarter, down 33 percent from a year earlier. Domestic market share of tractors declined by 150 bps to 11.4% from 12.9% last year. Construction equipment sales were at 1,286 units, down 20 percent, the company said. “Agri sector is seeing some positive tailwinds. April industry growth of 41% is a big booster of confidence. With prediction of a normal monsoon and good news on crop prices and production, we hope this sector will continue to flourish,"" said Nikhil Nanda, chairman and managing director of the firm. Nanda said construction and railway sectors have also shown signs of improvement. With Government spending focus in these sectors, the situation shall only improve from here. ""Continued inflation is a big cause of worry, both in terms of suppressing potential demand as well as for ecosystem profitability”, Nanda added. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
1,"SBI net profit rises 41% in Q4 to Rs 9,113.5 crore, misses estimate",markets," State Bank of India on May 13 reported a 41 percent year-on-year rise in net profit of Rs 9,113.5 crore for the quarter ended March, which was below Street's estimate of Rs 9,927.6 crore. SBI's net profit for Q4FY22 was its highest ever but it still underwhelmed the street as expectations were on the higher side. The bank's shares slipped a little over 1 percent in response to the quarterly results. The net profit growth was on the back of a 15.3 percent growth in net interest income which stood at Rs 31,198 crore. This too was lower marginally versus analysts' expectations of Rs 31,570 crore. Non-interest income disappointed, slipping 27 percent year-on-year. But on a sequential basis, non-interest income jumped 37 percent while NII growth was a mere 1.6 percent. The lender's operating profit  was flat year-on-year and showed a modest growth of 6.4 percent sequentially. This could be attributed to an increase in operating costs for the bank. The lender expects to reduce some of its costs in the coming quarter, chairman Dinesh Khara said in a press meet post the release of the results. Notwithstanding the modest operating metrics, the bank's loan book grew at a decent 11 percent. Khara said that the loan book growth is broad based with both retail and corporate showing strong growth. ""We should continue to see the loan growth we have seen in the past both in retail and corporate,"" he said. SBI's retail loan book growth continued to outpace that of its corporate loan book. Retail loans showed a growth of 15. 11 percent, driven by home loans while corporate loans showed a growth of 6.3 percent from a year ago period. Khara said that credit growth would continue to improve going forward and that the bank was seeing demand from various sectors. He added that SBI has unused working capital limit of Rs 2 lakh crore which he expects to be used fully as Indian companies begin to increase their investments and capacity utilisation improves. Asset quality Even as the bank reported an improvement in loan growth, SBI's strong point was its asset quality in Q4FY22. The lender continued to see sequential improvement in asset quality as gross non-performing assets ratio declined to 3.97 percent from 4.5 percent in the previous quarter. Similarly, the bank's net NPA ratio fell to 1.02 percent in the reported quarter from 1.34 percent in the previous quarter. What's more is that fresh slippages were just Rs 2845 crore for the quarter, down by 12.4 percent from a year ago period. The bank had guided for slippage ratio to be brought down to 2 percent and Khara indicated that this would be achieved easily. When asked about the bank's exposure to troubled accounts such as Future Group, Khara said that all stressed exposures have been adequately provided for. He refrained from detailing the extent of SBI's exposure to troubled accounts. SBI's restructured loan accounts were roughly Rs 30,000 crores or 1.1 percent of its total loan book.  The book is fully provided for, the bank said. Given the reduced stress, the bank's provisions for the quarter fell 67 percent year-on-year, another boost for profits. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
2,"D-Street Buzz: Nifty auto shines; Tata Motors, Ashok Leyland, M&M jump 4-10%",markets," The Indian stock market recovered smartly on May 13 after taking a huge beating the previous day, with the Sensex up 687.28 points, or 1.3 percent, at 53,617.59, and the Nifty jumping 224.40 points, or 1.42 percent, at 16,032.40 in the afternoon trade. Among sectors, the auto index jumped 4 percent led by Tata Motors, which surged more than 10 percent, a day after it shared its March quarter earnings. Tata Motors reported a consolidated net loss of Rs 1,032 crore for the quarter ended March, down from a net loss of Rs 7,605 crore in the year-ago quarter. The company reported an 11.5 percent year-on-year decline in consolidated revenue from operations to Rs 78,439 crore for the reported quarter. Broking house CLSA has upgraded the rating of Tata Motors to underperform from sell and also raised the target price to Rs 411 from Rs 392 a share. Its domestic business was strong, while JLR challenges continued and disappointed due to negative surprise on ASP. The volumes, mix and higher realisation led to margin recovery in commercial and passenger vehicles, while strong demand should lead to volume growth. JP Morgan has an “overweight” rating on the stock and raised the target to Rs 525. There was a strong FCF recovery and solid guidance for FY23 and it expects the the company to continue on its deleveraging journey. The company should forecast net automotive debt to decline to Rs 11,800 crore by FY24, CNBC-TV18 reported the brokerage as saying. Catch all the market action on our live blog Morgan Stanley also has an “overweight” rating, with the target price at Rs 560. JLR is set to have a weak Q1 but FY23 guidance is a positive surprise. Unlike the 2018 down cycle, the company is now better placed on JLR, as well as India PVs & CVs. JLR guided facing headwinds, Q1 EBIT margin and FCF may be negative. The other top performers in the auto index were Bharat Forge and Ashok Leyland, which gained 6 percent each, followed by TVS Motor, Mahindra & Mahindra, Eicher Motors and Hero MotoCorp. The most active auto stock in terms of volumes were Tata Motors where 4,41,88,732 shares were changing hands at 12.29 pm followed by Ashok Leyland (1,45,86,135). The recovery in the auto sector was aided by the rise in April auto sales. Tata Motors' sales in April jumped by over a two-third from the year-ago period, whereas rivals Hyundai India and Maruti Suzuki faced a decline. Maruti Suzuki's April cumulative sales declined 5.7 percent, as the company sold 1.50 lakh units as compared 1.59 lakh cars in the year-ago period. According to Amit Joshi, Chief Investment Officer at Bajaj Allianz General Insurance, the auto sector is a interest-rate sensitive sector as financing cost plays a critical role in purchasing decision. But overall the demand is more a function of growth and less of interest rates. The sector is coming out of a down cycle and we are still early in the upcycle, he said. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
3,"India is an oasis in the desert, says Nilesh Shah of Kotak AMC",markets," India has emerged as an oasis in the desert when one looks at what is happening in our neighbourhood and globally, Nilesh Shah, managing director at Kotak Mahindra Asset Management Company told CNBC-TV18 in an interview on May 13. The veteran asset manager, however, acknowledged that domestic market conditions will be driven by what is happening in Eastern Europe given that the pendulum can swing either side in the Russia-Ukraine war. “It is far better to remain humble, look at events as they are unfolding and then build your portfolio,” Shah said. Shah said that valuations have largely become reasonable because of the ongoing correction in the stock market. Domestic benchmark indices have fallen more than 14 percent from their record highs hit in October 2021 due to fears of aggressive interest rate hikes, Russia-Ukraine war and surging global crude oil prices. “We think this is time to invest in sectors where valuations are reasonable,” Shah said. The asset manager also said that in the current inflationary environment his fund house is investing in companies that have pricing power. “We want to invest in companies that can push the higher prices to consumers without losing volumes,” Shah added. Shah said that across equity funds, one-year returns for systematic investment plans have turned negative or are just mildly positive, which has had a bearing on sentiment. That said, Shah said that investors are still looking to use the correction to buy in the market. Disclaimer: The views and investment tips expressed by investment experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
4,"State Bank of India Q4 Results Preview | Profit may surge 50% on healthy loan growth, asset quality",markets," State Bank of India (SBI) is likely to report strong performance for the quarter ended March 2022 when it will declare its results on May 11. Experts expect India’s largest banker to report a robust on-year growth of 50 percent for the quarter and expect its net interest income (NII) to increase 16 percent over the same period last year. According to a poll of four brokerages conducted by Moneycontrol, SBI is likely to post a net profit of Rs 10,075 crore for the quarter ended March 2022 on a NII of Rs 31,360 crore. The bank had registered a PAT of Rs 6,451 crore during the corresponding period last year with NII coming in at Rs 27,067 crore. The profit during the October – December period stood at Rs 8,432 crore when the bank had registered a NII of Rs 30,687 crore. The growth is likely to be driven by healthy traction in loan growth on a sequential basis backed by modest credit costs and steady asset quality. “Credit growth is likely to gather pace (up 4 percent QoQ / 9 percent YoY) led by sequential uptick in retail, corporate and overseas advances,” a report from ICICI Securities said. Operating profit growth is likely to be 8-14 percent on-year due to lower growth in operating expenses. “NIM (net interest margin) will be stable at 3.2 percent QoQ; treasury income will be lower and there are no one-offs in the wage costs for the quarter,” a report from Kotak Institutional Equities said. Experts expect slippages at 2 percent of loans (Rs 13,500 crore) mostly driven by SME and retail, while corporate continues to hold up relatively well. The trends on recovery and upgradation are expected to be better during the quarter. Gross NPA (non-performing assets) for the quarter are set to witness a decline of 80 bps year on year and a sequential decline of 30 bps. Net NPAs for the quarter are expected at 1.2 percent compared to 1.5 percent during the last year period and 1.3 percent during the previous quarter of current fiscal. “Specific provision coverage of 71.2 percent (vs 70 percent QoQ), COVID provisions at 24 bps (Rs 6,180 crore), standard assets provisions of Rs 18,300 crore (71 bps) and other provisions of Rs 5,500 crore (~21 bps of advances) suggest adequacy of provisioning”, a report from ICICI Securities said. Rise in bond yields will weigh on treasury gain and there would be mark-down of its non-HTM (held to maturity) portfolio. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
5,Boom in equity trading drives 45% jump in NSE’s FY22 profit,markets," The surge in domestic equity market and equity trading in India drove a 45.4 percent on-year rise in National Stock Exchange (NSE)’s consolidated net profit to Rs 5,198 crore in the financial year ended March 31, 2022. NSE, India’s largest stock exchange, saw a 53 percent growth in consolidated revenues in the financial year to Rs 9,500 crore largely led by transaction charges. Trading charges during the period jumped 64 percent on-year to Rs 6,965 crore while the colocation charges rose 58 percent to Rs 433 crore. The stock exchange was helped by the influx of new retail investors over the 12-month period and a strong equity market. Over 40 million new dematerialized accounts were opened with depositories during the previous financial year reflecting strong growth in equity participation. Domestic benchmark indices also reported strong growth during the period as the Nifty 50 and BSE-Sensex rose around 19 percent each. Also Read | Chitra Ramakrishna, Anand Subramanian's bail pleas rejected NSE, in an investor presentation, said that cash market segment volumes grew 8 percent in 2021-22 while equity options volumes in terms of premium value jumped 114 percent. That said, the stock exchange’s market share in the cash segment declined 100 basis points to 93 percent while derivatives market share remained at 100 percent. Operating performance of the stock exchange was also strong during the financial year as consolidated earnings before interest, tax, depreciation and amortization (EBITDA) rose by 54.6 percent to Rs 7,251 crore. However, consolidated EBITDA margins in the year remained largely flat at 76 percent. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
6,Tech Mahindra Q4 Preview | Profit may grow 30% and revenue 24%,markets," Tech Mahindra Ltd, one of India’s top-tier IT services company, is likely to report an on-year growth of 30 percent in consolidated profit after tax (PAT) when it declares its March 2022 quarter results later on May 13. The company’s consolidated revenue is likely to see a jump of 24 percent for the quarter from the year-ago period. Experts have pegged the PAT for the quarter at around Rs 1,410 crore on revenue of Rs 12,050 crore. The company recorded a consolidated profit of Rs 1,081 crore during the corresponding quarter of the previous financial year when it achieved revenues of Rs 9,730 crore. Profit during the previous quarter came in at Rs 1,369 crore and the revenue was at Rs 11,451 crore. “We forecast sequential revenue growth of 5.1 percent in c/c driven by 2.6 percent growth on an organic basis and 2.5 percent contribution from CTC, Allyis, Activus and Lodestone acquisitions,” a Kotak Institutional Equities report said. The brokerage expects growth to be spread across telecom as well the enterprise segment. Comviva, the telecommunication vertical, will also contribute to growth due to seasonal strength, though it will not be as pronounced as in the earlier years. Experts expect the rise in employee and travel costs to have an impact on the EBITDA (earnings before interest, tax, depreciation and amortisation) margin, which is likely to shrink 235 basis points (bps) on-year and by around 35 bps on quarter to 17.6 percent. One basis point is one-hundredth of a percentage point. EBIT margins are likely to decline as attrition and proactive alignment of compensations would hurt overall numbers. “EBIT margins are expected to decline at -50 bps QoQ due to high SG&A (selling, general & administrative) expenses,” a report from the brokerage firm Phillip Capital said. The brokerages expect $ 600-800 million of net new deal wins, a decline on a yearly basis and a growth on a sequential basis. Attrition is likely to remain elevated and the focus will be on attrition at senior and mid-senior levels, as the company is inconsistent in wage revision compared to its peers. Investors and experts will focus on the FY23 outlook. Research firm Emkay Research expects the company to guide for double-digit revenue growth with 18-20 percent EBIT margins. Other monitorbales include CY22 IT budget, deal wins, deal pipeline and pace of deal closures, the growth outlook for ER&D and the products business, the demand outlook for major verticals like BFSI, manufacturing, and healthcare, pricing environment, and attrition. Update on the mergers and acquisition strategy and understanding the integration risks of new acquisitions will be watched as well. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
7,Algo Learn | Psychology of an Algo Trader,markets," Algorithms do not have a psychological or an emotional side to them. Therefore, algo trading is emotionless. That can be one view. But who designs and controls these algorithms? Humans, of course. That brings in emotions into the picture for an algo trader as well.
Algorithm design and implementation are tough tasks. Following the same rules of the algorithm and following the model consistently over a long period is more difficult.
Having a smoother equity curve in the backtest is always..."
8,Understanding the equity market's structural weaknesses,markets," Markets have fallen by nearly 15 percent from their peak and continue in their downtrend. Foreign investors have sold nearly Rs 3 lakh crore since October 2021 in Indian markets. A large part of the selling has been absorbed by the increased participation of retail investors.

While the damage on the benchmark indices is around 15 percent, there is carnage in the underbelly of the market. Certain sectors and individual stocks have taken a much bigger body blow than what the index number reflects.

Stocks..."
9,What Samir Arora is buying and selling as he sees more market pain ahead,markets," Samir Arora, Founder and Chief Executive Officer at Helios Capital, sees scope for a further 10 percent correction in the market and expects the domestic market to bottom out when the US markets do the same. In a chat with Moneycontrol, the veteran asset manager dismissed concerns that the current drawdown in the equity market is similar to the 2008 global financial crisis. Domestic benchmark equity indices have twice fallen nearly 15 percent since hitting their record highs in October 2021, with the Nifty smallcap 100 and Nifty midcap 100 indices entering a technical bear market. The sell-off over the past six months has been led by foreign portfolio investors, who have withdrawn more than Rs 2 lakh crore from local stocks over the past seven months as interest rates have gone up in the US and the Russia-Ukraine crisis continues to worsen. “It’s going to be a normal bear market but the trend of Indian public being a counter-force is unlikely to break (anytime soon),” Arora told Moneycontrol. He expects the US equity market, which has led the downturn in global stocks, to settle down in the next three months, as it would have a clearer picture of the quantum of interest rate hikes by the Federal Reserve and its impact on economic growth. In terms of portfolio strategy, Arora said that his firm “plays the odd” and the “odd is against high valuation” companies in the market. “We’ve sold high price-to-earnings (PE) IT companies,” Arora said. The asset manager has shorted commodity-consuming companies in December in anticipation of compression in their margins due to higher commodity prices. Surprisingly, despite Arora’s optimism for domestic investors continuing to plough savings into the equity market, he cut exposure to market-oriented financial services and asset management companies. Arora said his fund has been buying quick-service restaurant companies, hotels and Amber Enterprises recently in a nod to likely recovery in the contact-intensive segment of the economy, as the threat of the COVID-19 pandemic abates. Arora said that state-owned companies outperforming their “labels” were also on his buying list in the current market. “Buy the dip when you know business will be okay over three years. Companies have a sweet spot of three-four years for outperformance,” Arora added. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
