,topic,category,content
0,"D-Street Buzz: Nifty auto shines; Tata Motors, Ashok Leyland, M&M jump 4-10%",stocks," The Indian stock market recovered smartly on May 13 after taking a huge beating the previous day, with the Sensex up 687.28 points, or 1.3 percent, at 53,617.59, and the Nifty jumping 224.40 points, or 1.42 percent, at 16,032.40 in the afternoon trade. Among sectors, the auto index jumped 4 percent led by Tata Motors, which surged more than 10 percent, a day after it shared its March quarter earnings. Tata Motors reported a consolidated net loss of Rs 1,032 crore for the quarter ended March, down from a net loss of Rs 7,605 crore in the year-ago quarter. The company reported an 11.5 percent year-on-year decline in consolidated revenue from operations to Rs 78,439 crore for the reported quarter. Broking house CLSA has upgraded the rating of Tata Motors to underperform from sell and also raised the target price to Rs 411 from Rs 392 a share. Its domestic business was strong, while JLR challenges continued and disappointed due to negative surprise on ASP. The volumes, mix and higher realisation led to margin recovery in commercial and passenger vehicles, while strong demand should lead to volume growth. JP Morgan has an “overweight” rating on the stock and raised the target to Rs 525. There was a strong FCF recovery and solid guidance for FY23 and it expects the the company to continue on its deleveraging journey. The company should forecast net automotive debt to decline to Rs 11,800 crore by FY24, CNBC-TV18 reported the brokerage as saying. Catch all the market action on our live blog Morgan Stanley also has an “overweight” rating, with the target price at Rs 560. JLR is set to have a weak Q1 but FY23 guidance is a positive surprise. Unlike the 2018 down cycle, the company is now better placed on JLR, as well as India PVs & CVs. JLR guided facing headwinds, Q1 EBIT margin and FCF may be negative. The other top performers in the auto index were Bharat Forge and Ashok Leyland, which gained 6 percent each, followed by TVS Motor, Mahindra & Mahindra, Eicher Motors and Hero MotoCorp. The most active auto stock in terms of volumes were Tata Motors where 4,41,88,732 shares were changing hands at 12.29 pm followed by Ashok Leyland (1,45,86,135). The recovery in the auto sector was aided by the rise in April auto sales. Tata Motors' sales in April jumped by over a two-third from the year-ago period, whereas rivals Hyundai India and Maruti Suzuki faced a decline. Maruti Suzuki's April cumulative sales declined 5.7 percent, as the company sold 1.50 lakh units as compared 1.59 lakh cars in the year-ago period. According to Amit Joshi, Chief Investment Officer at Bajaj Allianz General Insurance, the auto sector is a interest-rate sensitive sector as financing cost plays a critical role in purchasing decision. But overall the demand is more a function of growth and less of interest rates. The sector is coming out of a down cycle and we are still early in the upcycle, he said. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
1,Weekly tactical pick: EIH Limited,stocks," As COVID infection slowed, the travel industry saw a resurgence in demand during the preceding quarter. Moreover, when most of the other companies are reeling under inflationary input pressure and raising prices that could affect demand, hotels, with most of the inventory built at historical prices, are relatively well placed on this front.

Hence, EIH Limited (CMP: Rs 134; Nifty level 15,808), operating hotels under the Oberoi and the Trident brands, is our tactical pick for the week.

Domestic demand has..."
2,Sell EURINR; target of : 80.45 : ICICI Direct,stocks," ICICI Direct's currency report on EURINR Euro depreciated by 1.27% yesterday amid strong dollar and risk aversion in the global markets. Further, euro slipped on concern about lingering stagflation environment of slow growth and high prices. On top of its Russia unveiled a set of sanctions on energy companies operating on the continent threating supply • Euro is expected to trade with negative bias on the back of strong dollar, expectation of disappointing economic data from euro area and gloomy global market sentiments. Market sentiments are hurt on worries over repercussion of ongoing war in Ukraine and strict lock down in China. Further, market fears that major central banks efforts to bring inflation under control will hamper economic growth. Additionally, ECB is likely to raise interest rates gradually not at the same pace as US Fed. EURINR (May) is expected to trade in a range of 80.45-80.90. Intra-day strategy Intra-day strategy Close  Related stories Indian rupee rebounds from all-time low; rises 19 paise to 77.31/USDRupee near 78: Four ways a weak currency impacts the Indian economyRupee recovers from all-time low, settles 15 paise lower at 77.40 against US dollar Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions.    Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes  Read More Read More Read More"
3,"L&T after Q4 Results | What should investors do now: Buy, sell or hold the stock?",stocks," Larsen & Toubro (L&T) share price rose intraday on May 13 - a day after the company reported its March quarter earnings. Larsen & Toubro on May 12 reported a 10 percent year-on-year rise in consolidated net profit at Rs 3,621 crore, which was below analysts' expectations. Catch all the market action on our live blog Here is what brokerages have to say about stock and the company post March quarter earnings: Jefferies Foreign research house Jefferies maintained buy rating and cut target price to Rs 2,215 from Rs 2,525 per share. The revenue & EBITDA was 6 percent and 11 percent below expectations, while E&C execution missed at 9 percent YoY growth versus estimate of 19 percent. The FY22 order flow is 10 percent YoY growth versus 13-17 percent guidance. Jefferies look forward to execution & margin recovery in FY23and lower FY23-25 EPS estimates by 4-7 percent, reported CNBC-TV18. Sharekhan L&T reported decent performance despite global headwinds, supply chain challenges and a rise in commodity prices. Healthy order inflow guidance and optimistic management commentary on the order prospects going forward gives us comfort. International outlook too looks buoyant with a pick-up in crude oil prices. On the longer term, L&T remains at the forefront to reap benefits from the AtmaNirbhar Bharat scheme with its diversified businesses across sectors such as defence, infrastructure, heavy engineering, and IT. The company remains the best proxy for domestic capex and an improving business environment. We maintain a Buy rating on the stock with a revised SOTP-based price target (PT) of Rs. 1,970 factoring downward revision in valuation of key IT & Technology Services and finance subsidiaries and reduction in valuation multiple for the core business. At 9:42am, Larsen & Toubro was quoting at Rs 1,545.40, up Rs 21.05, or 1.38 percent on the BSE. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
4,"What should investors do with Tata Motors after Q4 results: Buy, sell or hold?",stocks," Tata Motors share price rose 5 percent in early trade on May 13 - a day after the company reported its March quarter earnings. Tata Motors Limited on May 12 reported a consolidated net loss of Rs 1,032 crore for the quarter ended March 2022 as against a consolidated net loss of Rs 7,605 crore a year ago. The company reported an 11.5 percent year-on-year decline in consolidated revenue from operations to Rs 78,439 crore for the reported quarter. Catch all the market action on our live blog Here is what brokerages have to say about stock and the company post March quarter earnings: CLSA Broking house CLSA has upgraded the rating of Tata Motors to underperform from sell and also raised target price to Rs 411 from Rs 392 per share. Its domestic business was strong, while JLR challenges to continue and disappoint due to negative surprise on ASP. The volumes, mix and higher realisation led to margin recovery in CV and PV, while strong demand should lead volume growth, reported CNBC-TV18. JPMorgan Research firm JPMorgan has kept overweight rating on the stock and raised target to Rs 525 per share. There was a strong FCF recovery and a solid guidance for FY23 and expect company to continue on its deleveraging journey. The company should forecast net automotive debt to decline to Rs 11,800 crore by FY24, reported CNBC-TV18. Morgan Stanley The broking house has kept overweight rating on Tata Motors with a target price at Rs 560 per share. JLR is set to have a weak Q1 but FY23 guidance a positive surprise. Unlike in 2018 downcycle, company now better placed on JLR, as well as India PVs & CVs. JLR guided facing headwinds, Q1 EBIT margin & FCF may be negative, reported CNBC-TV18. At 9:16am, Tata Motors was quoting at Rs 391.25, up Rs 19.15, or 5.15 percent on the BSE. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
5,Agri Picks Report: Geojit,stocks," Geojit's report on Agri Picks The Commission for Agricultural Costs and Prices has recommended repeal of the cane area reservation and minimum distance criteria so that farmers can choose the mill they want to sell their produce to, two senior government officials told Informist. Water level in 140 key reservoirs across the country was 58.759 bcm as of today, 33% of the total storage capacity, according to data from the Central Water Commission. The government will send trade delegations to nine countries to explore the possibility of increasing wheat exports from India, according to an official release. The Organization of the Petroleum Exporting Countries has trimmed its forecast for growth in global oil demand in 2022 for the second consecutive month, citing geopolitical tensions in eastern Europe and renewed COVID-19 restrictions in China. The southwest monsoon is likely to advance to south Andaman Sea and adjoining southeast Bay of Bengal around Sunday, the India Meteorological Department said . Geopolitical tensions and the consequent rise in commodity prices will keep inflation in India elevated in the current financial year started April. These elevated levels, however, may not be sustained as the recovery in demand is only gradual, the finance ministry said. he agriculture ministry signed a memorandum of understanding with the United Nations Development Programme to benefit small farmers under crop insurance plan, according to an official release. For all commodities report, click hereDisclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. For all commodities report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes  Read More Read More Read More"
6,NSE picks PNB as second stock on F&O ban list for Friday,stocks," The National Stock Exchange has decided to add Punjab National Bank as the second stock under the F&O ban for May 13 after the said scrip crossed 95 percent of the market-wide position limit. Indiabulls Housing Finance is already on the ban list shared by the NSE for futures and options segment. After a day of sharp fall, the stock rebounded smartly by 6.75 percent to close at Rs 118.65. The Punjab National Bank stock corrected nearly 14 percent to close at Rs 28.60 after a disappointing performance by the bank in the March 2022 quarter. Profit for the quarter stood at Rs 202 crore, registering a 66 percent decline on-year on account of higher provisioning. If derivative contracts in securities crossed 95 percent of the market-wide position limit, they end up on the ban list, the NSE said. “All clients/members shall trade in the derivative contracts of the said security only to decrease their positions through offsetting positions. Any increase in open positions shall attract appropriate penal and disciplinary action,” the NSE said. During the ban, traders are not allowed to take fresh positions in stocks but can start reducing their positions. The F&O ban rule helps reduce speculation in stocks. The market-wide position limit, which is set by stock exchanges, is the maximum number of outstanding open positions (buy and sell) in the F&O contracts of a security. If the open interest in a stock crosses 95 percent of the market-wide position limit, its F&O contracts enter the ban period. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
7,"Trade Spotlight | What should you do with Indiabulls Housing Finance, Skipper, Man Industries on Friday?",stocks," Bears tightened their grip over Dalal Street on May 12 on the back of a global correction due to a higher-than-expected US inflation that hinted at faster policy tightening by the Federal Reserve and a slowdown in the British economy amid continuing geopolitical tensions. The BSE Sensex fell more than 1,158 points or 2.1 percent to 52,930, while the Nifty50 has broken psychological 16,000 mark, declining 359 points or 2.2 percent to 15,808 and formed bearish candle on the daily charts. Nifty Bank, Financial Services, and Metal indices were the biggest losers, falling more than 3 percent each, followed by Auto, FMCG, IT and Pharma indices which declined 1-2 percent. The market breadth remained in favour of bears as about five shares declined for every share rising on the NSE. The broader markets were down around 2 percent. Stocks that were in action and bucked the trend in today's fall included Indiabulls Housing Finance which was the biggest gainer in the futures & options market, rising 6.75 percent to Rs 118.65. Among others, Skipper rallied 7.7 percent to Rs 60.6, and Man Industries (India) climbed 5.16 percent to Rs 78.40. Here's what Shrikant Chouhan of Kotak Securities recommends investors should do with these stocks when the market resumes trading today: Indiabulls Housing Finance In this month so far, the corrected over 20 percent. On daily and weekly charts, it is consistently forming lower top formation which is largely negative for the Indiabulls Housing Finance. After a sharp fall, on last Thursday the stock took the support near Rs 105 and bounced back sharply. Despite weak market conditions, the stock held the positive stance throughout the day. Technically, the larger texture is still in to the weak side but continuation of pullback rally is possible. If the stock succeeds to trade above Rs 114. For the momentum traders, Rs 114 would be the key support level. And, if stock succeeds to trade above the same, we could expect continuation of pullback rally till Rs 130-138. However, below Rs 114 uptrend would be vulnerable.  Skipper On daily and weekly charts, the stock has formed double bottom formation. Post short term correction, the stock took the support near Rs 55 and bounced back sharply. Currently the stock is witnessing non-directional activity perhaps, traders are waiting for the either side breakout. For the bulls, Rs 64 would be the important breakout level to watch. And if, the stock manages to close above the same, we can expect quick uptrend rally towards Rs 68-70. On the flip side, trading below Rs 58 it may increase further weakness up to Rs 55.  Man Industries After a medium term correction, the stock took the support near Rs 70 and bounced back sharply. On last Thursday, despite extremely weak market conditions it rallied over 5 percent. However, the short texture of the stock is non-directional and volatile. For traders, now Rs 83 would be the important resistance level. Above which, continuation of pullback rally will continue till Rs 87-90. On the flip side, below Rs 75 fresh round of selling possible. As a result, chances of hitting Rs 70-68 would turn bright. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
8,"Hot Stocks | Bet on Gujarat Gas, Avanti Feeds, TCS for 10-19% return in short term. Here's why",stocks," Vidnyan Sawant, AVP - Technical Research, at GEPL Capital Since the last six weeks, the Nifty50 has been making lower top lower bottom formation and through the previous four weeks it has sustained below its 20-week SMA (simple moving average) at 17,185, which shows bearish sentiment of the index. On the daily charts, the index has faced strong resistance at 16,500 levels since the last five days, indicating negative undertone of the market. On the indicator front, the RSI (relative strength index) plotted on the weekly charts is sustaining below 40 mark which shows negative momentum. The Nifty has immediate resistance placed at 16,500 and 17,000, followed by 17,251 levels. The downside support for the index is placed at 15,671 followed by 15,450 levels. We feel that the Nifty is in bearish mode. If the Nifty breaches 15,671 levels then it will move towards 15,450 levels in coming days. Our bearish view will be negated if it sustains above 17,251. Here are three buy calls for next 2-3 weeks: Gujarat Gas: Buy | LTP: Rs 566.95 | Stop-Loss: Rs 522 | Target: Rs 626 | Return: 10 percent Gujarat Gas is trading at 9 weeks' high and forming higher top higher bottom formation on the weekly charts. The stock is strongly outperformed the broader market. We witnessed a volume pick up at every rise in a stock price which shows bullish undertone of the stock. On the daily charts, the stock has given a breakout of horizontal channel pattern and sustained above 50 days SMA (Rs 517) indicating positive strength of the stock. On the indicator front, the RSI plotted on the daily time frame has sustained above the 60 mark with a higher top higher bottom pattern, indicating increasing bullish momentum in the prices. Going ahead, we expect the prices to move at higher levels towards Rs 594 post which we might see a move towards Rs 626 levels. We recommend a stop-loss of Rs 522 on daily closing basis.  TCS: Buy | LTP: Rs 3,408.65 | Stop-Loss: Rs 3,350 | Target: Rs 3,835 | Return: 13 percent TCS is sustaining near the major support zone of Rs 3,380 – 3,350 levels with the formation of Doji candlestick pattern. Also the stock is forming CIP pattern (Change in Polarity) at Rs 3,380 levels indicating bottom formation process is going on. The stock is offering favourable risk reward ratio at this juncture. On the indicator front, the RSI plotted on the daily chart is giving positive diversion at oversold region. Going ahead, we might see the prices move higher towards Rs 3,676 mark. If the prices manage to sustain above Rs 3,676 mark we might see further up move towards Rs 3,835 level. We recommend a strict stop-loss of Rs 3,350 on daily closing basis.  Avanti Feeds: Buy | LTP: Rs 456.35 | Stop-Loss: Rs 410 | Target: Rs 542 | Return: 19 percent Avanti Feeds is taking strong support at Rs 400 levels with the formation of Double Bottom pattern on the weekly charts. The stock is sustaining above its previous week high which shows initial sign of bullishness. On the daily chart, the stock has formed Big Bullish candle and outperforming the broader market. The RSI indicator plotted on the weekly charts is moving upward from oversold region and it is sustaining above 40 mark with the formation of higher low indicating positive momentum of the stock. We expect the stock to move higher towards Rs 500. And if it manages to cross above Rs 500 then eventually it will move towards Rs 542 levels. One should maintain a strict stop-loss of Rs 410 on daily closing basis for this trade.  Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
9,Buy Ajanta Pharma; target of Rs 2350: YES Securities,stocks," YES Securities' research report on Ajanta Pharma Ajanta clocked 15% growth in 4Q, higher than our 4% forecast driven by resilient performance in India business along with strong performance in branded business. Margins during the quarter were impacted due to one-time write off of certain products and high price erosion in US. Increased raw material prices also impacted margins but the company is still sure of maintaining 75% gross margin in FY23. US business is expected to pick up once the FDA commences inspections of various facilities as company is sitting on a healthy pipeline awaiting approvals. Branded business is expected to grow in mid-teens despite having a high base. R&D spends have gone back to pre-Covid levels while working capital is on the higher side but could be new normal as US share in revenues inches up compared to previous years.  Outlook Reduced FY24 estimate lead to corresponding cut in TP to Rs2,350 (earlier Rs2,620) though BUY stays based on unchanged 26x PE. Key trigger would be a successful FDA inspection which would open up approval to several important products. For all recommendations report, click here Disclaimer: The views and investment tips expressed by investment experts/broking houses/rating agencies on moneycontrol.com are their own, and not that of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes  Read More Read More Read More"
