,topic,category,content
0,Elon Musk announces Twitter deal is temporarily on hold. Not everyone is surprised,trends," Elon Musk’s Twitter deal is “temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users.” This afternoon, the Tesla chief announced that his $44-billion takeover of Twitter is temporarily on hold until there is more information on fake users and bots on the microblogging platform. The deal has been halted till it can be ascertained whether spam or fake accounts represent less than five percent of the site's total user base. “Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users,” Elon Musk tweeted. His announcement came after Twitter estimated in a filing Monday that spam accounts made up less than 5 per cent of its monetizable daily active users. Although the Twitter deal has seen more than its fair share of ups and downs, not everyone was surprised at Musk’s announcement. Not entirely surprised. Tesla shares rally on the news that #Twitter deal is temporarily on hold, twitter stock drops #Tesla https://t.co/2x6hgGDoMM Several other journalists also noted that the announcement sent Tesla stock up Twitter down, Tesla up  Twitter down, Tesla up.  Twitter down 22% https://t.co/lgweI1DTEs  One more option: just an attempt to temporarily manipulate Twitter or Tesla stock price Many were convinced that Musk had no plans of buying Twitter at all It looks like I was right all along. You never actually intended to buy #Twitter. You were bluffing the entire time. How many Twitter shares did you sell before tweeting this announcement?  In a surprise to no one, the Twitter deal is on hold. https://t.co/lQHoL09RLG  Twitter had earlier this month estimated that false or spam accounts represented fewer than 5% of its monetizable daily active users during the first quarter, when it recorded 229 million users who were served advertising. It also said it faced several risks until the deal with Musk is closed, including whether advertisers would continue to spend on Twitter. Musk, the world's richest man and a self-proclaimed free speech absolutist, had said that one of his priorities would be to remove ""spam bots"" from the platform. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
1,"As Elon Musk announces Twitter deal is on hold, a timeline of his bid",trends," Elon Musk announced on May 13 that his deal with Twitter’s board to take over the social network had been temporarily put on hold. His announcement came after Twitter revealed in an exchange filing that spam/fake accounts comprised just five percent of its monetisable daily active users. Musk had vowed to rid Twitter of “spam bots”. “Twitter deal temporarily on hold pending details supporting calculation that spam/fake accounts do indeed represent less than 5% of users,” Elon Musk said. On the day of Musk’s big announcement, here is a look back on the timeline of his efforts to take over Twitter: April 4: Musk’s stake in Twitter is made public The billionaire reportedly started buying the company's shares in January and in the subsequent months, critiqued its policies several times. It was in April that Twitter revealed Musk had a stake in the company. He was invited to join Twitter's board. April 9: Musk rejects a Twitter board seat Musk turned down the offer on the very same day he was scheduled to join the company's board. He had previously signaled that he would sign an agreement stating that he cannot own more than  14.9 percent of Twitter stock. April 11: Musk's amended disclosure Musk could now buy as many Twitter shares as he wanted and filed a modified disclosure with the US Securities and Exchange Commission. April 14: He offers to buy Twitter The billionaire boss of Tesla made a bid to take over Twitter for valued at $43 billion. April 15: Twitter goes into defence mode The company put into place a poison pill strategy to dilute his stake. April 21: Musk secures funds Musk said he had secured $46.5 billion to take over Twitter, including loans based on his Tesla equity stake. April 24: Twitter talks to Musk After  Musk’s offered financing details, Twitter began discussing his offer offer more seriously. April 25: Twitter announces deal with Musk Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
2,Airbnb CEO Brian Chesky explains a better version of hybrid work,trends," Airbnb CEO Brian Chesky has given his employees the liberty to work from wherever they want and now has some tips for other organisations. In an interview with Inc. magazine, Chesky said he did not believe that the hybrid method -- asking employees to come to office two to three days per week -- will work. That form of hybrid work does not provide professionals a lot more flexibility than the pre-pandemic period, Chesky said. “Maybe instead of asking you to come in three days a week, which I don't think will work because three days a week will become two days a week, and two days a week will become one day a week, and then everyone comes in the office a different one day a week,” the Airbnb CEO continued. He said he envisioned a different kind of hybrid work. “Where we combined the efficiency of Zoom with the infrequency, but the meaningfulness, of interpersonal interaction by getting together one week a quarter,” he told the magazine. “And frankly, if that's not enough, we can adjust it.” Chesky said a better version of the hybrid model would be assuming that people will be wherever they work best. He told Inc. magazine that those who want everyone back to working from office are over 50. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
3,Watch: Alert cop saves woman getting dragged by train in Odisha,trends," A constable of the Railway Protection Force (RPF) in Odisha saved the life of a woman getting dragged by a moving train. Head constable Sanatan Munda was on duty at the Bhubaneswar railway station on Wednesday when he noticed a woman had fallen in the gap between the train and platform. The passenger, identified by Times of India as one K Saraswati, had been trying to deboard a moving a train when she lost her balance and stumbled. It was only due to the quick-thinking of the RPF head constable that Saraswati was saved from serious injuries. Munda was filmed rushing towards the woman and dragging her out of harm’s way. CCTV footage shows the cop pulling Saraswati, 58, to the platform. Another woman, B Chandramma, who was also trying to get down at the platform, fell down too. #WATCH | Odisha: Railway Protection Force (RPF) head constable S Munda saved the life of a lady passenger by saving her from falling into the gap between the platform and the train at Bhubaneswar Railway Station yesterday, May 11 (Video Source: Indian Railways) pic.twitter.com/uMiLV4apbs “Munda spotted the duo and realised that a fatal accident was imminent if something was not done. He rushed towards the door of the train and pulled the two women towards the platform,” an inspector of Bhubaneswar RPF was quoted as saying by Hindustan Times. “The three of them fell on their backs but this act prevented a major accident. He sustained minor injuries and the two women also had a few bruises.” Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
4,Google Pixel 6 vs Pixel 6a: The key differences,trends," At Google I/O 2022, the company revealed the Pixel 6a and in keeping with tradition of the ""a"" series of Pixel phones, it is a more affordable version of the flagship Pixel 6. Having said that, what are the corners that Google cut to bring the price of the phone down to $449 (approximately Rs 34,000)? Let's find out. Also Read: Google I/O 2022 | Google Pixel 6a arrives with Tensor chip, India launch could take place by July end Display The Pixel 6 ships with a 6.4-inch Amoled screen, whereas the Pixel 6a shaves it down to a 6.1-inch Amoled screen, not a huge difference but it is definitely noticeable when you put the phones side by side. More noticeable will be the lowered refresh rate of the display, the Pixel 6's screen has a 90Hz refresh rate, while the Pixel 6a makes do with 60Hz. Internal hardware Both phones use Google's Tensor SoC for processing smarts, but there is a difference in the amount of RAM both phones use. The Pixel 6 has 8GB of RAM, whereas the Pixel 6a tops out at 6GB of RAM. Both phones have a variant with 128GB internal storage but the Pixel 6 offers another variant with 256GB internal storage, while the Pixel 6a is only offered with 6GB of RAM and 128GB of storage. Cameras The Pixel 6 uses a dual camera module with a 50-megapixel wide primary sensor, paired with a 12-megapixel ultra wide camera. The Pixel 6a also has a dual camera module but with a 12.2-megapixel primary sensor, paired with a 12-megapixel ultrawide lens. The front camera on both phones are the same at 8-megapixels but the Pixel 6 has wider focal length (f/2.0). Also Read: Google I/O 2022: Android 13 Beta 2 announced Battery The Pixel 6a has a slightly smaller battery at 4,410 mAh, compared to the Pixel 6's 4,614 mAh. What will be more noticeable is the reduced wired charging speed on the Pixel 6a, which is rated at 18W. The Pixel 6's wired charging is faster at 30W. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
5,"Sony unveils WH-1000XM5 headphones, to go on sale from May 20",trends," Sony has announced its latest flagship noise-cancelling headphones, the WH-100XM5, which are a continuation of the Japanese electronic giant's well-received 1000XM line of products which has been critically and commercially successful. While the older models were known for excellent sound quality and active noise-cancellation, Sony is doubling on improving the ANC by adding a second processor that gets rid of noise in the ""mid to high frequency"". Also Read: Sony WH-1000XM4 Review: Flawless Noise Cancellation meets Audio Excellence The new 1000XM5 also has a new design, which the company refers to as ""noiseless design"". Sony has reworked the design to be slimmer and sleeker, while making improvements in areas that could contribute to wind noise. The headphones now have eight microphones placed around the cups, and use a thinner, synthetic leather material for the headband. The touch controls are still there, which means you can control your experience using tap and swipe gestures. There is a dedicated button for switching on ANC and other modes. The 1000XM5 has a new 30mm driver that the company says ""improves sound quality and bass reproduction"". Voice call quality has also been improved with the use of four beamforming mic and noise reduction AI algorithms. Besides the design and driver changes, the 1000XM5 supports Sony's LDAC codecs for greater audio quality and has built-in support for Amazon's Alexa, Apple's Siri and Google Assistant. Also Read: Sony aims to sell 18 million PS5 consoles this year amid China lockdown risk Sony says that the headphones can last 30 hours on a single charge, along with support for fast charging, which gives three hours' worth of battery life, with just three minutes of charging. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
6,Watch: Bride and groom set themselves on fire in wedding stunt,trends," A newlywed couple left their guests (and social media viewers) speechless with an unusual stunt on their wedding day. Ambyr Bambyr and Gabe Jessop made sparks fly – quite literally – when they set themselves on fire during their wedding reception, a viral video shows. The video was first shared on TikTok by their wedding photographer and DJ Russ Powell, where it has racked up over 13 million views. Since then, it has spread online like, well, wildfire, and reached other platforms like Instagram. Ambyr and Gabe, both professional stunt performers, put up a fiery display for their wedding guests. Footage shows one man lighting Ambyr’s bouquet on fire. The flames quickly spread to the couple themselves, who walk calmly, hand in hand. A post shared by Destination Wedding DJ (@djrusspowell) A post shared by Destination Wedding DJ (@djrusspowell) The couple, after walking a few steps as flames engulfed them, eventually knelt down on the ground. Two men with fire extinguishers then put the fire out. Commenting on his own video, Russ Powell cautioned people against trying similar stunts. “These are trained professionals, don't try this at home,” he wrote. ""Our wedding send-off was accomplished with a team of professionals and should not be attempted without proper training and equipment,"" Ambyr reiterated in her own post. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
7,Sinkhole with forest at bottom: Chinese scientists make astounding discovery,trends," A team of scientists in China has discovered a massive sinkhole with a forest inside it, Xinhua news agency reported. The discovery was made in the country’s southern Guangxi Zhuang Autonomous Region -- home to giant sinkholes and caves, science news website Live Science reported. The US Geological Survey defines sinkholes as depressions which have no natural external surface drainage. Sinkholes are most common in karst terrains. ""These are regions where the types of rock below the land surface can naturally be dissolved by groundwater circulating through them,"" USGS added. ""When water from rainfall moves down through the soil, these types of rock begin to dissolve. This creates underground spaces and caverns."" In China, the Guangxi Zhuang Autonomous Region has been designated as UNESCO world heritage site because of its striking karst terrain. Last week, a team from the Institute of Karst Geology of the China Geological Survey travelled down the 192-metre-deep sinkhole in the region to discover a well-preserved forest. Apart from China, such massive sinkholes have been found in Papua New Guinea and Mexico. International cave expert George Veni told Live Science that the appearance of such formations differed with climate, geology and other factors. ""So in China you have this incredibly visually spectacular karst with enormous sinkholes and giant cave entrances and so forth,"" he said. ""In other parts of the world you walk out on the karst and you really don't notice anything. Sinkholes might be quite subdued, only a meter or two in diameter. Cave entrances might be very small, so you have to squeeze your way into them."" Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
8,Storyboard18 x Just Sports | TCS World 10K returns with runners and brands ready at the start line,trends," 4 am alarm, pre-race meal, coordinating with buddies to reach the venue, never-ending conversation on pacing strategy, quick warms-up in the packed holding area…phew! All of it is making a comeback after two years this summer as Bengaluru opens its roads for runners running the TCS World 10K this weekend. Having run this event on two occasions in the past as a participant, I can vouch for the unparalleled energy that this event offers to those who choose to participate. And after two years of missing out on this kind of vibe and meeting my ‘running tribe’, I am all set to be on the start line of this race yet again. The excitement around this major on-ground event after two years of lockdowns is unprecedented. Vivek Singh, Joint MD, Procam International, says the registrations have been pouring in till last week. “In the last few days we have seen an upward trend in registrations. Keeping this in mind, we have kept registrations for a few categories open at the event expo which began from May 12 to ensure everyone gets an opportunity to be a part of the TCS World 10k. We are confident to see approximately 19,000 participants on the streets of Bengaluru this Sunday.” Tim Tim Sharma What runners have to say Tim Tim Sharma, 38, a popular runner from Bengaluru, shares how the excitement is already palpable, given that it is race week and many runners from across the country are in Bengaluru for the event. “It is going to be really great to meet all the familiar faces and welcome new ones,” she adds. “The TCS10k is a celebration of the sport of running. It is the day Bengaluru roads are shut and runners take over the streets for the first few hours of the morning. It is an initiation of thousands to the world of running, also a kick start to the racing season. It is a festival for the runners and I am proud to have run it two times in the past winning in my age category both times.” Nithin B. Jawali, 48, who has participated in this event on five occasions in the past, says: “The run is #nammarace, the pride of Bangalore and is known worldwide. It has been a long two years and I can’t wait to see all the runners on the road again.” Kshitij Sharma, a 34-year-old runner from Bengaluru, who will be running the event for the second time this year is also excited to meet fellow runners from different cities. “An event like this brings hope for so many recreational runners like me who get motivated to get back to training once they register for mega events like this,” Sharma says. Nithin Jawali Another popular runner and running coach from Bengaluru, Ankita Gaur, who had taken a break from running races due to pregnancy, will be running the event this year. She has participated in this event six times in the past. She tells Storyboard18, “This race will be very special for me as it will be my first race as a mother.” Thirty-nine-year-old ultra-runner Gunjan Khurana who will be travelling from Surat to not just run the event but also participate as pacer, helping many others meet their goals, is looking forward to running this marathon for the first time. Brands in for the long-run Shashank Mehta, founder and CEO of The Whole Truth Foods, will also be participating and he couldn’t hide his excitement. “Running is my first love. I started my fitness journey running, including a few marathons. This is the first large-scale running event since COVID, and I'm looking forward to running alongside some of the best runners in the country.” Mehta's brand is also the official snack for the TCS World 10K. The brand has planned an activation with a contingent of 80-90 runners who will run for ‘The Whole Truth’. “We have a community of highly accomplished runners and fitness experts and we've got some of them together for this run.” Take IDFC First Bank, for example. This is the first time IDFC First Bank has come on board as the associate sponsor. From this year, the Bank is a sponsor of Procam International’s four running events; TCS World 10K being first in the series. “These events have grown in international stature and repute over the last decade. As a bank, we believe in offering great value to customers, and viewed through that lens, a participative sport like marathons helps us connect well with our audience,” says Naarayan TV, chief marketing officer, IDFC FIRST Bank. Ankita Gaur As a special initiative, the Bank has announced a pledge to contribute to social causes on behalf of every participant completing the 10K run in 60 minutes at TCS World 10K Bengaluru. Naarayan TV says that this initiative aligns with the bank’s philosophy of being a force for social good and with the 10K Bengaluru’s theme of social inclusion. He says, “An association with a sport like marathon builds community spirit, promotes wellness and is a natural fit for our bank.” There are many other brands who have jumped on the 10K bandwagon. Volini, for example, will be ‘Recovery Partner’. Its recovery zone is equipped with sports scientists, injury management specialists, doctors and physiotherapists facilitating instant pain relief and tending to tired muscles to all open 10K participants. A direct approach to showcasing their brand promise to the consumer. Bisleri, on the other hand, will be ‘Hydration Partner’ to the event and will have 6 Bisleri water stations on the course and one post finish. Fast & Up is on board as the Energy Drink Partner. And then there is global IT major TCS who is on board as the title sponsor. Kshitij Sharma Spirit. Community. Brand Building. In an exclusive conversation with Storyboard18, Rajashree R, chief marketing officer of TCS, says she is excited to have runners on the street, although in the past the brand had enabled the virtual organisation of the event. “Sports in general pushes human ingenuity to its limit and there is a core belief that every human can do better. We are actively working with organisers to make sure that this is the most technologically advanced. Whether it is the TCS World 10K or the TCS New York City Marathon, all these events use our app, they use our tech. Even when we went virtual we used Augmented Reality to give runners the virtual experience of running the event,” she says, adding how races like these not just help them engage with their key stakeholders but also be a part of the spirit of that particular city.” According to the recently released Nielsen Global Sports Marketing report, sports sponsorship grew by 107% in 2021. And this growth is true for both spectator sports and participatory sports such as marathons and triathlons as well. Plus, partnerships with major participatory events like running are cost-effective and highly strategic solutions for brands to position themselves in the marketplace and reconnect with its consumers. These races are not just about the run day. For example, training for endurance sports and events such as running, cycling or triathlon starts up to 16 weeks or more before the race weekend. This allows a brand the opportunity to get right inside the life of a runner over an extended period of time and authentically become part of the journey. Sportswear brand ASICS is one such brand that has taken up interactive marketing approaches to create awareness and build curiosity for this event. The sportswear brand is running a local campaign ‘Bengaluru, Let’s have a Blast’ focused on educating the customer on its latest Flytefoam blast technology in shoes. On the race day, top 950 finishers in the Open 10K category across men and women will be presented with a t-shirt as a token of appreciation for their effort and hard work. Such an effort also provides means to continue the dialogue and build a relationship and portray them as a company that supported an individual’s accomplishment. And indeed, every runner loves to cherish the race memory with a finisher tee! Surat-based ultra-runner Gunjan Khurana. Creating brand experiences in a non-cluttered environment Rajat Khurana, managing director, ASICS India & South Asia, who is an accomplished runner himself says that this event is important for the brand to communicate with the running community in the southern part of India about various innovations and technologies that ASICS has to offer. “South India is an important market for us and we have 7 outlets in the city and 16 stores in the region. Through this partnership, we wish to enable runners across all age groups to push themselves to achieve new goals and experience the joy of running.” Creating a sense of community in a non-cluttered environment is attractive to brands that don’t want to pay big-ticket major league rights fees for events such as the IPL and have their brand reside in a sea of logos on ground. Apart from this, a running strategy can also enhance a corporate culture by bringing staff together and providing an inclusive employee engagement activity around which they can rally for a specific cause or purpose. The title sponsor TCS has been doing exactly this for many years now across various events and will see a huge employee participation for this event as well. “Every participant needs to be double vaccinated, there will be a temperature check upon entry, you can’t enter the venue without a mask, if you drop a mask we will provide you with one at the venue, such other protocols will be followed rigorously. Here is an opportunity for us to give courage to people and show them that things are getting back to normal,” says Singh. For those who still have jitters participating in the physical event have an option to run the virtual race wherever they are located, through a paid participation. According to Procam, there are thousands who have registered for the virtual race and even these runners will get a t-shirt and a medal. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
9,"In Ukraine, 11-year-old takes care of mom, sister who lost their legs in Russian shelling",trends," For 11-year-old Yaroslav, life changed the moment a Russian missile strike hit a railway station in the Ukrainian city of Kramatorsk in April. Yaroslav, who was at the station with his mother and twin sister at the time, miraculously escaped without injuries, but his family was not as lucky. His mother, Natalia, and his sister, Yana, both lost their legs in the Russian shelling. For Yaroslav, it meant growing up overnight. The 11-year-old has been looking after his family in hospital since the day of the Kramatorsk station attack. 11yo Yaroslav is taking care of his mother Natalia and his twin Yana, who lost their legs in the shelling of #Kramatorsk railway station.Now they are in a Lviv hospital preparing for a prosthetic surgery in the USAIryna Zaslavets#StandWithUkraine️#StopRussianAggression pic.twitter.com/y52nSxqG9N Yaroslav’s story was shared by a hospital in Lviv, Ukraine, where his mother and sister have been receiving treatment since April 8, the day of the attack. According to a Facebook post by the St Nicholas Children’s Hospital of the First Medical Association of Lviv, Yaroslav, Yana and Natalia were among the thousands of Ukrainians who were waiting at the Kramatorsk station for evacuation trains when rockets hit. The twins don’t have a father. Their stepfather had already joined the fight against Russia when their mother, desperate to flee Russian shelling, took them to the station. She still blames herself for the tragedy that followed. While waiting for the train, Yana asked her mother for tea that was being distributed by volunteers. Yaroslav was tasked with guarding the luggage while his mother and sister went to fetch tea – and that’s when he heard a loud explosion. Natalia recalls seeing her daughter with no legs when she opened her eyes after the strike. “I realized that myself without one limb,” she said. The mother of two still cries from time to time and blames herself for going out to get tea. For Yaroslav, the attack meant shouldering responsibilities far beyond his years. Today, the 11-year-old helps his mother and sister get dressed, brings them food and water and even goes to the store next to the hospital by himself. But the family, who has been in hospital for weeks, finally has something to cheer for – they will soon fly to the US for prosthetic surgery and rehabilitation. Download your money calendar for 2022-23 here and keep your dates with your moneybox, investments, taxes "
